['UO', 21, 'CO', 270, 'sdiff', 'printf', 'O1', 'O2', 0.21103117505995206, 0.04958391189575195]
['BO', 69, 'CO', 229, 'cmp', 'mktemp', 'O3', 'O2', 0.09200805910006715, 0.0742490291595459]
['UO', 60, 'CO', 38, 'xargs', 'sha1sum', 'O3', 'O3', 0.29810954920019395, 0.14592623710632324]
['CO', 19, 'BO', 81, 'dd', 'sort', 'O3', 'O3', 0.23290043290043294, 0.27787184715270996]
['BO', 56, 'CO', 60, 'libvlc.so.12.0.0', 'base64', 'O3', 'O3', 0.7398130841121495, 0.6432809829711914]
['CO', 171, 'BO', 58, 'nohup', 'svn', 'O1', 'O1', 0.7935816803741332, 1.0428619384765625]
['BO', 45, 'UO', 8, 'diff', 'c++filt', 'O2', 'O1', 0.6614623589426496, 3.0427334308624268]
['CO', 178, 'UO', 62, 'unexpand', 'diff3', 'O1', 'O3', 0.21229698375870076, 0.10887026786804199]
['CO', 241, 'BO', 19, 'chown', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.90989642814949, 8.358815670013428]
['BO', 22, 'UO', 29, 'perl', 'as', 'O0', 'O2', 0.30722342013600934, 11.917337656021118]
['CO', 264, 'UO', 11, 'cut', 'ld', 'O2', 'O1', 0.9263059701492538, 2.8863534927368164]
['CO', 355, 'BO', 16, 'chroot', 'make', 'O0', 'O0', 0.7121414276184123, 0.39598560333251953]
['CO', 101, 'UO', 2, 'rmdir', 'find', 'O3', 'O1', 0.768526228143214, 0.5232579708099365]
['UO', 40, 'CO', 378, 'objdump', 'runcon', 'O2', 'O0', 0.9142329447073761, 2.3212647438049316]
['CO', 57, 'UO', 27, 'od', 'strip', 'O3', 'O2', 0.842032667876588, 1.7890186309814453]
['UO', 74, 'CO', 33, 'ld', 'chown', 'O0', 'O3', 0.8994795055302537, 5.343102216720581]
['CO', 219, 'UO', 31, 'groups', 'c++filt', 'O2', 'O2', 0.8984238178633975, 1.2611775398254395]
['BO', 80, 'CO', 213, 'ssh', 'basename', 'O3', 'O2', 0.9379934527248219, 1.6281938552856445]
['CO', 5, 'UO', 59, 'basename', 'locate', 'O3', 'O3', 0.5625462620281273, 0.1194465160369873]
['CO', 50, 'BO', 53, 'dircolors', 'bash', 'O3', 'O0', 0.9477593375741853, 5.511702537536621]
['UO', 44, 'CO', 291, 'nm', 'csplit', 'O3', 'O2', 0.8441443042473787, 1.113011360168457]
['CO', 203, 'UO', 17, 'sort', 'objdump', 'O1', 'O1', 0.7914263445050662, 4.189123153686523]
['UO', 67, 'CO', 176, 'strip', 'head', 'O0', 'O1', 0.9226640159045726, 3.5175676345825195]
['UO', 29, 'BO', 39, 'as', 'codeblocks', 'O2', 'O3', 0.40514422727602994, 42.82919955253601]
['CO', 411, 'BO', 22, 'sort', 'perl', 'O0', 'O0', 0.8451892652056721, 9.812557697296143]
['CO', 253, 'UO', 26, 'split', 'nm', 'O2', 'O2', 0.8449934980494148, 1.515970230102539]
['BO', 29, 'CO', 376, 'libvlc.so.12.0.0', 'tty', 'O2', 'O0', 0.7546278062229224, 0.5394213199615479]
['CO', 220, 'BO', 67, 'ptx', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9015040091094558, 8.5125150680542]
['CO', 125, 'BO', 40, 'mktemp', 'lua', 'O1', 'O0', 0.8355282999899467, 1.1213746070861816]
['CO', 149, 'BO', 72, 'split', 'make', 'O1', 'O2', 0.659448131330772, 0.3793210983276367]
['CO', 327, 'BO', 20, 'join', 'sort', 'O0', 'O1', 0.34926958831341304, 0.17433905601501465]
['CO', 261, 'UO', 81, 'chmod', 'diff3', 'O2', 'O0', 0.1426032874278098, 0.09639167785644531]
['BO', 6, 'UO', 22, 'codeblocks', 'diff3', 'O0', 'O2', 0.9651813931138997, 39.18480467796326]
['CO', 104, 'BO', 56, 'sha384sum', 'libvlc.so.12.0.0', 'O1', 'O3', 0.7333829826847886, 0.6414852142333984]
['UO', 5, 'CO', 100, 'readelf', 'tac', 'O1', 'O3', 0.7642720165216108, 0.37954187393188477]
['CO', 403, 'UO', 23, 'comm', 'cmp', 'O0', 'O2', 0.11612903225806448, 0.05263948440551758]
['BO', 79, 'CO', 204, 'bash', 'tac', 'O3', 'O1', 0.9422291993720565, 3.44061017036438]
['CO', 214, 'UO', 85, 'mkdir', 'locate', 'O2', 'O0', 0.6020031628887718, 0.2835524082183838]
['CO', 36, 'BO', 52, 'pinky', 'svn', 'O3', 'O3', 0.7549822338946393, 0.7187690734863281]
['UO', 40, 'CO', 171, 'objdump', 'nohup', 'O2', 'O1', 0.9255689735253135, 2.351191282272339]
['UO', 87, 'CO', 65, 'find', 'false', 'O0', 'O3', 0.8534400868503189, 0.7507708072662354]
['BO', 49, 'CO', 143, 'svn', 'paste', 'O0', 'O1', 0.813321518239551, 0.7034685611724854]
['CO', 52, 'UO', 50, 'sha256sum', 'strings', 'O3', 'O3', 0.8614170337738619, 1.1743834018707275]
['CO', 248, 'UO', 18, 'sync', 'diff3', 'O2', 'O1', 0.3529796987557302, 0.04806661605834961]
['CO', 53, 'BO', 81, 'chmod', 'sort', 'O3', 'O3', 0.3168622606547251, 0.13201093673706055]
['CO', 92, 'UO', 79, 'sha512sum', 'size', 'O3', 'O0', 0.9105263157894737, 3.2622835636138916]
['CO', 398, 'BO', 58, 'timeout', 'svn', 'O0', 'O1', 0.7118670155456365, 0.9254899024963379]
