['UO', 13, 'CO', 279, 'addr2line', 'readlink', 'O1', 'O2', 0.8827490934208254, 1.9593136310577393]
['UO', 49, 'CO', 400, 'c++filt', 'shred', 'O3', 'O0', 0.770693906305037, 0.8847804069519043]
['UO', 8, 'CO', 221, 'c++filt', 'printenv', 'O1', 'O2', 0.9216878240657965, 0.9626703262329102]
['BO', 51, 'CO', 288, 'lua', 'uname', 'O1', 'O2', 0.8794591113972956, 0.6045770645141602]
['BO', 21, 'CO', 335, 'cp', 'pr', 'O1', 'O0', 0.20177777777777783, 0.1449873447418213]
['CO', 119, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O1', 'O0', 0.8952130029640248, 41.16932654380798]
['UO', 37, 'CO', 110, 'ar', 'mkdir', 'O2', 'O1', 0.8585182084554207, 1.3700132369995117]
['BO', 72, 'CO', 413, 'make', 'rmdir', 'O2', 'O0', 0.7383827296011709, 0.3039073944091797]
['BO', 22, 'UO', 45, 'perl', 'strip', 'O0', 'O3', 0.4327115559599636, 9.487661361694336]
['UO', 29, 'CO', 329, 'as', 'stdbuf', 'O2', 'O0', 0.9044477306336025, 2.1992807388305664]
['CO', 365, 'UO', 31, 'chmod', 'c++filt', 'O0', 'O2', 0.7704805295280667, 1.6764600276947021]
['UO', 17, 'CO', 337, 'objdump', 'chgrp', 'O1', 'O0', 0.8480863170325836, 2.92433762550354]
['UO', 66, 'BO', 61, 'nm', 'git', 'O0', 'O1', 0.5051524836464649, 30.877227783203125]
['BO', 25, 'CO', 380, 'dot', 'yes', 'O3', 'O0', 0.5064027939464494, 0.023693084716796875]
['UO', 81, 'BO', 13, 'diff3', 'ruby', 'O0', 'O1', 0.9620622421063769, 22.185081005096436]
['CO', 354, 'BO', 3, 'sum', 'openssl', 'O0', 'O1', 0.9265069485889675, 12.544466733932495]
['CO', 119, 'BO', 17, 'join', 'codeblocks', 'O1', 'O2', 0.9558671357615894, 17.81983184814453]
['BO', 34, 'CO', 272, 'cp', 'tty', 'O2', 'O2', 0.6178184845961698, 0.09547805786132812]
['CO', 178, 'UO', 29, 'unexpand', 'as', 'O1', 'O2', 0.9213863545073736, 2.4731898307800293]
['UO', 81, 'CO', 180, 'diff3', 'md5sum', 'O0', 'O1', 0.27540650406504064, 0.07972884178161621]
['UO', 28, 'CO', 92, 'readelf', 'sha512sum', 'O2', 'O3', 0.7647783251231527, 0.3076775074005127]
['UO', 46, 'CO', 316, 'readelf', 'test', 'O3', 'O0', 0.7405534067241892, 0.3292720317840576]
['BO', 57, 'UO', 41, 'libvlccore.so.9.0.0', 'locate', 'O3', 'O2', 0.8323708092702318, 6.787737131118774]
['UO', 21, 'CO', 404, 'sdiff', 'sha512sum', 'O1', 'O0', 0.09129066107030426, 0.0734107494354248]
['CO', 177, 'BO', 1, 'hostid', 'ssh', 'O1', 'O2', 0.9303406558420885, 2.097820997238159]
['UO', 14, 'CO', 327, 'ar', 'join', 'O1', 'O0', 0.8436404207841887, 1.586040735244751]
['UO', 26, 'CO', 116, 'nm', 'ptx', 'O2', 'O1', 0.810617662072486, 1.3884286880493164]
['UO', 86, 'CO', 164, 'xargs', 'base64', 'O0', 'O1', 0.40858369098712444, 0.12313103675842285]
['UO', 7, 'CO', 65, 'ranlib', 'false', 'O1', 'O3', 0.9095336359884441, 1.4625732898712158]
['UO', 32, 'CO', 58, 'strings', 'df', 'O2', 'O3', 0.7539240506329113, 1.4172561168670654]
['CO', 148, 'BO', 74, 'seq', 'dot', 'O1', 'O1', 0.5387840670859538, 0.02369546890258789]
['UO', 57, 'CO', 83, 'size', 'csplit', 'O3', 'O3', 0.8198166117688952, 1.0814182758331299]
