['CO', 378, 'UO', 74, 'runcon', 'ld', 'O0', 'O0', 0.9383376903605959, 5.785391807556152]
['BO', 4, 'CO', 229, 'libgeany.so.0.0.0', 'mktemp', 'O2', 'O2', 0.9766440521775052, 36.68467736244202]
['UO', 42, 'BO', 43, 'xargs', 'diff', 'O2', 'O1', 0.28531390134529144, 0.22041606903076172]
['BO', 55, 'CO', 190, 'make', 'timeout', 'O1', 'O1', 0.6992537313432836, 0.3070838451385498]
['CO', 262, 'UO', 40, 'true', 'objdump', 'O2', 'O2', 0.9499088717737668, 2.4131526947021484]
['CO', 83, 'UO', 64, 'csplit', 'diff', 'O3', 'O3', 0.3863080684596577, 0.1342177391052246]
['UO', 38, 'CO', 357, 'elfedit', 'split', 'O2', 'O0', 0.272452068617558, 0.0750887393951416]
['UO', 50, 'CO', 407, 'strings', 'sha224sum', 'O3', 'O0', 0.8364722926475915, 1.0786640644073486]
['CO', 314, 'BO', 73, 'stat', 'cluster', 'O0', 'O1', 0.26677426792713854, 0.2846250534057617]
['UO', 60, 'CO', 154, 'xargs', 'dircolors', 'O3', 'O1', 0.30993573900148297, 0.08698511123657227]
['CO', 329, 'UO', 59, 'stdbuf', 'locate', 'O0', 'O3', 0.4340136054421768, 0.15698742866516113]
['BO', 83, 'CO', 304, 'lua', 'fold', 'O2', 'O2', 0.8543259557344064, 0.47268128395080566]
['CO', 332, 'BO', 43, 'mkfifo', 'diff', 'O0', 'O1', 0.17956656346749222, 0.24404191970825195]
['UO', 11, 'CO', 239, 'ld', 'date', 'O1', 'O2', 0.8831575947563408, 2.678008794784546]
['UO', 71, 'BO', 46, 'c++filt', 'ruby', 'O0', 'O3', 0.6018214576597477, 74.29307270050049]
['CO', 235, 'BO', 80, 'wc', 'ssh', 'O2', 'O3', 0.9070237493683678, 2.198770523071289]
['BO', 30, 'CO', 122, 'libvlccore.so.9.0.0', 'uptime', 'O2', 'O1', 0.9353123263751091, 6.236877918243408]
['UO', 44, 'BO', 63, 'nm', 'cluster', 'O3', 'O0', 0.4357839407981188, 1.8698010444641113]
['UO', 11, 'CO', 266, 'ld', 'df', 'O1', 'O2', 0.8478747203579419, 3.0549936294555664]
['UO', 6, 'CO', 307, 'as', 'sort', 'O1', 'O2', 0.8040981061782055, 3.0784358978271484]
['UO', 5, 'CO', 148, 'readelf', 'seq', 'O1', 'O1', 0.7825503355704698, 0.37756848335266113]
['BO', 4, 'CO', 316, 'libgeany.so.0.0.0', 'test', 'O2', 'O0', 0.972350814889974, 37.06275177001953]
['UO', 13, 'CO', 65, 'addr2line', 'false', 'O1', 'O3', 0.90428783512357, 1.3213717937469482]
['CO', 286, 'BO', 41, 'chcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.8939976914197768, 8.509413719177246]
['UO', 0, 'CO', 338, 'locate', 'kill', 'O1', 'O0', 0.5141168745896257, 0.16836857795715332]
['CO', 277, 'UO', 55, 'who', 'ar', 'O2', 'O3', 0.8764064393283711, 1.3028411865234375]
['CO', 141, 'UO', 83, 'truncate', 'diff', 'O1', 'O0', 0.6276531231049121, 0.2148604393005371]
['BO', 74, 'CO', 154, 'dot', 'dircolors', 'O1', 'O1', 0.5386266094420601, 0.023864030838012695]
['BO', 69, 'UO', 82, 'cmp', 'cmp', 'O3', 'O0', 0.1131167268351384, 0.05713462829589844]
['BO', 83, 'CO', 369, 'lua', 'od', 'O2', 'O0', 0.7157751023954325, 0.6069035530090332]
['CO', 146, 'BO', 77, 'sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.9334547109695038, 7.917391061782837]
['CO', 387, 'UO', 73, 'mv', 'objcopy', 'O0', 'O0', 0.7141844285904196, 6.829649925231934]
['CO', 49, 'BO', 25, 'nice', 'dot', 'O3', 'O3', 0.47596153846153844, 0.01618790626525879]
['CO', 203, 'BO', 45, 'sort', 'diff', 'O1', 'O2', 0.09073679222932951, 0.27321600914001465]
['CO', 69, 'BO', 80, 'who', 'ssh', 'O3', 'O3', 0.8937531359759157, 2.06704044342041]
['CO', 52, 'UO', 30, 'sha256sum', 'ranlib', 'O3', 'O2', 0.8726275832981865, 1.4704623222351074]
['CO', 326, 'UO', 4, 'stty', 'strip', 'O0', 'O1', 0.8613200851667849, 2.1327834129333496]
['CO', 146, 'BO', 41, 'sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9284070319768866, 7.925169229507446]
['UO', 58, 'CO', 226, 'objdump', 'uptime', 'O3', 'O2', 0.9160847232642696, 2.099545478820801]
['CO', 124, 'BO', 67, 'mkfifo', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.944024058983314, 7.891452312469482]
['CO', 358, 'UO', 24, 'whoami', 'diff', 'O0', 'O2', 0.5537424618659099, 0.1431586742401123]
['UO', 4, 'CO', 202, 'strip', 'sleep', 'O1', 'O1', 0.9144463099496314, 1.715947151184082]
['CO', 261, 'BO', 74, 'chmod', 'dot', 'O2', 'O1', 0.6314496314496314, 0.03132987022399902]
['BO', 34, 'CO', 381, 'cp', 'who', 'O2', 'O0', 0.35271720318449296, 0.14529919624328613]
['BO', 49, 'CO', 316, 'svn', 'test', 'O0', 'O0', 0.7514978601997147, 0.7554550170898438]
['BO', 27, 'CO', 119, 'perl', 'join', 'O3', 'O1', 0.9501985053713218, 3.1536970138549805]
['CO', 299, 'BO', 82, 'comm', 'cp', 'O2', 'O3', 0.542429906542056, 0.11259174346923828]
['UO', 79, 'CO', 94, 'size', 'rm', 'O0', 'O3', 0.8554148446816968, 2.9863271713256836]
['UO', 54, 'CO', 270, 'addr2line', 'printf', 'O3', 'O2', 0.8775322283609577, 1.0678730010986328]
['UO', 81, 'BO', 7, 'diff3', 'sort', 'O0', 'O0', 0.3574544521426739, 0.2973439693450928]
['UO', 0, 'CO', 352, 'locate', 'sync', 'O1', 'O0', 0.5539083557951483, 0.1656808853149414]
['CO', 208, 'UO', 67, 'sha384sum', 'strip', 'O2', 'O0', 0.9360392372754116, 4.018876552581787]
['CO', 266, 'BO', 8, 'df', 'cp', 'O2', 'O0', 0.3967620314925704, 0.3517637252807617]
['CO', 249, 'BO', 79, 'echo', 'bash', 'O2', 'O3', 0.9645111349291413, 3.5226821899414062]
['CO', 242, 'BO', 51, 'tail', 'lua', 'O2', 'O1', 0.7432351889378949, 0.7438821792602539]
['CO', 284, 'BO', 73, 'md5sum', 'cluster', 'O2', 'O1', 0.6338195891634415, 0.16645121574401855]
['CO', 180, 'BO', 12, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9003671399988344, 41.56250882148743]
['CO', 247, 'BO', 26, 'paste', 'gvmap', 'O2', 'O3', 0.685486254803429, 0.15107965469360352]
['BO', 21, 'CO', 248, 'cp', 'sync', 'O1', 'O2', 0.607625099285147, 0.11008143424987793]
['BO', 68, 'CO', 193, 'git', 'pathchk', 'O3', 'O1', 0.9775135389686838, 8.47352910041809]
['BO', 71, 'CO', 45, 'libSDL2-2.0.so.0.16.0', 'split', 'O0', 'O3', 0.9104428151277909, 8.827571392059326]
['CO', 150, 'UO', 66, 'whoami', 'nm', 'O1', 'O0', 0.9347191404881466, 3.2089171409606934]
['CO', 291, 'UO', 40, 'csplit', 'objdump', 'O2', 'O2', 0.8995418098510882, 2.6953887939453125]
['BO', 35, 'UO', 29, 'make', 'as', 'O3', 'O2', 0.5606941795003024, 4.67344856262207]
['CO', 37, 'BO', 18, 'truncate', 'libvlc.so.12.0.0', 'O3', 'O1', 0.7531865585168018, 0.5952205657958984]
['BO', 2, 'CO', 205, 'perl', 'rmdir', 'O1', 'O1', 0.9652559600813159, 3.2057225704193115]
['BO', 30, 'CO', 214, 'libvlccore.so.9.0.0', 'mkdir', 'O2', 'O2', 0.9399267982176958, 6.112475156784058]
['UO', 3, 'CO', 112, 'nm', 'dir', 'O1', 'O1', 0.6848659731186878, 1.9275648593902588]
