['CO', 118, 'UO', 68, 'stty', 'readelf', 'O1', 'O0', 0.8141392336751214, 0.91314697265625]
['UO', 86, 'CO', 287, 'xargs', 'link', 'O0', 'O2', 0.5650929899856938, 0.09592080116271973]
['UO', 53, 'CO', 305, 'gprof', 'uniq', 'O3', 'O2', 0.876907339527747, 1.1601920127868652]
['BO', 23, 'CO', 182, 'git', 'chcon', 'O2', 'O1', 0.9520046484601976, 9.151765823364258]
['UO', 17, 'CO', 303, 'objdump', 'sha224sum', 'O1', 'O2', 0.9284153923710301, 2.5674240589141846]
['BO', 14, 'CO', 148, 'cmp', 'seq', 'O0', 'O1', 0.12400733048259016, 0.054128408432006836]
['UO', 77, 'CO', 391, 'ar', 'link', 'O0', 'O0', 0.9298980747451868, 2.92344069480896]
['CO', 97, 'UO', 79, 'uniq', 'size', 'O3', 'O0', 0.8966678277023105, 3.1187186241149902]
['CO', 254, 'BO', 66, 'whoami', 'svn', 'O2', 'O2', 0.8462555794346173, 0.6423192024230957]
['BO', 7, 'CO', 126, 'sort', 'pwd', 'O0', 'O1', 0.5975830815709969, 0.1892714500427246]
['BO', 29, 'UO', 7, 'libvlc.so.12.0.0', 'ranlib', 'O2', 'O1', 0.44406991260923845, 3.658564329147339]
['UO', 75, 'CO', 28, 'gprof', 'factor', 'O0', 'O3', 0.8877247160030881, 2.977135181427002]
['CO', 31, 'BO', 4, 'date', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9639130503417683, 44.402212142944336]
['UO', 34, 'CO', 233, 'ld', 'chgrp', 'O2', 'O2', 0.8711627906976744, 2.5333950519561768]
['BO', 48, 'CO', 310, 'libvlccore.so.9.0.0', 'mknod', 'O0', 'O2', 0.9689804071321564, 14.177812576293945]
['BO', 20, 'CO', 399, 'sort', 'id', 'O1', 'O0', 0.3879781420765027, 0.15393447875976562]
['CO', 99, 'UO', 30, 'sort', 'ranlib', 'O3', 'O2', 0.6816807738814994, 2.089380979537964]
['CO', 196, 'BO', 52, 'sha512sum', 'svn', 'O1', 'O3', 0.772705955916836, 0.7280030250549316]
['CO', 225, 'BO', 57, 'stdbuf', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9483232983771283, 6.36642861366272]
['CO', 204, 'BO', 21, 'tac', 'cp', 'O1', 'O1', 0.4666666666666667, 0.13872742652893066]
['CO', 241, 'UO', 54, 'chown', 'addr2line', 'O2', 'O3', 0.7982185377899286, 1.357903003692627]
['BO', 59, 'CO', 239, 'libgeany.so.0.0.0', 'date', 'O3', 'O2', 0.9680680384429664, 34.8217191696167]
['BO', 26, 'CO', 362, 'gvmap', 'dircolors', 'O3', 'O0', 0.5702888583218707, 0.17141437530517578]
['BO', 34, 'CO', 162, 'cp', 'df', 'O2', 'O1', 0.1558056872037915, 0.17864727973937988]
['CO', 286, 'UO', 26, 'chcon', 'nm', 'O2', 'O2', 0.8123137188112067, 1.6406350135803223]
['BO', 45, 'CO', 232, 'diff', 'tee', 'O2', 'O2', 0.5693299892511644, 0.12490510940551758]
