['CO', 269, 'BO', 56, 'cksum', 'libvlc.so.12.0.0', 'O2', 'O3', 0.8084112149532711, 0.3770332336425781]
['CO', 403, 'UO', 51, 'comm', 'objcopy', 'O0', 'O3', 0.8799939695462083, 2.225421667098999]
['UO', 49, 'BO', 36, 'c++filt', 'cluster', 'O3', 'O2', 0.5799811439346323, 1.5389339923858643]
['CO', 364, 'UO', 47, 'sha256sum', 'as', 'O0', 'O3', 0.895558639833449, 2.270117998123169]
['BO', 8, 'CO', 101, 'cp', 'rmdir', 'O0', 'O3', 0.6401869158878505, 0.18500185012817383]
['BO', 77, 'CO', 38, 'libSDL2-2.0.so.0.16.0', 'sha1sum', 'O3', 'O3', 0.932047666696989, 6.096500873565674]
['CO', 44, 'BO', 8, 'seq', 'cp', 'O3', 'O0', 0.6169994879672299, 0.2421114444732666]
['UO', 23, 'CO', 283, 'cmp', 'mv', 'O2', 'O2', 0.5042735042735043, 0.143110990524292]
['BO', 21, 'UO', 82, 'cp', 'cmp', 'O1', 'O0', 0.3806275579809004, 0.14363956451416016]
['CO', 311, 'UO', 6, 'ln', 'as', 'O2', 'O1', 0.8637701321633047, 3.244987964630127]
['BO', 54, 'CO', 19, 'lua', 'dd', 'O3', 'O3', 0.6718304622629818, 0.45989489555358887]
['UO', 24, 'CO', 199, 'diff', 'sha224sum', 'O2', 'O1', 0.5015426808364758, 0.13193488121032715]
['CO', 93, 'BO', 3, 'nl', 'openssl', 'O3', 'O1', 0.9376581057325387, 11.34606409072876]
['CO', 146, 'BO', 50, 'sum', 'perl', 'O1', 'O2', 0.9561237657933436, 3.8025012016296387]
['BO', 0, 'CO', 256, 'codeblocks', 'ls', 'O1', 'O2', 0.9016467858673997, 15.221192598342896]
['BO', 44, 'CO', 25, 'cmp', 'chgrp', 'O2', 'O3', 0.23863055697496172, 0.05699944496154785]
['BO', 63, 'CO', 373, 'cluster', 'cksum', 'O0', 'O0', 0.7139261744966443, 0.2556593418121338]
['BO', 21, 'CO', 319, 'cp', 'fmt', 'O1', 'O0', 0.42927689594356266, 0.14062809944152832]
['CO', 223, 'UO', 62, 'join', 'diff3', 'O2', 'O3', 0.1788300835654596, 0.051699161529541016]
['UO', 36, 'BO', 11, 'addr2line', 'ssh', 'O2', 'O1', 0.19274146341463416, 5.962949275970459]
['BO', 46, 'CO', 331, 'ruby', 'dd', 'O3', 'O0', 0.9572960176123769, 18.07075071334839]
['BO', 67, 'CO', 150, 'libSDL2-2.0.so.0.16.0', 'whoami', 'O1', 'O1', 0.9457228857170599, 6.855505466461182]
['CO', 382, 'UO', 78, 'b2sum', 'elfedit', 'O0', 'O0', 0.18913159296750137, 0.07182669639587402]
['UO', 61, 'CO', 7, 'find', 'fmt', 'O3', 'O3', 0.7471223658579776, 0.36920905113220215]
['UO', 19, 'CO', 156, 'cmp', 'sha256sum', 'O1', 'O1', 0.08713136729222515, 0.04763150215148926]
['CO', 52, 'BO', 58, 'sha256sum', 'svn', 'O3', 'O1', 0.7627870150435471, 0.7312283515930176]
['UO', 27, 'CO', 89, 'strip', 'pathchk', 'O2', 'O3', 0.8995508982035928, 1.4749267101287842]
['CO', 99, 'UO', 68, 'sort', 'readelf', 'O3', 'O0', 0.5960516324981018, 1.1629416942596436]
['CO', 200, 'UO', 29, 'fold', 'as', 'O1', 'O2', 0.9261389783709157, 2.497504472732544]
['BO', 25, 'CO', 348, 'dot', 'pinky', 'O3', 'O0', 0.604735883424408, 0.035737037658691406]
['CO', 60, 'BO', 71, 'base64', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.9406365779723813, 9.519222497940063]
['CO', 360, 'BO', 39, 'ls', 'codeblocks', 'O0', 'O3', 0.8637347668507213, 31.273595571517944]
['BO', 8, 'CO', 332, 'cp', 'mkfifo', 'O0', 'O0', 0.32450052576235544, 0.3760199546813965]
['CO', 201, 'UO', 87, 'uniq', 'find', 'O1', 'O0', 0.7865933490442524, 0.9657368659973145]
['CO', 88, 'UO', 16, 'shred', 'size', 'O3', 'O1', 0.8086164043082021, 1.752079725265503]
['CO', 76, 'UO', 80, 'md5sum', 'objdump', 'O3', 'O0', 0.9402914346641393, 5.901483535766602]
['UO', 70, 'BO', 24, 'ranlib', 'cluster', 'O0', 'O3', 0.7292691585941066, 3.9232773780822754]
['BO', 31, 'CO', 90, 'bash', 'tr', 'O2', 'O3', 0.9355102040816327, 3.5519015789031982]
['CO', 384, 'BO', 36, 'head', 'cluster', 'O0', 'O2', 0.47481420313790257, 0.19201064109802246]
['CO', 132, 'UO', 16, 'factor', 'size', 'O1', 'O1', 0.8309008555611475, 1.6868431568145752]
['UO', 25, 'BO', 47, 'sdiff', 'libvlc.so.12.0.0', 'O2', 'O0', 0.7027983274364747, 0.9782333374023438]
['CO', 291, 'BO', 68, 'csplit', 'git', 'O2', 'O3', 0.9657876258094718, 10.063581705093384]
['CO', 250, 'UO', 19, 'sum', 'cmp', 'O2', 'O1', 0.10635260528194146, 0.042681217193603516]
['UO', 59, 'CO', 298, 'locate', 'tr', 'O3', 'O2', 0.5176895306859206, 0.12945866584777832]
['CO', 253, 'UO', 77, 'split', 'ar', 'O2', 'O0', 0.90030666294954, 3.5864055156707764]
['CO', 152, 'BO', 0, 'ls', 'codeblocks', 'O1', 'O1', 0.8955756661639015, 25.306509017944336]
['UO', 58, 'CO', 231, 'objdump', 'pr', 'O3', 'O2', 0.8831537152580828, 2.166618824005127]
['BO', 25, 'CO', 179, 'dot', 'mv', 'O3', 'O1', 0.8269896193771626, 0.11104249954223633]
['CO', 21, 'UO', 81, 'mktemp', 'diff3', 'O3', 'O0', 0.1932139491046183, 0.08646869659423828]
['BO', 49, 'CO', 175, 'svn', 'readlink', 'O0', 'O1', 0.7768451519536903, 0.7201850414276123]
['CO', 63, 'UO', 27, 'logname', 'strip', 'O3', 'O2', 0.9129975874547648, 1.6428320407867432]
['CO', 44, 'UO', 56, 'seq', 'elfedit', 'O3', 'O3', 0.14615907545887152, 0.037352800369262695]
['CO', 202, 'UO', 59, 'sleep', 'locate', 'O1', 'O3', 0.5681310498883098, 0.13457179069519043]
['CO', 211, 'BO', 36, 'unlink', 'cluster', 'O2', 'O2', 0.7076284711139483, 0.14784908294677734]
