['BO', 0, 'CO', 254, 'codeblocks', 'whoami', 'O1', 'O2', 0.975582278812649, 13.835258483886719]
['CO', 124, 'UO', 42, 'mkfifo', 'xargs', 'O1', 'O2', 0.3952, 0.07997703552246094]
['UO', 43, 'BO', 73, 'find', 'cluster', 'O2', 'O1', 0.30373592630501534, 0.7481274604797363]
['CO', 58, 'BO', 32, 'df', 'ruby', 'O3', 'O2', 0.9509622812615457, 25.070630073547363]
['UO', 36, 'CO', 172, 'addr2line', 'yes', 'O2', 'O1', 0.8983451536643026, 1.1686391830444336]
['BO', 42, 'UO', 33, 'cmp', 'objcopy', 'O1', 'O2', 0.8862622658340767, 1.744978904724121]
['BO', 1, 'CO', 306, 'ssh', 'sleep', 'O2', 'O2', 0.9370008306178519, 1.7765920162200928]
['CO', 125, 'UO', 62, 'mktemp', 'diff3', 'O1', 'O3', 0.15145005370569287, 0.06201171875]
['CO', 62, 'UO', 85, 'printf', 'locate', 'O3', 'O0', 0.5877147319104633, 0.2537534236907959]
['UO', 73, 'CO', 41, 'objcopy', 'echo', 'O0', 'O3', 0.9428456632012455, 3.4216928482055664]
['BO', 67, 'CO', 7, 'libSDL2-2.0.so.0.16.0', 'fmt', 'O1', 'O3', 0.9304532100370853, 6.998014450073242]
['BO', 71, 'CO', 299, 'libSDL2-2.0.so.0.16.0', 'comm', 'O0', 'O2', 0.9482627441034746, 8.471293449401855]
['BO', 29, 'CO', 117, 'libvlc.so.12.0.0', 'printenv', 'O2', 'O1', 0.7866452777220774, 0.5071702003479004]
['BO', 12, 'CO', 13, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O3', 0.9060320305498188, 37.45051097869873]
['CO', 353, 'BO', 3, 'echo', 'openssl', 'O0', 'O1', 0.9475113122171945, 12.231961965560913]
['BO', 66, 'CO', 7, 'svn', 'fmt', 'O2', 'O3', 0.772316473759315, 0.6363279819488525]
['CO', 30, 'BO', 11, 'expand', 'ssh', 'O3', 'O1', 0.9117517467111474, 2.205707311630249]
['CO', 5, 'BO', 24, 'basename', 'cluster', 'O3', 'O3', 0.6356968215158925, 0.14117813110351562]
['UO', 53, 'CO', 343, 'gprof', 'date', 'O3', 'O0', 0.78703027351676, 1.3928158283233643]
['CO', 361, 'UO', 55, 'nice', 'ar', 'O0', 'O3', 0.882925134618725, 1.3388006687164307]
['BO', 46, 'CO', 296, 'ruby', 'shred', 'O3', 'O2', 0.9700699682790231, 18.32517671585083]
['BO', 35, 'CO', 171, 'make', 'nohup', 'O3', 'O1', 0.762240356083086, 0.2972831726074219]
['CO', 414, 'BO', 14, 'mknod', 'cmp', 'O0', 'O0', 0.29228371005455966, 0.13541650772094727]
['CO', 177, 'BO', 40, 'hostid', 'lua', 'O1', 'O0', 0.8868782959363044, 1.0041279792785645]
['CO', 294, 'BO', 45, 'timeout', 'diff', 'O2', 'O2', 0.5077452667814114, 0.14411497116088867]
['BO', 39, 'CO', 315, 'codeblocks', 'unlink', 'O3', 'O0', 0.9681985152457038, 14.568573474884033]
['BO', 37, 'CO', 386, 'gvmap', 'unexpand', 'O2', 'O0', 0.5686382393397524, 0.17842817306518555]
['UO', 41, 'CO', 79, 'locate', 'link', 'O2', 'O3', 0.5892541534110993, 0.12984871864318848]
['UO', 45, 'CO', 302, 'strip', 'rm', 'O3', 'O2', 0.8242996123180455, 1.5115551948547363]
['CO', 5, 'UO', 80, 'basename', 'objdump', 'O3', 'O0', 0.952163375581072, 5.645466089248657]
['UO', 65, 'CO', 251, 'sdiff', 'chroot', 'O3', 'O2', 0.2150988615937688, 0.050603628158569336]
['UO', 36, 'CO', 176, 'addr2line', 'head', 'O2', 'O1', 0.861281982704823, 1.2624037265777588]
['UO', 11, 'CO', 244, 'ld', 'pinky', 'O1', 'O2', 0.9236143455985095, 2.771160125732422]
['BO', 69, 'CO', 1, 'cmp', 'touch', 'O3', 'O3', 0.22075172048703018, 0.05460953712463379]
['CO', 48, 'BO', 30, 'ls', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.8399275826952816, 9.764447450637817]
['UO', 4, 'CO', 179, 'strip', 'mv', 'O1', 'O1', 0.694751113693589, 2.354696035385132]
['CO', 71, 'UO', 47, 'readlink', 'as', 'O3', 'O3', 0.9071391167743061, 2.2518701553344727]
['UO', 71, 'CO', 156, 'c++filt', 'sha256sum', 'O0', 'O1', 0.9137603795966786, 2.910919666290283]
['CO', 3, 'UO', 78, 'unlink', 'elfedit', 'O3', 'O0', 0.22190611664295878, 0.03630471229553223]
['UO', 14, 'CO', 53, 'ar', 'chmod', 'O1', 'O3', 0.8257713248638838, 1.6043777465820312]
['UO', 43, 'CO', 253, 'find', 'split', 'O2', 'O2', 0.7087313557901793, 0.5108551979064941]
['BO', 69, 'CO', 260, 'cmp', 'sha256sum', 'O3', 'O2', 0.09978463747307964, 0.04025626182556152]
['BO', 34, 'CO', 82, 'cp', 'shuf', 'O2', 'O3', 0.31143144485417373, 0.13340520858764648]
['BO', 54, 'CO', 1, 'lua', 'touch', 'O3', 'O3', 0.7118536399440986, 0.4590141773223877]
['CO', 16, 'UO', 81, 'dirname', 'diff3', 'O3', 'O0', 0.38326954620010933, 0.06546497344970703]
['UO', 59, 'CO', 286, 'locate', 'chcon', 'O3', 'O2', 0.31417863835103055, 0.16310596466064453]
['CO', 204, 'BO', 34, 'tac', 'cp', 'O1', 'O2', 0.4527808883911908, 0.1285078525543213]
['UO', 83, 'CO', 19, 'diff', 'dd', 'O0', 'O3', 0.35524022902663677, 0.23609447479248047]
['CO', 370, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9404588520867591, 57.264644622802734]
['UO', 73, 'CO', 206, 'objcopy', 'mknod', 'O0', 'O1', 0.9377849020688274, 3.634833574295044]
['BO', 1, 'CO', 59, 'ssh', 'tsort', 'O2', 'O3', 0.9085930122757319, 1.886087417602539]
['CO', 387, 'UO', 42, 'mv', 'xargs', 'O0', 'O2', 0.42737121379615295, 0.7035048007965088]
['BO', 54, 'CO', 350, 'lua', 'sha1sum', 'O3', 'O0', 0.7698370993168681, 0.45875978469848633]
['CO', 382, 'BO', 56, 'b2sum', 'libvlc.so.12.0.0', 'O0', 'O3', 0.6320308393201332, 0.7492573261260986]
