['CO', 370, 'UO', 54, 'df', 'addr2line', 'O0', 'O3', 0.7078726968174205, 2.5328660011291504]
['CO', 33, 'UO', 60, 'chown', 'xargs', 'O3', 'O3', 0.17084639498432597, 0.23386478424072266]
['CO', 279, 'UO', 19, 'readlink', 'cmp', 'O2', 'O1', 0.08864265927977844, 0.09691619873046875]
['CO', 203, 'BO', 32, 'sort', 'ruby', 'O1', 'O2', 0.93243175807176, 31.056270360946655]
['CO', 83, 'UO', 43, 'csplit', 'find', 'O3', 'O2', 0.6756490305619455, 0.5348341464996338]
['CO', 228, 'UO', 2, 'mkfifo', 'find', 'O2', 'O1', 0.8326996197718631, 0.49546170234680176]
['UO', 28, 'CO', 70, 'readelf', 'b2sum', 'O2', 'O3', 0.7268072289156626, 0.31339192390441895]
['UO', 78, 'CO', 178, 'elfedit', 'unexpand', 'O0', 'O1', 0.14476317545030026, 0.04524803161621094]
['UO', 29, 'CO', 68, 'as', 'yes', 'O2', 'O3', 0.9322522938426915, 2.107701539993286]
['BO', 21, 'CO', 53, 'cp', 'chmod', 'O1', 'O3', 0.3118210862619808, 0.1338653564453125]
['BO', 35, 'CO', 213, 'make', 'basename', 'O3', 'O2', 0.815437523882308, 0.25496339797973633]
['CO', 31, 'UO', 39, 'date', 'size', 'O3', 'O2', 0.8033577270770556, 1.4385452270507812]
['BO', 27, 'CO', 300, 'perl', 'sha512sum', 'O3', 'O2', 0.9624581399447741, 2.998098611831665]
['CO', 87, 'BO', 5, 'id', 'libgeany.so.0.0.0', 'O3', 'O1', 0.970829158117415, 43.46429777145386]
['CO', 372, 'UO', 28, 'base64', 'readelf', 'O0', 'O2', 0.7456594578129759, 0.40143275260925293]
['UO', 87, 'CO', 313, 'find', 'touch', 'O0', 'O0', 0.6858625803262481, 0.9421625137329102]
['UO', 29, 'CO', 132, 'as', 'factor', 'O2', 'O1', 0.8864225352112676, 2.3223938941955566]
['CO', 88, 'UO', 15, 'shred', 'elfedit', 'O3', 'O1', 0.23342036553524803, 0.0578463077545166]
['BO', 13, 'CO', 351, 'ruby', 'paste', 'O1', 'O0', 0.9775753328661527, 17.363672494888306]
['CO', 318, 'UO', 87, 'mkdir', 'find', 'O0', 'O0', 0.5805816243772448, 1.2770349979400635]
['CO', 127, 'UO', 56, 'pr', 'elfedit', 'O1', 'O3', 0.2667386609071274, 0.06314611434936523]
['UO', 6, 'CO', 389, 'as', 'env', 'O1', 'O0', 0.9162678109699071, 2.5545589923858643]
['CO', 149, 'UO', 59, 'split', 'locate', 'O1', 'O3', 0.3801626016260162, 0.16347193717956543]
['CO', 328, 'BO', 46, 'dirname', 'ruby', 'O0', 'O3', 0.9808329136718095, 19.41091299057007]
['UO', 3, 'CO', 381, 'nm', 'who', 'O1', 'O0', 0.842831035055657, 1.537346601486206]
['CO', 147, 'UO', 73, 'chroot', 'objcopy', 'O1', 'O0', 0.9258226713794991, 4.108697891235352]
['CO', 229, 'UO', 82, 'mktemp', 'cmp', 'O2', 'O0', 0.11381618989653075, 0.06337380409240723]
['CO', 231, 'UO', 8, 'pr', 'c++filt', 'O2', 'O1', 0.8250976396671761, 1.754762887954712]
