['CO', 188, 'UO', 73, 'vdir', 'objcopy', 'O1', 'O0', 0.8065269153555255, 4.865571975708008]
['BO', 69, 'CO', 70, 'cmp', 'b2sum', 'O3', 'O3', 0.12687913409500906, 0.03365182876586914]
['UO', 27, 'CO', 43, 'strip', 'chroot', 'O2', 'O3', 0.8845811051693404, 1.1866569519042969]
['CO', 142, 'UO', 84, 'sha1sum', 'sdiff', 'O1', 'O0', 0.253277399056109, 0.06430816650390625]
['CO', 238, 'BO', 30, 'expand', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.953762320698774, 6.236705541610718]
['UO', 27, 'CO', 123, 'strip', 'dd', 'O2', 'O1', 0.8265188597754103, 1.7011163234710693]
['CO', 289, 'BO', 25, 'cat', 'dot', 'O2', 'O3', 0.43610013175230566, 0.01710987091064453]
['UO', 25, 'CO', 164, 'sdiff', 'base64', 'O2', 'O1', 0.18438438438438443, 0.05325794219970703]
['CO', 395, 'UO', 10, 'csplit', 'objcopy', 'O0', 'O1', 0.8288702928870293, 2.234771251678467]
['CO', 318, 'UO', 70, 'mkdir', 'ranlib', 'O0', 'O0', 0.8080288487033993, 4.531290292739868]
['CO', 95, 'BO', 63, 'sha224sum', 'cluster', 'O3', 'O0', 0.6907173868100062, 0.264251708984375]
['UO', 59, 'BO', 80, 'locate', 'ssh', 'O3', 'O3', 0.7557571528262387, 3.085286855697632]
['CO', 193, 'BO', 2, 'pathchk', 'perl', 'O1', 'O1', 0.9696761219305673, 3.589426279067993]
['BO', 55, 'CO', 42, 'make', 'sum', 'O1', 'O3', 0.7084504403222784, 0.2735309600830078]
['UO', 53, 'CO', 169, 'gprof', 'false', 'O3', 'O1', 0.9094614517387911, 1.073059320449829]
['CO', 371, 'BO', 68, 'tsort', 'git', 'O0', 'O3', 0.9697449428320141, 9.861448287963867]
['UO', 26, 'CO', 75, 'nm', 'mv', 'O2', 'O3', 0.6436604529348329, 1.5718114376068115]
['CO', 307, 'UO', 85, 'sort', 'locate', 'O2', 'O0', 0.25843604768640127, 0.4136173725128174]
['BO', 17, 'CO', 67, 'codeblocks', 'nohup', 'O2', 'O3', 0.9642513834402847, 13.913168668746948]
['CO', 9, 'UO', 49, 'du', 'c++filt', 'O3', 'O3', 0.6892062158756825, 1.5504639148712158]
['CO', 347, 'UO', 58, 'base32', 'objdump', 'O0', 'O3', 0.9047619047619048, 2.3894360065460205]
['CO', 82, 'UO', 56, 'shuf', 'elfedit', 'O3', 'O3', 0.23033067274800456, 0.05099034309387207]
['CO', 383, 'BO', 34, 'readlink', 'cp', 'O0', 'O2', 0.3653576437587658, 0.147202730178833]
['CO', 213, 'UO', 2, 'basename', 'find', 'O2', 'O1', 0.8330164217804668, 0.49492597579956055]
['UO', 49, 'BO', 29, 'c++filt', 'libvlc.so.12.0.0', 'O3', 'O2', 0.3862273385262287, 2.5230658054351807]
['UO', 52, 'CO', 87, 'ld', 'id', 'O3', 'O3', 0.9093186970528576, 2.08534836769104]
['CO', 140, 'UO', 86, 'pinky', 'xargs', 'O1', 'O0', 0.3782426778242678, 0.12880444526672363]
['CO', 208, 'UO', 60, 'sha384sum', 'xargs', 'O2', 'O3', 0.34833759590792845, 0.08023381233215332]
['CO', 116, 'BO', 71, 'ptx', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9078604246864522, 10.491233825683594]
['CO', 354, 'BO', 33, 'sum', 'sort', 'O0', 'O2', 0.3795093795093796, 0.14452838897705078]
