['UO', 56, 'CO', 353, 'elfedit', 'echo', 'O3', 'O0', 0.15495086923658352, 0.08170056343078613]
['BO', 50, 'CO', 145, 'perl', 'echo', 'O2', 'O1', 0.9672230102918541, 3.3839597702026367]
['CO', 174, 'BO', 56, 'b2sum', 'libvlc.so.12.0.0', 'O1', 'O3', 0.690968443960827, 0.48250484466552734]
['UO', 15, 'CO', 326, 'elfedit', 'stty', 'O1', 'O0', 0.20622119815668205, 0.04474520683288574]
['UO', 70, 'CO', 233, 'ranlib', 'chgrp', 'O0', 'O2', 0.8779399614431286, 2.421466588973999]
['BO', 44, 'UO', 80, 'cmp', 'objdump', 'O2', 'O0', 0.940444690178113, 5.3779590129852295]
['BO', 66, 'CO', 159, 'svn', 'cp', 'O2', 'O1', 0.47758643354804786, 0.9232602119445801]
['CO', 60, 'BO', 69, 'base64', 'cmp', 'O3', 'O3', 0.13835616438356158, 0.03598308563232422]
['CO', 183, 'BO', 64, 'link', 'dot', 'O1', 'O0', 0.44631306597671405, 0.016786813735961914]
['CO', 346, 'UO', 19, 'tail', 'cmp', 'O0', 'O1', 0.360676532769556, 0.10047101974487305]
['BO', 43, 'CO', 281, 'diff', 'hostid', 'O1', 'O2', 0.6666666666666666, 0.1152334213256836]
['BO', 29, 'CO', 233, 'libvlc.so.12.0.0', 'chgrp', 'O2', 'O2', 0.6101420607804352, 0.5806541442871094]
['UO', 73, 'BO', 38, 'objcopy', 'acyclic', 'O0', 'O2', 0.9738748851923665, 3.275377035140991]
['BO', 9, 'CO', 258, 'git', 'dircolors', 'O0', 'O2', 0.9758077164366374, 8.325538158416748]
['BO', 51, 'UO', 83, 'lua', 'diff', 'O1', 'O0', 0.46277928063320306, 0.9484677314758301]
['UO', 51, 'CO', 308, 'objcopy', 'tac', 'O3', 'O2', 0.9012044518981552, 1.3115785121917725]
['BO', 81, 'UO', 86, 'sort', 'xargs', 'O3', 'O0', 0.18261330506228468, 0.2246708869934082]
['UO', 43, 'CO', 52, 'find', 'sha256sum', 'O2', 'O3', 0.7439945092656143, 0.4452958106994629]
['CO', 369, 'UO', 4, 'od', 'strip', 'O0', 'O1', 0.8393884135222331, 2.2191693782806396]
['BO', 79, 'CO', 391, 'bash', 'link', 'O3', 'O0', 0.9511887395024248, 3.245803117752075]
['UO', 17, 'CO', 405, 'objdump', 'nl', 'O1', 'O0', 0.9080026601640434, 2.6828691959381104]
['UO', 56, 'CO', 411, 'elfedit', 'sort', 'O3', 'O0', 0.5786650774731824, 0.21508359909057617]
['CO', 67, 'UO', 6, 'nohup', 'as', 'O3', 'O1', 0.9239946973044632, 2.727078676223755]
['CO', 149, 'BO', 82, 'split', 'cp', 'O1', 'O3', 0.36010533245556287, 0.13357234001159668]
['UO', 85, 'CO', 404, 'locate', 'sha512sum', 'O0', 'O0', 0.5418569254185692, 0.2674551010131836]
['BO', 6, 'CO', 256, 'codeblocks', 'ls', 'O0', 'O2', 0.9287865046254308, 41.80199408531189]
['UO', 65, 'CO', 83, 'sdiff', 'csplit', 'O3', 'O3', 0.1339594661393969, 0.058608293533325195]
['UO', 66, 'CO', 292, 'nm', 'vdir', 'O0', 'O2', 0.7907868445212507, 3.537703275680542]
['CO', 232, 'UO', 85, 'tee', 'locate', 'O2', 'O0', 0.6697802197802197, 0.25258374214172363]
['UO', 60, 'BO', 25, 'xargs', 'dot', 'O3', 'O3', 0.7079818299805322, 0.05605030059814453]
['UO', 0, 'CO', 163, 'locate', 'tsort', 'O1', 'O1', 0.5438713998660415, 0.15602970123291016]
['UO', 11, 'CO', 229, 'ld', 'mktemp', 'O1', 'O2', 0.9148073022312373, 2.743119239807129]
['CO', 150, 'UO', 49, 'whoami', 'c++filt', 'O1', 'O3', 0.8946574955243569, 1.1541247367858887]
['UO', 21, 'CO', 19, 'sdiff', 'dd', 'O1', 'O3', 0.16952054794520555, 0.07756853103637695]
['BO', 20, 'CO', 270, 'sort', 'printf', 'O1', 'O2', 0.5066765578635015, 0.12675905227661133]
['BO', 70, 'CO', 195, 'diff', 'comm', 'O3', 'O1', 0.5207001009761023, 0.12050533294677734]
['UO', 36, 'BO', 30, 'addr2line', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.4053991958644457, 20.611522674560547]
['CO', 75, 'UO', 83, 'mv', 'diff', 'O3', 'O0', 0.13393034825870642, 0.3641808032989502]
['UO', 4, 'CO', 170, 'strip', 'runcon', 'O1', 'O1', 0.9220227189446684, 1.708801507949829]
['CO', 280, 'UO', 61, 'head', 'find', 'O2', 'O3', 0.7588298251872994, 0.43480491638183594]
['CO', 241, 'UO', 5, 'chown', 'readelf', 'O2', 'O1', 0.6786516853932584, 0.5223019123077393]
['BO', 52, 'UO', 64, 'svn', 'diff', 'O3', 'O3', 0.44431832513557823, 0.907233715057373]
['BO', 52, 'CO', 370, 'svn', 'df', 'O3', 'O0', 0.5406608226567768, 0.9015865325927734]
['BO', 68, 'UO', 1, 'git', 'xargs', 'O3', 'O1', 0.9469891621428433, 9.709847450256348]
['CO', 62, 'UO', 87, 'printf', 'find', 'O3', 'O0', 0.7917103882476391, 0.8927433490753174]
['UO', 34, 'CO', 116, 'ld', 'ptx', 'O2', 'O1', 0.8706190061028771, 2.7481606006622314]
['CO', 76, 'UO', 29, 'md5sum', 'as', 'O3', 'O2', 0.9135901245856669, 2.5404391288757324]
['UO', 42, 'CO', 365, 'xargs', 'chmod', 'O2', 'O0', 0.10976072920622859, 0.1479482650756836]
['CO', 75, 'BO', 76, 'mv', 'openssl', 'O3', 'O2', 0.813081871578695, 15.806758642196655]
['BO', 57, 'CO', 374, 'libvlccore.so.9.0.0', 'printf', 'O3', 'O0', 0.9339850397752009, 6.00412917137146]
['UO', 82, 'CO', 233, 'cmp', 'chgrp', 'O0', 'O2', 0.11111111111111116, 0.07667827606201172]
['CO', 74, 'BO', 49, 'unexpand', 'svn', 'O3', 'O0', 0.7933148445482411, 0.80914306640625]
['UO', 5, 'CO', 70, 'readelf', 'b2sum', 'O1', 'O3', 0.7371096586782862, 0.38790416717529297]
['BO', 13, 'CO', 387, 'ruby', 'mv', 'O1', 'O0', 0.9053294388751082, 21.777570247650146]
['BO', 30, 'CO', 335, 'libvlccore.so.9.0.0', 'pr', 'O2', 'O0', 0.8951500077724235, 7.0419089794158936]
['UO', 45, 'CO', 324, 'strip', 'ptx', 'O3', 'O0', 0.804630969609262, 1.6246368885040283]
['UO', 44, 'CO', 94, 'nm', 'rm', 'O3', 'O3', 0.7814779847223414, 1.1890690326690674]
['UO', 64, 'CO', 61, 'diff', 'cksum', 'O3', 'O3', 0.5622406639004149, 0.10398626327514648]
['UO', 82, 'BO', 19, 'cmp', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.9278133322733235, 7.763866424560547]
['CO', 359, 'UO', 50, 'numfmt', 'strings', 'O0', 'O3', 0.7982090610869758, 1.52237868309021]
['CO', 282, 'BO', 33, 'unexpand', 'sort', 'O2', 'O2', 0.5286114445778312, 0.12523698806762695]
['UO', 40, 'CO', 194, 'objdump', 'tr', 'O2', 'O1', 0.9124668435013262, 2.5035738945007324]
['UO', 77, 'CO', 321, 'ar', 'du', 'O0', 'O0', 0.76929865545346, 4.054697513580322]
['BO', 53, 'CO', 311, 'bash', 'ln', 'O0', 'O2', 0.9112180493078077, 5.642215251922607]
['CO', 241, 'UO', 26, 'chown', 'nm', 'O2', 'O2', 0.8058549002969877, 1.6293532848358154]
['CO', 352, 'BO', 58, 'sync', 'svn', 'O0', 'O1', 0.7869537275064268, 0.7700555324554443]
['BO', 1, 'CO', 178, 'ssh', 'unexpand', 'O2', 'O1', 0.9135264785709777, 1.9297401905059814]
['CO', 87, 'BO', 61, 'id', 'git', 'O3', 'O1', 0.9702455426962777, 9.76795244216919]
['UO', 60, 'CO', 152, 'xargs', 'ls', 'O3', 'O1', 0.24845269672855874, 0.21423077583312988]
['CO', 27, 'BO', 61, 'wc', 'git', 'O3', 'O1', 0.9657492831925725, 10.093332767486572]
['BO', 79, 'CO', 297, 'bash', 'pathchk', 'O3', 'O2', 0.9611635095506064, 3.295070171356201]
['CO', 409, 'UO', 48, 'uniq', 'ranlib', 'O0', 'O3', 0.8427539311517213, 1.4935266971588135]
['BO', 17, 'CO', 98, 'codeblocks', 'sleep', 'O2', 'O3', 0.9681374463100352, 14.478306293487549]
['CO', 58, 'BO', 82, 'df', 'cp', 'O3', 'O3', 0.172864036332671, 0.1603689193725586]
['BO', 25, 'CO', 240, 'dot', 'expr', 'O3', 'O2', 0.5636722606120435, 0.022756338119506836]
['CO', 403, 'UO', 61, 'comm', 'find', 'O0', 'O3', 0.7223290785102291, 0.504166841506958]
['CO', 273, 'UO', 68, 'false', 'readelf', 'O2', 'O0', 0.9035107587768969, 0.7191903591156006]
['CO', 325, 'UO', 32, 'printenv', 'strings', 'O0', 'O2', 0.889606256251705, 1.3862109184265137]
['CO', 289, 'BO', 72, 'cat', 'make', 'O2', 'O2', 0.7979186376537369, 0.32286643981933594]
['BO', 9, 'CO', 141, 'git', 'truncate', 'O0', 'O1', 0.975923929026566, 8.790497303009033]
['CO', 391, 'UO', 1, 'link', 'xargs', 'O0', 'O1', 0.3812154696132597, 0.09650278091430664]
['CO', 138, 'UO', 5, 'tail', 'readelf', 'O1', 'O1', 0.6697401508801342, 0.5423288345336914]
['UO', 25, 'CO', 410, 'sdiff', 'sleep', 'O2', 'O0', 0.1970802919708029, 0.05846881866455078]
['UO', 7, 'CO', 286, 'ranlib', 'chcon', 'O1', 'O2', 0.8260320467282343, 1.6400482654571533]
['BO', 31, 'UO', 50, 'bash', 'strings', 'O2', 'O3', 0.40675312398452035, 7.531564950942993]
['CO', 148, 'BO', 8, 'seq', 'cp', 'O1', 'O0', 0.6240330067044868, 0.27715468406677246]
['CO', 51, 'UO', 47, 'realpath', 'as', 'O3', 'O3', 0.900284074439098, 2.267479181289673]
['UO', 60, 'CO', 304, 'xargs', 'fold', 'O3', 'O2', 0.4179666487358795, 0.0780942440032959]
['UO', 25, 'CO', 230, 'sdiff', 'pwd', 'O2', 'O2', 0.26092544987146526, 0.049088239669799805]
['UO', 9, 'CO', 87, 'strings', 'id', 'O1', 'O3', 0.8689286944540131, 1.386838436126709]
['UO', 19, 'CO', 111, 'cmp', 'fmt', 'O1', 'O1', 0.08704592186429061, 0.046715497970581055]
['CO', 387, 'BO', 44, 'mv', 'cmp', 'O0', 'O2', 0.6210103040965067, 0.25048112869262695]
['CO', 363, 'BO', 44, 'realpath', 'cmp', 'O0', 'O2', 0.17462165308498256, 0.0681302547454834]
['CO', 6, 'UO', 17, 'mkdir', 'objdump', 'O3', 'O1', 0.9014691262564896, 3.1104745864868164]
['CO', 133, 'BO', 23, 'nproc', 'git', 'O1', 'O2', 0.9756527875793931, 9.53476881980896]
['CO', 403, 'UO', 36, 'comm', 'addr2line', 'O0', 'O2', 0.8582999554962172, 1.4741597175598145]
['UO', 50, 'BO', 54, 'strings', 'lua', 'O3', 'O3', 0.2182259880310482, 2.2391786575317383]
['CO', 239, 'BO', 33, 'date', 'sort', 'O2', 'O2', 0.3035775127768314, 0.1481635570526123]
['CO', 158, 'UO', 67, 'true', 'strip', 'O1', 'O0', 0.9474426097462747, 3.926175117492676]
['BO', 53, 'UO', 80, 'bash', 'objdump', 'O0', 'O0', 0.08649054280271695, 20.997077703475952]
['BO', 16, 'CO', 154, 'make', 'dircolors', 'O0', 'O1', 0.7578767123287671, 0.3280153274536133]
['CO', 374, 'UO', 52, 'printf', 'ld', 'O0', 'O3', 0.900694898140999, 2.6167123317718506]
['CO', 107, 'BO', 82, 'unlink', 'cp', 'O1', 'O3', 0.5796324655436447, 0.10731196403503418]
['CO', 58, 'UO', 59, 'df', 'locate', 'O3', 'O3', 0.19606741573033704, 0.18691349029541016]
['CO', 376, 'UO', 1, 'tty', 'xargs', 'O0', 'O1', 0.37706559839759635, 0.0948328971862793]
['CO', 53, 'UO', 30, 'chmod', 'ranlib', 'O3', 'O2', 0.8191053580206455, 1.5867125988006592]
['BO', 18, 'CO', 314, 'libvlc.so.12.0.0', 'stat', 'O1', 'O0', 0.4906061101127267, 0.8129198551177979]
['UO', 56, 'CO', 50, 'elfedit', 'dircolors', 'O3', 'O3', 0.14147688060731545, 0.0378720760345459]
['CO', 410, 'BO', 9, 'sleep', 'git', 'O0', 'O0', 0.9738341918173093, 10.091995477676392]
