['UO', 39, 'CO', 328, 'size', 'dirname', 'O2', 'O0', 0.8868468468468469, 1.4987895488739014]
['CO', 331, 'BO', 70, 'dd', 'diff', 'O0', 'O3', 0.23809523809523814, 0.41458749771118164]
['CO', 342, 'UO', 29, 'expand', 'as', 'O0', 'O2', 0.9118419550074226, 5.142587900161743]
['UO', 37, 'CO', 35, 'ar', 'base32', 'O2', 'O3', 0.8803997967135355, 2.3348467350006104]
['BO', 76, 'CO', 145, 'openssl', 'echo', 'O2', 'O1', 0.9532480950535968, 9.976188659667969]
['UO', 4, 'CO', 47, 'strip', 'numfmt', 'O1', 'O3', 0.875026810609852, 1.72243070602417]
['UO', 56, 'CO', 305, 'elfedit', 'uniq', 'O3', 'O2', 0.13509749303621166, 0.03952193260192871]
['UO', 60, 'CO', 236, 'xargs', 'factor', 'O3', 'O2', 0.19964349376114088, 0.0903770923614502]
['CO', 237, 'UO', 86, 'nproc', 'xargs', 'O2', 'O0', 0.5152354570637119, 0.10712051391601562]
['UO', 68, 'BO', 1, 'readelf', 'ssh', 'O0', 'O2', 0.28715728715728717, 4.5668041706085205]
['UO', 8, 'CO', 380, 'c++filt', 'yes', 'O1', 'O0', 0.888596028817431, 1.287316083908081]
['BO', 53, 'CO', 380, 'bash', 'yes', 'O0', 'O0', 0.9547756616021115, 4.600917100906372]
['BO', 77, 'CO', 184, 'libSDL2-2.0.so.0.16.0', 'uname', 'O3', 'O1', 0.9485321100917431, 6.28406286239624]
['CO', 295, 'UO', 51, 'id', 'objcopy', 'O2', 'O3', 0.9004800731540045, 1.4339933395385742]
['CO', 241, 'UO', 65, 'chown', 'sdiff', 'O2', 'O3', 0.14670380687093776, 0.07177114486694336]
['CO', 106, 'BO', 58, 'stat', 'svn', 'O1', 'O1', 0.6234126404904393, 0.9327538013458252]
['UO', 68, 'CO', 231, 'readelf', 'pr', 'O0', 'O2', 0.7816408734365062, 0.7153422832489014]
['CO', 83, 'UO', 32, 'csplit', 'strings', 'O3', 'O2', 0.8225028501271595, 1.3706045150756836]
['CO', 395, 'BO', 81, 'csplit', 'sort', 'O0', 'O3', 0.2700208395355761, 0.1562788486480713]
['UO', 45, 'CO', 128, 'strip', 'tee', 'O3', 'O1', 0.8948488071721623, 1.3051226139068604]
['UO', 27, 'BO', 71, 'strip', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.34077743262530436, 29.95547127723694]
['BO', 9, 'CO', 144, 'git', 'sync', 'O0', 'O1', 0.9769704578445604, 8.306984186172485]
['UO', 52, 'CO', 229, 'ld', 'mktemp', 'O3', 'O2', 0.9121653919694073, 2.1277220249176025]
['BO', 12, 'CO', 106, 'libgeany.so.0.0.0', 'stat', 'O0', 'O1', 0.8792669573736481, 39.72901964187622]
['CO', 59, 'UO', 3, 'tsort', 'nm', 'O3', 'O1', 0.8769777476943904, 1.5524687767028809]
['BO', 43, 'CO', 351, 'diff', 'paste', 'O1', 'O0', 0.5103127079174984, 0.14997315406799316]
['CO', 121, 'UO', 7, 'stdbuf', 'ranlib', 'O1', 'O1', 0.8800487606663958, 1.7293851375579834]
['UO', 54, 'CO', 83, 'addr2line', 'csplit', 'O3', 'O3', 0.8194147037830122, 1.0902180671691895]
['CO', 217, 'BO', 45, 'du', 'diff', 'O2', 'O2', 0.12613981762917936, 0.22769975662231445]
['UO', 22, 'BO', 4, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9705700663678266, 44.74372601509094]
['UO', 13, 'CO', 373, 'addr2line', 'cksum', 'O1', 'O0', 0.881611873328156, 1.4162607192993164]
['UO', 43, 'CO', 17, 'find', 'stdbuf', 'O2', 'O3', 0.7419023136246786, 0.46393561363220215]
['UO', 77, 'CO', 213, 'ar', 'basename', 'O0', 'O2', 0.9448755991782698, 2.9564476013183594]
['BO', 40, 'UO', 43, 'lua', 'find', 'O0', 'O2', 0.3052053250686765, 2.0085644721984863]
['BO', 66, 'UO', 6, 'svn', 'as', 'O2', 'O1', 0.5147615113700595, 6.277396202087402]
['CO', 237, 'UO', 41, 'nproc', 'locate', 'O2', 'O2', 0.6195652173913043, 0.14523553848266602]
['CO', 358, 'UO', 19, 'whoami', 'cmp', 'O0', 'O1', 0.11477761836441891, 0.046909332275390625]
['CO', 335, 'UO', 10, 'pr', 'objcopy', 'O0', 'O1', 0.813191371681416, 2.452453851699829]
['UO', 25, 'CO', 311, 'sdiff', 'ln', 'O2', 'O2', 0.1685193419297466, 0.09077000617980957]
['BO', 39, 'CO', 25, 'codeblocks', 'chgrp', 'O3', 'O3', 0.9391086477868044, 14.873900175094604]
['CO', 239, 'BO', 51, 'date', 'lua', 'O2', 'O1', 0.7536649843787551, 0.7306110858917236]
['UO', 74, 'BO', 51, 'ld', 'lua', 'O0', 'O1', 0.5246794767233224, 8.153888463973999]
['UO', 51, 'CO', 63, 'objcopy', 'logname', 'O3', 'O3', 0.9117038399632099, 1.302445411682129]
['BO', 68, 'CO', 42, 'git', 'sum', 'O3', 'O3', 0.9693985226873022, 8.564170598983765]
['BO', 67, 'CO', 279, 'libSDL2-2.0.so.0.16.0', 'readlink', 'O1', 'O2', 0.9344531325417511, 6.999016523361206]
['UO', 31, 'CO', 169, 'c++filt', 'false', 'O2', 'O1', 0.9035120147874307, 1.1571199893951416]
['CO', 75, 'UO', 23, 'mv', 'cmp', 'O3', 'O2', 0.512762520193861, 0.12590527534484863]
['CO', 413, 'UO', 59, 'rmdir', 'locate', 'O0', 'O3', 0.49626998223801067, 0.1558091640472412]
['BO', 11, 'UO', 79, 'ssh', 'size', 'O1', 'O0', 0.11284540465086768, 11.231725215911865]
['BO', 73, 'CO', 11, 'cluster', 'groups', 'O1', 'O3', 0.6129032258064516, 0.15013575553894043]
['CO', 156, 'UO', 53, 'sha256sum', 'gprof', 'O1', 'O3', 0.8761077027948193, 1.3456470966339111]
['BO', 32, 'CO', 114, 'ruby', 'users', 'O2', 'O1', 0.9786418680701037, 20.039971590042114]
['CO', 317, 'UO', 72, 'basename', 'strings', 'O0', 'O0', 0.9223484848484849, 3.2156054973602295]
['UO', 75, 'CO', 77, 'gprof', 'env', 'O0', 'O3', 0.9268265225712035, 2.9385929107666016]
['BO', 1, 'CO', 359, 'ssh', 'numfmt', 'O2', 'O0', 0.8603338242513501, 2.1027162075042725]
['BO', 57, 'CO', 315, 'libvlccore.so.9.0.0', 'unlink', 'O3', 'O0', 0.9507385229540918, 5.763079643249512]
['UO', 24, 'CO', 70, 'diff', 'b2sum', 'O2', 'O3', 0.41723136495643753, 0.1312868595123291]
['UO', 27, 'BO', 30, 'strip', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.3272903852379411, 21.356043815612793]
['CO', 375, 'BO', 67, 'logname', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9398838334946757, 7.875867605209351]
['BO', 68, 'CO', 291, 'git', 'csplit', 'O3', 'O2', 0.9657876258094718, 8.640570402145386]
['BO', 31, 'UO', 27, 'bash', 'strip', 'O2', 'O2', 0.3106574717696513, 8.40121865272522]
['BO', 13, 'CO', 80, 'ruby', 'uname', 'O1', 'O3', 0.9820744201670407, 17.169884204864502]
['CO', 230, 'UO', 34, 'pwd', 'ld', 'O2', 'O2', 0.9304222648752399, 2.663778781890869]
['CO', 126, 'UO', 50, 'pwd', 'strings', 'O1', 'O3', 0.8763992968822277, 1.1989023685455322]
['UO', 60, 'CO', 249, 'xargs', 'echo', 'O3', 'O2', 0.4951786727169597, 0.07046294212341309]
['CO', 106, 'BO', 68, 'stat', 'git', 'O1', 'O3', 0.9500406331024341, 11.803741455078125]
['CO', 138, 'BO', 63, 'tail', 'cluster', 'O1', 'O0', 0.5657294832826748, 0.3425755500793457]
['CO', 307, 'UO', 43, 'sort', 'find', 'O2', 'O2', 0.4707145925819849, 0.7658624649047852]
['UO', 78, 'CO', 289, 'elfedit', 'cat', 'O0', 'O2', 0.22997032640949555, 0.041463613510131836]
['CO', 296, 'BO', 58, 'shred', 'svn', 'O2', 'O1', 0.6990528567063856, 0.8634946346282959]
['CO', 98, 'UO', 53, 'sleep', 'gprof', 'O3', 'O3', 0.8946734360209965, 1.2314865589141846]
['CO', 94, 'BO', 51, 'rm', 'lua', 'O3', 'O1', 0.7027184692567962, 0.731663703918457]
['BO', 22, 'CO', 16, 'perl', 'dirname', 'O0', 'O3', 0.9641966067864272, 4.798102855682373]
['CO', 332, 'BO', 68, 'mkfifo', 'git', 'O0', 'O3', 0.938227205415697, 12.495485067367554]
