['UO', 54, 'CO', 373, 'addr2line', 'cksum', 'O3', 'O0', 0.8739086481021965, 1.01167893409729]
['UO', 29, 'CO', 240, 'as', 'expr', 'O2', 'O2', 0.9100969766115231, 2.3211400508880615]
['CO', 385, 'UO', 3, 'hostid', 'nm', 'O0', 'O1', 0.8946109830045265, 3.253134250640869]
['CO', 74, 'UO', 18, 'unexpand', 'diff3', 'O3', 'O1', 0.2222222222222222, 0.06405425071716309]
['UO', 69, 'CO', 190, 'as', 'timeout', 'O0', 'O1', 0.9362568705761398, 4.911040544509888]
['CO', 289, 'UO', 66, 'cat', 'nm', 'O2', 'O0', 0.9375475118414128, 3.043823003768921]
['UO', 71, 'BO', 45, 'c++filt', 'diff', 'O0', 'O2', 0.7609561752988048, 3.2958292961120605]
['CO', 345, 'BO', 74, 'chown', 'dot', 'O0', 'O1', 0.7297297297297297, 0.05969667434692383]
['CO', 278, 'UO', 87, 'b2sum', 'find', 'O2', 'O0', 0.8000791243571146, 0.8830509185791016]
['CO', 409, 'UO', 54, 'uniq', 'addr2line', 'O0', 'O3', 0.8336330935251799, 1.295997142791748]
['CO', 80, 'BO', 26, 'uname', 'gvmap', 'O3', 'O3', 0.6620127981384526, 0.14145255088806152]
['UO', 54, 'CO', 88, 'addr2line', 'shred', 'O3', 'O3', 0.796493700995507, 1.0990614891052246]
['CO', 338, 'BO', 66, 'kill', 'svn', 'O0', 'O2', 0.765691699604743, 0.758326530456543]
['CO', 161, 'BO', 45, 'od', 'diff', 'O1', 'O2', 0.3698030634573304, 0.15205121040344238]
['CO', 228, 'UO', 78, 'mkfifo', 'elfedit', 'O2', 'O0', 0.25731895223420653, 0.035567283630371094]
['BO', 55, 'CO', 315, 'make', 'unlink', 'O1', 'O0', 0.7606804562149623, 0.28190040588378906]
['CO', 347, 'UO', 41, 'base32', 'locate', 'O0', 'O2', 0.4603588907014682, 0.1748809814453125]
['CO', 136, 'UO', 79, 'expr', 'size', 'O1', 'O0', 0.8966678277023105, 3.229090690612793]
['UO', 70, 'CO', 14, 'ranlib', 'stty', 'O0', 'O3', 0.9007637843563584, 2.992995500564575]
['BO', 79, 'CO', 53, 'bash', 'chmod', 'O3', 'O3', 0.9144294003868472, 3.259816884994507]
['UO', 17, 'CO', 176, 'objdump', 'head', 'O1', 'O1', 0.9135171187194309, 2.605888605117798]
['BO', 75, 'CO', 265, 'gvmap', 'od', 'O1', 'O2', 0.5221932114882507, 0.1706523895263672]
['BO', 41, 'CO', 23, 'libSDL2-2.0.so.0.16.0', 'pr', 'O2', 'O3', 0.8900033594087441, 7.0021021366119385]
['UO', 26, 'BO', 41, 'nm', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.33408064356598866, 21.57821774482727]
['BO', 47, 'CO', 194, 'libvlc.so.12.0.0', 'tr', 'O0', 'O1', 0.7520413264455924, 0.7728755474090576]
['UO', 45, 'CO', 18, 'strip', 'uptime', 'O3', 'O3', 0.8725225225225225, 1.3550620079040527]
['CO', 389, 'BO', 37, 'env', 'gvmap', 'O0', 'O2', 0.5803769401330376, 0.18398499488830566]
['BO', 67, 'CO', 118, 'libSDL2-2.0.so.0.16.0', 'stty', 'O1', 'O1', 0.9176076555023923, 6.965458631515503]
['UO', 71, 'CO', 256, 'c++filt', 'ls', 'O0', 'O2', 0.785765636232926, 3.353447914123535]
['BO', 24, 'UO', 72, 'cluster', 'strings', 'O3', 'O0', 0.7177154944473824, 4.791629076004028]
['BO', 63, 'CO', 285, 'cluster', 'env', 'O0', 'O2', 0.7751685148945423, 0.2289748191833496]
['BO', 67, 'CO', 10, 'libSDL2-2.0.so.0.16.0', 'users', 'O1', 'O3', 0.9350166562062473, 6.8735191822052]
