['BO', 71, 'CO', 408, 'libSDL2-2.0.so.0.16.0', 'fold', 'O0', 'O0', 0.937941473259334, 11.264090299606323]
['BO', 82, 'CO', 378, 'cp', 'runcon', 'O3', 'O0', 0.47042052744119744, 0.1212620735168457]
['BO', 37, 'CO', 193, 'gvmap', 'pathchk', 'O2', 'O1', 0.6672514619883041, 0.14970111846923828]
['CO', 169, 'UO', 76, 'false', 'addr2line', 'O1', 'O0', 0.9377385496183206, 3.027733564376831]
['CO', 8, 'BO', 58, 'dir', 'svn', 'O3', 'O1', 0.4518980759230369, 1.0047216415405273]
['BO', 14, 'CO', 53, 'cmp', 'chmod', 'O0', 'O3', 0.13704071499503478, 0.06401968002319336]
['UO', 22, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O0', 0.892426733726666, 42.14692831039429]
['CO', 187, 'UO', 25, 'csplit', 'sdiff', 'O1', 'O2', 0.08166409861325119, 0.06769967079162598]
['BO', 53, 'UO', 52, 'bash', 'ld', 'O0', 'O3', 0.27252620665821903, 11.878817081451416]
['CO', 231, 'BO', 49, 'pr', 'svn', 'O2', 'O0', 0.712890625, 0.9305171966552734]
['BO', 15, 'CO', 281, 'diff', 'hostid', 'O0', 'O2', 0.7106437221159975, 0.1696164608001709]
['UO', 7, 'BO', 37, 'ranlib', 'gvmap', 'O1', 'O2', 0.6052449007908978, 2.0111382007598877]
['CO', 160, 'UO', 43, 'cut', 'find', 'O1', 'O2', 0.751207729468599, 0.5485820770263672]
['BO', 22, 'CO', 41, 'perl', 'echo', 'O0', 'O3', 0.9645029476901962, 4.828282594680786]
['BO', 41, 'CO', 95, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O2', 'O3', 0.926241134751773, 7.056922912597656]
['BO', 9, 'UO', 41, 'git', 'locate', 'O0', 'O2', 0.9150609964656253, 9.967276096343994]
['UO', 0, 'BO', 36, 'locate', 'cluster', 'O1', 'O2', 0.10204901566894331, 0.33931493759155273]
['UO', 59, 'CO', 296, 'locate', 'shred', 'O3', 'O2', 0.36292935839274143, 0.15923619270324707]
['UO', 69, 'CO', 176, 'as', 'head', 'O0', 'O1', 0.9384030719290606, 5.0087103843688965]
['CO', 340, 'BO', 83, 'factor', 'lua', 'O0', 'O2', 0.6573552331854694, 0.7663061618804932]
['UO', 55, 'CO', 402, 'ar', 'tr', 'O3', 'O0', 0.8320094642555349, 1.2502429485321045]
['CO', 168, 'BO', 51, 'tty', 'lua', 'O1', 'O1', 0.8593451395082176, 0.6184389591217041]
['CO', 390, 'BO', 30, 'chcon', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.8764814529782977, 9.474610805511475]
['BO', 83, 'CO', 395, 'lua', 'csplit', 'O2', 'O0', 0.6984887578326576, 0.628551721572876]
['UO', 76, 'CO', 188, 'addr2line', 'vdir', 'O0', 'O1', 0.7748185340828467, 3.6165850162506104]
['CO', 280, 'UO', 49, 'head', 'c++filt', 'O2', 'O3', 0.8727763807394989, 1.1560192108154297]
['UO', 80, 'CO', 247, 'objdump', 'paste', 'O0', 'O2', 0.9576078728236185, 5.206082582473755]
['CO', 42, 'BO', 16, 'sum', 'make', 'O3', 'O0', 0.7366463826910075, 0.3651251792907715]
['BO', 5, 'CO', 393, 'libgeany.so.0.0.0', 'cat', 'O1', 'O0', 0.9704843993511657, 39.31329655647278]
['UO', 24, 'CO', 387, 'diff', 'mv', 'O2', 'O0', 0.1977839335180056, 0.4692108631134033]
['CO', 206, 'BO', 79, 'mknod', 'bash', 'O1', 'O3', 0.9510348905972797, 3.81947922706604]
