['UO', 81, 'CO', 212, 'diff3', 'test', 'O0', 'O2', 0.32734952481520585, 0.1397101879119873]
['CO', 149, 'BO', 0, 'split', 'codeblocks', 'O1', 'O1', 0.9495837426961063, 19.40848183631897]
['UO', 61, 'CO', 39, 'find', 'paste', 'O3', 'O3', 0.7642639957073869, 0.36234068870544434]
['CO', 342, 'UO', 11, 'expand', 'ld', 'O0', 'O1', 0.9107101549849641, 3.0438101291656494]
['BO', 26, 'CO', 138, 'gvmap', 'tail', 'O3', 'O1', 0.4297049342920902, 0.1949291229248047]
['UO', 0, 'BO', 14, 'locate', 'cmp', 'O1', 'O0', 0.4346201743462017, 0.17681217193603516]
['CO', 365, 'UO', 21, 'chmod', 'sdiff', 'O0', 'O1', 0.17964071856287422, 0.09988975524902344]
['CO', 282, 'BO', 34, 'unexpand', 'cp', 'O2', 'O2', 0.5347551342812006, 0.10845017433166504]
['UO', 76, 'CO', 343, 'addr2line', 'date', 'O0', 'O0', 0.8507802711014922, 3.035491704940796]
['BO', 18, 'CO', 378, 'libvlc.so.12.0.0', 'runcon', 'O1', 'O0', 0.723719165085389, 0.5654585361480713]
['BO', 79, 'CO', 3, 'bash', 'unlink', 'O3', 'O3', 0.9532680770445217, 3.003633975982666]
['CO', 347, 'UO', 39, 'base32', 'size', 'O0', 'O2', 0.8531233410015926, 1.4303233623504639]
['CO', 166, 'BO', 57, 'printf', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9399737980864663, 6.508468866348267]
['CO', 180, 'BO', 71, 'md5sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9399806389157793, 9.54927659034729]
['BO', 71, 'CO', 289, 'libSDL2-2.0.so.0.16.0', 'cat', 'O0', 'O2', 0.95470737913486, 8.241400480270386]
['BO', 70, 'CO', 128, 'diff', 'tee', 'O3', 'O1', 0.5310064384954253, 0.1143336296081543]
['UO', 62, 'CO', 221, 'diff3', 'printenv', 'O3', 'O2', 0.4082599864590386, 0.036650896072387695]
['BO', 17, 'CO', 70, 'codeblocks', 'b2sum', 'O2', 'O3', 0.9530378177309361, 13.665901899337769]
['CO', 90, 'BO', 4, 'tr', 'libgeany.so.0.0.0', 'O3', 'O2', 0.974918246182176, 42.51825761795044]
['UO', 16, 'CO', 409, 'size', 'uniq', 'O1', 'O0', 0.8437368020947715, 1.4664225578308105]
['CO', 313, 'UO', 82, 'touch', 'cmp', 'O0', 'O0', 0.17668655346489215, 0.1013641357421875]
['UO', 75, 'CO', 30, 'gprof', 'expand', 'O0', 'O3', 0.9213111073693664, 2.955822467803955]
['CO', 81, 'UO', 50, 'cat', 'strings', 'O3', 'O3', 0.8732797635540778, 1.1243832111358643]
['UO', 28, 'BO', 29, 'readelf', 'libvlc.so.12.0.0', 'O2', 'O2', 0.256087981146897, 1.2598989009857178]
['UO', 59, 'CO', 253, 'locate', 'split', 'O3', 'O2', 0.41416165664662663, 0.14979863166809082]
