['CO', 369, 'BO', 60, 'od', 'openssl', 'O0', 'O0', 0.9124048502467199, 18.87077260017395]
['CO', 25, 'UO', 3, 'chgrp', 'nm', 'O3', 'O1', 0.8046360309068727, 1.6972625255584717]
['CO', 118, 'UO', 31, 'stty', 'c++filt', 'O1', 'O2', 0.8456850972309347, 1.3839876651763916]
['CO', 188, 'BO', 82, 'vdir', 'cp', 'O1', 'O3', 0.10579710144927534, 0.23425507545471191]
['BO', 28, 'CO', 163, 'ruby', 'tsort', 'O0', 'O1', 0.9793157830886813, 17.4219069480896]
['UO', 76, 'CO', 216, 'addr2line', 'dir', 'O0', 'O2', 0.787096065069246, 3.374660015106201]
['BO', 54, 'CO', 363, 'lua', 'realpath', 'O3', 'O0', 0.7496103896103896, 0.4925520420074463]
['CO', 197, 'UO', 86, 'nl', 'xargs', 'O1', 'O0', 0.4058219178082192, 0.1255340576171875]
['UO', 53, 'CO', 11, 'gprof', 'groups', 'O3', 'O3', 0.8857485440219253, 1.1054267883300781]
['CO', 359, 'BO', 1, 'numfmt', 'ssh', 'O0', 'O2', 0.8603338242513501, 2.682952642440796]
['CO', 264, 'UO', 50, 'cut', 'strings', 'O2', 'O3', 0.882669637055602, 1.1383013725280762]
['UO', 87, 'CO', 381, 'find', 'who', 'O0', 'O0', 0.757435303205871, 0.8442826271057129]
['BO', 36, 'CO', 84, 'cluster', 'vdir', 'O2', 'O3', 0.14481897627965046, 0.2835118770599365]
['UO', 78, 'CO', 313, 'elfedit', 'touch', 'O0', 'O0', 0.24988009592326144, 0.09052491188049316]
['BO', 3, 'CO', 357, 'openssl', 'split', 'O1', 'O0', 0.8961147939917764, 11.11441707611084]
['BO', 66, 'CO', 354, 'svn', 'sum', 'O2', 'O0', 0.7328161365399535, 0.683025598526001]
['UO', 15, 'CO', 356, 'elfedit', 'seq', 'O1', 'O0', 0.1307106598984772, 0.052335262298583984]
['BO', 75, 'CO', 207, 'gvmap', 'ln', 'O1', 'O1', 0.3681988742964353, 0.23364686965942383]
['CO', 39, 'BO', 6, 'paste', 'codeblocks', 'O3', 'O0', 0.9747065814886346, 41.49878287315369]
['CO', 212, 'BO', 23, 'test', 'git', 'O2', 'O2', 0.9749559082892416, 9.224913120269775]
['BO', 14, 'CO', 390, 'cmp', 'chcon', 'O0', 'O0', 0.28111332007952283, 0.12906265258789062]
['CO', 408, 'UO', 29, 'fold', 'as', 'O0', 'O2', 0.9155606407322654, 2.6628668308258057]
['UO', 50, 'CO', 289, 'strings', 'cat', 'O3', 'O2', 0.8999531615925058, 1.040781021118164]
['CO', 329, 'UO', 87, 'stdbuf', 'find', 'O0', 'O0', 0.7807074794413262, 0.9908227920532227]
['UO', 40, 'CO', 111, 'objdump', 'fmt', 'O2', 'O1', 0.9196619783527232, 2.381287097930908]
['UO', 15, 'BO', 9, 'elfedit', 'git', 'O1', 'O0', 0.9703225806451613, 10.022342443466187]
['UO', 31, 'CO', 343, 'c++filt', 'date', 'O2', 'O0', 0.7739879414298019, 1.432065486907959]
['BO', 10, 'CO', 377, 'openssl', 'false', 'O3', 'O0', 0.9493801652892562, 10.417587518692017]
['CO', 186, 'BO', 56, 'shuf', 'libvlc.so.12.0.0', 'O1', 'O3', 0.6372566216453254, 0.7382471561431885]
['CO', 400, 'BO', 77, 'shred', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.884477174925691, 9.32824969291687]
['CO', 141, 'UO', 76, 'truncate', 'addr2line', 'O1', 'O0', 0.927164887307236, 3.2139289379119873]
['CO', 38, 'UO', 29, 'sha1sum', 'as', 'O3', 'O2', 0.9145748756361142, 2.533750057220459]
['CO', 247, 'BO', 22, 'paste', 'perl', 'O2', 'O0', 0.9667728436699768, 5.482762575149536]
['CO', 47, 'BO', 71, 'numfmt', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.9270066889632107, 10.000895023345947]
['BO', 33, 'CO', 108, 'sort', 'test', 'O2', 'O1', 0.4327463469464219, 0.1240687370300293]
