['BO', 31, 'CO', 199, 'bash', 'sha224sum', 'O2', 'O1', 0.9405000613823301, 4.868385314941406]
['CO', 274, 'UO', 57, 'runcon', 'size', 'O2', 'O3', 0.9181681681681682, 0.8469300270080566]
['BO', 56, 'UO', 70, 'libvlc.so.12.0.0', 'ranlib', 'O3', 'O0', 0.5718039739984325, 7.303004503250122]
['UO', 45, 'CO', 167, 'strip', 'logname', 'O3', 'O1', 0.9153674832962138, 1.284775972366333]
['BO', 21, 'CO', 47, 'cp', 'numfmt', 'O1', 'O3', 0.4044168391994478, 0.12152934074401855]
['CO', 295, 'UO', 63, 'id', 'cmp', 'O2', 'O3', 0.08315565031982941, 0.03871917724609375]
['UO', 53, 'BO', 37, 'gprof', 'gvmap', 'O3', 'O2', 0.5893475750577367, 1.574422836303711]
['BO', 46, 'CO', 329, 'ruby', 'stdbuf', 'O3', 'O0', 0.9744451712021417, 17.019441604614258]
['CO', 86, 'BO', 63, 'timeout', 'cluster', 'O3', 'O0', 0.6652412950519242, 0.28904294967651367]
['CO', 387, 'BO', 61, 'mv', 'git', 'O0', 'O1', 0.8797000895255148, 14.829805135726929]
['CO', 140, 'UO', 71, 'pinky', 'c++filt', 'O1', 'O0', 0.9112664376258737, 3.174708604812622]
['CO', 297, 'BO', 12, 'pathchk', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9086350866240049, 39.75534510612488]
['UO', 79, 'BO', 17, 'size', 'codeblocks', 'O0', 'O2', 0.4090287783072888, 45.61161208152771]
['CO', 162, 'BO', 68, 'df', 'git', 'O1', 'O3', 0.9446974374807039, 11.625179767608643]
['CO', 58, 'UO', 74, 'df', 'ld', 'O3', 'O0', 0.8823339780786589, 6.986762523651123]
['CO', 103, 'BO', 66, 'ln', 'svn', 'O3', 'O2', 0.594124358243012, 0.9362156391143799]
['BO', 9, 'UO', 54, 'git', 'addr2line', 'O0', 'O3', 0.6634536031426402, 14.227827310562134]
['BO', 57, 'CO', 81, 'libvlccore.so.9.0.0', 'cat', 'O3', 'O3', 0.9459330334036709, 5.835609436035156]
['BO', 22, 'UO', 23, 'perl', 'cmp', 'O0', 'O2', 0.9532316089815159, 5.025431156158447]
['UO', 62, 'CO', 356, 'diff3', 'seq', 'O3', 'O0', 0.13469827586206895, 0.06226015090942383]
['UO', 34, 'CO', 305, 'ld', 'uniq', 'O2', 'O2', 0.9141191863922922, 2.487258195877075]
['CO', 341, 'BO', 67, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9322148298139041, 8.133563995361328]
['UO', 79, 'CO', 207, 'size', 'ln', 'O0', 'O1', 0.8472237928304874, 3.4115123748779297]
['CO', 151, 'BO', 16, 'numfmt', 'make', 'O1', 'O0', 0.7164353786992141, 0.41722726821899414]
['CO', 13, 'BO', 13, 'printenv', 'ruby', 'O3', 'O1', 0.9828918828093972, 18.995136976242065]
['UO', 72, 'CO', 394, 'strings', 'shuf', 'O0', 'O0', 0.8498690055815014, 3.367643356323242]
['CO', 247, 'BO', 20, 'paste', 'sort', 'O2', 'O1', 0.5848614904408895, 0.1314857006072998]
['CO', 86, 'UO', 55, 'timeout', 'ar', 'O3', 'O3', 0.8580855257519925, 1.3680377006530762]
['UO', 58, 'CO', 87, 'objdump', 'id', 'O3', 'O3', 0.9124474396636139, 2.1221671104431152]
['UO', 57, 'CO', 175, 'size', 'readlink', 'O3', 'O1', 0.8595342066957787, 1.118117094039917]
['CO', 86, 'UO', 22, 'timeout', 'diff3', 'O3', 'O2', 0.11262798634812288, 0.05429983139038086]
['BO', 69, 'UO', 74, 'cmp', 'ld', 'O3', 'O0', 0.9374533388635421, 6.239358186721802]
['BO', 64, 'CO', 371, 'dot', 'tsort', 'O0', 'O0', 0.56312625250501, 0.02985095977783203]
['BO', 20, 'CO', 10, 'sort', 'users', 'O1', 'O3', 0.5090573012939001, 0.12535548210144043]
['CO', 306, 'BO', 49, 'sleep', 'svn', 'O2', 'O0', 0.8516060925953853, 0.7875797748565674]
['CO', 143, 'UO', 53, 'paste', 'gprof', 'O1', 'O3', 0.8912557979728569, 1.2838048934936523]
['BO', 26, 'CO', 386, 'gvmap', 'unexpand', 'O3', 'O0', 0.5685627919758175, 0.17537617683410645]
['CO', 212, 'BO', 44, 'test', 'cmp', 'O2', 'O2', 0.11270638908829866, 0.03913092613220215]
['CO', 4, 'UO', 9, 'test', 'strings', 'O3', 'O1', 0.871830257029498, 1.543623447418213]
['BO', 76, 'CO', 229, 'openssl', 'mktemp', 'O2', 'O2', 0.9372358140130652, 10.705838680267334]
['UO', 72, 'CO', 309, 'strings', 'rmdir', 'O0', 'O2', 0.9325281132861308, 2.9168245792388916]
