['CO', 221, 'UO', 12, 'printenv', 'gprof', 'O2', 'O1', 0.9277406582529077, 2.760706663131714]
['UO', 80, 'CO', 297, 'objdump', 'pathchk', 'O0', 'O2', 0.9608891726862753, 5.1759350299835205]
['UO', 23, 'CO', 324, 'cmp', 'ptx', 'O2', 'O0', 0.30038022813688214, 0.07991528511047363]
['UO', 75, 'CO', 214, 'gprof', 'mkdir', 'O0', 'O2', 0.9155055676794808, 2.960073471069336]
['CO', 67, 'BO', 64, 'nohup', 'dot', 'O3', 'O0', 0.5175438596491229, 0.01715874671936035]
['UO', 28, 'CO', 97, 'readelf', 'uniq', 'O2', 'O3', 0.7321051041981275, 0.3063647747039795]
['BO', 30, 'CO', 319, 'libvlccore.so.9.0.0', 'fmt', 'O2', 'O0', 0.9357732613528105, 5.90349817276001]
['UO', 9, 'CO', 310, 'strings', 'mknod', 'O1', 'O2', 0.9071974690218824, 1.2784340381622314]
['UO', 47, 'BO', 25, 'as', 'dot', 'O3', 'O3', 0.9729144095341279, 1.665022850036621]
['BO', 61, 'CO', 131, 'git', 'wc', 'O1', 'O1', 0.9677450846398656, 8.348037481307983]
['CO', 114, 'UO', 20, 'users', 'diff', 'O1', 'O1', 0.567138419054194, 0.14562487602233887]
['CO', 281, 'UO', 30, 'hostid', 'ranlib', 'O2', 'O2', 0.9214124978362472, 1.3172054290771484]
['CO', 336, 'UO', 25, 'tee', 'sdiff', 'O0', 'O2', 0.12414578587699321, 0.06273698806762695]
['CO', 367, 'BO', 80, 'cp', 'ssh', 'O0', 'O3', 0.6548095368594136, 3.5634069442749023]
['UO', 70, 'CO', 251, 'ranlib', 'chroot', 'O0', 'O2', 0.9255619563989608, 2.8949291706085205]
['CO', 160, 'BO', 30, 'cut', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9425589547482472, 6.726737022399902]
['BO', 39, 'CO', 216, 'codeblocks', 'dir', 'O3', 'O2', 0.9031296572280179, 15.134415626525879]
['CO', 205, 'BO', 66, 'rmdir', 'svn', 'O1', 'O2', 0.7894568178176574, 0.7304975986480713]
['UO', 70, 'CO', 168, 'ranlib', 'tty', 'O0', 'O1', 0.9372691630206261, 2.9336678981781006]
['CO', 157, 'BO', 39, 'chmod', 'codeblocks', 'O1', 'O3', 0.9448674992385013, 18.728984117507935]
['UO', 54, 'BO', 18, 'addr2line', 'libvlc.so.12.0.0', 'O3', 'O1', 0.3851378888737943, 2.6004271507263184]
['CO', 397, 'BO', 33, '[', 'sort', 'O0', 'O2', 0.3574724884629038, 0.14556360244750977]
['CO', 227, 'BO', 76, 'dd', 'openssl', 'O2', 'O2', 0.9060662073601076, 12.727355718612671]
['BO', 30, 'CO', 114, 'libvlccore.so.9.0.0', 'users', 'O2', 'O1', 0.9500159948816379, 5.88451623916626]
['CO', 315, 'UO', 40, 'unlink', 'objdump', 'O0', 'O2', 0.9280316242297407, 2.5597283840179443]
['UO', 40, 'BO', 4, 'objdump', 'libgeany.so.0.0.0', 'O2', 'O2', 0.5794737710536002, 177.1134853363037]
['CO', 386, 'BO', 56, 'unexpand', 'libvlc.so.12.0.0', 'O0', 'O3', 0.7117083946980854, 0.6731650829315186]
['UO', 25, 'CO', 285, 'sdiff', 'env', 'O2', 'O2', 0.3127930341594105, 0.04466414451599121]
['UO', 70, 'CO', 336, 'ranlib', 'tee', 'O0', 'O0', 0.912492286980423, 3.1383252143859863]
['BO', 46, 'CO', 295, 'ruby', 'id', 'O3', 'O2', 0.9800774933642493, 16.99502992630005]
['BO', 2, 'CO', 140, 'perl', 'pinky', 'O1', 'O1', 0.9605457227138643, 3.282459259033203]
['BO', 15, 'CO', 98, 'diff', 'sleep', 'O0', 'O3', 0.6298543689320388, 0.17723989486694336]
['CO', 219, 'BO', 50, 'groups', 'perl', 'O2', 'O2', 0.9667481367490419, 3.574498414993286]
['CO', 27, 'BO', 59, 'wc', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9725847748704178, 39.806400775909424]
['UO', 47, 'CO', 144, 'as', 'sync', 'O3', 'O1', 0.9308435438265787, 1.873807430267334]
['BO', 68, 'CO', 274, 'git', 'runcon', 'O3', 'O2', 0.9828437641411061, 8.306345701217651]
['BO', 43, 'UO', 26, 'diff', 'nm', 'O1', 'O2', 0.6488265819843544, 2.1165032386779785]
['UO', 63, 'CO', 223, 'cmp', 'join', 'O3', 'O2', 0.09139072847682117, 0.04336714744567871]
['UO', 16, 'CO', 133, 'size', 'nproc', 'O1', 'O1', 0.8923276983094929, 1.3639352321624756]
['CO', 339, 'BO', 51, 'wc', 'lua', 'O0', 'O1', 0.7642649903288201, 0.7776749134063721]
['UO', 14, 'BO', 38, 'ar', 'acyclic', 'O1', 'O2', 0.9566945783642054, 1.358994960784912]
