['CO', 92, 'UO', 18, 'sha512sum', 'diff3', 'O3', 'O1', 0.18242491657397109, 0.11165547370910645]
['BO', 17, 'CO', 330, 'codeblocks', 'uptime', 'O2', 'O0', 0.9521301316808676, 16.532044172286987]
['CO', 390, 'BO', 72, 'chcon', 'make', 'O0', 'O2', 0.49449512425290965, 0.46628475189208984]
['CO', 241, 'UO', 30, 'chown', 'ranlib', 'O2', 'O2', 0.8131329630839594, 1.6224281787872314]
['CO', 367, 'UO', 76, 'cp', 'addr2line', 'O0', 'O0', 0.6762052075277133, 5.610637426376343]
['CO', 240, 'BO', 33, 'expr', 'sort', 'O2', 'O2', 0.4173461823573017, 0.12042737007141113]
['UO', 41, 'CO', 311, 'locate', 'ln', 'O2', 'O2', 0.27537058152793614, 0.1968986988067627]
['BO', 72, 'CO', 244, 'make', 'pinky', 'O2', 'O2', 0.7573515812835213, 0.28463315963745117]
['CO', 221, 'UO', 18, 'printenv', 'diff3', 'O2', 'O1', 0.40448674371176074, 0.04285788536071777]
['UO', 11, 'CO', 223, 'ld', 'join', 'O1', 'O2', 0.9124797406807131, 2.6167633533477783]
['UO', 73, 'CO', 120, 'objcopy', 'dirname', 'O0', 'O1', 0.9448969331322272, 3.4079129695892334]
['BO', 31, 'CO', 239, 'bash', 'date', 'O2', 'O2', 0.9171214877703658, 3.642559289932251]
['UO', 17, 'CO', 131, 'objdump', 'wc', 'O1', 'O1', 0.9084257206208426, 2.6423816680908203]
['BO', 14, 'CO', 30, 'cmp', 'expand', 'O0', 'O3', 0.18707271597265385, 0.04789328575134277]
['CO', 226, 'BO', 11, 'uptime', 'ssh', 'O2', 'O1', 0.9086281656507258, 2.2891151905059814]
['CO', 65, 'UO', 24, 'false', 'diff', 'O3', 'O2', 0.6011687363038715, 0.11135649681091309]
['CO', 286, 'UO', 25, 'chcon', 'sdiff', 'O2', 'O2', 0.10972088546679504, 0.06917500495910645]
['UO', 71, 'CO', 238, 'c++filt', 'expand', 'O0', 'O2', 0.9309395571514063, 2.661292552947998]
['BO', 68, 'UO', 39, 'git', 'size', 'O3', 'O2', 0.6558828845111151, 14.20903730392456]
['UO', 43, 'CO', 193, 'find', 'pathchk', 'O2', 'O1', 0.7977329082536309, 0.44213151931762695]
['CO', 65, 'UO', 35, 'false', 'gprof', 'O3', 'O2', 0.9073620150452202, 1.341616153717041]
['BO', 19, 'CO', 156, 'libvlccore.so.9.0.0', 'sha256sum', 'O1', 'O1', 0.941944266495836, 6.159557104110718]
['CO', 140, 'UO', 36, 'pinky', 'addr2line', 'O1', 'O2', 0.8661065427243475, 1.411515712738037]
['BO', 15, 'CO', 175, 'diff', 'readlink', 'O0', 'O1', 0.5532407407407407, 0.20296454429626465]
['BO', 26, 'CO', 231, 'gvmap', 'pr', 'O3', 'O2', 0.4692089667611441, 0.1783895492553711]
['CO', 290, 'BO', 77, 'shuf', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.9159262099138514, 7.839476108551025]
['CO', 293, 'UO', 16, '[', 'size', 'O2', 'O1', 0.8817241379310344, 1.5107085704803467]
['CO', 277, 'UO', 20, 'who', 'diff', 'O2', 'O1', 0.5214477211796247, 0.15207409858703613]
['UO', 69, 'CO', 349, 'as', 'truncate', 'O0', 'O0', 0.9419393218322427, 4.979373216629028]
['CO', 110, 'UO', 39, 'mkdir', 'size', 'O1', 'O2', 0.8506671379340814, 1.4586107730865479]
['UO', 82, 'CO', 384, 'cmp', 'head', 'O0', 'O0', 0.061596143545795345, 0.07004094123840332]
['BO', 19, 'CO', 397, 'libvlccore.so.9.0.0', '[', 'O1', 'O0', 0.9280489743997455, 6.350813388824463]
['UO', 51, 'CO', 364, 'objcopy', 'sha256sum', 'O3', 'O0', 0.864951768488746, 1.4344103336334229]
['BO', 56, 'CO', 140, 'libvlc.so.12.0.0', 'pinky', 'O3', 'O1', 0.7237159280548859, 0.5484333038330078]
['CO', 114, 'BO', 50, 'users', 'perl', 'O1', 'O2', 0.9622482463798657, 3.9168813228607178]
['CO', 93, 'UO', 45, 'nl', 'strip', 'O3', 'O3', 0.8899749943168902, 1.47713303565979]
['CO', 146, 'BO', 9, 'sum', 'git', 'O1', 'O0', 0.9714017448456633, 9.519214391708374]
['CO', 309, 'UO', 14, 'rmdir', 'ar', 'O2', 'O1', 0.9065435965056865, 1.602165699005127]
['CO', 10, 'BO', 9, 'users', 'git', 'O3', 'O0', 0.9736022716146089, 9.271788120269775]
['BO', 1, 'CO', 39, 'ssh', 'paste', 'O2', 'O3', 0.9157083280677366, 1.8243541717529297]
['CO', 385, 'BO', 1, 'hostid', 'ssh', 'O0', 'O2', 0.9217749603803487, 2.2121822834014893]
['CO', 317, 'BO', 36, 'basename', 'cluster', 'O0', 'O2', 0.6084084084084084, 0.17384767532348633]
['CO', 20, 'UO', 31, 'mkfifo', 'c++filt', 'O3', 'O2', 0.8864260853636197, 1.2617249488830566]
['CO', 121, 'BO', 82, 'stdbuf', 'cp', 'O1', 'O3', 0.4730453409496609, 0.11992359161376953]
['UO', 11, 'BO', 19, 'ld', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.21307856459564867, 22.481571197509766]
['CO', 365, 'BO', 37, 'chmod', 'gvmap', 'O0', 'O2', 0.3639406982305118, 0.24890828132629395]
['CO', 30, 'BO', 14, 'expand', 'cmp', 'O3', 'O0', 0.18707271597265385, 0.0494534969329834]
['UO', 82, 'BO', 3, 'cmp', 'openssl', 'O0', 'O1', 0.9227365554799183, 12.76086711883545]
['CO', 350, 'BO', 21, 'sha1sum', 'cp', 'O0', 'O1', 0.3979310344827587, 0.15613603591918945]
['CO', 233, 'BO', 49, 'chgrp', 'svn', 'O2', 'O0', 0.6947281258625448, 0.9463198184967041]
['BO', 82, 'UO', 1, 'cp', 'xargs', 'O3', 'O1', 0.2168850072780204, 0.1809854507446289]
['CO', 268, 'UO', 45, 'base64', 'strip', 'O2', 'O3', 0.9116970718994328, 1.4832103252410889]
['UO', 36, 'BO', 59, 'addr2line', 'libgeany.so.0.0.0', 'O2', 'O3', 0.7165174629481206, 133.98345255851746]
['CO', 280, 'UO', 0, 'head', 'locate', 'O2', 'O1', 0.5426849681955139, 0.16194748878479004]
['CO', 363, 'BO', 57, 'realpath', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.924237054538295, 7.649510622024536]
['CO', 182, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.8811460436496491, 47.30857300758362]
['BO', 27, 'CO', 374, 'perl', 'printf', 'O3', 'O0', 0.9511667980957388, 3.1951193809509277]
['CO', 335, 'UO', 61, 'pr', 'find', 'O0', 'O3', 0.5699713101689512, 0.5841727256774902]
['CO', 89, 'BO', 0, 'pathchk', 'codeblocks', 'O3', 'O1', 0.9649781113195748, 15.751159191131592]
['UO', 60, 'CO', 132, 'xargs', 'factor', 'O3', 'O1', 0.17211703958691915, 0.10463976860046387]
['CO', 125, 'BO', 59, 'mktemp', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9742800443770802, 42.199875593185425]
['BO', 58, 'CO', 64, 'svn', 'tty', 'O1', 'O3', 0.8132942326490714, 0.5958878993988037]
['UO', 53, 'BO', 64, 'gprof', 'dot', 'O3', 'O0', 0.9601175109053681, 1.038029432296753]
['BO', 47, 'CO', 244, 'libvlc.so.12.0.0', 'pinky', 'O0', 'O2', 0.7789081044421838, 0.7761538028717041]
['CO', 137, 'BO', 32, 'chown', 'ruby', 'O1', 'O2', 0.9588244220749659, 26.475640535354614]
['UO', 54, 'CO', 193, 'addr2line', 'pathchk', 'O3', 'O1', 0.8935735512630015, 1.0597736835479736]
['BO', 60, 'CO', 254, 'openssl', 'whoami', 'O0', 'O2', 0.9633993088281495, 12.115288496017456]
['BO', 74, 'CO', 266, 'dot', 'df', 'O1', 'O2', 0.7160883280757098, 0.04971575736999512]
['UO', 9, 'CO', 161, 'strings', 'od', 'O1', 'O1', 0.8298482293423272, 1.4623079299926758]
