['UO', 6, 'BO', 59, 'as', 'libgeany.so.0.0.0', 'O1', 'O3', 0.5683087231666459, 164.18953371047974]
['BO', 66, 'UO', 36, 'svn', 'addr2line', 'O2', 'O2', 0.31681438022718766, 3.766876459121704]
['BO', 34, 'CO', 196, 'cp', 'sha512sum', 'O2', 'O1', 0.45842696629213475, 0.11960077285766602]
['BO', 53, 'CO', 111, 'bash', 'fmt', 'O0', 'O1', 0.9506014662965335, 4.963812589645386]
['UO', 43, 'CO', 410, 'find', 'sleep', 'O2', 'O0', 0.7679846716599895, 0.4865083694458008]
['UO', 78, 'CO', 189, 'elfedit', '[', 'O0', 'O1', 0.10536044362292052, 0.049721717834472656]
['UO', 63, 'CO', 369, 'cmp', 'od', 'O3', 'O0', 0.23538704581358605, 0.07209515571594238]
['CO', 114, 'BO', 51, 'users', 'lua', 'O1', 'O1', 0.8417465926299849, 0.630434513092041]
['BO', 64, 'CO', 352, 'dot', 'sync', 'O0', 'O0', 0.5157657657657657, 0.025320768356323242]
['UO', 38, 'BO', 36, 'elfedit', 'cluster', 'O2', 'O2', 0.5646576945582212, 0.16907978057861328]
['BO', 25, 'CO', 234, 'dot', 'kill', 'O3', 'O2', 0.4418604651162791, 0.017627239227294922]
['CO', 398, 'UO', 87, 'timeout', 'find', 'O0', 'O0', 0.7584428976540345, 1.0439543724060059]
['CO', 140, 'BO', 71, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9370455978146669, 9.898605823516846]
['UO', 37, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O2', 'O1', 0.6926376178117744, 144.8080756664276]
['UO', 32, 'BO', 13, 'strings', 'ruby', 'O2', 'O1', 0.7240225244368891, 58.04379653930664]
['BO', 56, 'CO', 152, 'libvlc.so.12.0.0', 'ls', 'O3', 'O1', 0.4268710013390864, 0.8316977024078369]
['CO', 209, 'UO', 22, 'touch', 'diff3', 'O2', 'O2', 0.09222050489438438, 0.06873059272766113]
['CO', 326, 'BO', 76, 'stty', 'openssl', 'O0', 'O2', 0.9174238262265985, 12.909738540649414]
['UO', 5, 'CO', 33, 'readelf', 'chown', 'O1', 'O3', 0.658624514697726, 0.4143941402435303]
['BO', 59, 'CO', 61, 'libgeany.so.0.0.0', 'cksum', 'O3', 'O3', 0.9801589167332738, 33.5225772857666]
['CO', 215, 'UO', 68, 'fmt', 'readelf', 'O2', 'O0', 0.8677630847871985, 0.7600762844085693]
['CO', 345, 'BO', 34, 'chown', 'cp', 'O0', 'O2', 0.15459651197162283, 0.19307184219360352]
['BO', 42, 'CO', 136, 'cmp', 'expr', 'O1', 'O1', 0.10265700483091789, 0.0533452033996582]
['BO', 54, 'CO', 260, 'lua', 'sha256sum', 'O3', 'O2', 0.8267118644067797, 0.40679407119750977]
['UO', 2, 'CO', 102, 'find', 'mknod', 'O1', 'O3', 0.7759946506185222, 0.4656236171722412]
['BO', 22, 'CO', 362, 'perl', 'dircolors', 'O0', 'O0', 0.9514160004957551, 4.949269533157349]
['BO', 12, 'CO', 308, 'libgeany.so.0.0.0', 'tac', 'O0', 'O2', 0.9027696736297507, 37.10460591316223]
['BO', 80, 'UO', 61, 'ssh', 'find', 'O3', 'O3', 0.5081672411209351, 2.924558639526367]
['BO', 15, 'CO', 403, 'diff', 'comm', 'O0', 'O0', 0.542528735632184, 0.2112562656402588]
['CO', 109, 'UO', 10, 'basename', 'objcopy', 'O1', 'O1', 0.9164048227986847, 1.8993167877197266]
['CO', 354, 'BO', 55, 'sum', 'make', 'O0', 'O1', 0.6816838995568686, 0.36358642578125]
['BO', 39, 'CO', 217, 'codeblocks', 'du', 'O3', 'O2', 0.9122491764001198, 15.46760368347168]
['UO', 17, 'CO', 381, 'objdump', 'who', 'O1', 'O0', 0.8958149779735682, 2.736644744873047]
['CO', 45, 'BO', 15, 'split', 'diff', 'O3', 'O0', 0.43582958454617626, 0.24008607864379883]
['BO', 53, 'UO', 47, 'bash', 'as', 'O0', 'O3', 0.2602927408489941, 11.114433526992798]
['CO', 68, 'UO', 21, 'yes', 'sdiff', 'O3', 'O1', 0.29811320754716975, 0.043854713439941406]
['UO', 75, 'CO', 294, 'gprof', 'timeout', 'O0', 'O2', 0.919802590993214, 2.9806792736053467]
['CO', 168, 'UO', 49, 'tty', 'c++filt', 'O1', 'O3', 0.8959079766170093, 1.0993356704711914]
['BO', 79, 'CO', 400, 'bash', 'shred', 'O3', 'O0', 0.9000230361667818, 3.6679768562316895]
['CO', 370, 'BO', 52, 'df', 'svn', 'O0', 'O3', 0.5406608226567768, 0.9805054664611816]
['BO', 17, 'CO', 93, 'codeblocks', 'nl', 'O2', 'O3', 0.9622631715546327, 14.017532587051392]
['UO', 48, 'CO', 110, 'ranlib', 'mkdir', 'O3', 'O1', 0.8553701326486949, 1.1795074939727783]
['CO', 209, 'BO', 2, 'touch', 'perl', 'O2', 'O1', 0.9470586696659778, 4.227410793304443]
['UO', 77, 'CO', 75, 'ar', 'mv', 'O0', 'O3', 0.7611185636157259, 3.5730483531951904]
['BO', 34, 'CO', 329, 'cp', 'stdbuf', 'O2', 'O0', 0.39920948616600793, 0.1312422752380371]
['BO', 8, 'CO', 333, 'cp', 'mktemp', 'O0', 'O0', 0.53759765625, 0.28307533264160156]
['CO', 196, 'UO', 44, 'sha512sum', 'nm', 'O1', 'O3', 0.8690561959654178, 1.253434419631958]
['UO', 3, 'CO', 203, 'nm', 'sort', 'O1', 'O1', 0.6941248190200412, 1.8508961200714111]
['BO', 0, 'CO', 95, 'codeblocks', 'sha224sum', 'O1', 'O3', 0.9607363877476728, 13.63480520248413]
['CO', 360, 'UO', 79, 'ls', 'size', 'O0', 'O0', 0.7073578595317725, 5.6054840087890625]
['BO', 68, 'UO', 72, 'git', 'strings', 'O3', 'O0', 0.5125392084765349, 19.504493713378906]
['CO', 157, 'UO', 15, 'chmod', 'elfedit', 'O1', 'O1', 0.21192411924119248, 0.06100869178771973]
['BO', 52, 'CO', 166, 'svn', 'printf', 'O3', 'O1', 0.7641568139390168, 0.603147029876709]
