['UO', 11, 'CO', 66, 'ld', 'runcon', 'O1', 'O3', 0.9346527696451575, 3.2336018085479736]
['CO', 269, 'UO', 42, 'cksum', 'xargs', 'O2', 'O2', 0.45251396648044695, 0.16252589225769043]
['CO', 62, 'BO', 10, 'printf', 'openssl', 'O3', 'O3', 0.9315050966008445, 13.491339206695557]
['CO', 382, 'BO', 73, 'b2sum', 'cluster', 'O0', 'O1', 0.4440357330530741, 0.21807193756103516]
['CO', 408, 'BO', 17, 'fold', 'codeblocks', 'O0', 'O2', 0.9617031213512882, 17.214699506759644]
['CO', 408, 'BO', 21, 'fold', 'cp', 'O0', 'O1', 0.4670528602461984, 0.14050030708312988]
['CO', 323, 'UO', 24, 'groups', 'diff', 'O0', 'O2', 0.49488054607508536, 0.14368486404418945]
['BO', 25, 'CO', 199, 'dot', 'sha224sum', 'O3', 'O1', 0.542016806722689, 0.02460646629333496]
['CO', 285, 'UO', 81, 'env', 'diff3', 'O2', 'O0', 0.4187358916478555, 0.06501054763793945]
['BO', 71, 'CO', 346, 'libSDL2-2.0.so.0.16.0', 'tail', 'O0', 'O0', 0.8704860829343504, 9.66823124885559]
['CO', 397, 'BO', 81, '[', 'sort', 'O0', 'O3', 0.40309312273774267, 0.13871145248413086]
['CO', 83, 'BO', 53, 'csplit', 'bash', 'O3', 'O0', 0.9287046486258226, 5.706144094467163]
['UO', 26, 'CO', 371, 'nm', 'tsort', 'O2', 'O0', 0.864388961892247, 1.2841527462005615]
['UO', 18, 'CO', 5, 'diff3', 'basename', 'O1', 'O3', 0.27828746177370034, 0.04562187194824219]
['UO', 37, 'CO', 257, 'ar', 'nice', 'O2', 'O2', 0.9157749395926821, 1.2598323822021484]
['BO', 20, 'UO', 73, 'sort', 'objcopy', 'O1', 'O0', 0.8124736817479998, 5.328925371170044]
['CO', 42, 'UO', 3, 'sum', 'nm', 'O3', 'O1', 0.8682947368421052, 1.568408727645874]
