['CO', 317, 'BO', 23, 'basename', 'git', 'O0', 'O2', 0.9742981957803593, 11.811360836029053]
['UO', 32, 'CO', 269, 'strings', 'cksum', 'O2', 'O2', 0.9095754456901305, 1.1402256488800049]
['CO', 75, 'BO', 31, 'mv', 'bash', 'O3', 'O2', 0.8202756132202219, 5.496483325958252]
['BO', 47, 'CO', 56, 'libvlc.so.12.0.0', 'cut', 'O0', 'O3', 0.7504165278240587, 0.7298064231872559]
['BO', 6, 'UO', 60, 'codeblocks', 'xargs', 'O0', 'O3', 0.9512257780387552, 40.47724890708923]
['CO', 367, 'BO', 79, 'cp', 'bash', 'O0', 'O3', 0.7742085827985516, 6.710265159606934]
['BO', 61, 'CO', 188, 'git', 'vdir', 'O1', 'O1', 0.9208279332164366, 9.440129041671753]
['BO', 19, 'CO', 195, 'libvlccore.so.9.0.0', 'comm', 'O1', 'O1', 0.9431112535555467, 6.101083040237427]
['UO', 46, 'CO', 127, 'readelf', 'pr', 'O3', 'O1', 0.6742987979393246, 0.35410523414611816]
['BO', 0, 'CO', 407, 'codeblocks', 'sha224sum', 'O1', 'O0', 0.9532197067813293, 13.741862297058105]
['BO', 80, 'CO', 261, 'ssh', 'chmod', 'O3', 'O2', 0.8762117822520508, 1.7263264656066895]
['BO', 23, 'CO', 334, 'git', 'pwd', 'O2', 'O0', 0.969667950045928, 8.463977336883545]
['UO', 42, 'BO', 41, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.8763102725366876, 8.982844829559326]
['BO', 47, 'CO', 122, 'libvlc.so.12.0.0', 'uptime', 'O0', 'O1', 0.7309787093579798, 0.7962043285369873]
['UO', 47, 'CO', 195, 'as', 'comm', 'O3', 'O1', 0.9167300157885504, 1.8858351707458496]
['CO', 48, 'UO', 62, 'ls', 'diff3', 'O3', 'O3', 0.34468621885840434, 0.13360357284545898]
['CO', 409, 'BO', 67, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9117534821598932, 8.291956663131714]
['CO', 405, 'BO', 38, 'nl', 'acyclic', 'O0', 'O2', 0.5451197053406999, 0.03197193145751953]
['BO', 16, 'CO', 189, 'make', '[', 'O0', 'O1', 0.7277011107371255, 0.32297229766845703]
['CO', 357, 'UO', 73, 'split', 'objcopy', 'O0', 'O0', 0.8796890184645286, 4.490007400512695]
['BO', 1, 'CO', 234, 'ssh', 'kill', 'O2', 'O2', 0.9300948621633667, 1.7963495254516602]
['CO', 168, 'UO', 13, 'tty', 'addr2line', 'O1', 'O1', 0.9036228721082497, 1.4899115562438965]
['CO', 241, 'BO', 7, 'chown', 'sort', 'O2', 'O0', 0.4062334918119388, 0.26393938064575195]
['UO', 44, 'CO', 359, 'nm', 'numfmt', 'O3', 'O0', 0.8023447676943117, 1.2850384712219238]
['BO', 70, 'UO', 51, 'diff', 'objcopy', 'O3', 'O3', 0.6939371308303347, 2.1950876712799072]
['CO', 300, 'BO', 14, 'sha512sum', 'cmp', 'O2', 'O0', 0.1803490627020039, 0.05837583541870117]
['BO', 12, 'CO', 325, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O0', 0.904288244797851, 37.48944592475891]
['CO', 256, 'BO', 4, 'ls', 'libgeany.so.0.0.0', 'O2', 'O2', 0.93920877887583, 55.59497928619385]
['UO', 39, 'CO', 353, 'size', 'echo', 'O2', 'O0', 0.8900821225521163, 1.2313737869262695]
['UO', 21, 'CO', 295, 'sdiff', 'id', 'O1', 'O2', 0.21618357487922701, 0.053415536880493164]
['BO', 45, 'CO', 45, 'diff', 'split', 'O2', 'O3', 0.35159817351598166, 0.14655065536499023]
['BO', 64, 'CO', 57, 'dot', 'od', 'O0', 'O3', 0.6585365853658537, 0.028380632400512695]
['CO', 340, 'UO', 27, 'factor', 'strip', 'O0', 'O2', 0.7975347123831114, 2.228994131088257]
['CO', 6, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.893782182817763, 41.91183638572693]
['CO', 404, 'UO', 75, 'sha512sum', 'gprof', 'O0', 'O0', 0.8997724624007991, 3.591703176498413]
['UO', 31, 'BO', 38, 'c++filt', 'acyclic', 'O2', 'O2', 0.9514875876444949, 1.0714075565338135]
['BO', 44, 'CO', 106, 'cmp', 'stat', 'O2', 'O1', 0.28019559902200486, 0.08102059364318848]
['UO', 51, 'CO', 178, 'objcopy', 'unexpand', 'O3', 'O1', 0.8958570885594831, 1.3415887355804443]
['CO', 94, 'UO', 48, 'rm', 'ranlib', 'O3', 'O3', 0.7898299488195476, 1.4040968418121338]
['CO', 21, 'BO', 73, 'mktemp', 'cluster', 'O3', 'O1', 0.5235457063711911, 0.17926859855651855]
['BO', 15, 'CO', 89, 'diff', 'pathchk', 'O0', 'O3', 0.603812928209711, 0.17842411994934082]
['CO', 378, 'UO', 51, 'runcon', 'objcopy', 'O0', 'O3', 0.8875350034057368, 1.612633466720581]
['UO', 5, 'CO', 57, 'readelf', 'od', 'O1', 'O3', 0.6930917327293318, 0.39482975006103516]
['CO', 132, 'UO', 67, 'factor', 'strip', 'O1', 'O0', 0.9009336609336609, 4.1915130615234375]
['UO', 35, 'CO', 248, 'gprof', 'sync', 'O2', 'O2', 0.9161076674874756, 1.2635858058929443]
['CO', 140, 'UO', 19, 'pinky', 'cmp', 'O1', 'O1', 0.08454425363276086, 0.05125093460083008]
['BO', 42, 'CO', 142, 'cmp', 'sha1sum', 'O1', 'O1', 0.08024275118004043, 0.047532081604003906]
['UO', 59, 'CO', 182, 'locate', 'chcon', 'O3', 'O1', 0.2656483977238695, 0.17756342887878418]
['BO', 68, 'UO', 63, 'git', 'cmp', 'O3', 'O3', 0.9705152018770163, 8.578324317932129]
['BO', 78, 'CO', 233, 'ssh', 'chgrp', 'O0', 'O2', 0.8903784318575315, 2.8919260501861572]
['CO', 396, 'UO', 80, 'vdir', 'objdump', 'O0', 'O0', 0.7953083893598363, 9.284948110580444]
['UO', 29, 'BO', 76, 'as', 'openssl', 'O2', 'O2', 0.3414324845287613, 33.02423691749573]
['CO', 38, 'UO', 40, 'sha1sum', 'objdump', 'O3', 'O2', 0.9137911136757069, 2.58140230178833]
['BO', 50, 'CO', 250, 'perl', 'sum', 'O2', 'O2', 0.9617167278637212, 3.1491668224334717]
['BO', 72, 'CO', 287, 'make', 'link', 'O2', 'O2', 0.8248511618974458, 0.25862884521484375]
['CO', 355, 'BO', 26, 'chroot', 'gvmap', 'O0', 'O3', 0.5368874528809908, 0.18587279319763184]
['UO', 68, 'CO', 332, 'readelf', 'mkfifo', 'O0', 'O0', 0.6791208791208792, 0.8941147327423096]
['CO', 179, 'BO', 8, 'mv', 'cp', 'O1', 'O0', 0.14606334841628965, 0.4490468502044678]
['UO', 45, 'CO', 363, 'strip', 'realpath', 'O3', 'O0', 0.8564835492035134, 1.4628822803497314]
['BO', 57, 'CO', 74, 'libvlccore.so.9.0.0', 'unexpand', 'O3', 'O3', 0.9437639198218263, 5.585866212844849]
['CO', 169, 'UO', 31, 'false', 'c++filt', 'O1', 'O2', 0.9035120147874307, 1.2715706825256348]
['CO', 124, 'BO', 51, 'mkfifo', 'lua', 'O1', 'O1', 0.8534417068834138, 0.6118035316467285]
['BO', 79, 'CO', 210, 'bash', 'stat', 'O3', 'O2', 0.905950317735413, 3.594468593597412]
['UO', 55, 'CO', 278, 'ar', 'b2sum', 'O3', 'O2', 0.8686433373556284, 1.1485896110534668]
['BO', 26, 'CO', 10, 'gvmap', 'users', 'O3', 'O3', 0.6209929078014185, 0.14369511604309082]
['BO', 31, 'CO', 138, 'bash', 'tail', 'O2', 'O1', 0.9050297284268038, 3.863640785217285]
['CO', 35, 'UO', 17, 'base32', 'objdump', 'O3', 'O1', 0.9212053571428571, 2.8922436237335205]
['BO', 60, 'CO', 64, 'openssl', 'tty', 'O0', 'O3', 0.9548013762902722, 11.661274433135986]
['BO', 30, 'CO', 35, 'libvlccore.so.9.0.0', 'base32', 'O2', 'O3', 0.9441942041694902, 6.22563099861145]
['UO', 6, 'CO', 146, 'as', 'sum', 'O1', 'O1', 0.9194357194026561, 2.5035696029663086]
['CO', 126, 'UO', 60, 'pwd', 'xargs', 'O1', 'O3', 0.33669354838709675, 0.08748531341552734]
['CO', 141, 'BO', 46, 'truncate', 'ruby', 'O1', 'O3', 0.9812562008700297, 18.827175855636597]
['CO', 339, 'UO', 21, 'wc', 'sdiff', 'O0', 'O1', 0.09807886754297268, 0.08387112617492676]
['UO', 65, 'CO', 349, 'sdiff', 'truncate', 'O3', 'O0', 0.1676234213547646, 0.059844970703125]
['CO', 199, 'UO', 68, 'sha224sum', 'readelf', 'O1', 'O0', 0.8407622385280911, 0.813772439956665]
['CO', 53, 'BO', 4, 'chmod', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9650608118780604, 44.113104581832886]
['CO', 273, 'BO', 62, 'false', 'bash', 'O2', 'O1', 0.9640096312254467, 3.704261064529419]
