['CO', 327, 'BO', 11, 'join', 'ssh', 'O0', 'O1', 0.8786416774911857, 5.000754356384277]
['UO', 43, 'CO', 361, 'find', 'nice', 'O2', 'O0', 0.7661388550548112, 0.4793834686279297]
['CO', 371, 'UO', 49, 'tsort', 'c++filt', 'O0', 'O3', 0.8570373106760251, 1.2287025451660156]
['UO', 50, 'CO', 370, 'strings', 'df', 'O3', 'O0', 0.7065455157327949, 1.3441228866577148]
['UO', 84, 'CO', 64, 'sdiff', 'tty', 'O0', 'O3', 0.3604980192416525, 0.05498528480529785]
['CO', 126, 'BO', 67, 'pwd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9354807553001401, 7.6089417934417725]
['CO', 148, 'UO', 29, 'seq', 'as', 'O1', 'O2', 0.9165474214412455, 2.498166561126709]
['UO', 50, 'CO', 57, 'strings', 'od', 'O3', 'O3', 0.806216047733547, 1.2919704914093018]
['CO', 295, 'BO', 3, 'id', 'openssl', 'O2', 'O1', 0.9438255408834788, 11.516946077346802]
['BO', 41, 'CO', 73, 'libSDL2-2.0.so.0.16.0', 'hostid', 'O2', 'O3', 0.9434437151458323, 6.7084736824035645]
['BO', 55, 'CO', 37, 'make', 'truncate', 'O1', 'O3', 0.7513928914505283, 0.26230859756469727]
['CO', 402, 'UO', 76, 'tr', 'addr2line', 'O0', 'O0', 0.8846867749419953, 3.34130859375]
['BO', 27, 'CO', 364, 'perl', 'sha256sum', 'O3', 'O0', 0.9473561476126625, 3.111710548400879]
['CO', 325, 'BO', 37, 'printenv', 'gvmap', 'O0', 'O2', 0.650839606253619, 0.1718122959136963]
['CO', 111, 'UO', 60, 'fmt', 'xargs', 'O1', 'O3', 0.3174129353233831, 0.08598709106445312]
['CO', 342, 'UO', 71, 'expand', 'c++filt', 'O0', 'O0', 0.9086660751257024, 3.1338133811950684]
['UO', 1, 'CO', 367, 'xargs', 'cp', 'O1', 'O0', 0.39703605397036057, 0.36931872367858887]
['CO', 0, 'UO', 18, 'sha384sum', 'diff3', 'O3', 'O1', 0.18242491657397109, 0.0571291446685791]
['UO', 86, 'CO', 364, 'xargs', 'sha256sum', 'O0', 'O0', 0.2940251572327044, 0.1405346393585205]
['BO', 71, 'CO', 391, 'libSDL2-2.0.so.0.16.0', 'link', 'O0', 'O0', 0.9476864567927319, 8.664023876190186]
['CO', 139, 'UO', 80, 'base32', 'objdump', 'O1', 'O0', 0.9454387076338295, 5.789840459823608]
['CO', 267, 'BO', 21, 'tsort', 'cp', 'O2', 'O1', 0.5479923518164436, 0.12349629402160645]
['UO', 56, 'BO', 72, 'elfedit', 'make', 'O3', 'O2', 0.7387008234217749, 0.334397554397583]
['CO', 28, 'UO', 75, 'factor', 'gprof', 'O3', 'O0', 0.8877247160030881, 3.4328079223632812]
['UO', 73, 'CO', 301, 'objcopy', 'nl', 'O0', 'O2', 0.9403119827456488, 3.4969935417175293]
['CO', 149, 'UO', 7, 'split', 'ranlib', 'O1', 'O1', 0.8445224047201403, 1.807727336883545]
['CO', 54, 'UO', 3, 'true', 'nm', 'O3', 'O1', 0.9058419243986254, 1.475785255432129]
['UO', 82, 'CO', 412, 'cmp', 'tac', 'O0', 'O0', 0.053620784964068524, 0.07406497001647949]
['BO', 51, 'CO', 151, 'lua', 'numfmt', 'O1', 'O1', 0.7917740945365255, 0.5839371681213379]
['UO', 64, 'CO', 247, 'diff', 'paste', 'O3', 'O2', 0.6202078108204945, 0.10019731521606445]
['BO', 39, 'CO', 21, 'codeblocks', 'mktemp', 'O3', 'O3', 0.9557393368558083, 14.496475458145142]
['UO', 79, 'BO', 46, 'size', 'ruby', 'O0', 'O3', 0.597838396769905, 75.57603025436401]
['BO', 73, 'CO', 31, 'cluster', 'date', 'O1', 'O3', 0.41636644364384967, 0.18897485733032227]
['CO', 3, 'BO', 63, 'unlink', 'cluster', 'O3', 'O0', 0.7496790757381258, 0.2626383304595947]
['CO', 24, 'BO', 20, 'tee', 'sort', 'O3', 'O1', 0.46906474820143884, 0.1410379409790039]
['CO', 69, 'UO', 56, 'who', 'elfedit', 'O3', 'O3', 0.16005121638924458, 0.043656349182128906]
['CO', 185, 'UO', 42, 'cat', 'xargs', 'O1', 'O2', 0.359334373374935, 0.09121036529541016]
['UO', 25, 'CO', 39, 'sdiff', 'paste', 'O2', 'O3', 0.25912408759124084, 0.045696258544921875]
['UO', 70, 'CO', 117, 'ranlib', 'printenv', 'O0', 'O1', 0.9392526022410557, 3.0481295585632324]
['CO', 293, 'BO', 60, '[', 'openssl', 'O2', 'O0', 0.946581529356798, 14.010763883590698]
['CO', 113, 'BO', 67, 'du', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.8328685714285714, 10.428499221801758]
['CO', 56, 'UO', 44, 'cut', 'nm', 'O3', 'O3', 0.8636975846278172, 1.2770769596099854]
['UO', 62, 'CO', 13, 'diff3', 'printenv', 'O3', 'O3', 0.29956222639149466, 0.040195465087890625]
['BO', 63, 'UO', 27, 'cluster', 'strip', 'O0', 'O2', 0.5136263343073528, 3.360135078430176]
['CO', 205, 'UO', 36, 'rmdir', 'addr2line', 'O1', 'O2', 0.881409389925205, 1.4338164329528809]
['UO', 48, 'CO', 266, 'ranlib', 'df', 'O3', 'O2', 0.7770491803278688, 1.4243416786193848]
['CO', 187, 'BO', 38, 'csplit', 'acyclic', 'O1', 'O2', 0.5859820700896495, 0.03322029113769531]
['CO', 161, 'BO', 59, 'od', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9685586526027141, 43.5330696105957]
['UO', 23, 'CO', 180, 'cmp', 'md5sum', 'O2', 'O1', 0.0961145194274029, 0.04691362380981445]
['BO', 68, 'CO', 315, 'git', 'unlink', 'O3', 'O0', 0.9757302489707901, 8.769812822341919]
['UO', 15, 'CO', 20, 'elfedit', 'mkfifo', 'O1', 'O3', 0.19941986947063084, 0.03532862663269043]
['BO', 30, 'CO', 351, 'libvlccore.so.9.0.0', 'paste', 'O2', 'O0', 0.9415535294820241, 6.396335124969482]
['BO', 36, 'UO', 3, 'cluster', 'nm', 'O2', 'O1', 0.611797181461572, 2.6482510566711426]
['CO', 213, 'BO', 13, 'basename', 'ruby', 'O2', 'O1', 0.9852268730214562, 18.743582487106323]
['BO', 1, 'CO', 361, 'ssh', 'nice', 'O2', 'O0', 0.914855987872663, 1.9484813213348389]
['UO', 54, 'CO', 392, 'addr2line', 'uname', 'O3', 'O0', 0.8832548258982175, 1.0884122848510742]
['CO', 64, 'BO', 28, 'tty', 'ruby', 'O3', 'O0', 0.982442284325638, 19.24247169494629]
['UO', 32, 'CO', 167, 'strings', 'logname', 'O2', 'O1', 0.8992779453432045, 1.2157783508300781]
['CO', 396, 'BO', 52, 'vdir', 'svn', 'O0', 'O3', 0.3712666745366544, 1.2119646072387695]
['BO', 0, 'UO', 83, 'codeblocks', 'diff', 'O1', 'O0', 0.8670859434966697, 16.92188310623169]
['CO', 259, 'UO', 76, 'realpath', 'addr2line', 'O2', 'O0', 0.9152372531682876, 3.287780523300171]
