['UO', 2, 'CO', 257, 'find', 'nice', 'O1', 'O2', 0.831433506044905, 0.4549596309661865]
['CO', 310, 'UO', 3, 'mknod', 'nm', 'O2', 'O1', 0.9091222030981068, 1.8667099475860596]
['UO', 46, 'CO', 155, 'readelf', 'realpath', 'O3', 'O1', 0.7575484452456062, 0.6995193958282471]
['BO', 58, 'CO', 93, 'svn', 'nl', 'O1', 'O3', 0.7706378240814379, 1.4103546142578125]
['BO', 22, 'CO', 69, 'perl', 'who', 'O0', 'O3', 0.9475539612839384, 5.320249319076538]
['CO', 125, 'BO', 19, 'mktemp', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9345086151882578, 7.068630695343018]
['BO', 83, 'CO', 182, 'lua', 'chcon', 'O2', 'O1', 0.6959882223040118, 0.562615156173706]
['BO', 17, 'CO', 397, 'codeblocks', '[', 'O2', 'O0', 0.9531387238439679, 13.750447988510132]
['CO', 89, 'UO', 20, 'pathchk', 'diff', 'O3', 'O1', 0.5480801902820251, 0.13032865524291992]
['BO', 6, 'UO', 49, 'codeblocks', 'c++filt', 'O0', 'O3', 0.6816269728310719, 47.059033155441284]
['UO', 18, 'CO', 150, 'diff3', 'whoami', 'O1', 'O1', 0.2977386934673367, 0.049791812896728516]
['CO', 81, 'BO', 14, 'cat', 'cmp', 'O3', 'O0', 0.1982434127979925, 0.0478060245513916]
['CO', 70, 'BO', 27, 'b2sum', 'perl', 'O3', 'O3', 0.9470156213569597, 3.6762852668762207]
['CO', 312, 'UO', 54, 'sha384sum', 'addr2line', 'O0', 'O3', 0.83726797621193, 1.2955963611602783]
['BO', 25, 'UO', 67, 'dot', 'strip', 'O3', 'O0', 0.9770020953646446, 3.4499399662017822]
['UO', 60, 'BO', 78, 'xargs', 'ssh', 'O3', 'O0', 0.8711256916221907, 4.167363405227661]
['CO', 5, 'BO', 11, 'basename', 'ssh', 'O3', 'O1', 0.9237395490245757, 2.0123963356018066]
['UO', 3, 'CO', 403, 'nm', 'comm', 'O1', 'O0', 0.8660834454912517, 1.4245686531066895]
['CO', 154, 'BO', 63, 'dircolors', 'cluster', 'O1', 'O0', 0.70641052411777, 0.2815225124359131]
['CO', 261, 'UO', 3, 'chmod', 'nm', 'O2', 'O1', 0.8352084712111185, 1.6784563064575195]
['CO', 53, 'UO', 16, 'chmod', 'size', 'O3', 'O1', 0.81630615640599, 1.5941932201385498]
['BO', 31, 'CO', 33, 'bash', 'chown', 'O2', 'O3', 0.9009059568668324, 3.5762503147125244]
['CO', 205, 'UO', 23, 'rmdir', 'cmp', 'O1', 'O2', 0.10339943342776203, 0.04143834114074707]
['UO', 61, 'CO', 139, 'find', 'base32', 'O3', 'O1', 0.755167498218104, 0.38243556022644043]
['UO', 12, 'CO', 368, 'gprof', 'cut', 'O1', 'O0', 0.8612615482637783, 1.4924652576446533]
['CO', 313, 'BO', 83, 'touch', 'lua', 'O0', 'O2', 0.6893559819137236, 0.7245066165924072]
['CO', 121, 'UO', 38, 'stdbuf', 'elfedit', 'O1', 'O2', 0.1336032388663968, 0.04315042495727539]
['BO', 55, 'CO', 330, 'make', 'uptime', 'O1', 'O0', 0.6617405582922824, 0.3388640880584717]
['UO', 45, 'CO', 62, 'strip', 'printf', 'O3', 'O3', 0.8791531680855873, 1.2937281131744385]
['CO', 295, 'UO', 48, 'id', 'ranlib', 'O2', 'O3', 0.8863656138519098, 1.2375648021697998]
['CO', 300, 'UO', 20, 'sha512sum', 'diff', 'O2', 'O1', 0.5606737710553454, 0.147216796875]
['UO', 57, 'CO', 71, 'size', 'readlink', 'O3', 'O3', 0.8553276456707206, 1.0298645496368408]
['CO', 301, 'UO', 40, 'nl', 'objdump', 'O2', 'O2', 0.9307253463732681, 2.509824752807617]
['UO', 10, 'BO', 32, 'objcopy', 'ruby', 'O1', 'O2', 0.6317083105099791, 74.51265358924866]
['CO', 106, 'UO', 65, 'stat', 'sdiff', 'O1', 'O3', 0.18991742720556282, 0.0909874439239502]
['CO', 86, 'UO', 0, 'timeout', 'locate', 'O3', 'O1', 0.4778167890201086, 0.1674060821533203]
['CO', 240, 'BO', 43, 'expr', 'diff', 'O2', 'O1', 0.4852844996729888, 0.15099835395812988]
['CO', 310, 'BO', 83, 'mknod', 'lua', 'O2', 'O2', 0.8580645161290322, 0.5361950397491455]
['BO', 2, 'CO', 378, 'perl', 'runcon', 'O1', 'O0', 0.9608555924345398, 3.2948641777038574]
['UO', 80, 'CO', 242, 'objdump', 'tail', 'O0', 'O2', 0.9158969562336802, 5.439205884933472]
['CO', 208, 'UO', 41, 'sha384sum', 'locate', 'O2', 'O2', 0.5553235908141962, 0.15772604942321777]
['UO', 27, 'CO', 124, 'strip', 'mkfifo', 'O2', 'O1', 0.9129975874547648, 1.5708634853363037]
['UO', 71, 'CO', 340, 'c++filt', 'factor', 'O0', 'O0', 0.8372622708119805, 3.264206647872925]
['UO', 53, 'BO', 22, 'gprof', 'perl', 'O3', 'O0', 0.48191722158168426, 16.518881797790527]
['BO', 44, 'CO', 271, 'cmp', 'logname', 'O2', 'O2', 0.25082508250825075, 0.03216814994812012]
['CO', 197, 'BO', 67, 'nl', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.932960354972509, 8.088916540145874]
['CO', 217, 'BO', 82, 'du', 'cp', 'O2', 'O3', 0.08662653755561367, 0.20285272598266602]
['CO', 336, 'UO', 41, 'tee', 'locate', 'O0', 'O2', 0.4845771144278608, 0.1763627529144287]
['CO', 147, 'UO', 53, 'chroot', 'gprof', 'O1', 'O3', 0.8732346435256083, 1.3488764762878418]
['UO', 47, 'CO', 100, 'as', 'tac', 'O3', 'O3', 0.9065844578873895, 1.9271576404571533]
['CO', 227, 'BO', 72, 'dd', 'make', 'O2', 'O2', 0.6190151644232408, 0.38037967681884766]
['CO', 411, 'BO', 43, 'sort', 'diff', 'O0', 'O1', 0.11726384364820852, 0.38196349143981934]
['UO', 6, 'CO', 185, 'as', 'cat', 'O1', 'O1', 0.9307133750900726, 2.5060694217681885]
['CO', 324, 'UO', 27, 'ptx', 'strip', 'O0', 'O2', 0.807651207522975, 2.1791388988494873]
['UO', 40, 'CO', 373, 'objdump', 'cksum', 'O2', 'O0', 0.9205512768544791, 2.378135919570923]
['CO', 364, 'UO', 72, 'sha256sum', 'strings', 'O0', 'O0', 0.8946508779093507, 3.460826873779297]
['UO', 6, 'CO', 45, 'as', 'split', 'O1', 'O3', 0.8816919669385771, 2.605921506881714]
['UO', 86, 'CO', 23, 'xargs', 'pr', 'O0', 'O3', 0.2195121951219512, 0.14297938346862793]
['UO', 82, 'CO', 389, 'cmp', 'env', 'O0', 'O0', 0.09886159376872383, 0.06428146362304688]
['CO', 313, 'BO', 8, 'touch', 'cp', 'O0', 'O0', 0.42488687782805434, 0.35874342918395996]
['CO', 106, 'UO', 80, 'stat', 'objdump', 'O1', 'O0', 0.9001469564544822, 6.944519758224487]
['CO', 260, 'UO', 55, 'sha256sum', 'ar', 'O2', 'O3', 0.8886662601271887, 1.3003902435302734]
['UO', 65, 'BO', 17, 'sdiff', 'codeblocks', 'O3', 'O2', 0.9479555818926648, 18.692999839782715]
['BO', 73, 'UO', 28, 'cluster', 'readelf', 'O1', 'O2', 0.3526079773424593, 0.6307222843170166]
['CO', 221, 'UO', 4, 'printenv', 'strip', 'O2', 'O1', 0.9353553243303078, 1.8624022006988525]
['CO', 97, 'BO', 82, 'uniq', 'cp', 'O3', 'O3', 0.3974272173324306, 0.11476898193359375]
['BO', 35, 'CO', 277, 'make', 'who', 'O3', 'O2', 0.7387008234217749, 0.300173282623291]
['UO', 52, 'BO', 73, 'ld', 'cluster', 'O3', 'O1', 0.7074263764404609, 2.7355971336364746]
['UO', 34, 'BO', 63, 'ld', 'cluster', 'O2', 'O0', 0.5954198473282443, 3.4084808826446533]
['CO', 238, 'BO', 41, 'expand', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9430601470370553, 7.674397230148315]
['UO', 74, 'CO', 304, 'ld', 'fold', 'O0', 'O2', 0.954558768149295, 5.192270517349243]
['BO', 20, 'CO', 298, 'sort', 'tr', 'O1', 'O2', 0.5038874490929286, 0.1280956268310547]
['BO', 81, 'CO', 331, 'sort', 'dd', 'O3', 'O0', 0.20180383314543404, 0.1807546615600586]
['UO', 12, 'CO', 36, 'gprof', 'pinky', 'O1', 'O3', 0.8713965406790519, 1.4712285995483398]
['BO', 78, 'CO', 118, 'ssh', 'stty', 'O0', 'O1', 0.9137620192307693, 2.7717583179473877]
['CO', 415, 'UO', 20, 'ln', 'diff', 'O0', 'O1', 0.17501290655653068, 0.25330567359924316]
['CO', 242, 'UO', 32, 'tail', 'strings', 'O2', 'O2', 0.8117052778261626, 1.515573501586914]
['UO', 58, 'CO', 244, 'objdump', 'pinky', 'O3', 'O2', 0.923968474733426, 2.0363495349884033]
['CO', 244, 'BO', 32, 'pinky', 'ruby', 'O2', 'O2', 0.9776650437506383, 22.129472970962524]
['CO', 226, 'UO', 16, 'uptime', 'size', 'O2', 'O1', 0.875096641182029, 1.5911567211151123]
['BO', 73, 'CO', 83, 'cluster', 'csplit', 'O1', 'O3', 0.4691160809371673, 0.1691150665283203]
['UO', 86, 'CO', 257, 'xargs', 'nice', 'O0', 'O2', 0.5415688116486613, 0.1054229736328125]
['UO', 37, 'CO', 267, 'ar', 'tsort', 'O2', 'O2', 0.8988965871182961, 1.30277419090271]
['CO', 219, 'BO', 2, 'groups', 'perl', 'O2', 'O1', 0.9708234048186392, 3.570685386657715]
['CO', 25, 'BO', 36, 'chgrp', 'cluster', 'O3', 'O2', 0.3902501934485427, 0.19742989540100098]
['UO', 62, 'CO', 358, 'diff3', 'whoami', 'O3', 'O0', 0.2517985611510791, 0.054969072341918945]
['CO', 295, 'UO', 23, 'id', 'cmp', 'O2', 'O2', 0.08315565031982941, 0.042380571365356445]
['CO', 230, 'BO', 57, 'pwd', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9536204070209108, 6.690459728240967]
['CO', 42, 'BO', 13, 'sum', 'ruby', 'O3', 'O1', 0.9761603921508929, 19.047430992126465]
['UO', 40, 'BO', 54, 'objdump', 'lua', 'O2', 'O3', 0.42630473004845837, 3.7958984375]
['CO', 277, 'BO', 32, 'who', 'ruby', 'O2', 'O2', 0.9757142857142858, 21.997196912765503]
['UO', 58, 'BO', 82, 'objdump', 'cp', 'O3', 'O3', 0.7815999571344371, 2.453437089920044]
['CO', 104, 'UO', 48, 'sha384sum', 'ranlib', 'O1', 'O3', 0.8742975706751966, 1.317108154296875]
['CO', 387, 'UO', 45, 'mv', 'strip', 'O0', 'O3', 0.5896782414781777, 2.741056203842163]
['BO', 36, 'CO', 86, 'cluster', 'timeout', 'O2', 'O3', 0.5306879817299458, 0.1620802879333496]
['BO', 74, 'CO', 404, 'dot', 'sha512sum', 'O1', 'O0', 0.6063829787234043, 0.0349423885345459]
['CO', 237, 'BO', 41, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9480583724956715, 7.616618633270264]
['UO', 66, 'CO', 308, 'nm', 'tac', 'O0', 'O2', 0.9247168167295963, 2.8951263427734375]
['BO', 80, 'CO', 366, 'ssh', 'true', 'O3', 'O0', 0.9250191277735271, 1.680687427520752]
['CO', 292, 'UO', 58, 'vdir', 'objdump', 'O2', 'O3', 0.7908355795148247, 3.2841827869415283]
['UO', 13, 'CO', 329, 'addr2line', 'stdbuf', 'O1', 'O0', 0.8569360470067274, 1.4218618869781494]
['CO', 346, 'UO', 63, 'tail', 'cmp', 'O0', 'O3', 0.36533559898045875, 0.09897398948669434]
['CO', 43, 'UO', 78, 'chroot', 'elfedit', 'O3', 'O0', 0.15147705845380266, 0.04633331298828125]
['BO', 78, 'UO', 1, 'ssh', 'xargs', 'O0', 'O1', 0.8660090824747302, 3.132129669189453]
['CO', 333, 'BO', 27, 'mktemp', 'perl', 'O0', 'O3', 0.9448617176128093, 4.238401651382446]
['UO', 84, 'CO', 308, 'sdiff', 'tac', 'O0', 'O2', 0.2966793685356559, 0.0689992904663086]
['CO', 97, 'BO', 61, 'uniq', 'git', 'O3', 'O1', 0.9652509652509652, 9.952001571655273]
['BO', 36, 'UO', 57, 'cluster', 'size', 'O2', 'O3', 0.5853885528152629, 1.9644253253936768]
['BO', 18, 'CO', 187, 'libvlc.so.12.0.0', 'csplit', 'O1', 'O1', 0.6584212440887596, 0.6007380485534668]
['CO', 338, 'BO', 39, 'kill', 'codeblocks', 'O0', 'O3', 0.9619993854348049, 17.129220724105835]
['UO', 83, 'CO', 264, 'diff', 'cut', 'O0', 'O2', 0.6188178528347407, 0.1905369758605957]
['CO', 58, 'UO', 53, 'df', 'gprof', 'O3', 'O3', 0.7659796294811132, 1.5832161903381348]
['BO', 4, 'UO', 45, 'libgeany.so.0.0.0', 'strip', 'O2', 'O3', 0.6662559927150012, 50.49210548400879]
['BO', 66, 'CO', 351, 'svn', 'paste', 'O2', 'O0', 0.767368254470644, 0.6527245044708252]
['BO', 1, 'CO', 154, 'ssh', 'dircolors', 'O2', 'O1', 0.9108729908603845, 1.8633692264556885]
['BO', 80, 'CO', 284, 'ssh', 'md5sum', 'O3', 'O2', 0.9215885947046843, 1.655954360961914]
['UO', 69, 'BO', 7, 'as', 'sort', 'O0', 'O0', 0.8057142857142857, 6.159590482711792]
['BO', 55, 'CO', 48, 'make', 'ls', 'O1', 'O3', 0.36374513909661976, 0.4519977569580078]
['BO', 69, 'CO', 258, 'cmp', 'dircolors', 'O3', 'O2', 0.11159737417943105, 0.039071083068847656]
['CO', 381, 'BO', 75, 'who', 'gvmap', 'O0', 'O1', 0.5133454262762374, 0.20909428596496582]
['UO', 34, 'CO', 287, 'ld', 'link', 'O2', 'O2', 0.9448875997099347, 2.280521869659424]
['CO', 402, 'BO', 51, 'tr', 'lua', 'O0', 'O1', 0.760221927391147, 0.744617223739624]
['BO', 34, 'CO', 392, 'cp', 'uname', 'O2', 'O0', 0.5122330097087379, 0.11510682106018066]
