['BO', 81, 'CO', 15, 'sort', 'join', 'O3', 'O3', 0.3710610932475884, 0.22977209091186523]
['UO', 2, 'CO', 344, 'find', 'expr', 'O1', 'O0', 0.6736626163799906, 1.129354476928711]
['CO', 110, 'BO', 29, 'mkdir', 'libvlc.so.12.0.0', 'O1', 'O2', 0.6821442053605135, 1.4151804447174072]
['CO', 110, 'BO', 65, 'mkdir', 'gvmap', 'O1', 'O0', 0.6633306645316253, 0.5368478298187256]
['BO', 12, 'CO', 46, 'libgeany.so.0.0.0', 'whoami', 'O0', 'O3', 0.9051040875542833, 37.0098979473114]
['CO', 397, 'BO', 2, '[', 'perl', 'O0', 'O1', 0.9524209201070136, 4.033839225769043]
['BO', 38, 'CO', 389, 'acyclic', 'env', 'O2', 'O0', 0.5162241887905604, 0.0277557373046875]
['CO', 286, 'UO', 20, 'chcon', 'diff', 'O2', 'O1', 0.34697508896797147, 0.17474365234375]
['UO', 28, 'CO', 191, 'readelf', 'id', 'O2', 'O1', 0.7707399969102425, 0.3194844722747803]
['UO', 25, 'BO', 6, 'sdiff', 'codeblocks', 'O2', 'O0', 0.9634758844818672, 46.17842650413513]
['CO', 368, 'UO', 62, 'cut', 'diff3', 'O0', 'O3', 0.14240837696335085, 0.06684589385986328]
['CO', 274, 'UO', 15, 'runcon', 'elfedit', 'O2', 'O1', 0.27698744769874484, 0.0301055908203125]
['CO', 72, 'BO', 15, 'head', 'diff', 'O3', 'O0', 0.5405327986250358, 0.20692205429077148]
['CO', 188, 'BO', 2, 'vdir', 'perl', 'O1', 'O1', 0.8942894951140065, 5.883613586425781]
['BO', 2, 'CO', 75, 'perl', 'mv', 'O1', 'O3', 0.8816481294236602, 3.8615176677703857]
['CO', 41, 'BO', 29, 'echo', 'libvlc.so.12.0.0', 'O3', 'O2', 0.7765830346475507, 0.5396418571472168]
['UO', 46, 'CO', 113, 'readelf', 'du', 'O3', 'O1', 0.5225084569346864, 0.46454429626464844]
['UO', 85, 'CO', 260, 'locate', 'sha256sum', 'O0', 'O2', 0.6525285481239804, 0.23278594017028809]
['CO', 304, 'BO', 39, 'fold', 'codeblocks', 'O2', 'O3', 0.9720484904640568, 16.356844902038574]
['UO', 56, 'CO', 64, 'elfedit', 'tty', 'O3', 'O3', 0.19195046439628483, 0.03061962127685547]
['CO', 384, 'BO', 18, 'head', 'libvlc.so.12.0.0', 'O0', 'O1', 0.6529347429821364, 0.7097029685974121]
['UO', 33, 'CO', 413, 'objcopy', 'rmdir', 'O2', 'O0', 0.8932995075361886, 1.5672969818115234]
['UO', 62, 'BO', 62, 'diff3', 'bash', 'O3', 'O1', 0.914436300749403, 4.352127313613892]
['CO', 368, 'BO', 36, 'cut', 'cluster', 'O0', 'O2', 0.5108603667136813, 0.19410014152526855]
['BO', 49, 'CO', 211, 'svn', 'unlink', 'O0', 'O2', 0.8611490071244505, 0.6529128551483154]
['BO', 46, 'CO', 348, 'ruby', 'pinky', 'O3', 'O0', 0.9734545565116915, 17.599493741989136]
['CO', 168, 'UO', 26, 'tty', 'nm', 'O1', 'O2', 0.9013669257571697, 1.381587266921997]
