['CO', 109, 'BO', 51, 'basename', 'lua', 'O1', 'O1', 0.8546193925530563, 1.1305217742919922]
['CO', 162, 'UO', 51, 'df', 'objcopy', 'O1', 'O3', 0.7938574408401065, 4.002132177352905]
['UO', 66, 'CO', 158, 'nm', 'true', 'O0', 'O1', 0.9389080695184037, 4.001600503921509]
['CO', 93, 'UO', 58, 'nl', 'objdump', 'O3', 'O3', 0.9162001500548277, 2.237090587615967]
['UO', 41, 'CO', 124, 'locate', 'mkfifo', 'O2', 'O1', 0.5917496443812233, 0.13655972480773926]
['CO', 212, 'BO', 47, 'test', 'libvlc.so.12.0.0', 'O2', 'O0', 0.7833701751402823, 0.8264663219451904]
['UO', 7, 'CO', 371, 'ranlib', 'tsort', 'O1', 'O0', 0.8745644599303136, 1.4537315368652344]
['CO', 254, 'BO', 74, 'whoami', 'dot', 'O2', 'O1', 0.3950795947901592, 0.014069557189941406]
['CO', 279, 'UO', 13, 'readlink', 'addr2line', 'O2', 'O1', 0.8827490934208254, 1.4583566188812256]
['CO', 235, 'BO', 1, 'wc', 'ssh', 'O2', 'O2', 0.9073864351327545, 2.181396007537842]
['UO', 69, 'CO', 274, 'as', 'runcon', 'O0', 'O2', 0.9650066214535094, 4.57956862449646]
['CO', 372, 'UO', 77, 'base64', 'ar', 'O0', 'O0', 0.9065786529424927, 3.4081478118896484]
['CO', 291, 'UO', 75, 'csplit', 'gprof', 'O2', 'O0', 0.9025176457511255, 3.3022913932800293]
['BO', 4, 'CO', 344, 'libgeany.so.0.0.0', 'expr', 'O2', 'O0', 0.9672670345830896, 37.49989199638367]
['CO', 142, 'BO', 7, 'sha1sum', 'sort', 'O1', 'O0', 0.5726190476190476, 0.22166848182678223]
['CO', 114, 'BO', 72, 'users', 'make', 'O1', 'O2', 0.766827817032354, 0.3201901912689209]
['BO', 78, 'CO', 243, 'ssh', 'base32', 'O0', 'O2', 0.9414723365340649, 2.5901224613189697]
['BO', 28, 'CO', 338, 'ruby', 'kill', 'O0', 'O0', 0.9775165141506575, 17.00571298599243]
['UO', 8, 'CO', 8, 'c++filt', 'dir', 'O1', 'O3', 0.6694099378881988, 1.6640491485595703]
['UO', 78, 'BO', 75, 'elfedit', 'gvmap', 'O0', 'O1', 0.5631875503085592, 0.18579745292663574]
['CO', 95, 'BO', 80, 'sha224sum', 'ssh', 'O3', 'O3', 0.9048640464324017, 1.9445245265960693]
['UO', 16, 'CO', 294, 'size', 'timeout', 'O1', 'O2', 0.8770315590334509, 1.3529741764068604]
['UO', 34, 'CO', 351, 'ld', 'paste', 'O2', 'O0', 0.9125267411457095, 2.3615236282348633]
['UO', 22, 'CO', 129, 'diff3', 'chgrp', 'O2', 'O1', 0.15421002838221387, 0.07675051689147949]
['UO', 17, 'CO', 162, 'objdump', 'df', 'O1', 'O1', 0.8463023542661018, 2.916501522064209]
['BO', 60, 'CO', 191, 'openssl', 'id', 'O0', 'O1', 0.9423465423465424, 11.588379144668579]
['CO', 6, 'BO', 26, 'mkdir', 'gvmap', 'O3', 'O3', 0.5265829548490516, 0.17226576805114746]
['UO', 84, 'BO', 26, 'sdiff', 'gvmap', 'O0', 'O3', 0.4113861386138613, 0.2116532325744629]
['BO', 77, 'CO', 269, 'libSDL2-2.0.so.0.16.0', 'cksum', 'O3', 'O2', 0.9547190649302839, 6.407214879989624]
['UO', 67, 'CO', 77, 'strip', 'env', 'O0', 'O3', 0.9349739895958383, 3.3622071743011475]
['CO', 393, 'BO', 57, 'cat', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.93889616315518, 6.910043716430664]
['CO', 292, 'UO', 73, 'vdir', 'objcopy', 'O2', 'O0', 0.8172083411609994, 5.100418329238892]
['CO', 285, 'UO', 31, 'env', 'c++filt', 'O2', 'O2', 0.9043920480813684, 1.2608773708343506]
['BO', 67, 'CO', 323, 'libSDL2-2.0.so.0.16.0', 'groups', 'O1', 'O0', 0.9287742432263343, 7.135969638824463]
['BO', 49, 'CO', 121, 'svn', 'stdbuf', 'O0', 'O1', 0.7856311809191391, 0.6975293159484863]
['BO', 68, 'CO', 310, 'git', 'mknod', 'O3', 'O2', 0.9792611795204148, 8.38979458808899]
['UO', 39, 'CO', 176, 'size', 'head', 'O2', 'O1', 0.8616888888888888, 1.2100720405578613]
['BO', 40, 'CO', 116, 'lua', 'ptx', 'O0', 'O1', 0.7864608772101201, 1.0118377208709717]
['CO', 406, 'BO', 26, 'rm', 'gvmap', 'O0', 'O3', 0.30335539831088787, 0.2580108642578125]
['UO', 15, 'CO', 202, 'elfedit', 'sleep', 'O1', 'O1', 0.1717472118959108, 0.03883099555969238]
['CO', 369, 'UO', 59, 'od', 'locate', 'O0', 'O3', 0.3010785824345146, 0.18543171882629395]
['BO', 74, 'CO', 331, 'dot', 'dd', 'O1', 'O0', 0.7257769652650823, 0.058629751205444336]
['UO', 85, 'CO', 284, 'locate', 'md5sum', 'O0', 'O2', 0.6629274965800274, 0.2343285083770752]
['CO', 194, 'UO', 44, 'tr', 'nm', 'O1', 'O3', 0.8636853448275862, 1.2530333995819092]
['CO', 349, 'UO', 49, 'truncate', 'c++filt', 'O0', 'O3', 0.8642684961987762, 1.208012342453003]
['CO', 304, 'UO', 30, 'fold', 'ranlib', 'O2', 'O2', 0.9067250708580262, 1.4253754615783691]
['CO', 158, 'BO', 10, 'true', 'openssl', 'O1', 'O3', 0.9549339549339549, 11.470958471298218]
['CO', 97, 'BO', 77, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.9194758246723904, 7.3511505126953125]
['CO', 234, 'BO', 9, 'kill', 'git', 'O2', 'O0', 0.9784452296819788, 9.15206789970398]
['UO', 44, 'CO', 281, 'nm', 'hostid', 'O3', 'O2', 0.9161665589511587, 1.0399584770202637]
['BO', 49, 'UO', 25, 'svn', 'sdiff', 'O0', 'O2', 0.7258926061287602, 0.7419240474700928]
['CO', 257, 'UO', 59, 'nice', 'locate', 'O2', 'O3', 0.624420401854714, 0.12405896186828613]
['CO', 21, 'UO', 14, 'mktemp', 'ar', 'O3', 'O1', 0.8605436705806659, 1.7262191772460938]
['CO', 130, 'UO', 82, 'kill', 'cmp', 'O1', 'O0', 0.18576051779935276, 0.05392003059387207]
['CO', 377, 'UO', 56, 'false', 'elfedit', 'O0', 'O3', 0.16282642089093702, 0.03944897651672363]
['UO', 17, 'CO', 194, 'objdump', 'tr', 'O1', 'O1', 0.9155399766316141, 2.6372952461242676]
['BO', 83, 'CO', 321, 'lua', 'du', 'O2', 'O0', 0.5136851324720824, 0.8269546031951904]
['CO', 179, 'UO', 1, 'mv', 'xargs', 'O1', 'O1', 0.28068303094983993, 0.22799420356750488]
['BO', 49, 'CO', 116, 'svn', 'ptx', 'O0', 'O1', 0.6932836850089643, 0.7973346710205078]
['BO', 8, 'UO', 12, 'cp', 'gprof', 'O0', 'O1', 0.5757044627207766, 3.001007318496704]
['BO', 2, 'CO', 53, 'perl', 'chmod', 'O1', 'O3', 0.9422831050228311, 3.4258861541748047]
['UO', 54, 'CO', 203, 'addr2line', 'sort', 'O3', 'O1', 0.6731555700965156, 1.4943220615386963]
['BO', 24, 'CO', 375, 'cluster', 'logname', 'O3', 'O0', 0.6244302643573382, 0.15606975555419922]
['BO', 29, 'UO', 20, 'libvlc.so.12.0.0', 'diff', 'O2', 'O1', 0.3595121225643314, 0.8548922538757324]
['UO', 83, 'CO', 327, 'diff', 'join', 'O0', 'O0', 0.4646657571623465, 0.23703861236572266]
['BO', 30, 'UO', 53, 'libvlccore.so.9.0.0', 'gprof', 'O2', 'O3', 0.3868889516812659, 11.219465017318726]
['BO', 63, 'CO', 189, 'cluster', '[', 'O0', 'O1', 0.6708239623798814, 0.2607533931732178]
['BO', 36, 'CO', 285, 'cluster', 'env', 'O2', 'O2', 0.6765904105296145, 0.14113378524780273]
['CO', 377, 'UO', 18, 'false', 'diff3', 'O0', 'O1', 0.2769895126465145, 0.05751442909240723]
