['CO', 271, 'UO', 75, 'logname', 'gprof', 'O2', 'O0', 0.9478775463753272, 6.150389671325684]
['BO', 28, 'CO', 294, 'ruby', 'timeout', 'O0', 'O2', 0.9783257801961289, 17.053551197052002]
['CO', 81, 'BO', 44, 'cat', 'cmp', 'O3', 'O2', 0.14861111111111114, 0.03635573387145996]
['UO', 28, 'CO', 375, 'readelf', 'logname', 'O2', 'O0', 0.804471032745592, 0.31665921211242676]
['UO', 83, 'BO', 0, 'diff', 'codeblocks', 'O0', 'O1', 0.8670859434966697, 28.22981357574463]
['BO', 23, 'UO', 30, 'git', 'ranlib', 'O2', 'O2', 0.6389715568131922, 14.5971097946167]
['CO', 383, 'UO', 79, 'readlink', 'size', 'O0', 'O0', 0.894572025052192, 3.548731565475464]
['BO', 48, 'CO', 394, 'libvlccore.so.9.0.0', 'shuf', 'O0', 'O0', 0.9243246346854994, 15.971330165863037]
['BO', 71, 'CO', 172, 'libSDL2-2.0.so.0.16.0', 'yes', 'O0', 'O1', 0.95263715314552, 8.813850164413452]
['CO', 388, 'UO', 70, 'md5sum', 'ranlib', 'O0', 'O0', 0.9029917392275061, 3.577467441558838]
['CO', 156, 'BO', 57, 'sha256sum', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9423642578901343, 6.693604946136475]
['CO', 268, 'UO', 58, 'base64', 'objdump', 'O2', 'O3', 0.9329296693060084, 2.2681751251220703]
['CO', 264, 'UO', 54, 'cut', 'addr2line', 'O2', 'O3', 0.8832548258982175, 1.1934659481048584]
['BO', 39, 'CO', 268, 'codeblocks', 'base64', 'O3', 'O2', 0.9703749421385589, 14.51709794998169]
['UO', 47, 'CO', 243, 'as', 'base32', 'O3', 'O2', 0.9320954907161804, 1.9147889614105225]
['UO', 75, 'CO', 99, 'gprof', 'sort', 'O0', 'O3', 0.7812759767248545, 3.6327226161956787]
['UO', 18, 'BO', 68, 'diff3', 'git', 'O1', 'O3', 0.9598242065961419, 10.578885793685913]
['UO', 17, 'CO', 1, 'objdump', 'touch', 'O1', 'O3', 0.8762875361055098, 2.799124002456665]
['UO', 64, 'CO', 302, 'diff', 'rm', 'O3', 'O2', 0.3086705202312139, 0.15277767181396484]
['UO', 59, 'CO', 169, 'locate', 'false', 'O3', 'O1', 0.6064073226544623, 0.12282204627990723]
['CO', 22, 'BO', 69, 'pwd', 'cmp', 'O3', 'O3', 0.12841530054644812, 0.03768157958984375]
['BO', 71, 'CO', 27, 'libSDL2-2.0.so.0.16.0', 'wc', 'O0', 'O3', 0.9267680989801037, 8.929626703262329]
['BO', 16, 'CO', 313, 'make', 'touch', 'O0', 'O0', 0.6030605871330419, 0.4255096912384033]
['CO', 116, 'BO', 67, 'ptx', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.8947617246596067, 8.923324346542358]
['CO', 369, 'BO', 47, 'od', 'libvlc.so.12.0.0', 'O0', 'O0', 0.6442774385470487, 1.1026017665863037]
['CO', 153, 'UO', 3, 'nice', 'nm', 'O1', 'O1', 0.8999657416923604, 1.6106994152069092]
['UO', 61, 'CO', 231, 'find', 'pr', 'O3', 'O2', 0.6542919536368218, 0.4582242965698242]
['BO', 2, 'CO', 312, 'perl', 'sha384sum', 'O1', 'O0', 0.9526257803892766, 3.433443069458008]
['CO', 332, 'BO', 27, 'mkfifo', 'perl', 'O0', 'O3', 0.9082521637293267, 5.196635007858276]
['CO', 219, 'UO', 26, 'groups', 'nm', 'O2', 'O2', 0.9015368120085776, 1.3779981136322021]
