['CO', 103, 'BO', 22, 'ln', 'perl', 'O3', 'O0', 0.9131808378140284, 9.893471479415894]
['BO', 33, 'CO', 274, 'sort', 'runcon', 'O2', 'O2', 0.6283034953111679, 0.09305810928344727]
['UO', 7, 'CO', 302, 'ranlib', 'rm', 'O1', 'O2', 0.8118734335839599, 1.5829746723175049]
['UO', 69, 'BO', 11, 'as', 'ssh', 'O0', 'O1', 0.25110287630139405, 11.796195030212402]
['CO', 183, 'BO', 81, 'link', 'sort', 'O1', 'O3', 0.5904513241327862, 0.10692262649536133]
['UO', 68, 'BO', 83, 'readelf', 'lua', 'O0', 'O2', 0.13802559414990856, 1.734147071838379]
['CO', 191, 'BO', 40, 'id', 'lua', 'O1', 'O0', 0.8514088789783093, 1.0007293224334717]
['BO', 8, 'CO', 373, 'cp', 'cksum', 'O0', 'O0', 0.6422425032594524, 0.23305463790893555]
['BO', 16, 'CO', 38, 'make', 'sha1sum', 'O0', 'O3', 0.7472789115646259, 0.2960700988769531]
['UO', 58, 'CO', 310, 'objdump', 'mknod', 'O3', 'O2', 0.9383465670247548, 1.9035892486572266]
['UO', 40, 'CO', 131, 'objdump', 'wc', 'O2', 'O1', 0.9051065540812223, 2.294786214828491]
['BO', 41, 'CO', 130, 'libSDL2-2.0.so.0.16.0', 'kill', 'O2', 'O1', 0.9373247404929405, 6.598151206970215]
['UO', 75, 'CO', 322, 'gprof', 'users', 'O0', 'O0', 0.9213111073693664, 2.8766119480133057]
['BO', 26, 'CO', 101, 'gvmap', 'rmdir', 'O3', 'O3', 0.6077658975801913, 0.13799643516540527]
['BO', 46, 'CO', 124, 'ruby', 'mkfifo', 'O3', 'O1', 0.9823757597971838, 16.289713382720947]
['CO', 156, 'BO', 69, 'sha256sum', 'cmp', 'O1', 'O3', 0.10600945307224852, 0.04512763023376465]
['UO', 40, 'CO', 390, 'objdump', 'chcon', 'O2', 'O0', 0.8233095107201759, 2.6467690467834473]
['CO', 259, 'UO', 37, 'realpath', 'ar', 'O2', 'O2', 0.8783315001269143, 1.4516730308532715]
['UO', 80, 'CO', 345, 'objdump', 'chown', 'O0', 'O0', 0.8892605836890068, 5.611516714096069]
['BO', 42, 'CO', 181, 'cmp', 'env', 'O1', 'O1', 0.129737609329446, 0.04030942916870117]
['BO', 44, 'UO', 63, 'cmp', 'cmp', 'O2', 'O3', 0.010610079575596787, 0.04185819625854492]
['CO', 201, 'BO', 76, 'uniq', 'openssl', 'O1', 'O2', 0.9304769603880356, 12.093721628189087]
['BO', 50, 'CO', 369, 'perl', 'od', 'O2', 'O0', 0.9321179783607529, 3.466184616088867]
['CO', 344, 'BO', 33, 'expr', 'sort', 'O0', 'O2', 0.299151103565365, 0.15679049491882324]
['BO', 71, 'UO', 85, 'libSDL2-2.0.so.0.16.0', 'locate', 'O0', 'O0', 0.7670691968564309, 10.37820053100586]
['BO', 64, 'CO', 143, 'dot', 'paste', 'O0', 'O1', 0.5029171528588098, 0.019338130950927734]
['CO', 392, 'BO', 25, 'uname', 'dot', 'O0', 'O3', 0.5122520420070011, 0.02245473861694336]
['BO', 34, 'CO', 412, 'cp', 'tac', 'O2', 'O0', 0.36919831223628696, 0.1330890655517578]
['BO', 40, 'CO', 27, 'lua', 'wc', 'O0', 'O3', 0.8290341931613677, 0.9058651924133301]
['BO', 73, 'CO', 295, 'cluster', 'id', 'O1', 'O2', 0.6160188457008245, 0.1491537094116211]
['CO', 190, 'BO', 81, 'timeout', 'sort', 'O1', 'O3', 0.4513274336283186, 0.12734460830688477]
['CO', 165, 'BO', 58, 'cksum', 'svn', 'O1', 'O1', 0.8081612745894976, 0.7103209495544434]
['UO', 30, 'CO', 11, 'ranlib', 'groups', 'O2', 'O3', 0.8866321067391859, 1.2563974857330322]
['UO', 19, 'CO', 114, 'cmp', 'users', 'O1', 'O1', 0.11781609195402298, 0.04138994216918945]
['CO', 116, 'BO', 10, 'ptx', 'openssl', 'O1', 'O3', 0.9063013006692764, 13.056113004684448]
['CO', 133, 'UO', 20, 'nproc', 'diff', 'O1', 'O1', 0.5703908682116915, 0.14619851112365723]
['CO', 230, 'UO', 52, 'pwd', 'ld', 'O2', 'O3', 0.9300404076955552, 2.294851779937744]
['CO', 127, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9590817100935998, 48.71701788902283]
['UO', 50, 'CO', 251, 'strings', 'chroot', 'O3', 'O2', 0.877962962962963, 1.0361835956573486]
['UO', 85, 'CO', 409, 'locate', 'uniq', 'O0', 'O0', 0.5332996972754793, 0.2758340835571289]
['BO', 80, 'CO', 170, 'ssh', 'runcon', 'O3', 'O1', 0.931917071922191, 1.6855449676513672]
['CO', 72, 'UO', 39, 'head', 'size', 'O3', 'O2', 0.8570795283269793, 1.3970661163330078]
['CO', 305, 'BO', 13, 'uniq', 'ruby', 'O2', 'O1', 0.9779971963186445, 18.89033031463623]
['BO', 74, 'CO', 138, 'dot', 'tail', 'O1', 'O1', 0.6801705756929638, 0.041190385818481445]
['UO', 31, 'BO', 82, 'c++filt', 'cp', 'O2', 'O3', 0.6707386133807944, 1.4880683422088623]
['CO', 333, 'BO', 42, 'mktemp', 'cmp', 'O0', 'O1', 0.16238317757009346, 0.06881928443908691]
['CO', 111, 'UO', 45, 'fmt', 'strip', 'O1', 'O3', 0.8945609237313886, 1.5046215057373047]
['CO', 127, 'UO', 45, 'pr', 'strip', 'O1', 'O3', 0.8327454438565549, 1.7904224395751953]
['CO', 163, 'UO', 62, 'tsort', 'diff3', 'O1', 'O3', 0.21441022661243458, 0.05136847496032715]
['CO', 256, 'UO', 54, 'ls', 'addr2line', 'O2', 'O3', 0.6805269658295595, 1.7404201030731201]
['CO', 139, 'BO', 30, 'base32', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9451934583167132, 7.160288572311401]
['CO', 193, 'BO', 31, 'pathchk', 'bash', 'O1', 'O2', 0.9528064901371329, 4.079728364944458]
['CO', 48, 'UO', 43, 'ls', 'find', 'O3', 'O2', 0.423178348369188, 0.7850251197814941]
['BO', 29, 'CO', 359, 'libvlc.so.12.0.0', 'numfmt', 'O2', 'O0', 0.5975675192273296, 0.6408977508544922]
['CO', 59, 'UO', 26, 'tsort', 'nm', 'O3', 'O2', 0.8720971147079521, 1.356959342956543]
['UO', 76, 'CO', 409, 'addr2line', 'uniq', 'O0', 'O0', 0.8922602061615514, 2.95731520652771]
['CO', 237, 'UO', 16, 'nproc', 'size', 'O2', 'O1', 0.9082087595069499, 1.4991061687469482]
['CO', 266, 'BO', 33, 'df', 'sort', 'O2', 'O2', 0.17186544342507648, 0.1739656925201416]
['UO', 59, 'CO', 57, 'locate', 'od', 'O3', 'O3', 0.3337515683814304, 0.1471996307373047]
['CO', 246, 'BO', 80, 'sha1sum', 'ssh', 'O2', 'O3', 0.921344024436808, 1.9938874244689941]
['UO', 46, 'BO', 37, 'readelf', 'gvmap', 'O3', 'O2', 0.3452914798206278, 0.5599346160888672]
['BO', 43, 'CO', 23, 'diff', 'pr', 'O1', 'O3', 0.33157740708223593, 0.16373801231384277]
['CO', 329, 'UO', 57, 'stdbuf', 'size', 'O0', 'O3', 0.8481012658227848, 1.3177003860473633]
['BO', 23, 'CO', 43, 'git', 'chroot', 'O2', 'O3', 0.9696294559099438, 8.513731479644775]
['BO', 47, 'CO', 136, 'libvlc.so.12.0.0', 'expr', 'O0', 'O1', 0.7156367193869232, 0.8011171817779541]
['CO', 331, 'BO', 21, 'dd', 'cp', 'O0', 'O1', 0.18604651162790697, 0.19957566261291504]
['CO', 195, 'BO', 28, 'comm', 'ruby', 'O1', 'O0', 0.9784157395337557, 19.978907823562622]
