['CO', 194, 'UO', 71, 'tr', 'c++filt', 'O1', 'O0', 0.9101349751361592, 3.331420660018921]
['BO', 62, 'CO', 64, 'bash', 'tty', 'O1', 'O3', 0.9514795383001049, 2.562081813812256]
['BO', 69, 'CO', 26, 'cmp', 'kill', 'O3', 'O3', 0.13338038108680306, 0.029335498809814453]
['CO', 332, 'UO', 59, 'mkfifo', 'locate', 'O0', 'O3', 0.14409066378845115, 0.19546270370483398]
['CO', 358, 'BO', 19, 'whoami', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.9495940188118016, 6.493954181671143]
['CO', 132, 'UO', 85, 'factor', 'locate', 'O1', 'O0', 0.5028416110699283, 0.29490160942077637]
['CO', 35, 'UO', 38, 'base32', 'elfedit', 'O3', 'O2', 0.16689655172413786, 0.03508496284484863]
['BO', 48, 'CO', 354, 'libvlccore.so.9.0.0', 'sum', 'O0', 'O0', 0.9498501905343689, 14.085172176361084]
['CO', 168, 'BO', 78, 'tty', 'ssh', 'O1', 'O0', 0.9438425148786815, 2.9229676723480225]
['CO', 123, 'UO', 34, 'dd', 'ld', 'O1', 'O2', 0.8606694802566919, 3.0194737911224365]
['CO', 373, 'UO', 75, 'cksum', 'gprof', 'O0', 'O0', 0.9229300078642849, 3.2415454387664795]
['UO', 4, 'CO', 404, 'strip', 'sha512sum', 'O1', 'O0', 0.8711472602739726, 1.7353277206420898]
['BO', 50, 'CO', 295, 'perl', 'id', 'O2', 'O2', 0.9607135336762627, 3.075167417526245]
['BO', 10, 'UO', 60, 'openssl', 'xargs', 'O3', 'O3', 0.8901502504173623, 10.531219720840454]
['BO', 1, 'CO', 69, 'ssh', 'who', 'O2', 'O3', 0.8941646882419093, 1.7997627258300781]
['CO', 275, 'UO', 70, 'nohup', 'ranlib', 'O2', 'O0', 0.9372691630206261, 3.237308979034424]
['CO', 257, 'BO', 11, 'nice', 'ssh', 'O2', 'O1', 0.9377312747224703, 2.029658794403076]
['UO', 45, 'CO', 158, 'strip', 'true', 'O3', 'O1', 0.9196428571428571, 1.2496418952941895]
['BO', 35, 'CO', 70, 'make', 'b2sum', 'O3', 'O3', 0.6802120141342756, 0.2891664505004883]
['UO', 56, 'BO', 17, 'elfedit', 'codeblocks', 'O3', 'O2', 0.9629254614845393, 15.895638942718506]
['UO', 25, 'CO', 286, 'sdiff', 'chcon', 'O2', 'O2', 0.10972088546679504, 0.07173609733581543]
['BO', 24, 'CO', 292, 'cluster', 'vdir', 'O3', 'O2', 0.19090909090909092, 0.26833200454711914]
['CO', 200, 'BO', 47, 'fold', 'libvlc.so.12.0.0', 'O1', 'O0', 0.7824609109449354, 0.8647277355194092]
['CO', 118, 'BO', 21, 'stty', 'cp', 'O1', 'O1', 0.40311958405545933, 0.14388155937194824]
['CO', 172, 'UO', 85, 'yes', 'locate', 'O1', 'O0', 0.6892718176764869, 0.24795317649841309]
['UO', 51, 'CO', 15, 'objcopy', 'join', 'O3', 'O3', 0.8546995835812017, 1.323822259902954]
['BO', 9, 'CO', 380, 'git', 'yes', 'O0', 'O0', 0.9751494365507104, 8.474232912063599]
['CO', 332, 'BO', 35, 'mkfifo', 'make', 'O0', 'O3', 0.49473021865659905, 0.4814584255218506]
['CO', 17, 'BO', 83, 'stdbuf', 'lua', 'O3', 'O2', 0.8014073494917905, 0.5636301040649414]
['BO', 71, 'UO', 11, 'libSDL2-2.0.so.0.16.0', 'ld', 'O0', 'O1', 0.25203457514027194, 21.11174488067627]
['CO', 6, 'UO', 80, 'mkdir', 'objdump', 'O3', 'O0', 0.9299265485682863, 6.1861793994903564]
['CO', 30, 'BO', 66, 'expand', 'svn', 'O3', 'O2', 0.7788033099936347, 0.7058205604553223]
['BO', 80, 'CO', 103, 'ssh', 'ln', 'O3', 'O3', 0.8272919818456883, 1.9276976585388184]
['BO', 78, 'UO', 75, 'ssh', 'gprof', 'O0', 'O0', 0.07611186262871661, 11.528367280960083]
['CO', 119, 'UO', 30, 'join', 'ranlib', 'O1', 'O2', 0.8572743244373797, 1.5524773597717285]
['CO', 73, 'UO', 86, 'hostid', 'xargs', 'O3', 'O0', 0.4932249322493225, 0.10532879829406738]
['UO', 59, 'CO', 373, 'locate', 'cksum', 'O3', 'O0', 0.5118449389806173, 0.13918161392211914]
['CO', 138, 'BO', 52, 'tail', 'svn', 'O1', 'O3', 0.655575014594279, 0.8450620174407959]
['CO', 90, 'UO', 34, 'tr', 'ld', 'O3', 'O2', 0.9064091932235517, 2.7139410972595215]
['CO', 83, 'UO', 84, 'csplit', 'sdiff', 'O3', 'O0', 0.16712079927338785, 0.08473730087280273]
['CO', 76, 'UO', 6, 'md5sum', 'as', 'O3', 'O1', 0.9167950693374423, 2.8684940338134766]
['CO', 170, 'UO', 56, 'runcon', 'elfedit', 'O1', 'O3', 0.1910112359550562, 0.034349679946899414]
