['UO', 79, 'CO', 192, 'size', 'shred', 'O0', 'O1', 0.8768311598782099, 3.495682954788208]
['CO', 396, 'BO', 34, 'vdir', 'cp', 'O0', 'O2', 0.20320404721753793, 0.2761416435241699]
['CO', 398, 'BO', 55, 'timeout', 'make', 'O0', 'O1', 0.6587142596976872, 0.2750866413116455]
['BO', 9, 'CO', 342, 'git', 'expand', 'O0', 'O0', 0.9698219416375115, 7.425112247467041]
['UO', 8, 'CO', 251, 'c++filt', 'chroot', 'O1', 'O2', 0.8844569124221969, 1.3222622871398926]
['UO', 51, 'CO', 340, 'objcopy', 'factor', 'O3', 'O0', 0.7943736959493489, 1.5651907920837402]
['CO', 188, 'UO', 2, 'vdir', 'find', 'O1', 'O1', 0.44924786556443963, 0.8299882411956787]
['UO', 67, 'CO', 139, 'strip', 'base32', 'O0', 'O1', 0.9312066297239279, 3.478879928588867]
['UO', 66, 'CO', 294, 'nm', 'timeout', 'O0', 'O2', 0.9172549473440574, 2.8051059246063232]
['CO', 368, 'BO', 24, 'cut', 'cluster', 'O0', 'O3', 0.5097430104490257, 0.17814326286315918]
['CO', 73, 'UO', 1, 'hostid', 'xargs', 'O3', 'O1', 0.4262210796915167, 0.07345843315124512]
['BO', 44, 'CO', 21, 'cmp', 'mktemp', 'O2', 'O3', 0.11906230721776678, 0.045732975006103516]
['CO', 14, 'UO', 50, 'stty', 'strings', 'O3', 'O3', 0.8386365696673013, 1.1396732330322266]
['BO', 39, 'CO', 17, 'codeblocks', 'stdbuf', 'O3', 'O3', 0.960995085995086, 13.55741834640503]
['CO', 360, 'UO', 42, 'ls', 'xargs', 'O0', 'O2', 0.38131251524762133, 0.3051187992095947]
['UO', 8, 'CO', 278, 'c++filt', 'b2sum', 'O1', 'O2', 0.8675933970460469, 1.3128502368927002]
['CO', 396, 'UO', 7, 'vdir', 'ranlib', 'O0', 'O1', 0.6101057906458798, 2.8046059608459473]
['CO', 282, 'UO', 39, 'unexpand', 'size', 'O2', 'O2', 0.8934996835729139, 1.2879304885864258]
['BO', 4, 'CO', 58, 'libgeany.so.0.0.0', 'df', 'O2', 'O3', 0.9541342045740135, 37.88658881187439]
['CO', 341, 'BO', 59, 'nproc', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9779889475084929, 39.246498584747314]
['UO', 46, 'BO', 8, 'readelf', 'cp', 'O3', 'O0', 0.30258917657517503, 0.7056839466094971]
['BO', 36, 'CO', 364, 'cluster', 'sha256sum', 'O2', 'O0', 0.49790327089740005, 0.1845240592956543]
['CO', 96, 'UO', 16, 'fold', 'size', 'O3', 'O1', 0.8835102252135646, 1.496316909790039]
['CO', 291, 'BO', 39, 'csplit', 'codeblocks', 'O2', 'O3', 0.9552402582489091, 18.284697771072388]
['CO', 240, 'UO', 53, 'expr', 'gprof', 'O2', 'O3', 0.8664067135712469, 1.278538703918457]
['UO', 73, 'CO', 264, 'objcopy', 'cut', 'O0', 'O2', 0.9367177330529689, 3.493483066558838]
['CO', 210, 'UO', 82, 'stat', 'cmp', 'O2', 'O0', 0.1507750117426021, 0.08756732940673828]
['CO', 370, 'BO', 25, 'df', 'dot', 'O0', 'O3', 0.7715736040609137, 0.08235621452331543]
['CO', 18, 'UO', 47, 'uptime', 'as', 'O3', 'O3', 0.9013863913220025, 2.210139513015747]
['UO', 82, 'CO', 189, 'cmp', '[', 'O0', 'O1', 0.08910891089108908, 0.05944371223449707]
['CO', 177, 'BO', 30, 'hostid', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9562740693196405, 6.764071941375732]
['BO', 1, 'CO', 152, 'ssh', 'ls', 'O2', 'O1', 0.7589788221642008, 2.425241708755493]
['UO', 57, 'CO', 293, 'size', '[', 'O3', 'O2', 0.8741976893453145, 1.0402140617370605]
['UO', 61, 'CO', 388, 'find', 'md5sum', 'O3', 'O0', 0.700621546961326, 0.42677855491638184]
['UO', 6, 'CO', 313, 'as', 'touch', 'O1', 'O0', 0.863969604537914, 2.792829751968384]
['CO', 215, 'BO', 64, 'fmt', 'dot', 'O2', 'O0', 0.4774114774114775, 0.0186154842376709]
['CO', 394, 'UO', 63, 'shuf', 'cmp', 'O0', 'O3', 0.29054054054054057, 0.09386277198791504]
['CO', 220, 'UO', 12, 'ptx', 'gprof', 'O2', 'O1', 0.8368309360999764, 1.7527337074279785]
['UO', 57, 'CO', 204, 'size', 'tac', 'O3', 'O1', 0.8656443957648777, 1.108363389968872]
['UO', 45, 'CO', 186, 'strip', 'shuf', 'O3', 'O1', 0.8437199674724625, 1.5241687297821045]
['CO', 284, 'UO', 41, 'md5sum', 'locate', 'O2', 'O2', 0.5678709224833391, 0.15410637855529785]
['UO', 16, 'CO', 400, 'size', 'shred', 'O1', 'O0', 0.7868369351669942, 1.6232752799987793]
['BO', 82, 'CO', 379, 'cp', 'nohup', 'O3', 'O0', 0.4825727632051743, 0.11871790885925293]
['UO', 63, 'BO', 10, 'cmp', 'openssl', 'O3', 'O3', 0.9355500470125652, 11.593297243118286]
['UO', 11, 'CO', 249, 'ld', 'echo', 'O1', 'O2', 0.9473094831142806, 2.5730936527252197]
['CO', 44, 'BO', 30, 'seq', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.9401702601638953, 6.642287492752075]
['BO', 67, 'CO', 374, 'libSDL2-2.0.so.0.16.0', 'printf', 'O1', 'O0', 0.9199041916167665, 7.240554094314575]
['UO', 75, 'CO', 404, 'gprof', 'sha512sum', 'O0', 'O0', 0.8997724624007991, 3.2566003799438477]
['CO', 197, 'BO', 43, 'nl', 'diff', 'O1', 'O1', 0.5311973018549747, 0.2675595283508301]
['CO', 19, 'BO', 36, 'dd', 'cluster', 'O3', 'O2', 0.35263289243823315, 0.2161722183227539]
['CO', 2, 'UO', 87, 'stat', 'find', 'O3', 'O0', 0.6932394018044741, 1.1096947193145752]
['CO', 283, 'UO', 77, 'mv', 'ar', 'O2', 'O0', 0.7656371255626261, 4.9086244106292725]
['BO', 41, 'CO', 220, 'libSDL2-2.0.so.0.16.0', 'ptx', 'O2', 'O2', 0.8998456194519491, 7.08325982093811]
['CO', 326, 'UO', 7, 'stty', 'ranlib', 'O0', 'O1', 0.8442283163265306, 1.872138261795044]
['UO', 85, 'CO', 402, 'locate', 'tr', 'O0', 'O0', 0.5095462434911976, 0.28441548347473145]
['UO', 46, 'CO', 410, 'readelf', 'sleep', 'O3', 'O0', 0.7950291500460264, 0.3095097541809082]
['UO', 79, 'CO', 297, 'size', 'pathchk', 'O0', 'O2', 0.9417533432392273, 2.7770800590515137]
