['CO', 180, 'UO', 58, 'md5sum', 'objdump', 'O1', 'O3', 0.9176341477502454, 4.164235353469849]
['BO', 83, 'CO', 224, 'lua', 'dirname', 'O2', 'O2', 0.8754578754578755, 0.8796250820159912]
['CO', 248, 'BO', 71, 'sync', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.9580288870008496, 10.038763046264648]
['UO', 43, 'BO', 25, 'find', 'dot', 'O2', 'O3', 0.9150622876557192, 0.37343692779541016]
['CO', 261, 'BO', 12, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O0', 0.8899772033538117, 43.18833589553833]
['BO', 20, 'CO', 131, 'sort', 'wc', 'O1', 'O1', 0.4217710885544277, 0.1475205421447754]
['CO', 128, 'UO', 43, 'tee', 'find', 'O1', 'O2', 0.7606244579358196, 0.5319674015045166]
['CO', 274, 'BO', 41, 'runcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9566729603497963, 7.207686901092529]
['UO', 83, 'CO', 335, 'diff', 'pr', 'O0', 'O0', 0.3303593556381661, 0.28296995162963867]
['CO', 298, 'BO', 68, 'tr', 'git', 'O2', 'O3', 0.9737568790270461, 9.381698369979858]
['CO', 244, 'BO', 44, 'pinky', 'cmp', 'O2', 'O2', 0.0822695035460993, 0.04169964790344238]
['BO', 31, 'CO', 129, 'bash', 'chgrp', 'O2', 'O1', 0.9048001606748343, 3.9714512825012207]
['CO', 70, 'UO', 20, 'b2sum', 'diff', 'O3', 'O1', 0.4312676942434728, 0.15235280990600586]
['CO', 318, 'UO', 20, 'mkdir', 'diff', 'O0', 'O1', 0.12598039215686274, 0.2750537395477295]
['CO', 377, 'UO', 22, 'false', 'diff3', 'O0', 'O2', 0.23401450230718523, 0.04874682426452637]
['CO', 295, 'BO', 35, 'id', 'make', 'O2', 'O3', 0.7583271650629163, 0.32167792320251465]
['UO', 9, 'CO', 100, 'strings', 'tac', 'O1', 'O3', 0.8623648532692638, 1.3502869606018066]
['UO', 86, 'BO', 60, 'xargs', 'openssl', 'O0', 'O0', 0.8767971770712114, 18.627573251724243]
['BO', 12, 'CO', 132, 'libgeany.so.0.0.0', 'factor', 'O0', 'O1', 0.8895391509251748, 38.382712841033936]
['UO', 86, 'CO', 153, 'xargs', 'nice', 'O0', 'O1', 0.4750561797752809, 0.11625385284423828]
['CO', 144, 'BO', 61, 'sync', 'git', 'O1', 'O1', 0.9769704578445604, 9.384133577346802]
