['UO', 30, 'CO', 406, 'ranlib', 'rm', 'O2', 'O0', 0.7577197149643705, 3.441422700881958]
['UO', 19, 'CO', 106, 'cmp', 'stat', 'O1', 'O1', 0.27140077821011666, 0.1837306022644043]
['CO', 373, 'UO', 80, 'cksum', 'objdump', 'O0', 'O0', 0.9456698214073576, 9.024326086044312]
['CO', 202, 'BO', 10, 'sleep', 'openssl', 'O1', 'O3', 0.9495479982780887, 11.760793209075928]
['UO', 10, 'CO', 375, 'objcopy', 'logname', 'O1', 'O0', 0.90956749672346, 1.6645264625549316]
['UO', 76, 'CO', 370, 'addr2line', 'df', 'O0', 'O0', 0.8063476182535713, 3.3574631214141846]
['BO', 82, 'CO', 315, 'cp', 'unlink', 'O3', 'O0', 0.5384041759880686, 0.10364484786987305]
['UO', 63, 'CO', 310, 'cmp', 'mknod', 'O3', 'O2', 0.1840873634945398, 0.03355908393859863]
['BO', 41, 'CO', 13, 'libSDL2-2.0.so.0.16.0', 'printenv', 'O2', 'O3', 0.9446913580246914, 6.441421985626221]
['CO', 394, 'UO', 21, 'shuf', 'sdiff', 'O0', 'O1', 0.18914261094355878, 0.10941505432128906]
['UO', 15, 'CO', 50, 'elfedit', 'dircolors', 'O1', 'O3', 0.15127175368139223, 0.03793954849243164]
['CO', 245, 'BO', 81, 'truncate', 'sort', 'O2', 'O3', 0.6054216867469879, 0.10244607925415039]
['CO', 174, 'UO', 81, 'b2sum', 'diff3', 'O1', 'O0', 0.18776470588235294, 0.08692169189453125]
['CO', 59, 'UO', 24, 'tsort', 'diff', 'O3', 'O2', 0.5049708604730888, 0.12304496765136719]
['BO', 56, 'CO', 129, 'libvlc.so.12.0.0', 'chgrp', 'O3', 'O1', 0.6033624978555499, 0.6018407344818115]
['BO', 21, 'CO', 189, 'cp', '[', 'O1', 'O1', 0.4295799505824215, 0.12400221824645996]
['BO', 69, 'CO', 241, 'cmp', 'chown', 'O3', 'O2', 0.2223393045310853, 0.05995035171508789]
['BO', 65, 'UO', 79, 'gvmap', 'size', 'O0', 'O0', 0.5949428878258323, 5.835555791854858]
['CO', 408, 'UO', 52, 'fold', 'ld', 'O0', 'O3', 0.9118226895274508, 2.394381523132324]
['CO', 398, 'UO', 48, 'timeout', 'ranlib', 'O0', 'O3', 0.8408762842829244, 1.4552650451660156]
['UO', 63, 'CO', 117, 'cmp', 'printenv', 'O3', 'O1', 0.18944099378881984, 0.03459525108337402]
['CO', 325, 'BO', 83, 'printenv', 'lua', 'O0', 'O2', 0.8385423593562974, 0.5566565990447998]
['UO', 17, 'CO', 125, 'objdump', 'mktemp', 'O1', 'O1', 0.908743139102955, 2.591376781463623]
['BO', 61, 'CO', 14, 'git', 'stty', 'O1', 'O3', 0.9652892884304128, 8.305316686630249]
['UO', 28, 'CO', 186, 'readelf', 'shuf', 'O2', 'O1', 0.6885680612846199, 0.3673281669616699]
['UO', 6, 'BO', 28, 'as', 'ruby', 'O1', 'O0', 0.5787513002249691, 73.34576797485352]
['CO', 370, 'BO', 80, 'df', 'ssh', 'O0', 'O3', 0.792767650377056, 2.9779486656188965]
['BO', 17, 'CO', 370, 'codeblocks', 'df', 'O2', 'O0', 0.9117528067158895, 15.637640237808228]
['CO', 378, 'BO', 25, 'runcon', 'dot', 'O0', 'O3', 0.5537190082644629, 0.029728174209594727]
['UO', 16, 'CO', 368, 'size', 'cut', 'O1', 'O0', 0.8521849809079338, 1.447066307067871]
['CO', 189, 'UO', 68, '[', 'readelf', 'O1', 'O0', 0.8243785954629328, 0.8092427253723145]
['BO', 15, 'UO', 7, 'diff', 'ranlib', 'O0', 'O1', 0.6233246789698969, 2.7932913303375244]
['UO', 27, 'CO', 121, 'strip', 'stdbuf', 'O2', 'O1', 0.8900558659217878, 1.5566811561584473]
['UO', 58, 'CO', 104, 'objdump', 'sha384sum', 'O3', 'O1', 0.9160847232642696, 2.049848794937134]
['CO', 132, 'UO', 8, 'factor', 'c++filt', 'O1', 'O1', 0.8285130996937734, 1.6285274028778076]
['BO', 69, 'CO', 69, 'cmp', 'who', 'O3', 'O3', 0.11111111111111116, 0.043668508529663086]
['UO', 78, 'CO', 107, 'elfedit', 'unlink', 'O0', 'O1', 0.21056493030080703, 0.04158496856689453]
['CO', 163, 'UO', 40, 'tsort', 'objdump', 'O1', 'O2', 0.9209962351578338, 2.6972901821136475]
['CO', 391, 'BO', 9, 'link', 'git', 'O0', 'O0', 0.9757302489707901, 9.67365550994873]
['CO', 204, 'UO', 62, 'tac', 'diff3', 'O1', 'O3', 0.18535211267605634, 0.05704307556152344]
['CO', 401, 'BO', 75, 'pathchk', 'gvmap', 'O0', 'O1', 0.6241648106904232, 0.1832444667816162]
['BO', 80, 'CO', 93, 'ssh', 'nl', 'O3', 'O3', 0.9082348480060671, 1.6636102199554443]
['BO', 25, 'CO', 87, 'dot', 'id', 'O3', 'O3', 0.5496957403651116, 0.020457983016967773]
['CO', 281, 'UO', 59, 'hostid', 'locate', 'O2', 'O3', 0.6460454189506656, 0.12183809280395508]
['CO', 391, 'BO', 53, 'link', 'bash', 'O0', 'O0', 0.9558220033543875, 5.514838933944702]
['UO', 66, 'BO', 63, 'nm', 'cluster', 'O0', 'O0', 0.6048234781345344, 4.0468223094940186]
['BO', 80, 'CO', 346, 'ssh', 'tail', 'O3', 'O0', 0.808337326305702, 2.041353702545166]
