['CV', 273, 'BV', 46, 'stty', 'cluster', 'V1', 'V3', 0.662133575098217, 0.14171361923217773]
['BV', 22, 'CV', 57, 'cmp', 'who', 'V3', 'V2', 0.10174029451137889, 0.03592205047607422]
['CV', 36, 'UV', 68, 'chroot', 'diff', 'V2', 'V0', 0.5092848676412485, 0.08044123649597168]
['BV', 59, 'CV', 312, 'make', 'printf', 'V1', 'V1', 0.7900507614213198, 0.215317964553833]
['BV', 4, 'CV', 296, 'geany', 'sum', 'V3', 'V1', 0.9826492927322138, 29.95177459716797]
['BV', 17, 'CV', 253, 'codeblocks', 'fold', 'V2', 'V0', 0.9780858437749933, 12.136053562164307]
['CV', 239, 'UV', 69, 'env', 'sdiff', 'V0', 'V0', 0.49013878743608474, 0.03127264976501465]
['BV', 28, 'CV', 283, 'openssl', 'kill', 'V1', 'V1', 0.9803322555468837, 7.812187671661377]
['CV', 98, 'UV', 61, 'printenv', 'addr2line', 'V3', 'V1', 0.9005770084332002, 1.2016124725341797]
['CV', 152, 'BV', 22, 'env', 'cmp', 'V3', 'V3', 0.14672364672364668, 0.03271913528442383]
['CV', 157, 'UV', 79, 'vdir', 'strings', 'V3', 'V0', 0.6548968441653755, 1.7093732357025146]
['CV', 35, 'BV', 45, 'sum', 'svn', 'V2', 'V3', 0.8268748257596877, 0.8291642665863037]
['CV', 41, 'UV', 34, 'nice', 'elfedit', 'V2', 'V3', 0.22416534181240066, 0.02807474136352539]
['CV', 332, 'BV', 72, '[', 'perl', 'V1', 'V1', 0.9664487726787621, 2.8841137886047363]
['CV', 271, 'UV', 87, 'ptx', 'objdump', 'V1', 'V0', 0.836953100409191, 2.16274356842041]
['CV', 8, 'BV', 61, 'du', 'cmp', 'V2', 'V0', 0.6449348044132397, 0.05528426170349121]
['UV', 9, 'CV', 222, 'readelf', 'df', 'V2', 'V0', 0.6654205607476635, 0.13728570938110352]
['CV', 62, 'UV', 58, 'unexpand', 'objcopy', 'V2', 'V1', 0.927145847871598, 1.6130492687225342]
['UV', 76, 'BV', 49, 'as', 'make', 'V0', 'V3', 0.5440054101053038, 2.8469505310058594]
['CV', 342, 'UV', 18, 'sleep', 'ar', 'V1', 'V2', 0.9267750213857998, 1.3124403953552246]
['BV', 46, 'UV', 0, 'cluster', 'locate', 'V3', 'V2', 0.3542688910696761, 0.20528793334960938]
['CV', 20, 'UV', 32, 'tee', 'addr2line', 'V2', 'V3', 0.9030170449366511, 1.2133970260620117]
['BV', 62, 'CV', 238, 'diff', 'md5sum', 'V0', 'V0', 0.4218118869013272, 0.04814624786376953]
['BV', 61, 'CV', 114, 'cmp', 'expr', 'V0', 'V3', 0.4281045751633987, 0.02480030059814453]
['UV', 40, 'CV', 249, 'diff3', 'tr', 'V3', 'V0', 0.3044569993722537, 0.03673982620239258]
['UV', 33, 'CV', 229, 'ar', 'nohup', 'V3', 'V0', 0.9242437375400884, 1.1979169845581055]
['BV', 32, 'CV', 218, 'perl', 'true', 'V0', 'V0', 0.9728161917262989, 2.328824043273926]
['BV', 17, 'CV', 344, 'codeblocks', 'tac', 'V2', 'V1', 0.9360713912952718, 12.716946363449097]
['BV', 37, 'CV', 220, 'geany', 'cut', 'V1', 'V0', 0.9806719723997334, 23.899529933929443]
['UV', 63, 'CV', 9, 'elfedit', 'users', 'V1', 'V2', 0.17551020408163265, 0.026762962341308594]
['BV', 15, 'UV', 85, 'libvlccore.so', 'elfedit', 'V3', 'V0', 0.9353579588728104, 4.131355285644531]
['UV', 43, 'CV', 245, 'sdiff', '[', 'V3', 'V0', 0.356951871657754, 0.03665900230407715]
['UV', 25, 'CV', 26, 'as', 'date', 'V3', 'V2', 0.915451061152108, 2.11923885345459]
['BV', 48, 'CV', 77, 'gvmap', 'nl', 'V3', 'V2', 0.38137996219281667, 0.17688488960266113]
['UV', 55, 'CV', 117, 'ranlib', 'pinky', 'V1', 'V3', 0.8678841724251398, 1.2494215965270996]
['UV', 69, 'CV', 183, 'sdiff', 'users', 'V0', 'V0', 0.4020618556701031, 0.034609317779541016]
['UV', 72, 'CV', 53, 'find', 'tty', 'V0', 'V2', 0.6993923888711224, 0.12864971160888672]
['CV', 130, 'UV', 85, 'chmod', 'elfedit', 'V3', 'V0', 0.2571428571428571, 0.044875383377075195]
['CV', 321, 'BV', 2, 'hostid', 'cmp', 'V1', 'V1', 0.35733573357335735, 0.023370742797851562]
['CV', 125, 'BV', 13, 'split', 'cp', 'V3', 'V2', 0.23487544483985767, 0.09998297691345215]
['CV', 21, 'UV', 60, 'chgrp', 'gprof', 'V2', 'V1', 0.841010165184244, 1.4612646102905273]
['BV', 37, 'CV', 104, 'geany', 'mkfifo', 'V1', 'V3', 0.9757533094777184, 24.141698360443115]
['CV', 218, 'BV', 62, 'true', 'diff', 'V0', 'V0', 0.5866065679330328, 0.04069399833679199]
['CV', 137, 'UV', 58, 'cksum', 'objcopy', 'V3', 'V1', 0.9123329409320684, 1.7005927562713623]
['CV', 2, 'UV', 61, 'unlink', 'addr2line', 'V2', 'V1', 0.9150268336314848, 1.158421277999878]
['CV', 325, 'BV', 77, 'md5sum', 'perl', 'V1', 'V2', 0.9684690553745928, 3.0972447395324707]
['CV', 288, 'BV', 13, 'expr', 'cp', 'V1', 'V2', 0.1804384485666104, 0.09640955924987793]
['CV', 77, 'BV', 3, 'nl', 'diff', 'V2', 'V1', 0.19317829457364344, 0.11097335815429688]
['UV', 15, 'CV', 91, 'ld', 'basename', 'V2', 'V3', 0.9266435142874551, 1.913499355316162]
['CV', 84, 'UV', 41, 'rmdir', 'cmp', 'V2', 'V3', 0.15781710914454283, 0.032242774963378906]
['CV', 233, 'BV', 38, 'head', 'ruby', 'V0', 'V2', 0.7070063694267515, 0.008329153060913086]
['CV', 273, 'BV', 57, 'stty', 'svn', 'V1', 'V2', 0.7944606413994169, 0.5210862159729004]
['BV', 6, 'CV', 171, 'libvlc.so', 'rmdir', 'V0', 'V3', 0.6796317606444189, 0.2900080680847168]
['BV', 66, 'CV', 216, 'lua', 'dircolors', 'V1', 'V0', 0.8529819694868238, 0.35967278480529785]
['CV', 229, 'BV', 72, 'nohup', 'perl', 'V0', 'V1', 0.9707868173006217, 2.9024252891540527]
['BV', 3, 'CV', 272, 'diff', 'printenv', 'V1', 'V1', 0.6910137228862329, 0.06419897079467773]
['CV', 123, 'BV', 41, 'chroot', 'libvlccore.so', 'V3', 'V1', 0.9178969729155603, 3.7765817642211914]
['CV', 255, 'BV', 46, 'sleep', 'cluster', 'V0', 'V3', 0.7527156549520767, 0.13422369956970215]
['CV', 253, 'UV', 19, 'fold', 'elfedit', 'V0', 'V2', 0.25161290322580643, 0.023988723754882812]
['CV', 310, 'UV', 23, 'tsort', 'strip', 'V1', 'V3', 0.9334044498628467, 1.5232868194580078]
['CV', 291, 'UV', 41, 'pinky', 'cmp', 'V1', 'V3', 0.15064345193035578, 0.035181283950805664]
['CV', 117, 'UV', 32, 'pinky', 'addr2line', 'V3', 'V3', 0.8571428571428571, 1.3481369018554688]
['CV', 150, 'BV', 41, 'mv', 'libvlccore.so', 'V3', 'V1', 0.7717956261645582, 5.546269655227661]
['CV', 270, 'UV', 7, 'users', 'nm', 'V1', 'V2', 0.9204050812827574, 1.2788035869598389]
['CV', 332, 'BV', 43, '[', 'lua', 'V1', 'V0', 0.833167495854063, 0.3666210174560547]
['UV', 23, 'CV', 158, 'strip', '[', 'V3', 'V3', 0.8827632262372932, 1.4448940753936768]
['CV', 103, 'UV', 78, 'dd', 'c++filt', 'V3', 'V0', 0.7662474716383784, 1.3306586742401123]
['BV', 83, 'UV', 77, 'git', 'ranlib', 'V2', 'V0', 0.6455152984341217, 13.998799324035645]
['CV', 334, 'UV', 70, 'shred', 'locate', 'V1', 'V0', 0.32056619483763527, 0.0892484188079834]
['UV', 25, 'CV', 175, 'as', 'stat', 'V3', 'V0', 0.9395273401297498, 2.0534491539001465]
['UV', 47, 'CV', 316, 'sdiff', 'nohup', 'V1', 'V1', 0.37084745762711857, 0.03701162338256836]
['CV', 299, 'UV', 82, 'split', 'gprof', 'V1', 'V0', 0.9090752242926156, 1.229191780090332]
['BV', 16, 'CV', 283, 'libvlc.so', 'kill', 'V3', 'V1', 0.8278352527815733, 0.38433361053466797]
['BV', 56, 'CV', 120, 'ssh', 'sync', 'V3', 'V3', 0.9179440349618421, 1.5967106819152832]
['BV', 12, 'UV', 23, 'sort', 'strip', 'V2', 'V3', 0.7779955207166853, 2.033097982406616]
['UV', 20, 'CV', 187, 'size', 'join', 'V2', 'V0', 0.8916037316748112, 1.1474688053131104]
['BV', 75, 'CV', 320, 'cmp', 'head', 'V2', 'V1', 0.16934865900383145, 0.029979228973388672]
['CV', 15, 'BV', 12, 'uptime', 'sort', 'V2', 'V2', 0.42501112594570545, 0.0720217227935791]
['CV', 151, 'UV', 87, 'md5sum', 'objdump', 'V3', 'V0', 0.901472696468135, 1.9424772262573242]
['BV', 50, 'CV', 202, 'sort', 'chown', 'V0', 'V0', 0.11948204826368447, 0.04446530342102051]
['BV', 42, 'CV', 164, 'libvlc.so', 'nl', 'V1', 'V3', 0.7005614472863381, 0.31155920028686523]
['UV', 10, 'BV', 2, 'as', 'cmp', 'V2', 'V1', 0.9142449329146446, 2.128063917160034]
['BV', 3, 'CV', 87, 'diff', 'touch', 'V1', 'V3', 0.258456486042693, 0.10855937004089355]
['BV', 25, 'CV', 70, 'git', 'vdir', 'V3', 'V2', 0.9507338006444618, 12.836313962936401]
['BV', 53, 'CV', 129, 'ssh', 'dircolors', 'V2', 'V3', 0.9513003147258572, 4.832216262817383]
['CV', 312, 'BV', 63, 'printf', 'ruby', 'V1', 'V0', 0.9792893482353884, 12.769299983978271]
