['UV', 63, 'CV', 300, 'elfedit', 'whoami', 'V1', 'V1', 0.29174664107485604, 0.020801305770874023]
['BV', 69, 'CV', 0, 'gvmap', 'touch', 'V0', 'V2', 0.5644525326053988, 0.25876641273498535]
['CV', 232, 'BV', 66, 'readlink', 'lua', 'V0', 'V1', 0.8702753149790013, 0.7525210380554199]
['UV', 19, 'CV', 210, 'elfedit', 'chroot', 'V2', 'V0', 0.30067243035542746, 0.042864084243774414]
['BV', 72, 'UV', 66, 'perl', 'diff3', 'V1', 'V0', 0.9361003480659356, 2.9324798583984375]
['BV', 72, 'UV', 22, 'perl', 'nm', 'V1', 'V3', 0.46956781815462834, 6.490299940109253]
['CV', 191, 'BV', 72, 'mkfifo', 'perl', 'V0', 'V1', 0.9744165020259183, 2.7970564365386963]
['UV', 49, 'CV', 122, 'xargs', 'sum', 'V1', 'V3', 0.08615188257817485, 0.036249637603759766]
['UV', 17, 'CV', 248, 'addr2line', 'pathchk', 'V2', 'V0', 0.930175470497318, 1.0274503231048584]
['UV', 46, 'CV', 267, 'diff', 'fmt', 'V1', 'V1', 0.7097402597402598, 0.09385967254638672]
['UV', 57, 'CV', 149, 'strings', 'unexpand', 'V1', 'V3', 0.8747034531236271, 1.0698165893554688]
['BV', 31, 'CV', 74, 'codeblocks', 'pathchk', 'V0', 'V2', 0.9718964372648816, 11.046515226364136]
['UV', 25, 'CV', 343, 'as', 'sort', 'V3', 'V1', 0.8756441855254313, 2.090477228164673]
['CV', 267, 'UV', 87, 'fmt', 'objdump', 'V1', 'V0', 0.9405466515927379, 1.7413771152496338]
['CV', 302, 'UV', 25, 'nice', 'as', 'V1', 'V3', 0.9534449565369582, 2.118396759033203]
['BV', 9, 'CV', 148, 'dot', 'ginstall', 'V2', 'V3', 0.8217821782178217, 0.0877840518951416]
['CV', 27, 'BV', 72, 'expr', 'perl', 'V2', 'V1', 0.9108763287529168, 3.485905647277832]
['CV', 226, 'BV', 65, 'logname', 'ssh', 'V0', 'V1', 0.9762033167048672, 4.478335618972778]
['UV', 36, 'CV', 313, 'objdump', 'logname', 'V3', 'V1', 0.9570425444031392, 1.986975908279419]
['CV', 88, 'UV', 25, 'stat', 'as', 'V3', 'V3', 0.8589829002886964, 2.685227632522583]
['BV', 34, 'UV', 59, 'svn', 'ld', 'V0', 'V1', 0.549648700437282, 4.613552093505859]
['CV', 19, 'BV', 72, 'pr', 'perl', 'V2', 'V1', 0.9427347611202636, 3.2935471534729004]
['BV', 14, 'UV', 81, 'openssl', 'ld', 'V3', 'V0', 0.3574841715446183, 15.940751075744629]
['UV', 31, 'CV', 124, 'gprof', 'seq', 'V3', 'V3', 0.8742524916943522, 1.200815200805664]
['UV', 40, 'CV', 5, 'diff3', 'mkdir', 'V3', 'V2', 0.14977973568281944, 0.04681229591369629]
['CV', 160, 'BV', 76, 'shred', 'diff', 'V3', 'V2', 0.31994091580502215, 0.14345049858093262]
['UV', 62, 'CV', 65, 'ar', 'env', 'V1', 'V2', 0.9216316858496953, 1.12925386428833]
['UV', 70, 'CV', 61, 'locate', 'ginstall', 'V0', 'V2', 0.08787128712871284, 0.13882803916931152]
['UV', 25, 'CV', 46, 'as', 'cut', 'V3', 'V2', 0.9211658729703368, 2.0104572772979736]
['UV', 61, 'BV', 55, 'addr2line', 'codeblocks', 'V1', 'V3', 0.561020862538138, 45.197373151779175]
