['UV', 78, 'CV', 211, 'c++filt', 'seq', 'V0', 'V0', 0.9205969578111547, 1.8846094608306885]
['BV', 12, 'CV', 251, 'sort', 'nl', 'V2', 'V0', 0.17285714285714282, 0.18674445152282715]
['UV', 8, 'CV', 325, 'strip', 'md5sum', 'V2', 'V1', 0.9276423979668111, 3.115610122680664]
['CV', 307, 'BV', 68, 'cut', 'dot', 'V1', 'V0', 0.40740740740740744, 0.029945850372314453]
['UV', 17, 'CV', 76, 'addr2line', 'comm', 'V2', 'V2', 0.8928316690442225, 2.4349660873413086]
['UV', 16, 'CV', 227, 'gprof', 'tty', 'V2', 'V0', 0.9407332147997629, 1.5307176113128662]
['UV', 49, 'CV', 327, 'xargs', 'link', 'V1', 'V1', 0.36640557006092256, 0.022598743438720703]
['CV', 204, 'UV', 63, 'pinky', 'elfedit', 'V0', 'V1', 0.1468189233278956, 0.0299680233001709]
['CV', 54, 'UV', 15, 'false', 'ld', 'V2', 'V2', 0.9466880078798325, 1.9736242294311523]
['CV', 221, 'UV', 85, 'od', 'elfedit', 'V0', 'V0', 0.12903225806451613, 0.030436038970947266]
['CV', 15, 'UV', 4, 'uptime', 'cmp', 'V2', 'V2', 0.12393162393162394, 0.03506183624267578]
['CV', 252, 'UV', 26, 'rm', 'ranlib', 'V0', 'V3', 0.8713647475343504, 1.402747392654419]
['BV', 53, 'CV', 119, 'ssh', 'paste', 'V2', 'V3', 0.955641144830334, 4.451143264770508]
['CV', 57, 'BV', 53, 'who', 'ssh', 'V2', 'V2', 0.9509771447499172, 5.178324222564697]
['BV', 51, 'CV', 298, 'cp', 'seq', 'V0', 'V1', 0.44270833333333326, 0.03767895698547363]
['BV', 1, 'UV', 84, 'libSDL2-2.0.so', 'ar', 'V3', 'V0', 0.35028651076351247, 11.622997760772705]
['BV', 70, 'CV', 312, 'ssh', 'printf', 'V0', 'V1', 0.9642548484115187, 4.087893009185791]
['BV', 30, 'CV', 272, 'bash', 'printenv', 'V0', 'V1', 0.9650405689672443, 2.3283884525299072]
['BV', 3, 'CV', 152, 'diff', 'env', 'V1', 'V3', 0.49453125, 0.07844924926757812]
['UV', 78, 'BV', 9, 'c++filt', 'dot', 'V0', 'V2', 0.9561531715872552, 0.9100017547607422]
['UV', 58, 'BV', 83, 'objcopy', 'git', 'V1', 'V2', 0.5689520537248165, 29.5087468624115]
['CV', 104, 'BV', 26, 'mkfifo', 'geany', 'V3', 'V2', 0.9767568276818684, 28.98471212387085]
['CV', 278, 'BV', 71, 'mkfifo', 'ruby', 'V1', 'V1', 0.615866388308977, 0.006329774856567383]
['UV', 41, 'CV', 88, 'cmp', 'stat', 'V3', 'V3', 0.25988142292490113, 0.06380057334899902]
['CV', 109, 'UV', 35, 'kill', 'size', 'V3', 'V3', 0.8809160305343512, 1.2803945541381836]
['CV', 90, 'BV', 42, 'test', 'libvlc.so', 'V3', 'V1', 0.6945077720207253, 0.3576347827911377]
['BV', 25, 'CV', 293, 'git', 'paste', 'V3', 'V1', 0.9874902754006535, 11.04362440109253]
['UV', 80, 'CV', 75, 'objcopy', 'tr', 'V0', 'V2', 0.9028903392383275, 1.4134547710418701]
