['CV', 130, 'UV', 63, 'chmod', 'elfedit', 'V3', 'V1', 0.2623873873873874, 0.07652497291564941]
['BV', 51, 'UV', 23, 'cp', 'strip', 'V0', 'V3', 0.8393620877129395, 3.266390323638916]
['BV', 76, 'CV', 325, 'diff', 'md5sum', 'V2', 'V1', 0.643199410246959, 0.20084142684936523]
['BV', 11, 'UV', 5, 'bash', 'diff', 'V1', 'V2', 0.8062749869633234, 7.2260143756866455]
['UV', 39, 'CV', 277, 'find', 'dd', 'V3', 'V1', 0.7266689968542468, 0.7873373031616211]
['BV', 78, 'CV', 139, 'make', 'logname', 'V2', 'V3', 0.7732569622753308, 0.3904416561126709]
['BV', 75, 'UV', 56, 'cmp', 'c++filt', 'V2', 'V1', 0.8661368653421634, 2.056480884552002]
['UV', 25, 'CV', 292, 'as', 'sha1sum', 'V3', 'V1', 0.9435802182493616, 1.992018222808838]
['BV', 56, 'CV', 53, 'ssh', 'tty', 'V3', 'V2', 0.9372735059629703, 1.504587173461914]
['CV', 326, 'BV', 82, 'env', 'gvmap', 'V1', 'V1', 0.7796765334147086, 0.13137221336364746]
['UV', 44, 'CV', 24, 'diff3', 'factor', 'V1', 'V2', 0.29288975864318334, 0.03383970260620117]
['UV', 80, 'CV', 88, 'objcopy', 'stat', 'V0', 'V3', 0.8252614199229499, 1.6266822814941406]
['CV', 226, 'UV', 18, 'logname', 'ar', 'V0', 'V2', 0.939216530348687, 1.2481975555419922]
['UV', 80, 'CV', 41, 'objcopy', 'nice', 'V0', 'V2', 0.925399129172714, 1.3429067134857178]
['CV', 278, 'UV', 52, 'mkfifo', 'strip', 'V1', 'V1', 0.9454737583656218, 1.5656321048736572]
['UV', 81, 'BV', 31, 'ld', 'codeblocks', 'V0', 'V0', 0.4217082202903143, 36.959447622299194]
['CV', 38, 'BV', 47, 'split', 'dot', 'V2', 'V3', 0.6265560165975104, 0.02398085594177246]
['BV', 33, 'CV', 345, 'openssl', 'rmdir', 'V0', 'V1', 0.9820079335096336, 6.761327743530273]
['CV', 251, 'UV', 78, 'nl', 'c++filt', 'V0', 'V0', 0.7865978464002847, 1.2529714107513428]
['CV', 63, 'BV', 80, 'mv', 'cluster', 'V2', 'V1', 0.283466362599772, 0.2324998378753662]
['CV', 322, 'UV', 1, 'ginstall', 'xargs', 'V1', 'V2', 0.08618654073199528, 0.09582996368408203]
['BV', 14, 'CV', 342, 'openssl', 'sleep', 'V3', 'V1', 0.9550868356157196, 6.690314292907715]
['CV', 227, 'UV', 65, 'tty', 'objdump', 'V0', 'V1', 0.9546690843155031, 1.861138105392456]
['BV', 45, 'CV', 236, 'svn', 'unexpand', 'V3', 'V0', 0.8821669780140825, 0.6764578819274902]
['UV', 30, 'CV', 154, 'ld', 'uname', 'V3', 'V3', 0.9296120870555789, 2.2308976650238037]
['UV', 66, 'CV', 171, 'diff3', 'rmdir', 'V0', 'V3', 0.1706443914081146, 0.040567636489868164]
['BV', 13, 'CV', 154, 'cp', 'uname', 'V2', 'V3', 0.49348392701998267, 0.06986236572265625]
['BV', 16, 'CV', 326, 'libvlc.so', 'env', 'V3', 'V1', 0.8564631245043616, 0.36848998069763184]
['CV', 102, 'BV', 83, 'uptime', 'git', 'V3', 'V2', 0.9667136591478697, 9.424947738647461]
['CV', 193, 'UV', 80, 'pr', 'objcopy', 'V0', 'V0', 0.8889363519863306, 1.7255825996398926]
['CV', 291, 'UV', 84, 'pinky', 'ar', 'V1', 'V0', 0.9005001316135826, 1.2629351615905762]
['BV', 46, 'CV', 284, 'cluster', 'wc', 'V3', 'V1', 0.6859250153657037, 0.13052821159362793]
