['BV', 25, 'CV', 178, 'git', 'basename', 'V3', 'V0', 0.9889447705650624, 11.558343410491943]
['CV', 215, 'BV', 61, 'nice', 'cmp', 'V0', 'V0', 0.09164420485175206, 0.013864517211914062]
['CV', 278, 'UV', 18, 'mkfifo', 'ar', 'V1', 'V2', 0.9335565284573784, 1.2781002521514893]
['CV', 111, 'UV', 78, 'factor', 'c++filt', 'V3', 'V0', 0.8158465991316932, 1.1888692378997803]
['UV', 6, 'CV', 109, 'sdiff', 'kill', 'V2', 'V3', 0.23792486583184258, 0.04280233383178711]
['UV', 78, 'CV', 141, 'c++filt', 'false', 'V0', 'V3', 0.8964670319289628, 0.947333574295044]
['BV', 36, 'CV', 174, 'libvlc.so', 'touch', 'V2', 'V0', 0.7707464948844259, 0.3957700729370117]
['CV', 208, 'UV', 26, 'echo', 'ranlib', 'V0', 'V3', 0.9393727614222067, 1.219123125076294]
['BV', 28, 'UV', 16, 'openssl', 'gprof', 'V1', 'V2', 0.5897252304663027, 13.677646160125732]
['BV', 20, 'UV', 86, 'sort', 'size', 'V1', 'V0', 0.8292307692307692, 1.259688138961792]
['CV', 214, 'UV', 23, 'ls', 'strip', 'V0', 'V3', 0.8139734247749678, 1.9434568881988525]
['CV', 175, 'UV', 73, 'stat', 'nm', 'V0', 'V0', 0.9041058142739047, 1.1666803359985352]
['UV', 27, 'CV', 246, 'c++filt', 'id', 'V3', 'V0', 0.9166201377256654, 1.0155444145202637]
['CV', 62, 'BV', 36, 'unexpand', 'libvlc.so', 'V2', 'V2', 0.8001924927815207, 0.42191362380981445]
['UV', 73, 'CV', 89, 'nm', 'unlink', 'V0', 'V3', 0.8919412247878069, 0.9895675182342529]
['BV', 2, 'CV', 306, 'cmp', 'cp', 'V1', 'V1', 0.20320000000000005, 0.055249691009521484]
['UV', 4, 'CV', 226, 'cmp', 'logname', 'V2', 'V0', 0.3681368136813681, 0.023567676544189453]
['CV', 329, 'UV', 39, 'cat', 'find', 'V1', 'V3', 0.8434750046807714, 0.35988569259643555]
['BV', 36, 'UV', 47, 'libvlc.so', 'sdiff', 'V2', 'V1', 0.6606828581485392, 0.4398610591888428]
['BV', 41, 'CV', 221, 'libvlccore.so', 'od', 'V1', 'V0', 0.9332833583208395, 3.1039154529571533]
['UV', 68, 'CV', 223, 'diff', 'tsort', 'V0', 'V0', 0.6352739726027398, 0.06717538833618164]
['BV', 50, 'CV', 295, 'sort', 'echo', 'V0', 'V1', 0.4401876465989054, 0.027577638626098633]
['BV', 6, 'CV', 57, 'libvlc.so', 'who', 'V0', 'V2', 0.6668188041989959, 0.283433198928833]
['UV', 11, 'CV', 174, 'ranlib', 'touch', 'V2', 'V0', 0.8980365720064043, 1.200120210647583]
['BV', 34, 'CV', 203, 'svn', 'tail', 'V0', 'V0', 0.727255603691844, 0.3930318355560303]
['UV', 82, 'BV', 44, 'gprof', 'make', 'V0', 'V0', 0.47511911064055057, 1.7215046882629395]
['BV', 4, 'CV', 168, 'geany', 'sleep', 'V3', 'V3', 0.9787197051357835, 29.03296399116516]
['UV', 51, 'CV', 342, 'nm', 'sleep', 'V1', 'V1', 0.9243883049200601, 1.0723841190338135]
['UV', 35, 'BV', 30, 'size', 'bash', 'V3', 'V0', 0.3125727009870717, 7.772411584854126]
['BV', 72, 'CV', 64, 'perl', 'md5sum', 'V1', 'V2', 0.9609551682852202, 2.6117963790893555]
['CV', 142, 'UV', 83, 'nohup', 'addr2line', 'V3', 'V0', 0.8733548090197883, 1.1498656272888184]
['CV', 257, 'BV', 32, 'tac', 'perl', 'V0', 'V0', 0.9006282124500286, 3.208493232727051]
['CV', 197, 'BV', 21, 'wc', 'cp', 'V0', 'V1', 0.4336734693877551, 0.04339957237243652]
['UV', 83, 'BV', 67, 'addr2line', 'cluster', 'V0', 'V0', 0.613731863949893, 1.4431002140045166]
['UV', 60, 'CV', 157, 'gprof', 'vdir', 'V1', 'V3', 0.6913211396924871, 1.5698208808898926]
['UV', 71, 'CV', 330, 'xargs', 'csplit', 'V0', 'V1', 0.3976377952755905, 0.052880048751831055]
['CV', 13, 'BV', 58, 'join', 'ruby', 'V2', 'V3', 0.784037558685446, 0.011966228485107422]
['CV', 318, 'BV', 9, 'who', 'dot', 'V1', 'V2', 0.4636591478696741, 0.016335248947143555]
['CV', 273, 'BV', 82, 'stty', 'gvmap', 'V1', 'V1', 0.6777713957495692, 0.15022993087768555]
['BV', 43, 'CV', 265, 'lua', 'basename', 'V0', 'V1', 0.8691241122759553, 0.30033230781555176]
['UV', 21, 'CV', 178, 'objdump', 'basename', 'V2', 'V0', 0.9524861138994847, 1.6422195434570312]
['BV', 56, 'UV', 50, 'ssh', 'find', 'V3', 'V1', 0.6173606909070906, 2.447126865386963]
['UV', 38, 'CV', 291, 'xargs', 'pinky', 'V3', 'V1', 0.40414232607541156, 0.07301878929138184]
['BV', 45, 'CV', 340, 'svn', 'fold', 'V3', 'V1', 0.8789269832161813, 0.6834580898284912]
['CV', 132, 'BV', 27, 'cp', 'libSDL2-2.0.so', 'V3', 'V1', 0.7929274889013624, 6.7010321617126465]
['CV', 80, 'UV', 13, 'uniq', 'strings', 'V2', 'V2', 0.8801958166444148, 1.2441108226776123]
['UV', 84, 'CV', 102, 'ar', 'uptime', 'V0', 'V3', 0.8544520547945206, 1.1468605995178223]
['CV', 317, 'BV', 71, 'yes', 'ruby', 'V1', 'V1', 0.5902004454342984, 0.005666494369506836]
['CV', 261, 'UV', 4, 'touch', 'cmp', 'V1', 'V2', 0.10740203193033382, 0.036211252212524414]
['BV', 24, 'CV', 288, 'git', 'expr', 'V0', 'V1', 0.9333404436860068, 4.364760875701904]
['UV', 69, 'CV', 315, 'sdiff', 'false', 'V0', 'V1', 0.5111111111111111, 0.030205965042114258]
['BV', 14, 'UV', 49, 'openssl', 'xargs', 'V3', 'V1', 0.9192377028071079, 6.772061586380005]
['BV', 4, 'UV', 22, 'geany', 'nm', 'V3', 'V3', 0.6851377559329059, 42.083165884017944]
['CV', 1, 'BV', 77, 'stat', 'perl', 'V2', 'V2', 0.960550220607319, 3.23315167427063]
['BV', 39, 'CV', 199, 'svn', 'expand', 'V1', 'V0', 0.8475689881734559, 0.42081594467163086]
['CV', 309, 'BV', 8, 'df', 'cluster', 'V1', 'V2', 0.5832611832611833, 0.16576099395751953]
['UV', 61, 'CV', 116, 'addr2line', 'tail', 'V1', 'V3', 0.7993956689608863, 1.2145752906799316]
