['CV', 43, 'UV', 5, 'chmod', 'diff', 'V2', 'V2', 0.41318124207858054, 0.2278881072998047]
['BV', 31, 'CV', 197, 'codeblocks', 'wc', 'V0', 'V0', 0.9753934825980936, 19.412144422531128]
['CV', 15, 'UV', 66, 'uptime', 'diff3', 'V2', 'V0', 0.20444718962322428, 0.04262661933898926]
['BV', 72, 'CV', 81, 'perl', 'sleep', 'V1', 'V2', 0.964548695565255, 2.742849111557007]
['CV', 60, 'UV', 28, 'hostid', 'strings', 'V2', 'V3', 0.912563276576162, 1.1986844539642334]
['CV', 163, 'UV', 27, 'comm', 'c++filt', 'V3', 'V3', 0.8627238198589257, 1.2806804180145264]
['UV', 81, 'CV', 50, 'ld', 'cksum', 'V0', 'V2', 0.9373899432596361, 1.7011911869049072]
['UV', 46, 'CV', 72, 'diff', 'id', 'V1', 'V2', 0.6425452276980661, 0.10458970069885254]
['UV', 63, 'CV', 222, 'elfedit', 'df', 'V1', 'V0', 0.12409812409812404, 0.036531925201416016]
['CV', 143, 'UV', 13, 'yes', 'strings', 'V3', 'V2', 0.8946990761503274, 1.2703266143798828]
['CV', 281, 'BV', 55, 'tee', 'codeblocks', 'V1', 'V3', 0.9772994743311453, 15.17396354675293]
['CV', 193, 'BV', 0, 'pr', 'bash', 'V0', 'V2', 0.93109236273687, 3.7178664207458496]
['BV', 63, 'UV', 43, 'ruby', 'sdiff', 'V0', 'V3', 0.9599357385112756, 12.345091581344604]
['BV', 35, 'CV', 164, 'libvlccore.so', 'nl', 'V2', 'V3', 0.9309753074649633, 4.279136657714844]
['UV', 52, 'BV', 78, 'strip', 'make', 'V1', 'V2', 0.5140483218541598, 2.5311741828918457]
['CV', 116, 'BV', 54, 'tail', 'lua', 'V3', 'V3', 0.7058169692478696, 0.6472411155700684]
['BV', 78, 'CV', 79, 'make', 'fold', 'V2', 'V2', 0.7865817240692813, 0.2368910312652588]
['CV', 186, 'BV', 5, 'stty', 'libvlccore.so', 'V0', 'V0', 0.9391085313766291, 3.8382198810577393]
['UV', 10, 'CV', 313, 'as', 'logname', 'V2', 'V1', 0.9574964969640355, 2.058509588241577]
['BV', 11, 'UV', 46, 'bash', 'diff', 'V1', 'V1', 0.7751110351896139, 3.5483081340789795]
['CV', 336, 'UV', 10, 'tr', 'as', 'V1', 'V2', 0.9347913901552312, 2.3848414421081543]
['CV', 70, 'BV', 65, 'vdir', 'ssh', 'V2', 'V1', 0.8956932229694775, 6.633794784545898]
['UV', 26, 'CV', 334, 'ranlib', 'shred', 'V3', 'V1', 0.8614791212476941, 1.3673572540283203]
['CV', 167, 'BV', 32, 'uniq', 'perl', 'V3', 'V0', 0.9263240583784678, 3.247204065322876]
['CV', 310, 'BV', 39, 'tsort', 'svn', 'V1', 'V1', 0.8375653472740852, 0.5114154815673828]
['BV', 46, 'CV', 248, 'cluster', 'pathchk', 'V3', 'V0', 0.7549584133077415, 0.12900352478027344]
['BV', 53, 'CV', 270, 'ssh', 'users', 'V2', 'V1', 0.9700314402301157, 4.731908559799194]
['UV', 29, 'CV', 14, 'objcopy', 'dirname', 'V3', 'V2', 0.9265052008199833, 1.4299263954162598]
['UV', 3, 'CV', 68, 'diff3', 'cat', 'V2', 'V2', 0.07808292945611206, 0.04997825622558594]
['CV', 237, 'BV', 61, 'mv', 'cmp', 'V0', 'V0', 0.5709090909090909, 0.04696345329284668]
['CV', 222, 'BV', 29, 'df', 'perl', 'V0', 'V3', 0.9494046567501678, 3.738109588623047]
['CV', 335, 'BV', 51, 'pathchk', 'cp', 'V1', 'V0', 0.47571523619427813, 0.03918027877807617]
['BV', 56, 'CV', 97, 'ssh', 'ptx', 'V3', 'V3', 0.8531635996975044, 1.7894365787506104]
['UV', 36, 'CV', 176, 'objdump', 'unlink', 'V3', 'V0', 0.9587762815969761, 2.148684024810791]
['CV', 293, 'BV', 6, 'paste', 'libvlc.so', 'V1', 'V0', 0.8041543026706232, 0.29915642738342285]
['BV', 83, 'CV', 130, 'git', 'chmod', 'V2', 'V3', 0.9569046134663342, 8.751453638076782]
['CV', 112, 'UV', 33, 'expand', 'ar', 'V3', 'V3', 0.8811965087704432, 1.4664788246154785]
['CV', 155, 'UV', 47, 'cat', 'sdiff', 'V3', 'V1', 0.23539823008849559, 0.0449521541595459]
['CV', 211, 'BV', 42, 'seq', 'libvlc.so', 'V0', 'V1', 0.8154325105625972, 0.3312711715698242]
['BV', 0, 'CV', 37, 'bash', 'seq', 'V2', 'V2', 0.9450969923473928, 3.038428544998169]
['CV', 207, 'UV', 86, 'sync', 'size', 'V0', 'V0', 0.9440810987573578, 1.1083126068115234]
['UV', 84, 'CV', 288, 'ar', 'expr', 'V0', 'V1', 0.793046357615894, 1.290337085723877]
['CV', 326, 'UV', 7, 'env', 'nm', 'V1', 'V2', 0.93518932951392, 1.2678828239440918]
['CV', 68, 'UV', 86, 'cat', 'size', 'V2', 'V0', 0.8645130939313157, 1.272545576095581]
['BV', 76, 'CV', 132, 'diff', 'cp', 'V2', 'V3', 0.08108108108108114, 0.2150731086730957]
['CV', 324, 'BV', 3, 'mv', 'diff', 'V1', 'V1', 0.21999999999999997, 0.14448952674865723]
['UV', 52, 'CV', 288, 'strip', 'expr', 'V1', 'V1', 0.833975295523974, 1.6998283863067627]
['CV', 128, 'BV', 67, 'nice', 'cluster', 'V3', 'V0', 0.6063095629313178, 0.13101577758789062]
['UV', 31, 'CV', 120, 'gprof', 'sync', 'V3', 'V3', 0.8942331906320826, 1.2579991817474365]
['CV', 121, 'UV', 48, 'echo', 'locate', 'V3', 'V1', 0.5383980181668043, 0.08339548110961914]
['BV', 68, 'CV', 128, 'dot', 'nice', 'V0', 'V3', 0.47596153846153844, 0.016130924224853516]
['CV', 114, 'UV', 25, 'expr', 'as', 'V3', 'V3', 0.9012037247331365, 2.5657958984375]
['CV', 105, 'BV', 49, 'pwd', 'make', 'V3', 'V3', 0.741439296832082, 0.31940698623657227]
['CV', 51, 'BV', 70, 'printf', 'ssh', 'V2', 'V0', 0.9488269995884209, 4.9940526485443115]
['CV', 9, 'UV', 31, 'users', 'gprof', 'V2', 'V3', 0.9062341611758743, 1.3644437789916992]
['CV', 247, 'BV', 20, 'shred', 'sort', 'V0', 'V1', 0.22350356946732564, 0.05809211730957031]
