['CV', 71, 'UV', 66, '[', 'diff3', 'V2', 'V0', 0.23977344241661425, 0.06732392311096191]
['UV', 0, 'CV', 305, 'locate', 'true', 'V2', 'V1', 0.6014405762304922, 0.09299206733703613]
['CV', 265, 'BV', 3, 'basename', 'diff', 'V1', 'V1', 0.6630387461906835, 0.1323246955871582]
['UV', 13, 'CV', 238, 'strings', 'md5sum', 'V2', 'V0', 0.9094278224713007, 1.6268320083618164]
['CV', 215, 'BV', 62, 'nice', 'diff', 'V0', 'V0', 0.5209876543209877, 0.0974266529083252]
['UV', 14, 'CV', 257, 'objcopy', 'tac', 'V2', 'V0', 0.8273809523809523, 3.3026819229125977]
['CV', 241, 'UV', 9, 'uname', 'readelf', 'V0', 'V2', 0.8197600204237937, 0.24920272827148438]
['BV', 26, 'CV', 88, 'geany', 'stat', 'V2', 'V3', 0.9529620918905906, 31.262008905410767]
['CV', 340, 'BV', 40, 'fold', 'lua', 'V1', 'V2', 0.8762826150688947, 0.4069173336029053]
['UV', 14, 'CV', 80, 'objcopy', 'uniq', 'V2', 'V2', 0.9007886784108499, 1.3825538158416748]
['CV', 259, 'UV', 37, 'mknod', 'locate', 'V0', 'V3', 0.6694477552642034, 0.10750246047973633]
['BV', 80, 'CV', 270, 'cluster', 'users', 'V1', 'V1', 0.7197492163009405, 0.11956787109375]
['CV', 217, 'BV', 50, 'chmod', 'sort', 'V0', 'V0', 0.17440401505646175, 0.03869175910949707]
['BV', 67, 'CV', 310, 'cluster', 'tsort', 'V0', 'V1', 0.696484510964149, 0.10061073303222656]
['CV', 53, 'BV', 7, 'tty', 'libSDL2-2.0.so', 'V2', 'V0', 0.9337693056908307, 3.7656402587890625]
['UV', 54, 'CV', 300, 'as', 'whoami', 'V1', 'V1', 0.9563252127971823, 1.8247873783111572]
['CV', 94, 'BV', 58, 'dir', 'ruby', 'V3', 'V3', 0.9172661870503597, 0.06395697593688965]
['CV', 345, 'UV', 21, 'rmdir', 'objdump', 'V1', 'V2', 0.9490947959115505, 1.7970306873321533]
['UV', 3, 'CV', 237, 'diff3', 'mv', 'V2', 'V0', 0.1411096548711228, 0.07304048538208008]
['CV', 173, 'BV', 6, 'ln', 'libvlc.so', 'V3', 'V0', 0.4517846578584106, 0.40404391288757324]
['CV', 129, 'BV', 72, 'dircolors', 'perl', 'V3', 'V1', 0.9513502779984114, 3.150070905685425]
['BV', 66, 'CV', 72, 'lua', 'id', 'V1', 'V2', 0.8259681093394078, 0.34845757484436035]
['CV', 134, 'UV', 61, 'od', 'addr2line', 'V3', 'V1', 0.8156533536843891, 1.3562719821929932]
['UV', 18, 'CV', 131, 'ar', 'true', 'V2', 'V3', 0.9071972904318374, 1.1690435409545898]
['CV', 89, 'UV', 36, 'unlink', 'objdump', 'V3', 'V3', 0.9310625909752547, 2.310410499572754]
['UV', 31, 'CV', 293, 'gprof', 'paste', 'V3', 'V1', 0.931193838254172, 1.1221940517425537]
['UV', 32, 'CV', 56, 'addr2line', 'yes', 'V3', 'V2', 0.9159401670184455, 1.0507993698120117]
['UV', 30, 'BV', 21, 'ld', 'cp', 'V3', 'V1', 0.8694237918215614, 2.2986602783203125]
['CV', 281, 'UV', 82, 'tee', 'gprof', 'V1', 'V0', 0.9245151752326289, 1.1709084510803223]
['CV', 86, 'UV', 66, 'ln', 'diff3', 'V2', 'V0', 0.06148867313915862, 0.04961204528808594]
['CV', 295, 'UV', 70, 'echo', 'locate', 'V1', 'V0', 0.6318510858324715, 0.05817055702209473]
['BV', 76, 'CV', 205, 'diff', 'sha1sum', 'V2', 'V0', 0.6329670329670329, 0.09241914749145508]
['CV', 309, 'BV', 7, 'df', 'libSDL2-2.0.so', 'V1', 'V0', 0.9011011558716914, 4.0963897705078125]
['BV', 48, 'CV', 101, 'gvmap', 'dirname', 'V3', 'V3', 0.6757376109997135, 0.1347033977508545]
['BV', 71, 'CV', 210, 'ruby', 'chroot', 'V1', 'V0', 0.599128540305011, 0.00607752799987793]
['UV', 67, 'CV', 220, 'cmp', 'cut', 'V0', 'V0', 0.2138263665594855, 0.028237342834472656]
['CV', 12, 'BV', 36, 'stty', 'libvlc.so', 'V2', 'V2', 0.7282949308755761, 0.48600006103515625]
['UV', 72, 'CV', 325, 'find', 'md5sum', 'V0', 'V1', 0.691866028708134, 0.13374900817871094]
['UV', 38, 'CV', 262, 'xargs', 'stat', 'V3', 'V1', 0.44687842278203727, 0.06830835342407227]
['CV', 224, 'BV', 14, 'cksum', 'openssl', 'V0', 'V3', 0.9612611190062635, 7.214987754821777]
['CV', 235, 'UV', 35, 'ginstall', 'size', 'V0', 'V3', 0.7920766663814495, 1.5446701049804688]
['CV', 54, 'BV', 14, 'false', 'openssl', 'V2', 'V3', 0.9545740663029795, 7.162557601928711]
['CV', 213, 'BV', 20, 'whoami', 'sort', 'V0', 'V1', 0.5091774303195106, 0.03666353225708008]
['CV', 199, 'UV', 70, 'expand', 'locate', 'V0', 'V0', 0.5907258064516129, 0.06087207794189453]
['CV', 247, 'UV', 22, 'shred', 'nm', 'V0', 'V3', 0.8747357293868921, 1.3209946155548096]
['CV', 234, 'UV', 39, 'hostid', 'find', 'V0', 'V3', 0.8676024279210925, 0.3389928340911865]
['BV', 23, 'CV', 242, 'diff', 'cat', 'V3', 'V0', 0.6946736684171043, 0.08719825744628906]
['CV', 136, 'UV', 47, 'tsort', 'sdiff', 'V3', 'V1', 0.20967741935483875, 0.04428458213806152]
['UV', 18, 'CV', 243, 'ar', 'csplit', 'V2', 'V0', 0.7762006150934468, 1.3263838291168213]
['UV', 45, 'CV', 328, 'cmp', 'uname', 'V1', 'V1', 0.3530465949820789, 0.024222135543823242]
['CV', 67, 'UV', 44, 'uname', 'diff3', 'V2', 'V1', 0.34785568413887, 0.032665252685546875]
['UV', 6, 'CV', 12, 'sdiff', 'stty', 'V2', 'V2', 0.1902604756511891, 0.04634571075439453]
['CV', 294, 'UV', 59, 'sync', 'ld', 'V1', 'V1', 0.956211623147057, 1.9551379680633545]
['BV', 8, 'CV', 310, 'cluster', 'tsort', 'V2', 'V1', 0.7256999056307015, 0.12129878997802734]
['CV', 47, 'BV', 18, 'od', 'sort', 'V2', 'V3', 0.4176626826029217, 0.11302709579467773]
['CV', 122, 'BV', 14, 'sum', 'openssl', 'V3', 'V3', 0.9193365612444627, 8.199859380722046]
['BV', 63, 'CV', 23, 'ruby', 'wc', 'V0', 'V2', 0.9726514153391623, 11.329065799713135]
['UV', 55, 'CV', 321, 'ranlib', 'hostid', 'V1', 'V1', 0.9385298386408264, 1.1270804405212402]
['CV', 102, 'UV', 50, 'uptime', 'find', 'V3', 'V1', 0.609981515711645, 0.2436988353729248]
['BV', 14, 'CV', 68, 'openssl', 'cat', 'V3', 'V2', 0.9113618876635035, 6.838213920593262]
['CV', 200, 'UV', 53, 'date', 'readelf', 'V0', 'V1', 0.6460905349794238, 0.12226653099060059]
['CV', 147, 'UV', 38, 'hostid', 'xargs', 'V3', 'V3', 0.4134462678665961, 0.06764078140258789]
['BV', 7, 'CV', 180, 'libSDL2-2.0.so', 'fmt', 'V0', 'V0', 0.9391656202037114, 3.4817938804626465]
['BV', 61, 'UV', 17, 'cmp', 'addr2line', 'V0', 'V2', 0.9354544625763516, 1.156623125076294]
['CV', 20, 'UV', 14, 'tee', 'objcopy', 'V2', 'V2', 0.9207507820646507, 1.5206561088562012]
['CV', 202, 'UV', 30, 'chown', 'ld', 'V0', 'V3', 0.9077652637818613, 2.5625691413879395]
['UV', 42, 'BV', 20, 'diff', 'sort', 'V3', 'V1', 0.35411101216978325, 0.13606810569763184]
['UV', 19, 'BV', 43, 'elfedit', 'lua', 'V2', 'V0', 0.7826157071440091, 0.3989591598510742]
['BV', 52, 'CV', 68, 'libSDL2-2.0.so', 'cat', 'V2', 'V2', 0.9117241379310345, 4.963176727294922]
['BV', 1, 'UV', 67, 'libSDL2-2.0.so', 'cmp', 'V3', 'V0', 0.9323606232549762, 6.319785118103027]
['CV', 0, 'UV', 34, 'touch', 'elfedit', 'V2', 'V3', 0.13215258855585832, 0.0377659797668457]
['UV', 76, 'CV', 97, 'as', 'ptx', 'V0', 'V3', 0.863652295828952, 1.9075517654418945]
['CV', 2, 'UV', 8, 'unlink', 'strip', 'V2', 'V2', 0.9289400852718976, 1.4989609718322754]
['UV', 34, 'CV', 33, 'elfedit', 'sync', 'V3', 'V2', 0.27045075125208684, 0.02582263946533203]
['BV', 43, 'CV', 11, 'lua', 'printenv', 'V0', 'V2', 0.8494227873515141, 0.310147762298584]
['CV', 67, 'UV', 6, 'uname', 'sdiff', 'V2', 'V2', 0.3717347622237106, 0.03541231155395508]
['UV', 26, 'BV', 51, 'ranlib', 'cp', 'V3', 'V0', 0.8184796854521625, 1.297006607055664]
['BV', 10, 'CV', 334, 'gvmap', 'shred', 'V2', 'V1', 0.5616145415664261, 0.16762804985046387]
