['CV', 150, 'BV', 57, 'mv', 'svn', 'V3', 'V2', 0.37345083998898376, 1.493265151977539]
['BV', 60, 'CV', 240, 'codeblocks', 'link', 'V1', 'V0', 0.9808690012970168, 15.323755979537964]
['CV', 250, 'UV', 39, 'comm', 'find', 'V0', 'V3', 0.8311640014875419, 0.3572554588317871]
['BV', 83, 'UV', 65, 'git', 'objdump', 'V2', 'V1', 0.5381082156964816, 15.968836307525635]
['UV', 73, 'CV', 56, 'nm', 'yes', 'V0', 'V2', 0.9153654254827682, 0.9960181713104248]
['CV', 117, 'BV', 22, 'pinky', 'cmp', 'V3', 'V3', 0.0969813744380218, 0.03970646858215332]
['CV', 85, 'BV', 23, 'mknod', 'diff', 'V2', 'V3', 0.618774632748119, 0.09842610359191895]
['UV', 71, 'CV', 40, 'xargs', 'ls', 'V0', 'V2', 0.45078651685393256, 0.0838625431060791]
['CV', 66, 'BV', 71, 'link', 'ruby', 'V2', 'V1', 0.6771929824561403, 0.006927967071533203]
['BV', 10, 'UV', 30, 'gvmap', 'ld', 'V2', 'V3', 0.693376124585679, 4.023653745651245]
['UV', 35, 'BV', 66, 'size', 'lua', 'V3', 'V1', 0.2777238534336326, 2.2673723697662354]
['UV', 23, 'CV', 295, 'strip', 'echo', 'V3', 'V1', 0.9451130701418168, 1.3260774612426758]
['CV', 152, 'UV', 56, 'env', 'c++filt', 'V3', 'V1', 0.884104484264955, 1.1779987812042236]
['BV', 44, 'CV', 295, 'make', 'echo', 'V0', 'V1', 0.8374574347332576, 0.17091727256774902]
['UV', 44, 'CV', 194, 'diff3', 'tee', 'V1', 'V0', 0.4012738853503185, 0.032077789306640625]
['BV', 48, 'UV', 31, 'gvmap', 'gprof', 'V3', 'V3', 0.5894366197183099, 2.28731107711792]
['UV', 35, 'CV', 284, 'size', 'wc', 'V3', 'V1', 0.9067734887108522, 1.1029906272888184]
['BV', 2, 'CV', 110, 'cmp', 'wc', 'V1', 'V3', 0.1184775936157152, 0.04334902763366699]
['CV', 136, 'BV', 76, 'tsort', 'diff', 'V3', 'V2', 0.5094722598105548, 0.11207008361816406]
['UV', 0, 'CV', 343, 'locate', 'sort', 'V2', 'V1', 0.13338788870703766, 0.08799123764038086]
['CV', 156, 'UV', 36, 'csplit', 'objdump', 'V3', 'V3', 0.884860195498977, 2.5296614170074463]
['CV', 193, 'BV', 26, 'pr', 'geany', 'V0', 'V2', 0.9708460259021847, 30.658997774124146]
['BV', 14, 'CV', 194, 'openssl', 'tee', 'V3', 'V0', 0.9555998740421958, 6.65804386138916]
['BV', 22, 'CV', 147, 'cmp', 'hostid', 'V3', 'V3', 0.1906556141672946, 0.0300900936126709]
['UV', 67, 'CV', 216, 'cmp', 'dircolors', 'V0', 'V0', 0.2280130293159609, 0.02794671058654785]
['CV', 128, 'UV', 6, 'nice', 'sdiff', 'V3', 'V2', 0.2782233189389266, 0.04100155830383301]
['BV', 22, 'UV', 32, 'cmp', 'addr2line', 'V3', 'V3', 0.8652729384436701, 1.2989068031311035]
['UV', 84, 'BV', 33, 'ar', 'openssl', 'V0', 'V0', 0.5899698869339596, 23.53334665298462]
['UV', 67, 'CV', 315, 'cmp', 'false', 'V0', 'V1', 0.3924284395198523, 0.022446632385253906]
['CV', 34, 'UV', 15, 'echo', 'ld', 'V2', 'V2', 0.9441746080541039, 2.0522522926330566]
['CV', 154, 'BV', 78, 'uname', 'make', 'V3', 'V2', 0.7697614823575794, 0.261061429977417]
['CV', 174, 'UV', 53, 'touch', 'readelf', 'V0', 'V1', 0.6643550624133149, 0.12116217613220215]
['BV', 81, 'CV', 2, 'dot', 'unlink', 'V1', 'V2', 0.4, 0.011440038681030273]
['CV', 307, 'UV', 21, 'cut', 'objdump', 'V1', 'V2', 0.9332096474953617, 1.9509928226470947]
['UV', 44, 'CV', 250, 'diff3', 'comm', 'V1', 'V0', 0.370242214532872, 0.03317666053771973]
['UV', 44, 'CV', 55, 'diff3', 'nohup', 'V1', 'V2', 0.2724935732647815, 0.036295413970947266]
['CV', 132, 'BV', 77, 'cp', 'perl', 'V3', 'V2', 0.8721769571548065, 4.730777263641357]
['CV', 290, 'BV', 38, 'tail', 'ruby', 'V1', 'V2', 0.786046511627907, 0.013906240463256836]
['CV', 103, 'UV', 54, 'dd', 'as', 'V3', 'V1', 0.8518559679928873, 2.516928195953369]
['BV', 78, 'CV', 311, 'make', 'cksum', 'V2', 'V1', 0.8441932168550874, 0.21201419830322266]
['UV', 42, 'BV', 45, 'diff', 'svn', 'V3', 'V3', 0.4909173478655767, 1.2529447078704834]
['BV', 69, 'CV', 86, 'gvmap', 'ln', 'V0', 'V2', 0.493341053850608, 0.14211297035217285]
['UV', 4, 'CV', 265, 'cmp', 'basename', 'V2', 'V1', 0.32751091703056767, 0.025276899337768555]
['BV', 24, 'CV', 177, 'git', 'test', 'V0', 'V0', 0.9755333351497153, 4.336493253707886]
['BV', 14, 'CV', 90, 'openssl', 'test', 'V3', 'V3', 0.9232992670589449, 6.821018695831299]
['CV', 292, 'UV', 0, 'sha1sum', 'locate', 'V1', 'V2', 0.46593406593406594, 0.05799436569213867]
['UV', 18, 'CV', 83, 'ar', 'tac', 'V2', 'V2', 0.7873353435962546, 1.352299690246582]
['CV', 133, 'UV', 48, 'cut', 'locate', 'V3', 'V1', 0.42747799464217373, 0.08925008773803711]
['CV', 111, 'UV', 77, 'factor', 'ranlib', 'V3', 'V0', 0.8281566509115462, 1.3752570152282715]
['BV', 9, 'CV', 126, 'dot', 'whoami', 'V2', 'V3', 0.4740740740740741, 0.014603137969970703]
['CV', 75, 'UV', 33, 'tr', 'ar', 'V2', 'V3', 0.8850301435000425, 1.3615562915802002]
['BV', 28, 'CV', 152, 'openssl', 'env', 'V1', 'V3', 0.9711457362276379, 7.95816969871521]
['CV', 343, 'UV', 29, 'sort', 'objcopy', 'V1', 'V3', 0.8390954555338117, 1.8125157356262207]
['CV', 234, 'UV', 75, 'hostid', 'readelf', 'V0', 'V0', 0.7811226089683286, 0.0908353328704834]
['CV', 295, 'UV', 30, 'echo', 'ld', 'V1', 'V3', 0.9564741641337386, 2.350538730621338]
['BV', 68, 'CV', 320, 'dot', 'head', 'V0', 'V1', 0.4378238341968912, 0.013734817504882812]
['UV', 57, 'CV', 62, 'strings', 'unexpand', 'V1', 'V2', 0.9067024128686327, 1.078470230102539]
['BV', 45, 'CV', 54, 'svn', 'false', 'V3', 'V2', 0.8771125751933544, 0.668816328048706]
['UV', 66, 'CV', 85, 'diff3', 'mknod', 'V0', 'V2', 0.2943521594684385, 0.033644914627075195]
['CV', 67, 'UV', 33, 'uname', 'ar', 'V2', 'V3', 0.9172640124363071, 1.2919626235961914]
['CV', 95, 'UV', 74, 'du', 'strip', 'V3', 'V0', 0.7551101409009724, 2.224356174468994]
['CV', 121, 'UV', 64, 'echo', 'size', 'V3', 'V1', 0.8993276716206653, 1.2386302947998047]
['BV', 5, 'CV', 83, 'libvlccore.so', 'tac', 'V0', 'V2', 0.8593930484091148, 3.670008659362793]
['BV', 68, 'UV', 23, 'dot', 'strip', 'V0', 'V3', 0.9651486988847584, 1.4541456699371338]
['UV', 18, 'CV', 58, 'ar', 'readlink', 'V2', 'V2', 0.8907076303198187, 1.2732293605804443]
