['UV', 20, 'BV', 39, 'size', 'svn', 'V2', 'V1', 0.3729118478540221, 5.232136964797974]
['UV', 2, 'CV', 157, 'find', 'vdir', 'V2', 'V3', 0.255422118659258, 0.35524821281433105]
['UV', 47, 'CV', 114, 'sdiff', 'expr', 'V1', 'V3', 0.17296434273549766, 0.0482325553894043]
['BV', 78, 'CV', 160, 'make', 'shred', 'V2', 'V3', 0.5916341722793336, 0.2952003479003906]
['UV', 14, 'BV', 28, 'objcopy', 'openssl', 'V2', 'V1', 0.550036650493909, 27.875601053237915]
['UV', 81, 'BV', 67, 'ld', 'cluster', 'V0', 'V0', 0.7182023251778588, 2.5016913414001465]
['UV', 3, 'CV', 93, 'diff3', 'fmt', 'V2', 'V3', 0.16831683168316836, 0.041619062423706055]
['UV', 11, 'CV', 136, 'ranlib', 'tsort', 'V2', 'V3', 0.8787221619818166, 1.232161283493042]
['CV', 184, 'UV', 38, 'ptx', 'xargs', 'V0', 'V3', 0.20168711656441718, 0.0955648422241211]
['BV', 73, 'UV', 13, 'geany', 'strings', 'V0', 'V2', 0.6125894659570563, 27.797749757766724]
['CV', 342, 'UV', 81, 'sleep', 'ld', 'V1', 'V0', 0.9439827236437406, 1.8400685787200928]
['BV', 20, 'CV', 307, 'sort', 'cut', 'V1', 'V1', 0.3754646840148699, 0.04212331771850586]
['CV', 258, 'BV', 58, 'rmdir', 'ruby', 'V0', 'V3', 0.5874439461883408, 0.005775928497314453]
['BV', 6, 'CV', 227, 'libvlc.so', 'tty', 'V0', 'V0', 0.8246492985971944, 0.24852228164672852]
['BV', 3, 'CV', 301, 'diff', 'ls', 'V1', 'V1', 0.19803500153515508, 0.13989710807800293]
['CV', 29, 'BV', 32, 'tail', 'perl', 'V2', 'V0', 0.9172873544298589, 3.126176595687866]
['CV', 116, 'UV', 4, 'tail', 'cmp', 'V3', 'V2', 0.23640061006609048, 0.053861141204833984]
['CV', 336, 'BV', 41, 'tr', 'libvlccore.so', 'V1', 'V1', 0.9393060479106241, 3.600423574447632]
['CV', 171, 'UV', 56, 'rmdir', 'c++filt', 'V3', 'V1', 0.8752440106477374, 1.2133538722991943]
['BV', 24, 'CV', 118, 'git', 'sha1sum', 'V0', 'V3', 0.9596227128996514, 4.422823905944824]
