['BV', 82, 'CV', 83, 'gvmap', 'tac', 'V1', 'V2', 0.3762632197414806, 0.3657379150390625]
['BV', 38, 'CV', 340, 'ruby', 'fold', 'V2', 'V1', 0.642023346303502, 0.0144500732421875]
['CV', 336, 'UV', 64, 'tr', 'size', 'V1', 'V1', 0.9, 2.450087308883667]
['CV', 272, 'UV', 84, 'printenv', 'ar', 'V1', 'V0', 0.9375614992396457, 2.4311630725860596]
['UV', 81, 'CV', 128, 'ld', 'nice', 'V0', 'V3', 0.9214747736093144, 3.619807243347168]
['CV', 66, 'UV', 32, 'link', 'addr2line', 'V2', 'V3', 0.9124301548044335, 2.3960626125335693]
['CV', 344, 'UV', 8, 'tac', 'strip', 'V1', 'V2', 0.8264749628160635, 3.54622483253479]
['BV', 24, 'CV', 143, 'git', 'yes', 'V0', 'V3', 0.9681333297141771, 4.576147079467773]
['CV', 324, 'UV', 5, 'mv', 'diff', 'V1', 'V2', 0.289002557544757, 0.15486574172973633]
['CV', 207, 'UV', 65, 'sync', 'objdump', 'V0', 'V1', 0.9556822599455747, 1.8462417125701904]
['UV', 5, 'CV', 166, 'diff', 'fold', 'V2', 'V3', 0.5365013774104683, 0.09919095039367676]
['BV', 31, 'CV', 61, 'codeblocks', 'ginstall', 'V0', 'V2', 0.9112064343163538, 13.027752876281738]
['UV', 43, 'CV', 79, 'sdiff', 'fold', 'V3', 'V2', 0.31997414350355524, 0.03721809387207031]
['CV', 41, 'BV', 41, 'nice', 'libvlccore.so', 'V2', 'V1', 0.9446329509344537, 3.469569206237793]
['CV', 58, 'UV', 10, 'readlink', 'as', 'V2', 'V2', 0.9252368647717485, 2.308269739151001]
['UV', 6, 'CV', 296, 'sdiff', 'sum', 'V2', 'V1', 0.34391534391534395, 0.0386652946472168]
['CV', 177, 'UV', 33, 'test', 'ar', 'V0', 'V3', 0.922244350160187, 1.2783191204071045]
['BV', 19, 'CV', 270, 'cp', 'users', 'V3', 'V1', 0.6431700517722023, 0.08096551895141602]
['BV', 62, 'CV', 234, 'diff', 'hostid', 'V0', 'V0', 0.5585072738772928, 0.03873705863952637]
['CV', 213, 'BV', 25, 'whoami', 'git', 'V0', 'V3', 0.9887589718040137, 11.805495977401733]
['CV', 45, 'BV', 29, 'cp', 'perl', 'V2', 'V3', 0.882943143812709, 4.604357719421387]
['UV', 61, 'CV', 240, 'addr2line', 'link', 'V1', 'V0', 0.9359797450040691, 1.038428783416748]
['BV', 69, 'UV', 27, 'gvmap', 'c++filt', 'V0', 'V3', 0.6003418537798151, 2.003297805786133]
['CV', 169, 'BV', 5, 'sort', 'libvlccore.so', 'V3', 'V0', 0.7859663272507309, 5.485387325286865]
['CV', 326, 'BV', 76, 'env', 'diff', 'V1', 'V2', 0.7205712080277885, 0.0908966064453125]
['UV', 0, 'CV', 37, 'locate', 'seq', 'V2', 'V2', 0.3675038441824705, 0.05840039253234863]
['BV', 24, 'UV', 29, 'git', 'objcopy', 'V0', 'V3', 0.4815389959338796, 9.613212585449219]
['CV', 79, 'UV', 53, 'fold', 'readelf', 'V2', 'V1', 0.6980491942324003, 0.10835504531860352]
['BV', 39, 'UV', 76, 'svn', 'as', 'V1', 'V0', 0.5287014853857211, 4.544449329376221]
['BV', 31, 'CV', 86, 'codeblocks', 'ln', 'V0', 'V2', 0.9517590691307324, 12.195900440216064]
['UV', 87, 'CV', 100, 'objdump', 'join', 'V0', 'V3', 0.8743576567317575, 1.733590841293335]
['BV', 46, 'CV', 176, 'cluster', 'unlink', 'V3', 'V0', 0.7748301520543514, 0.11524391174316406]
['UV', 44, 'CV', 219, 'diff3', 'cp', 'V1', 'V0', 0.08579599618684464, 0.06195688247680664]
['CV', 312, 'UV', 14, 'printf', 'objcopy', 'V1', 'V2', 0.9228991126687048, 1.596501350402832]
['CV', 291, 'BV', 73, 'pinky', 'geany', 'V1', 'V0', 0.9745139903359928, 21.227892875671387]
['BV', 56, 'CV', 0, 'ssh', 'touch', 'V3', 'V2', 0.9061264181523501, 1.6284914016723633]
['BV', 76, 'CV', 265, 'diff', 'basename', 'V2', 'V1', 0.7041284403669725, 0.08425450325012207]
['CV', 341, 'BV', 11, 'uniq', 'bash', 'V1', 'V1', 0.9481627296587927, 3.005070924758911]
['CV', 218, 'UV', 54, 'true', 'as', 'V0', 'V1', 0.9621997173810646, 1.997779130935669]
['BV', 67, 'CV', 316, 'cluster', 'nohup', 'V0', 'V1', 0.6795313576843556, 0.10716915130615234]
['BV', 9, 'CV', 7, 'dot', 'dir', 'V2', 'V2', 0.7551686615886833, 0.05820918083190918]
['BV', 13, 'CV', 143, 'cp', 'yes', 'V2', 'V3', 0.49348392701998267, 0.06897687911987305]
['CV', 176, 'UV', 24, 'unlink', 'readelf', 'V0', 'V3', 0.8851973684210527, 0.27752137184143066]
['UV', 26, 'BV', 43, 'ranlib', 'lua', 'V3', 'V0', 0.33998917423467856, 2.380669593811035]
['CV', 148, 'UV', 59, 'ginstall', 'ld', 'V3', 'V1', 0.7455451023796348, 3.100064516067505]
['CV', 332, 'BV', 67, '[', 'cluster', 'V1', 'V0', 0.6583872065328343, 0.1176137924194336]
['CV', 185, 'UV', 16, 'printenv', 'gprof', 'V0', 'V2', 0.9427070090685651, 1.2524583339691162]
['CV', 146, 'UV', 77, 'head', 'ranlib', 'V3', 'V0', 0.8613044599123485, 1.2930283546447754]
['CV', 277, 'BV', 74, 'dd', 'git', 'V1', 'V1', 0.9628026070763501, 6.5909342765808105]
['UV', 71, 'CV', 89, 'xargs', 'unlink', 'V0', 'V3', 0.15282392026578073, 0.025925159454345703]
['CV', 1, 'BV', 27, 'stat', 'libSDL2-2.0.so', 'V2', 'V1', 0.9329732113328189, 4.950083255767822]
['UV', 19, 'CV', 50, 'elfedit', 'cksum', 'V2', 'V2', 0.2097053726169844, 0.02406144142150879]
['CV', 341, 'UV', 43, 'uniq', 'sdiff', 'V1', 'V3', 0.2987843889955215, 0.04020380973815918]
['UV', 64, 'CV', 95, 'size', 'du', 'V1', 'V3', 0.7064992849197521, 1.4053013324737549]
['CV', 60, 'BV', 44, 'hostid', 'make', 'V2', 'V0', 0.790358248562583, 0.19950366020202637]
['UV', 50, 'CV', 258, 'find', 'rmdir', 'V1', 'V0', 0.8152400835073069, 0.16160893440246582]
['BV', 63, 'CV', 60, 'ruby', 'hostid', 'V0', 'V2', 0.9809558174965921, 11.40119981765747]
['UV', 38, 'CV', 114, 'xargs', 'expr', 'V3', 'V3', 0.25251601097895704, 0.08267998695373535]
['CV', 85, 'BV', 7, 'mknod', 'libSDL2-2.0.so', 'V2', 'V0', 0.9262647262647262, 4.057481527328491]
