['CV', 122, 'BV', 9, 'sum', 'dot', 'V3', 'V2', 0.5654761904761905, 0.019778013229370117]
['CV', 192, 'UV', 51, 'pwd', 'nm', 'V0', 'V1', 0.9208252512784342, 1.3642463684082031]
['BV', 15, 'CV', 249, 'libvlccore.so', 'tr', 'V3', 'V0', 0.9469424891059713, 4.176974773406982]
['BV', 64, 'CV', 247, 'openssl', 'shred', 'V2', 'V0', 0.9197879061371841, 5.78680419921875]
['BV', 71, 'CV', 138, 'ruby', 'printf', 'V1', 'V3', 0.794413407821229, 0.013494253158569336]
['CV', 227, 'BV', 10, 'tty', 'gvmap', 'V0', 'V2', 0.7862174578866769, 0.1321239471435547]
['UV', 29, 'BV', 32, 'objcopy', 'perl', 'V3', 'V0', 0.29872439763221514, 8.232340812683105]
['CV', 235, 'BV', 55, 'ginstall', 'codeblocks', 'V0', 'V3', 0.9377210518222359, 18.385446310043335]
['UV', 64, 'CV', 74, 'size', 'pathchk', 'V1', 'V2', 0.9096326603219781, 1.031036138534546]
['BV', 78, 'CV', 32, 'make', 'paste', 'V2', 'V2', 0.7983563840448987, 0.2169942855834961]
['UV', 42, 'CV', 80, 'diff', 'uniq', 'V3', 'V2', 0.5409276944065484, 0.09895157814025879]
['BV', 48, 'CV', 125, 'gvmap', 'split', 'V3', 'V3', 0.47308075772681957, 0.16915464401245117]
['CV', 143, 'UV', 39, 'yes', 'find', 'V3', 'V3', 0.7894736842105263, 0.3769545555114746]
['CV', 123, 'BV', 78, 'chroot', 'make', 'V3', 'V2', 0.7062511875356261, 0.28495240211486816]
['BV', 14, 'CV', 135, 'openssl', 'df', 'V3', 'V3', 0.8546612911253795, 7.305922746658325]
['BV', 24, 'CV', 170, 'git', 'tac', 'V0', 'V3', 0.9566613595272149, 4.3070595264434814]
['UV', 62, 'CV', 45, 'ar', 'cp', 'V1', 'V2', 0.7390572390572391, 1.4599461555480957]
['CV', 216, 'UV', 14, 'dircolors', 'objcopy', 'V0', 'V2', 0.9286515593448508, 1.5304439067840576]
['UV', 57, 'CV', 121, 'strings', 'echo', 'V1', 'V3', 0.8987274183500934, 1.0515472888946533]
['CV', 61, 'UV', 39, 'ginstall', 'find', 'V2', 'V3', 0.5114759081927345, 0.5700130462646484]
['UV', 39, 'CV', 22, 'find', 'kill', 'V3', 'V2', 0.8031107044830741, 0.3343164920806885]
['BV', 50, 'CV', 100, 'sort', 'join', 'V0', 'V3', 0.12269615587151128, 0.047985076904296875]
['UV', 78, 'CV', 83, 'c++filt', 'tac', 'V0', 'V2', 0.7644577254350501, 1.0758488178253174]
['UV', 46, 'BV', 68, 'diff', 'dot', 'V1', 'V0', 0.8425472358292512, 0.08324384689331055]
['UV', 23, 'CV', 288, 'strip', 'expr', 'V3', 'V1', 0.8206213675826936, 1.4592678546905518]
['UV', 5, 'CV', 212, 'diff', 'split', 'V2', 'V0', 0.6240437158469946, 0.09150838851928711]
['CV', 319, 'BV', 49, 'readlink', 'make', 'V1', 'V3', 0.8347171268584669, 0.2665870189666748]
['CV', 120, 'UV', 43, 'sync', 'sdiff', 'V3', 'V3', 0.2682926829268293, 0.041271209716796875]
['BV', 83, 'UV', 36, 'git', 'objdump', 'V2', 'V3', 0.5035401541800764, 16.872971057891846]
['CV', 312, 'BV', 67, 'printf', 'cluster', 'V1', 'V0', 0.6505248899424314, 0.12046122550964355]
['CV', 106, 'UV', 12, 'pr', 'c++filt', 'V3', 'V2', 0.8026327110040437, 1.3962154388427734]
['CV', 3, 'UV', 9, 'test', 'readelf', 'V2', 'V2', 0.718900675024108, 0.1322767734527588]
['BV', 75, 'CV', 62, 'cmp', 'unexpand', 'V2', 'V2', 0.20937499999999998, 0.028644084930419922]
['CV', 125, 'UV', 76, 'split', 'as', 'V3', 'V0', 0.8715241112284406, 2.29010009765625]
['UV', 47, 'CV', 163, 'sdiff', 'comm', 'V1', 'V3', 0.20407009609949123, 0.04455900192260742]
['CV', 166, 'BV', 74, 'fold', 'git', 'V3', 'V1', 0.9684844523298161, 6.277405261993408]
['UV', 25, 'CV', 117, 'as', 'pinky', 'V3', 'V3', 0.9084639498432602, 2.061192750930786]
['BV', 83, 'UV', 50, 'git', 'find', 'V2', 'V1', 0.870465549348231, 9.656331300735474]
['BV', 73, 'CV', 192, 'geany', 'pwd', 'V0', 'V0', 0.9797642923135859, 17.818732261657715]
['UV', 82, 'CV', 60, 'gprof', 'hostid', 'V0', 'V2', 0.9176776429809359, 1.0323827266693115]
['CV', 242, 'BV', 55, 'cat', 'codeblocks', 'V0', 'V3', 0.9786966762627585, 14.509014129638672]
['UV', 82, 'CV', 201, 'gprof', 'expr', 'V0', 'V0', 0.7956832197338527, 1.152940034866333]
['CV', 130, 'BV', 25, 'chmod', 'git', 'V3', 'V3', 0.9659556130144366, 13.051721572875977]
['UV', 62, 'CV', 107, 'ar', 'tee', 'V1', 'V3', 0.8762188068087919, 1.199235439300537]
['UV', 61, 'CV', 140, 'addr2line', 'tty', 'V1', 'V3', 0.897544979172206, 1.0753774642944336]
['UV', 20, 'CV', 326, 'size', 'env', 'V2', 'V1', 0.9342236758426455, 1.0613555908203125]
['CV', 214, 'UV', 73, 'ls', 'nm', 'V0', 'V0', 0.7797190818773553, 1.512953758239746]
['CV', 9, 'UV', 37, 'users', 'locate', 'V2', 'V3', 0.5871939736346516, 0.11649060249328613]
['UV', 48, 'CV', 235, 'locate', 'ginstall', 'V1', 'V0', 0.22816166883963496, 0.12217950820922852]
['UV', 74, 'CV', 311, 'strip', 'cksum', 'V0', 'V1', 0.9444485159399048, 1.3192074298858643]
['UV', 36, 'CV', 143, 'objdump', 'yes', 'V3', 'V3', 0.9316249271986022, 2.0535452365875244]
['CV', 59, 'BV', 30, 'head', 'bash', 'V2', 'V0', 0.9353788476716653, 2.8113436698913574]
['CV', 222, 'UV', 81, 'df', 'ld', 'V0', 'V0', 0.9080223521099621, 2.0730772018432617]
['BV', 61, 'CV', 253, 'cmp', 'fold', 'V0', 'V0', 0.11633986928104578, 0.014827489852905273]
['BV', 74, 'CV', 99, 'git', 'stty', 'V1', 'V3', 0.9586536898097605, 5.814128398895264]
['UV', 26, 'CV', 290, 'ranlib', 'tail', 'V3', 'V1', 0.8705763397371082, 1.2294456958770752]
['CV', 234, 'BV', 40, 'hostid', 'lua', 'V0', 'V2', 0.8965772707067714, 0.4001197814941406]
['UV', 25, 'BV', 80, 'as', 'cluster', 'V3', 'V1', 0.7185382878259085, 2.6547553539276123]
['UV', 27, 'CV', 193, 'c++filt', 'pr', 'V3', 'V0', 0.8591803574652465, 1.1028382778167725]
['CV', 99, 'BV', 77, 'stty', 'perl', 'V3', 'V2', 0.9427763132514627, 3.3912973403930664]
['UV', 77, 'CV', 236, 'ranlib', 'unexpand', 'V0', 'V0', 0.9270462633451957, 1.0335652828216553]
['BV', 65, 'CV', 55, 'ssh', 'nohup', 'V1', 'V2', 0.9621163950336334, 4.300852298736572]
['CV', 83, 'BV', 21, 'tac', 'cp', 'V2', 'V1', 0.1160714285714286, 0.07295632362365723]
['BV', 37, 'CV', 240, 'geany', 'link', 'V1', 'V0', 0.9860835380835381, 23.607672691345215]
['CV', 306, 'BV', 5, 'cp', 'libvlccore.so', 'V1', 'V0', 0.8808284652150823, 4.290477275848389]
['CV', 222, 'UV', 43, 'df', 'sdiff', 'V0', 'V3', 0.17497103128621094, 0.049605607986450195]
['CV', 329, 'UV', 11, 'cat', 'ranlib', 'V1', 'V2', 0.9284246575342465, 1.3027534484863281]
['UV', 40, 'CV', 105, 'diff3', 'pwd', 'V3', 'V3', 0.19039451114922812, 0.04437565803527832]
['BV', 29, 'UV', 74, 'perl', 'strip', 'V3', 'V0', 0.3505984872591976, 7.665920972824097]
['UV', 21, 'CV', 27, 'objdump', 'expr', 'V2', 'V2', 0.827726617803671, 1.8772661685943604]
['UV', 42, 'CV', 119, 'diff', 'paste', 'V3', 'V3', 0.5449265459514862, 0.09891939163208008]
['CV', 147, 'UV', 12, 'hostid', 'c++filt', 'V3', 'V2', 0.8962802063535161, 1.205791711807251]
['UV', 71, 'BV', 23, 'xargs', 'diff', 'V0', 'V3', 0.5736677115987461, 0.11512875556945801]
['CV', 81, 'BV', 38, 'sleep', 'ruby', 'V2', 'V2', 0.7051282051282052, 0.008516788482666016]
['CV', 256, 'BV', 10, 'sort', 'gvmap', 'V0', 'V2', 0.5354535974973931, 0.1784529685974121]
['CV', 172, 'UV', 54, 'mknod', 'as', 'V3', 'V1', 0.9215821945453497, 2.2296783924102783]
['CV', 3, 'UV', 33, 'test', 'ar', 'V2', 'V3', 0.9000342348510784, 1.3234283924102783]
['CV', 126, 'BV', 16, 'whoami', 'libvlc.so', 'V3', 'V3', 0.7797607746345168, 0.45206665992736816]
['CV', 50, 'BV', 65, 'cksum', 'ssh', 'V2', 'V1', 0.9677798288303406, 4.655049085617065]
['BV', 29, 'CV', 307, 'perl', 'cut', 'V3', 'V1', 0.9641166209818092, 2.929112434387207]
['CV', 159, 'BV', 29, 'id', 'perl', 'V3', 'V3', 0.9463101453365317, 3.468205213546753]
['CV', 98, 'UV', 41, 'printenv', 'cmp', 'V3', 'V3', 0.19939117199391165, 0.030711650848388672]
['BV', 18, 'CV', 274, 'sort', 'join', 'V3', 'V1', 0.5477313974591651, 0.09509515762329102]
['BV', 57, 'UV', 6, 'svn', 'sdiff', 'V2', 'V2', 0.6586352148272957, 0.5107412338256836]
['CV', 211, 'UV', 48, 'seq', 'locate', 'V0', 'V1', 0.6340388007054674, 0.07314634323120117]
['CV', 165, 'BV', 44, 'rm', 'make', 'V3', 'V0', 0.5230219883480549, 0.2798471450805664]
['CV', 311, 'UV', 26, 'cksum', 'ranlib', 'V1', 'V3', 0.9339663733774719, 1.264296054840088]
['UV', 81, 'BV', 35, 'ld', 'libvlccore.so', 'V0', 'V2', 0.19137420237010028, 14.155510663986206]
['UV', 81, 'CV', 53, 'ld', 'tty', 'V0', 'V2', 0.9378954922043186, 1.6461122035980225]
['UV', 42, 'CV', 148, 'diff', 'ginstall', 'V3', 'V3', 0.07216494845360821, 0.24011802673339844]
['CV', 75, 'BV', 41, 'tr', 'libvlccore.so', 'V2', 'V1', 0.9278163374265883, 3.66652250289917]
['CV', 75, 'BV', 40, 'tr', 'lua', 'V2', 'V2', 0.8086759926522538, 0.45599985122680664]
['CV', 24, 'BV', 22, 'factor', 'cmp', 'V2', 'V3', 0.20740169622205085, 0.029784202575683594]
['UV', 66, 'CV', 101, 'diff3', 'dirname', 'V0', 'V3', 0.26567550096961856, 0.03619742393493652]
['BV', 70, 'CV', 342, 'ssh', 'sleep', 'V0', 'V1', 0.9703169429225328, 4.0068910121917725]
['CV', 333, 'UV', 27, 'id', 'c++filt', 'V1', 'V3', 0.9146602212512782, 1.1735351085662842]
['CV', 29, 'UV', 27, 'tail', 'c++filt', 'V2', 'V3', 0.8221711050163674, 1.3406033515930176]
['BV', 22, 'CV', 92, 'cmp', 'mkdir', 'V3', 'V3', 0.13973268529769134, 0.04488945007324219]
['BV', 63, 'CV', 96, 'ruby', 'users', 'V0', 'V3', 0.9730846794321426, 11.56940507888794]
['CV', 291, 'BV', 39, 'pinky', 'svn', 'V1', 'V1', 0.7940211447320452, 0.5216622352600098]
['CV', 221, 'UV', 18, 'od', 'ar', 'V0', 'V2', 0.8951619688683214, 1.4007022380828857]
['CV', 222, 'BV', 56, 'df', 'ssh', 'V0', 'V3', 0.9071155218265551, 1.9294025897979736]
['CV', 239, 'UV', 1, 'env', 'xargs', 'V0', 'V2', 0.5682656826568265, 0.04301047325134277]
['UV', 13, 'CV', 29, 'strings', 'tail', 'V2', 'V2', 0.8262297916486556, 1.176760196685791]
['BV', 79, 'CV', 36, 'bash', 'chroot', 'V3', 'V2', 0.9468276393526843, 3.022698402404785]
['BV', 83, 'CV', 27, 'git', 'expr', 'V2', 'V2', 0.9467023276547086, 8.148436069488525]
['UV', 11, 'BV', 18, 'ranlib', 'sort', 'V2', 'V3', 0.6853815141107958, 1.5827360153198242]
['CV', 325, 'BV', 25, 'md5sum', 'git', 'V1', 'V3', 0.9849577324714073, 11.928749084472656]
['BV', 16, 'CV', 248, 'libvlc.so', 'pathchk', 'V3', 'V0', 0.8484011054086064, 0.360382080078125]
['UV', 83, 'CV', 266, 'addr2line', 'mkdir', 'V0', 'V1', 0.8925151092515109, 1.005338191986084]
['CV', 324, 'BV', 13, 'mv', 'cp', 'V1', 'V2', 0.16073211314475877, 0.12244033813476562]
['UV', 41, 'CV', 155, 'cmp', 'cat', 'V3', 'V3', 0.1416666666666666, 0.034845590591430664]
['BV', 55, 'CV', 54, 'codeblocks', 'false', 'V3', 'V2', 0.9773511873626949, 12.844879627227783]
['CV', 162, 'BV', 0, 'tr', 'bash', 'V3', 'V2', 0.9302397456841361, 3.51523756980896]
['BV', 13, 'CV', 46, 'cp', 'cut', 'V2', 'V2', 0.4279766860949209, 0.07830119132995605]
['CV', 331, 'BV', 68, 'vdir', 'dot', 'V1', 'V0', 0.7137404580152672, 0.0467534065246582]
['CV', 194, 'UV', 66, 'tee', 'diff3', 'V0', 'V0', 0.3939828080229226, 0.03239297866821289]
['UV', 58, 'CV', 88, 'objcopy', 'stat', 'V1', 'V3', 0.8315426449131185, 1.7014434337615967]
['BV', 0, 'CV', 238, 'bash', 'md5sum', 'V2', 'V0', 0.9551878354203935, 2.841622829437256]
['CV', 341, 'UV', 57, 'uniq', 'strings', 'V1', 'V1', 0.9014348097317529, 1.2051498889923096]
['CV', 2, 'BV', 27, 'unlink', 'libSDL2-2.0.so', 'V2', 'V1', 0.9472485979232605, 4.731139659881592]
['UV', 28, 'CV', 189, 'strings', 'uptime', 'V3', 'V0', 0.9111560746804009, 1.075303316116333]
['CV', 345, 'UV', 72, 'rmdir', 'find', 'V1', 'V0', 0.7493403693931399, 0.13653254508972168]
['CV', 209, 'UV', 87, 'sum', 'objdump', 'V0', 'V0', 0.9353982887842409, 1.844353199005127]
['UV', 11, 'BV', 7, 'ranlib', 'libSDL2-2.0.so', 'V2', 'V0', 0.22233704292527823, 14.201481342315674]
['BV', 32, 'CV', 251, 'perl', 'nl', 'V0', 'V0', 0.9021024698918146, 2.513972759246826]
['BV', 8, 'CV', 264, 'cluster', 'test', 'V2', 'V1', 0.7100997506234414, 0.12143802642822266]
['CV', 295, 'UV', 59, 'echo', 'ld', 'V1', 'V1', 0.9556051587301587, 1.970067024230957]
['UV', 46, 'CV', 279, 'diff', 'pwd', 'V1', 'V1', 0.7025541545425154, 0.09937071800231934]
['BV', 80, 'CV', 95, 'cluster', 'du', 'V1', 'V3', 0.21489222730241675, 0.2460477352142334]
['CV', 181, 'BV', 57, 'dir', 'svn', 'V0', 'V2', 0.5850449293966624, 0.7016432285308838]
['CV', 305, 'BV', 74, 'true', 'git', 'V1', 'V1', 0.9843738968771327, 5.889737367630005]
['BV', 11, 'UV', 60, 'bash', 'gprof', 'V1', 'V1', 0.2944338049051708, 6.60713267326355]
['UV', 9, 'CV', 73, 'readelf', 'shred', 'V2', 'V2', 0.5847966214714381, 0.15767383575439453]
['CV', 12, 'BV', 6, 'stty', 'libvlc.so', 'V2', 'V0', 0.6686390532544378, 0.3387451171875]
['UV', 12, 'CV', 114, 'c++filt', 'expr', 'V2', 'V3', 0.846641988365944, 1.128957748413086]
['CV', 127, 'UV', 62, 'ls', 'ar', 'V3', 'V1', 0.6858731924360401, 2.0368599891662598]
['UV', 60, 'CV', 241, 'gprof', 'uname', 'V1', 'V0', 0.9408908238446082, 1.1224846839904785]
['UV', 21, 'CV', 114, 'objdump', 'expr', 'V2', 'V3', 0.8874369258636304, 1.7634632587432861]
['CV', 6, 'UV', 43, 'fmt', 'sdiff', 'V2', 'V3', 0.2989821882951653, 0.03991866111755371]
['UV', 6, 'CV', 100, 'sdiff', 'join', 'V2', 'V3', 0.16465863453815266, 0.05354928970336914]
['CV', 247, 'BV', 16, 'shred', 'libvlc.so', 'V0', 'V3', 0.7418876321157055, 0.5290868282318115]
['CV', 129, 'UV', 25, 'dircolors', 'as', 'V3', 'V3', 0.9158894547119071, 2.390254259109497]
['BV', 41, 'UV', 58, 'libvlccore.so', 'objcopy', 'V1', 'V1', 0.16512350522582464, 8.377974033355713]
['UV', 26, 'CV', 336, 'ranlib', 'tr', 'V3', 'V1', 0.9031290184312044, 1.1896319389343262]
['BV', 9, 'CV', 138, 'dot', 'printf', 'V2', 'V3', 0.5622568093385214, 0.019896984100341797]
['CV', 114, 'BV', 31, 'expr', 'codeblocks', 'V3', 'V0', 0.952347044969053, 14.649001598358154]
['UV', 69, 'CV', 252, 'sdiff', 'rm', 'V0', 'V0', 0.15440763615946096, 0.04949593544006348]
['BV', 33, 'CV', 81, 'openssl', 'sleep', 'V0', 'V2', 0.9749664729548503, 6.878284215927124]
['CV', 259, 'UV', 51, 'mknod', 'nm', 'V0', 'V1', 0.9262599469496021, 1.197629451751709]
