['UV', 2, 'CV', 61, 'find', 'ginstall', 'V2', 'V2', 0.3686067019400352, 0.4904611110687256]
['CV', 324, 'BV', 47, 'mv', 'dot', 'V1', 'V3', 0.7029702970297029, 0.03909659385681152]
['CV', 332, 'BV', 45, '[', 'svn', 'V1', 'V3', 0.8573454339194555, 0.788597583770752]
['CV', 222, 'UV', 69, 'df', 'sdiff', 'V0', 'V0', 0.17877739331026532, 0.09825992584228516]
['BV', 60, 'CV', 131, 'codeblocks', 'true', 'V1', 'V3', 0.9705392183215956, 19.469874620437622]
['CV', 182, 'BV', 12, 'du', 'sort', 'V0', 'V2', 0.20405862457722657, 0.09695291519165039]
['UV', 56, 'CV', 273, 'c++filt', 'stty', 'V1', 'V1', 0.8981498113885396, 1.0595653057098389]
['BV', 52, 'CV', 262, 'libSDL2-2.0.so', 'stat', 'V2', 'V1', 0.9469330419853286, 4.879608392715454]
['UV', 66, 'CV', 255, 'diff3', 'sleep', 'V0', 'V0', 0.4313005143277002, 0.0293424129486084]
['BV', 23, 'CV', 252, 'diff', 'rm', 'V3', 'V0', 0.4956982131039047, 0.10911107063293457]
['CV', 269, 'UV', 37, 'du', 'locate', 'V1', 'V3', 0.31748514232092595, 0.15957427024841309]
['CV', 81, 'BV', 4, 'sleep', 'geany', 'V2', 'V3', 0.9814756781224973, 33.41020059585571]
['CV', 86, 'BV', 76, 'ln', 'diff', 'V2', 'V2', 0.4334405144694533, 0.12342572212219238]
['BV', 27, 'CV', 215, 'libSDL2-2.0.so', 'nice', 'V1', 'V0', 0.9567012610199754, 4.360942840576172]
['BV', 62, 'CV', 189, 'diff', 'uptime', 'V0', 'V0', 0.43673469387755104, 0.047808170318603516]
['CV', 46, 'UV', 84, 'cut', 'ar', 'V2', 'V0', 0.8806980984631414, 1.2911181449890137]
['CV', 208, 'BV', 57, 'echo', 'svn', 'V0', 'V2', 0.8690205011389521, 0.44620752334594727]
['BV', 19, 'CV', 296, 'cp', 'sum', 'V3', 'V1', 0.6110894181960171, 0.08729004859924316]
['UV', 27, 'CV', 100, 'c++filt', 'join', 'V3', 'V3', 0.8268889677190493, 1.140960454940796]
['UV', 36, 'BV', 74, 'objdump', 'git', 'V3', 'V1', 0.4354146806482364, 21.67415952682495]
['BV', 29, 'CV', 285, 'perl', 'factor', 'V3', 'V1', 0.9695152423788106, 2.9308364391326904]
['CV', 300, 'UV', 19, 'whoami', 'elfedit', 'V1', 'V2', 0.29445506692160617, 0.022037982940673828]
['UV', 21, 'CV', 98, 'objdump', 'printenv', 'V2', 'V3', 0.9260628465804066, 1.7305362224578857]
['BV', 32, 'CV', 100, 'perl', 'join', 'V0', 'V3', 0.9194199555079509, 2.4925148487091064]
['CV', 118, 'UV', 77, 'sha1sum', 'ranlib', 'V3', 'V0', 0.8709510235812387, 1.310232162475586]
['CV', 311, 'UV', 44, 'cksum', 'diff3', 'V1', 'V1', 0.447772096420745, 0.030490636825561523]
['UV', 27, 'BV', 66, 'c++filt', 'lua', 'V3', 'V1', 0.2703862660944206, 2.269717216491699]
['CV', 238, 'BV', 36, 'md5sum', 'libvlc.so', 'V0', 'V2', 0.8063393892539621, 0.4374222755432129]
['CV', 183, 'UV', 65, 'users', 'objdump', 'V0', 'V1', 0.9437182046493657, 1.9312291145324707]
['BV', 8, 'CV', 11, 'cluster', 'printenv', 'V2', 'V2', 0.7211779448621554, 0.1199500560760498]
['BV', 42, 'CV', 119, 'libvlc.so', 'paste', 'V1', 'V3', 0.7212631578947368, 0.2935192584991455]
['UV', 69, 'BV', 3, 'sdiff', 'diff', 'V0', 'V1', 0.3244535519125683, 0.10649418830871582]
['UV', 67, 'CV', 74, 'cmp', 'pathchk', 'V0', 'V2', 0.2231930103256553, 0.026676416397094727]
['CV', 173, 'BV', 79, 'ln', 'bash', 'V3', 'V3', 0.8817346685425805, 4.398216247558594]
['CV', 205, 'BV', 69, 'sha1sum', 'gvmap', 'V0', 'V0', 0.6746909564085881, 0.12493133544921875]
['CV', 121, 'BV', 77, 'echo', 'perl', 'V3', 'V2', 0.9630339451031347, 3.092346668243408]
['CV', 231, 'UV', 11, 'who', 'ranlib', 'V0', 'V2', 0.9049391069012178, 1.3732531070709229]
['BV', 79, 'CV', 232, 'bash', 'readlink', 'V3', 'V0', 0.9639803057786992, 2.9949417114257812]
['BV', 43, 'CV', 102, 'lua', 'uptime', 'V0', 'V3', 0.7346714756154932, 0.37124204635620117]
['CV', 307, 'BV', 14, 'cut', 'openssl', 'V1', 'V3', 0.9473216618761432, 7.66994571685791]
['CV', 191, 'BV', 25, 'mkfifo', 'git', 'V0', 'V3', 0.9881089494163424, 11.827894687652588]
['BV', 80, 'CV', 83, 'cluster', 'tac', 'V1', 'V2', 0.3517883390494856, 0.17818927764892578]
['UV', 8, 'CV', 97, 'strip', 'ptx', 'V2', 'V3', 0.8340089609558353, 1.555879831314087]
['UV', 3, 'CV', 44, 'diff3', 'true', 'V2', 'V2', 0.39270687237026647, 0.03149104118347168]
['UV', 55, 'CV', 269, 'ranlib', 'du', 'V1', 'V1', 0.8237751004016064, 1.3358731269836426]
['BV', 73, 'CV', 75, 'geany', 'tr', 'V0', 'V2', 0.9696446586705526, 18.772880792617798]
['CV', 37, 'UV', 66, 'seq', 'diff3', 'V2', 'V0', 0.2264150943396226, 0.03768157958984375]
['BV', 58, 'UV', 87, 'ruby', 'objdump', 'V3', 'V0', 0.9874676474594742, 1.5802631378173828]
['CV', 144, 'UV', 44, 'who', 'diff3', 'V3', 'V1', 0.09466811751904247, 0.049567461013793945]
['BV', 58, 'UV', 60, 'ruby', 'gprof', 'V3', 'V1', 0.9842506205597877, 1.1234071254730225]
['UV', 42, 'CV', 279, 'diff', 'pwd', 'V3', 'V1', 0.6616403089371092, 0.09386515617370605]
['CV', 38, 'BV', 18, 'split', 'sort', 'V2', 'V3', 0.37017994858611825, 0.12253665924072266]
['CV', 123, 'BV', 83, 'chroot', 'git', 'V3', 'V2', 0.9695288142904763, 9.5146963596344]
['UV', 74, 'CV', 345, 'strip', 'rmdir', 'V0', 'V1', 0.9441635524291053, 1.3642113208770752]
['UV', 80, 'CV', 142, 'objcopy', 'nohup', 'V0', 'V3', 0.9013902823563136, 1.4287700653076172]
['CV', 239, 'UV', 62, 'env', 'ar', 'V0', 'V1', 0.9400205058099795, 1.2542424201965332]
['CV', 162, 'BV', 22, 'tr', 'cmp', 'V3', 'V3', 0.10621761658031093, 0.03763294219970703]
['UV', 11, 'CV', 108, 'ranlib', 'chgrp', 'V2', 'V3', 0.8073004412354593, 1.3530981540679932]
['CV', 198, 'UV', 31, 'factor', 'gprof', 'V0', 'V3', 0.9288828104966237, 1.2612206935882568]
['BV', 38, 'CV', 102, 'ruby', 'uptime', 'V2', 'V3', 0.8046709129511678, 0.017318010330200195]
['CV', 34, 'BV', 20, 'echo', 'sort', 'V2', 'V1', 0.42455242966751916, 0.03978991508483887]
['CV', 341, 'UV', 39, 'uniq', 'find', 'V1', 'V3', 0.7983929875821768, 0.38874077796936035]
['UV', 19, 'BV', 20, 'elfedit', 'sort', 'V2', 'V1', 0.28026905829596416, 0.05000948905944824]
['CV', 25, 'UV', 52, 'expand', 'strip', 'V2', 'V1', 0.927145847871598, 1.6229259967803955]
['UV', 29, 'CV', 153, 'objcopy', 'link', 'V3', 'V3', 0.9105489044499662, 1.3961989879608154]
['UV', 45, 'CV', 180, 'cmp', 'fmt', 'V1', 'V0', 0.271043771043771, 0.026825428009033203]
['CV', 166, 'UV', 31, 'fold', 'gprof', 'V3', 'V3', 0.8871048670346212, 1.3558263778686523]
['CV', 162, 'UV', 85, 'tr', 'elfedit', 'V3', 'V0', 0.15316541865214428, 0.03452944755554199]
['BV', 83, 'CV', 248, 'git', 'pathchk', 'V2', 'V0', 0.984823933920879, 7.921153783798218]
['BV', 22, 'CV', 260, 'cmp', 'ln', 'V3', 'V0', 0.14954682779456197, 0.032166481018066406]
['CV', 88, 'BV', 11, 'stat', 'bash', 'V3', 'V1', 0.8848229265859521, 3.9131901264190674]
['CV', 70, 'UV', 86, 'vdir', 'size', 'V2', 'V0', 0.7610901281196771, 1.586982011795044]
['BV', 20, 'CV', 72, 'sort', 'id', 'V1', 'V2', 0.3262032085561497, 0.04297900199890137]
['BV', 66, 'UV', 28, 'lua', 'strings', 'V1', 'V3', 0.274112913059383, 3.0290470123291016]
['CV', 121, 'BV', 33, 'echo', 'openssl', 'V3', 'V0', 0.9732487070992007, 7.705509185791016]
['BV', 13, 'CV', 223, 'cp', 'tsort', 'V2', 'V0', 0.6020551144325081, 0.06413030624389648]
['CV', 287, 'UV', 55, 'date', 'ranlib', 'V1', 'V1', 0.8929553980825344, 1.4216728210449219]
['CV', 22, 'UV', 17, 'kill', 'addr2line', 'V2', 'V2', 0.9028412655731828, 1.2486844062805176]
['BV', 11, 'CV', 235, 'bash', 'ginstall', 'V1', 'V0', 0.88953541231021, 3.1476941108703613]
['CV', 261, 'BV', 44, 'touch', 'make', 'V1', 'V0', 0.7343046925219627, 0.2418215274810791]
['UV', 80, 'CV', 160, 'objcopy', 'shred', 'V0', 'V3', 0.8396893634724726, 1.6106116771697998]
['CV', 72, 'UV', 9, 'id', 'readelf', 'V2', 'V2', 0.7234711143340585, 0.13817882537841797]
['CV', 336, 'BV', 40, 'tr', 'lua', 'V1', 'V2', 0.8377602297200287, 0.4644801616668701]
['BV', 18, 'CV', 84, 'sort', 'rmdir', 'V3', 'V2', 0.5596196049743964, 0.09445714950561523]
