['BV', 5, 'UV', 65, 'libvlccore.so', 'objdump', 'V0', 'V1', 0.13592292212939816, 11.488966226577759]
['BV', 83, 'CV', 266, 'git', 'mkdir', 'V2', 'V1', 0.9772440944881889, 8.037078857421875]
['BV', 47, 'CV', 250, 'dot', 'comm', 'V3', 'V0', 0.3735294117647059, 0.012799739837646484]
['CV', 268, 'UV', 27, 'dir', 'c++filt', 'V1', 'V3', 0.7715757835981107, 1.6674418449401855]
['CV', 178, 'UV', 56, 'basename', 'c++filt', 'V0', 'V1', 0.9349935909174144, 1.1236376762390137]
['BV', 31, 'CV', 184, 'codeblocks', 'ptx', 'V0', 'V0', 0.9300411522633745, 12.4340980052948]
['CV', 180, 'BV', 72, 'fmt', 'perl', 'V0', 'V1', 0.9708526924491092, 2.957533836364746]
['UV', 8, 'BV', 57, 'strip', 'svn', 'V2', 'V2', 0.4477687342127421, 3.2071287631988525]
['CV', 187, 'BV', 55, 'join', 'codeblocks', 'V0', 'V3', 0.9682399187774972, 16.260156631469727]
['CV', 70, 'UV', 29, 'vdir', 'objcopy', 'V2', 'V3', 0.7760839160839161, 2.196913480758667]
['UV', 79, 'CV', 110, 'strings', 'wc', 'V0', 'V3', 0.840494141157235, 1.0965988636016846]
['BV', 40, 'CV', 318, 'lua', 'who', 'V2', 'V1', 0.8356517997992255, 0.4201786518096924]
['BV', 18, 'CV', 72, 'sort', 'id', 'V3', 'V2', 0.5763401109057301, 0.09306621551513672]
['CV', 302, 'BV', 55, 'nice', 'codeblocks', 'V1', 'V3', 0.9791110413067379, 15.056044816970825]
['BV', 20, 'CV', 253, 'sort', 'fold', 'V1', 'V0', 0.45956607495069035, 0.040122270584106445]
['UV', 81, 'CV', 123, 'ld', 'chroot', 'V0', 'V3', 0.9005758157389635, 1.7929024696350098]
['CV', 146, 'UV', 49, 'head', 'xargs', 'V3', 'V1', 0.09113764927718415, 0.03611350059509277]
['BV', 54, 'CV', 174, 'lua', 'touch', 'V3', 'V0', 0.8385159482183371, 0.48381662368774414]
['UV', 35, 'CV', 44, 'size', 'true', 'V3', 'V2', 0.9205868867491976, 1.1206161975860596]
['UV', 4, 'BV', 54, 'cmp', 'lua', 'V2', 'V3', 0.8017263928851687, 0.5717411041259766]
['CV', 87, 'BV', 30, 'touch', 'bash', 'V3', 'V0', 0.8906129529683886, 3.312804698944092]
['CV', 51, 'UV', 13, 'printf', 'strings', 'V2', 'V2', 0.8680580120268836, 1.3577818870544434]
['UV', 75, 'CV', 167, 'readelf', 'uniq', 'V0', 'V3', 0.5255963548646475, 0.1196441650390625]
['CV', 77, 'UV', 61, 'nl', 'addr2line', 'V2', 'V1', 0.781198003327787, 1.4926822185516357]
['UV', 61, 'CV', 334, 'addr2line', 'shred', 'V1', 'V1', 0.8567340213337958, 1.228358268737793]
['BV', 1, 'CV', 147, 'libSDL2-2.0.so', 'hostid', 'V3', 'V3', 0.947975304158344, 6.670653343200684]
