['BV', 53, 'UV', 33, 'ssh', 'ar', 'V2', 'V3', 0.4527250308261406, 13.228889465332031]
['UV', 31, 'CV', 51, 'gprof', 'printf', 'V3', 'V2', 0.8759664144982958, 1.4552321434020996]
['BV', 53, 'CV', 256, 'ssh', 'sort', 'V2', 'V0', 0.9393500378650687, 5.0015549659729]
['UV', 29, 'BV', 20, 'objcopy', 'sort', 'V3', 'V1', 0.8390954555338117, 1.5856812000274658]
['BV', 36, 'CV', 329, 'libvlc.so', 'cat', 'V2', 'V1', 0.8357886466313101, 0.3875088691711426]
['CV', 35, 'BV', 57, 'sum', 'svn', 'V2', 'V2', 0.7760548142805626, 0.5332725048065186]
['CV', 320, 'BV', 27, 'head', 'libSDL2-2.0.so', 'V1', 'V1', 0.9394944969857861, 4.927627325057983]
['CV', 258, 'BV', 13, 'rmdir', 'cp', 'V0', 'V2', 0.6578057032382794, 0.06654047966003418]
['BV', 20, 'CV', 18, 'sort', 'pwd', 'V1', 'V2', 0.31759149940968123, 0.04710984230041504]
['CV', 93, 'BV', 22, 'fmt', 'cmp', 'V3', 'V3', 0.13937753721244928, 0.03707122802734375]
['CV', 311, 'BV', 18, 'cksum', 'sort', 'V1', 'V3', 0.6981282357626444, 0.08813071250915527]
['UV', 13, 'CV', 255, 'strings', 'sleep', 'V2', 'V0', 0.9291324200913242, 1.0746448040008545]
['CV', 1, 'UV', 63, 'stat', 'elfedit', 'V2', 'V1', 0.16275430359937404, 0.03104996681213379]
['CV', 26, 'UV', 69, 'date', 'sdiff', 'V2', 'V0', 0.18611269208878767, 0.04911947250366211]
['BV', 50, 'CV', 64, 'sort', 'md5sum', 'V0', 'V2', 0.22811671087533159, 0.037789344787597656]
['CV', 137, 'UV', 54, 'cksum', 'as', 'V3', 'V1', 0.9268038852913969, 2.2294492721557617]
['CV', 190, 'BV', 53, 'dd', 'ssh', 'V0', 'V2', 0.9484600879949717, 5.904288291931152]
['UV', 60, 'CV', 35, 'gprof', 'sum', 'V1', 'V2', 0.897675180091683, 1.21602201461792]
['UV', 64, 'CV', 196, 'size', 'kill', 'V1', 'V0', 0.9229735781459919, 1.0935144424438477]
['BV', 20, 'CV', 141, 'sort', 'false', 'V1', 'V3', 0.35464414957780455, 0.043344736099243164]
['CV', 333, 'UV', 40, 'id', 'diff3', 'V1', 'V3', 0.3871829105473965, 0.03756856918334961]
['CV', 216, 'UV', 70, 'dircolors', 'locate', 'V0', 'V0', 0.5372625426205553, 0.06810426712036133]
['CV', 11, 'UV', 12, 'printenv', 'c++filt', 'V2', 'V2', 0.9176276771004942, 1.1796154975891113]
['UV', 20, 'CV', 173, 'size', 'ln', 'V2', 'V3', 0.7636243167135994, 1.3700387477874756]
['CV', 119, 'BV', 79, 'paste', 'bash', 'V3', 'V3', 0.9429181798760948, 3.6138439178466797]
['CV', 86, 'BV', 0, 'ln', 'bash', 'V2', 'V2', 0.9225153913808267, 3.726895809173584]
