['BV', 82, 'CV', 111, 'gvmap', 'factor', 'V1', 'V3', 0.4863971523010424, 0.2734675407409668]
['CV', 136, 'UV', 34, 'tsort', 'elfedit', 'V3', 'V3', 0.15975526852481303, 0.03373146057128906]
['CV', 344, 'UV', 30, 'tac', 'ld', 'V1', 'V3', 0.8585205289599815, 2.808194160461426]
['BV', 33, 'CV', 227, 'openssl', 'tty', 'V0', 'V0', 0.9834597481155928, 6.918741941452026]
['UV', 80, 'BV', 58, 'objcopy', 'ruby', 'V0', 'V3', 0.9862254828567151, 1.2509605884552002]
['CV', 14, 'UV', 63, 'dirname', 'elfedit', 'V2', 'V1', 0.21490467937608315, 0.02357006072998047]
['CV', 0, 'BV', 35, 'touch', 'libvlccore.so', 'V2', 'V2', 0.9309654350417164, 4.663773775100708]
['BV', 19, 'UV', 74, 'cp', 'strip', 'V3', 'V0', 0.7322721638723987, 2.1687967777252197]
['UV', 7, 'CV', 104, 'nm', 'mkfifo', 'V2', 'V3', 0.8915040685974276, 1.1490356922149658]
['CV', 64, 'BV', 19, 'md5sum', 'cp', 'V2', 'V3', 0.5569811320754717, 0.09738850593566895]
['BV', 46, 'CV', 201, 'cluster', 'expr', 'V3', 'V0', 0.37265683579105224, 0.15859484672546387]
['CV', 318, 'BV', 4, 'who', 'geany', 'V1', 'V3', 0.9800622836166252, 34.12695336341858]
['UV', 71, 'CV', 268, 'xargs', 'dir', 'V0', 'V1', 0.37621235324144964, 0.06959843635559082]
['CV', 81, 'UV', 18, 'sleep', 'ar', 'V2', 'V2', 0.9097846362557233, 1.3324384689331055]
['BV', 30, 'CV', 156, 'bash', 'csplit', 'V0', 'V3', 0.9017935046049442, 2.556884765625]
['CV', 332, 'UV', 22, '[', 'nm', 'V1', 'V3', 0.909727207465901, 1.2394778728485107]
['BV', 49, 'CV', 208, 'make', 'echo', 'V3', 'V0', 0.8638681836014123, 0.22897124290466309]
['CV', 111, 'BV', 12, 'factor', 'sort', 'V3', 'V2', 0.22489499809087432, 0.08379411697387695]
['CV', 42, 'UV', 67, 'dircolors', 'cmp', 'V2', 'V0', 0.17873651771956856, 0.028033018112182617]
['CV', 44, 'BV', 51, 'true', 'cp', 'V2', 'V0', 0.4458144062297209, 0.03749370574951172]
['UV', 9, 'CV', 179, 'readelf', 'mkdir', 'V2', 'V0', 0.7364190012180268, 0.12398934364318848]
['BV', 62, 'CV', 289, 'diff', 'chown', 'V0', 'V1', 0.20019436345966957, 0.06293773651123047]
['UV', 25, 'BV', 28, 'as', 'openssl', 'V3', 'V1', 0.4524253426225755, 31.72754406929016]
['UV', 65, 'CV', 254, 'objdump', 'uniq', 'V1', 'V0', 0.9309109518935517, 1.7883496284484863]
['CV', 238, 'UV', 75, 'md5sum', 'readelf', 'V0', 'V0', 0.7000897934750074, 0.10232424736022949]
['CV', 179, 'UV', 53, 'mkdir', 'readelf', 'V0', 'V1', 0.6944365998305564, 0.11244034767150879]
['UV', 43, 'BV', 29, 'sdiff', 'perl', 'V3', 'V3', 0.9293632199181733, 3.8781158924102783]
['BV', 17, 'UV', 56, 'codeblocks', 'c++filt', 'V2', 'V1', 0.5591406872823396, 20.320831060409546]
['UV', 6, 'CV', 164, 'sdiff', 'nl', 'V2', 'V3', 0.2073520964962665, 0.04595136642456055]
['CV', 194, 'BV', 79, 'tee', 'bash', 'V0', 'V3', 0.9634715025906736, 3.3053088188171387]
['CV', 327, 'UV', 76, 'link', 'as', 'V1', 'V0', 0.9552586418239765, 1.8914482593536377]
['UV', 73, 'BV', 52, 'nm', 'libSDL2-2.0.so', 'V0', 'V2', 0.32095198789379564, 15.83380651473999]
['CV', 15, 'BV', 68, 'uptime', 'dot', 'V2', 'V0', 0.5086107921928817, 0.017887115478515625]
['CV', 332, 'UV', 67, '[', 'cmp', 'V1', 'V0', 0.21690590111642738, 0.0282132625579834]
['BV', 76, 'CV', 41, 'diff', 'nice', 'V2', 'V2', 0.6252278527160043, 0.09090471267700195]
['CV', 194, 'UV', 40, 'tee', 'diff3', 'V0', 'V3', 0.42134062927496574, 0.03439593315124512]
['UV', 41, 'BV', 74, 'cmp', 'git', 'V3', 'V1', 0.964860771292089, 6.4745872020721436]
['CV', 225, 'BV', 25, 'printf', 'git', 'V0', 'V3', 0.9842793674464846, 12.262495756149292]
['UV', 65, 'CV', 67, 'objdump', 'uname', 'V1', 'V2', 0.9384753708817674, 1.796449899673462]
['UV', 49, 'CV', 88, 'xargs', 'stat', 'V1', 'V3', 0.24926971762414807, 0.06362056732177734]
['BV', 69, 'CV', 75, 'gvmap', 'tr', 'V0', 'V2', 0.5889230769230769, 0.12344646453857422]
['BV', 33, 'CV', 320, 'openssl', 'head', 'V0', 'V1', 0.9742697210593161, 7.047243595123291]
['UV', 76, 'CV', 273, 'as', 'stty', 'V0', 'V1', 0.9313476207773338, 1.8320503234863281]
['UV', 71, 'CV', 161, 'xargs', 'pathchk', 'V0', 'V3', 0.154863813229572, 0.027926206588745117]
['CV', 295, 'BV', 50, 'echo', 'sort', 'V1', 'V0', 0.4401876465989054, 0.02869725227355957]
['CV', 202, 'UV', 45, 'chown', 'cmp', 'V0', 'V1', 0.05228758169934644, 0.039411306381225586]
['UV', 10, 'CV', 261, 'as', 'touch', 'V2', 'V1', 0.9286700414173953, 2.0955049991607666]
['CV', 245, 'UV', 78, '[', 'c++filt', 'V0', 'V0', 0.9076396807297605, 1.0736932754516602]
['CV', 40, 'BV', 46, 'ls', 'cluster', 'V2', 'V3', 0.2927669345579793, 0.24805045127868652]
['BV', 37, 'CV', 163, 'geany', 'comm', 'V1', 'V3', 0.9703593923675435, 24.377496480941772]
['CV', 4, 'UV', 81, 'basename', 'ld', 'V2', 'V0', 0.9365058670143416, 1.8465797901153564]
['CV', 128, 'UV', 8, 'nice', 'strip', 'V3', 'V2', 0.9100807347603881, 1.6257469654083252]
['UV', 22, 'CV', 88, 'nm', 'stat', 'V3', 'V3', 0.786919654101251, 1.3571312427520752]
['BV', 83, 'CV', 231, 'git', 'who', 'V2', 'V0', 0.9778670447385003, 8.170878648757935]
['CV', 85, 'BV', 4, 'mknod', 'geany', 'V2', 'V3', 0.9814756781224973, 33.683703899383545]
['UV', 7, 'CV', 89, 'nm', 'unlink', 'V2', 'V3', 0.8961494605736339, 1.174757957458496]
