['CV', 111, 'UV', 7, 'factor', 'nm', 'V3', 'V2', 0.8278515261689355, 1.1026170253753662]
['CV', 145, 'UV', 54, 'readlink', 'as', 'V3', 'V1', 0.9085963003264418, 1.8232877254486084]
['UV', 26, 'CV', 66, 'ranlib', 'link', 'V3', 'V2', 0.9174296078770081, 0.9453845024108887]
['CV', 110, 'BV', 63, 'wc', 'ruby', 'V3', 'V0', 0.9650804382842484, 12.508612632751465]
['CV', 56, 'UV', 46, 'yes', 'diff', 'V2', 'V1', 0.7036557748301521, 0.10562729835510254]
['BV', 27, 'UV', 22, 'libSDL2-2.0.so', 'nm', 'V1', 'V3', 0.2834782608695652, 9.795910596847534]
['BV', 74, 'UV', 85, 'git', 'elfedit', 'V1', 'V0', 0.9683006535947712, 5.8382956981658936]
['UV', 0, 'CV', 42, 'locate', 'dircolors', 'V2', 'V2', 0.41839447102605, 0.056288957595825195]
['CV', 93, 'UV', 75, 'fmt', 'readelf', 'V3', 'V0', 0.5970819304152637, 0.11594009399414062]
['BV', 10, 'CV', 262, 'gvmap', 'stat', 'V2', 'V1', 0.7045255474452555, 0.1403205394744873]
['CV', 203, 'UV', 80, 'tail', 'objcopy', 'V0', 'V0', 0.8962264150943396, 1.6901888847351074]
['CV', 340, 'BV', 76, 'fold', 'diff', 'V1', 'V2', 0.6816295737457563, 0.09892153739929199]
['BV', 1, 'CV', 43, 'libSDL2-2.0.so', 'chmod', 'V3', 'V2', 0.9172549370029488, 6.679024696350098]
['UV', 68, 'CV', 2, 'diff', 'unlink', 'V0', 'V2', 0.6016771488469602, 0.07171416282653809]
['UV', 73, 'CV', 72, 'nm', 'id', 'V0', 'V2', 0.8952276467361492, 1.0623936653137207]
['UV', 56, 'CV', 203, 'c++filt', 'tail', 'V1', 'V0', 0.8714247764101656, 1.1448380947113037]
['UV', 36, 'CV', 341, 'objdump', 'uniq', 'V3', 'V1', 0.9354575163398693, 2.185971260070801]
['CV', 162, 'UV', 62, 'tr', 'ar', 'V3', 'V1', 0.869883883719015, 1.472097635269165]
['UV', 57, 'CV', 2, 'strings', 'unlink', 'V1', 'V2', 0.9147446827604774, 1.1098520755767822]
['CV', 107, 'UV', 59, 'tee', 'ld', 'V3', 'V1', 0.9093165445850233, 2.2996671199798584]
['BV', 26, 'UV', 70, 'geany', 'locate', 'V2', 'V0', 0.9419574624804345, 29.40063452720642]
['CV', 248, 'BV', 68, 'pathchk', 'dot', 'V0', 'V0', 0.31034482758620685, 0.011040210723876953]
['CV', 227, 'UV', 3, 'tty', 'diff3', 'V0', 'V2', 0.47877885331347736, 0.031434059143066406]
['BV', 33, 'CV', 108, 'openssl', 'chgrp', 'V0', 'V3', 0.9442720155649234, 7.515635967254639]
['UV', 61, 'CV', 16, 'addr2line', 'dd', 'V1', 'V2', 0.8330479452054794, 1.2239105701446533]
['BV', 82, 'CV', 283, 'gvmap', 'kill', 'V1', 'V1', 0.7377830750893921, 0.13776946067810059]
['BV', 8, 'CV', 115, 'cluster', 'chown', 'V2', 'V3', 0.3896430367018602, 0.18539643287658691]
['CV', 141, 'UV', 25, 'false', 'as', 'V3', 'V3', 0.9366107576633892, 2.408799648284912]
['BV', 21, 'UV', 59, 'cp', 'ld', 'V1', 'V1', 0.8669350065111874, 2.5473392009735107]
['UV', 24, 'BV', 64, 'readelf', 'openssl', 'V3', 'V2', 0.5181994021452435, 11.917516469955444]
['BV', 12, 'CV', 90, 'sort', 'test', 'V2', 'V3', 0.3720136518771331, 0.07224082946777344]
['CV', 268, 'BV', 19, 'dir', 'cp', 'V1', 'V3', 0.21642228739002933, 0.16438913345336914]
['UV', 47, 'CV', 140, 'sdiff', 'tty', 'V1', 'V3', 0.295526149968494, 0.04039812088012695]
['BV', 14, 'UV', 50, 'openssl', 'find', 'V3', 'V1', 0.6853769957935683, 9.173698425292969]
['UV', 22, 'CV', 62, 'nm', 'unexpand', 'V3', 'V2', 0.9064767535608708, 1.1826386451721191]
['UV', 69, 'BV', 32, 'sdiff', 'perl', 'V0', 'V0', 0.9162622357489513, 3.3298494815826416]
['CV', 180, 'UV', 73, 'fmt', 'nm', 'V0', 'V0', 0.9192667345616147, 1.2044029235839844]
['CV', 32, 'BV', 4, 'paste', 'geany', 'V2', 'V3', 0.9824766151648696, 35.39849042892456]
['CV', 306, 'UV', 73, 'cp', 'nm', 'V1', 'V0', 0.80590129689268, 1.4998893737792969]
['BV', 15, 'CV', 232, 'libvlccore.so', 'readlink', 'V3', 'V0', 0.959799479417719, 4.457495927810669]
['BV', 64, 'UV', 68, 'openssl', 'diff', 'V2', 'V0', 0.7983832620066571, 7.133646488189697]
['BV', 75, 'UV', 15, 'cmp', 'ld', 'V2', 'V2', 0.9085038324582051, 2.4026849269866943]
['BV', 83, 'UV', 85, 'git', 'elfedit', 'V2', 'V0', 0.9733207599064851, 8.682898044586182]
['CV', 162, 'UV', 52, 'tr', 'strip', 'V3', 'V1', 0.8917659953418277, 1.891890287399292]
['UV', 72, 'CV', 225, 'find', 'printf', 'V0', 'V0', 0.6800760215394361, 0.1467270851135254]
['CV', 204, 'UV', 0, 'pinky', 'locate', 'V0', 'V2', 0.4116402116402116, 0.06647729873657227]
['CV', 251, 'UV', 57, 'nl', 'strings', 'V0', 'V1', 0.7979270245217831, 1.473140001296997]
['BV', 76, 'CV', 216, 'diff', 'dircolors', 'V2', 'V0', 0.647450110864745, 0.0971379280090332]
['BV', 33, 'UV', 56, 'openssl', 'c++filt', 'V0', 'V1', 0.5979291179717537, 13.200927972793579]
['BV', 25, 'CV', 156, 'git', 'csplit', 'V3', 'V3', 0.9687736009001094, 12.338509321212769]
['UV', 16, 'CV', 296, 'gprof', 'sum', 'V2', 'V1', 0.9167154444351534, 1.2693102359771729]
['UV', 38, 'CV', 219, 'xargs', 'cp', 'V3', 'V0', 0.15676567656765683, 0.11001133918762207]
['CV', 171, 'UV', 31, 'rmdir', 'gprof', 'V3', 'V3', 0.8826964792257634, 1.5196959972381592]
['UV', 15, 'CV', 163, 'ld', 'comm', 'V2', 'V3', 0.908394182608171, 2.3298017978668213]
['BV', 15, 'UV', 31, 'libvlccore.so', 'gprof', 'V3', 'V3', 0.29659622928002016, 9.552953720092773]
['UV', 28, 'CV', 52, 'strings', 'logname', 'V3', 'V2', 0.9118594166896679, 1.1689369678497314]
['UV', 51, 'CV', 167, 'nm', 'uniq', 'V1', 'V3', 0.8487780040733197, 1.267829418182373]
['UV', 28, 'CV', 287, 'strings', 'date', 'V3', 'V1', 0.8836113125453227, 1.2213876247406006]
['UV', 21, 'BV', 37, 'objdump', 'geany', 'V2', 'V1', 0.5526578506811655, 118.25668382644653]
['BV', 20, 'CV', 150, 'sort', 'mv', 'V1', 'V3', 0.35786728484497243, 0.1649477481842041]
['BV', 42, 'CV', 198, 'libvlc.so', 'factor', 'V1', 'V0', 0.815028901734104, 0.3037886619567871]
['CV', 158, 'BV', 34, '[', 'svn', 'V3', 'V0', 0.7081704820398288, 0.5181524753570557]
['CV', 334, 'BV', 58, 'shred', 'ruby', 'V1', 'V3', 0.7995642701525054, 0.021277427673339844]
['CV', 158, 'UV', 43, '[', 'sdiff', 'V3', 'V3', 0.20777777777777784, 0.05147147178649902]
['BV', 73, 'CV', 157, 'geany', 'vdir', 'V0', 'V3', 0.907425097698654, 22.27618980407715]
['UV', 3, 'CV', 315, 'diff3', 'false', 'V2', 'V1', 0.49886792452830186, 0.03071904182434082]
['CV', 76, 'BV', 5, 'comm', 'libvlccore.so', 'V2', 'V0', 0.9343420549516578, 3.9942445755004883]
['BV', 37, 'CV', 49, 'geany', 'tsort', 'V1', 'V2', 0.9781902188809272, 25.65623378753662]
['BV', 22, 'CV', 73, 'cmp', 'shred', 'V3', 'V2', 0.1308466548253404, 0.05333757400512695]
['BV', 79, 'UV', 67, 'bash', 'cmp', 'V3', 'V0', 0.9360524523160763, 3.363173007965088]
['CV', 279, 'BV', 71, 'pwd', 'ruby', 'V1', 'V1', 0.6666666666666666, 0.008528470993041992]
['BV', 58, 'UV', 62, 'ruby', 'ar', 'V3', 'V1', 0.9839231105286151, 1.1671674251556396]
['CV', 205, 'UV', 60, 'sha1sum', 'gprof', 'V0', 'V1', 0.9171352960635131, 1.397151231765747]
['CV', 189, 'UV', 75, 'uptime', 'readelf', 'V0', 'V0', 0.7092988263617214, 0.10974359512329102]
['CV', 56, 'UV', 37, 'yes', 'locate', 'V2', 'V3', 0.6458170445660673, 0.1171410083770752]
['CV', 273, 'UV', 31, 'stty', 'gprof', 'V1', 'V3', 0.9043037974683544, 1.4251723289489746]
['UV', 69, 'CV', 283, 'sdiff', 'kill', 'V0', 'V1', 0.39821795750514055, 0.03751993179321289]
['BV', 52, 'CV', 243, 'libSDL2-2.0.so', 'csplit', 'V2', 'V0', 0.8590163934426229, 5.6561219692230225]
['UV', 73, 'CV', 92, 'nm', 'mkdir', 'V0', 'V3', 0.841520831482633, 1.1659672260284424]
['UV', 7, 'CV', 166, 'nm', 'fold', 'V2', 'V3', 0.8824451410658307, 1.2615728378295898]
['CV', 190, 'UV', 64, 'dd', 'size', 'V0', 'V1', 0.8646864686468647, 1.4021885395050049]
['BV', 83, 'CV', 317, 'git', 'yes', 'V2', 'V1', 0.9858834694240692, 8.511312007904053]
['BV', 23, 'CV', 95, 'diff', 'du', 'V3', 'V3', 0.11386861313868613, 0.20344996452331543]
['UV', 62, 'BV', 49, 'ar', 'make', 'V1', 'V3', 0.4195230998509687, 2.2565760612487793]
['CV', 243, 'BV', 70, 'csplit', 'ssh', 'V0', 'V0', 0.90485768882631, 6.091023921966553]
['UV', 76, 'CV', 34, 'as', 'echo', 'V0', 'V2', 0.9446510210301737, 1.9200177192687988]
['BV', 56, 'CV', 269, 'ssh', 'du', 'V3', 'V1', 0.861121660969743, 1.8719027042388916]
['BV', 4, 'CV', 162, 'geany', 'tr', 'V3', 'V3', 0.9726150859678314, 32.9276864528656]
['CV', 3, 'BV', 36, 'test', 'libvlc.so', 'V2', 'V2', 0.7789613848202397, 0.48120570182800293]
['UV', 78, 'CV', 55, 'c++filt', 'nohup', 'V0', 'V2', 0.8932478310071671, 1.0412907600402832]
['BV', 42, 'CV', 118, 'libvlc.so', 'sha1sum', 'V1', 'V3', 0.6947608200455581, 0.3344249725341797]
['CV', 259, 'BV', 81, 'mknod', 'dot', 'V0', 'V1', 0.33956386292834884, 0.012798070907592773]
['UV', 15, 'CV', 186, 'ld', 'stty', 'V2', 'V0', 0.9320584102156779, 2.040888547897339]
['CV', 255, 'UV', 65, 'sleep', 'objdump', 'V0', 'V1', 0.9498708010335918, 2.006819248199463]
['UV', 27, 'CV', 192, 'c++filt', 'pwd', 'V3', 'V0', 0.9164417977109891, 1.1326267719268799]
['CV', 232, 'BV', 5, 'readlink', 'libvlccore.so', 'V0', 'V0', 0.9539811289521603, 3.853628635406494]
['BV', 7, 'CV', 185, 'libSDL2-2.0.so', 'printenv', 'V0', 'V0', 0.9525147513346446, 3.874326229095459]
['CV', 77, 'BV', 48, 'nl', 'gvmap', 'V2', 'V3', 0.38137996219281667, 0.20194244384765625]
['BV', 68, 'CV', 7, 'dot', 'dir', 'V0', 'V2', 0.7551686615886833, 0.06226038932800293]
