['CV', 63, 'BV', 81, 'mv', 'dot', 'V2', 'V1', 0.7591006423982869, 0.040775299072265625]
['UV', 16, 'CV', 152, 'gprof', 'env', 'V2', 'V3', 0.8926595656840889, 1.0357720851898193]
['CV', 303, 'BV', 63, 'dircolors', 'ruby', 'V1', 'V0', 0.980241272894874, 14.714558839797974]
['UV', 58, 'CV', 117, 'objcopy', 'pinky', 'V1', 'V3', 0.8900828143179796, 1.6541852951049805]
['UV', 74, 'BV', 31, 'strip', 'codeblocks', 'V0', 'V0', 0.46432222449396854, 39.758265018463135]
['BV', 38, 'UV', 42, 'ruby', 'diff', 'V2', 'V3', 0.9217354317311782, 0.06988143920898438]
['CV', 320, 'BV', 26, 'head', 'geany', 'V1', 'V2', 0.9794654253322321, 29.476410150527954]
['UV', 66, 'CV', 232, 'diff3', 'readlink', 'V0', 'V0', 0.40143884892086334, 0.03271913528442383]
['BV', 51, 'UV', 3, 'cp', 'diff3', 'V0', 'V2', 0.08138981437410753, 0.06403303146362305]
['CV', 290, 'BV', 37, 'tail', 'geany', 'V1', 'V1', 0.9700520579461483, 29.28672194480896]
['CV', 199, 'BV', 13, 'expand', 'cp', 'V0', 'V2', 0.6156382477626001, 0.06975626945495605]
['CV', 285, 'UV', 57, 'factor', 'strings', 'V1', 'V1', 0.9230283911671924, 1.1858744621276855]
['UV', 65, 'CV', 142, 'objdump', 'nohup', 'V1', 'V3', 0.9128010139416983, 1.8515875339508057]
['BV', 35, 'UV', 23, 'libvlccore.so', 'strip', 'V2', 'V3', 0.2517457040500334, 9.882576704025269]
['BV', 80, 'CV', 49, 'cluster', 'tsort', 'V1', 'V2', 0.6659593816307973, 0.13467907905578613]
['BV', 57, 'CV', 65, 'svn', 'env', 'V2', 'V2', 0.8294947994056464, 0.43230652809143066]
['UV', 71, 'BV', 76, 'xargs', 'diff', 'V0', 'V2', 0.5691657866948258, 0.11621522903442383]
['UV', 27, 'CV', 81, 'c++filt', 'sleep', 'V3', 'V2', 0.9017543859649123, 1.0929319858551025]
['UV', 80, 'CV', 112, 'objcopy', 'expand', 'V0', 'V3', 0.8996205341161309, 1.4467241764068604]
['BV', 54, 'CV', 311, 'lua', 'cksum', 'V3', 'V1', 0.895692858125774, 0.43050098419189453]
['CV', 307, 'BV', 80, 'cut', 'cluster', 'V1', 'V1', 0.6900800985828712, 0.1468367576599121]
['BV', 51, 'CV', 128, 'cp', 'nice', 'V0', 'V3', 0.3049562682215743, 0.04609203338623047]
['CV', 103, 'UV', 52, 'dd', 'strip', 'V3', 'V1', 0.8239218017304009, 2.0099716186523438]
['CV', 33, 'BV', 61, 'sync', 'cmp', 'V2', 'V0', 0.1856435643564356, 0.015107154846191406]
['BV', 49, 'CV', 322, 'make', 'ginstall', 'V3', 'V1', 0.5798570716303806, 0.3643357753753662]
['UV', 70, 'CV', 234, 'locate', 'hostid', 'V0', 'V0', 0.6394805194805194, 0.05589175224304199]
['BV', 23, 'CV', 251, 'diff', 'nl', 'V3', 'V0', 0.31058415268941586, 0.12697100639343262]
['CV', 16, 'BV', 59, 'dd', 'make', 'V2', 'V1', 0.6384915474642393, 0.30585408210754395]
['UV', 27, 'CV', 51, 'c++filt', 'printf', 'V3', 'V2', 0.8649040202825063, 1.1307637691497803]
['UV', 53, 'BV', 24, 'readelf', 'git', 'V1', 'V0', 0.8471493350996077, 7.316287517547607]
['CV', 73, 'UV', 50, 'shred', 'find', 'V2', 'V1', 0.5812372535690007, 0.2727205753326416]
['CV', 70, 'UV', 85, 'vdir', 'elfedit', 'V2', 'V0', 0.4109947643979057, 0.08727145195007324]
['CV', 38, 'UV', 33, 'split', 'ar', 'V2', 'V3', 0.8377483443708609, 1.5307695865631104]
['CV', 51, 'UV', 73, 'printf', 'nm', 'V2', 'V0', 0.8657186571865718, 1.266298770904541]
['CV', 31, 'UV', 6, 'sha1sum', 'sdiff', 'V2', 'V2', 0.28025078369905954, 0.04389190673828125]
['CV', 316, 'UV', 75, 'nohup', 'readelf', 'V1', 'V0', 0.7180883242589232, 0.10500264167785645]
['BV', 79, 'CV', 230, 'bash', 'yes', 'V3', 'V0', 0.970021227743361, 3.0988423824310303]
['UV', 47, 'CV', 314, 'sdiff', 'tty', 'V1', 'V1', 0.4759124087591241, 0.03358173370361328]
['BV', 18, 'UV', 6, 'sort', 'sdiff', 'V3', 'V2', 0.35600762873490144, 0.12801575660705566]
['CV', 78, 'UV', 61, 'rm', 'addr2line', 'V2', 'V1', 0.823679727427598, 1.4676973819732666]
['UV', 50, 'CV', 97, 'find', 'ptx', 'V1', 'V3', 0.5057050592034446, 0.23987030982971191]
['BV', 78, 'CV', 292, 'make', 'sha1sum', 'V2', 'V1', 0.8045052292839904, 0.23726105690002441]
['UV', 21, 'CV', 201, 'objdump', 'expr', 'V2', 'V0', 0.8411055720325614, 1.9271519184112549]
['BV', 8, 'CV', 145, 'cluster', 'readlink', 'V2', 'V3', 0.5536723163841808, 0.15530800819396973]
['BV', 75, 'CV', 225, 'cmp', 'printf', 'V2', 'V0', 0.20253164556962022, 0.03330564498901367]
['BV', 81, 'CV', 129, 'dot', 'dircolors', 'V1', 'V3', 0.5395833333333333, 0.020352602005004883]
['CV', 106, 'BV', 70, 'pr', 'ssh', 'V3', 'V0', 0.9223872517508542, 5.699774265289307]
['BV', 78, 'CV', 321, 'make', 'hostid', 'V2', 'V1', 0.8514238547255468, 0.2299485206604004]
['BV', 24, 'CV', 160, 'git', 'shred', 'V0', 'V3', 0.9381983426891205, 4.9883341789245605]
['CV', 276, 'BV', 83, 'uptime', 'git', 'V1', 'V2', 0.9807923642745864, 9.02177119255066]
['UV', 13, 'BV', 62, 'strings', 'diff', 'V2', 'V0', 0.7910802102764117, 1.3538885116577148]
['CV', 329, 'UV', 37, 'cat', 'locate', 'V1', 'V3', 0.6687847498014297, 0.11745095252990723]
['BV', 51, 'UV', 46, 'cp', 'diff', 'V0', 'V1', 0.4135257952419139, 0.16204380989074707]
['CV', 143, 'UV', 77, 'yes', 'ranlib', 'V3', 'V0', 0.8971708855215906, 1.292490005493164]
['UV', 19, 'CV', 156, 'elfedit', 'csplit', 'V2', 'V3', 0.23177237700059283, 0.04462385177612305]
['BV', 11, 'CV', 82, 'bash', 'sort', 'V1', 'V2', 0.856951393852752, 3.2979791164398193]
['CV', 301, 'UV', 59, 'ls', 'ld', 'V1', 'V1', 0.8426126073494187, 2.8439853191375732]
