['UV', 81, 'CV', 72, 'ld', 'id', 'V0', 'V2', 0.9257098405289771, 1.3001015186309814]
['UV', 78, 'BV', 38, 'c++filt', 'ruby', 'V0', 'V2', 0.9818361303060217, 0.6746447086334229]
['CV', 159, 'BV', 18, 'id', 'sort', 'V3', 'V3', 0.4739025233321812, 0.08458614349365234]
['CV', 48, 'BV', 33, 'df', 'openssl', 'V2', 'V0', 0.9468423127768629, 7.234190940856934]
['BV', 2, 'UV', 81, 'cmp', 'ld', 'V1', 'V0', 0.9037426300948475, 1.8700199127197266]
['CV', 187, 'BV', 61, 'join', 'cmp', 'V0', 'V0', 0.2655601659751037, 0.018099546432495117]
['UV', 57, 'CV', 158, 'strings', '[', 'V1', 'V3', 0.8621050794204922, 1.0420594215393066]
['UV', 62, 'CV', 300, 'ar', 'whoami', 'V1', 'V1', 0.936545842217484, 1.0781755447387695]
['CV', 64, 'UV', 47, 'md5sum', 'sdiff', 'V2', 'V1', 0.27318295739348364, 0.03888702392578125]
['CV', 52, 'BV', 13, 'logname', 'cp', 'V2', 'V2', 0.5633546034639927, 0.06534004211425781]
['CV', 189, 'UV', 58, 'uptime', 'objcopy', 'V0', 'V1', 0.9324050101462459, 1.6759047508239746]
['UV', 25, 'CV', 32, 'as', 'paste', 'V3', 'V2', 0.9416642505073934, 2.0893943309783936]
['CV', 41, 'BV', 24, 'nice', 'git', 'V2', 'V0', 0.9720409051348999, 4.85860013961792]
['UV', 25, 'CV', 328, 'as', 'uname', 'V3', 'V1', 0.9574418332748743, 2.0249462127685547]
['UV', 1, 'CV', 320, 'xargs', 'head', 'V2', 'V1', 0.3995609220636662, 0.048961639404296875]
['BV', 39, 'CV', 229, 'svn', 'nohup', 'V1', 'V0', 0.8375653472740852, 0.42997026443481445]
['BV', 24, 'CV', 215, 'git', 'nice', 'V0', 'V0', 0.9788221166966868, 4.395227432250977]
['CV', 66, 'UV', 19, 'link', 'elfedit', 'V2', 'V2', 0.2222222222222222, 0.02435445785522461]
['CV', 267, 'UV', 81, 'fmt', 'ld', 'V1', 'V0', 0.9415686274509804, 1.8804550170898438]
['CV', 317, 'BV', 36, 'yes', 'libvlc.so', 'V1', 'V2', 0.858051689860835, 0.40529561042785645]
['UV', 58, 'CV', 126, 'objcopy', 'whoami', 'V1', 'V3', 0.9187104842631835, 1.545137643814087]
['BV', 18, 'CV', 81, 'sort', 'sleep', 'V3', 'V2', 0.6006006006006006, 0.08940362930297852]
['CV', 162, 'UV', 79, 'tr', 'strings', 'V3', 'V0', 0.855324603973995, 1.2025706768035889]
['UV', 36, 'CV', 344, 'objdump', 'tac', 'V3', 'V1', 0.8624213836477987, 2.3157389163970947]
['BV', 8, 'CV', 273, 'cluster', 'stty', 'V2', 'V1', 0.662133575098217, 0.14071345329284668]
['CV', 229, 'BV', 77, 'nohup', 'perl', 'V0', 'V2', 0.9714872932502528, 3.1514813899993896]
['CV', 85, 'UV', 3, 'mknod', 'diff3', 'V2', 'V2', 0.3022950819672131, 0.03683805465698242]
['BV', 66, 'UV', 11, 'lua', 'ranlib', 'V1', 'V2', 0.30832464976264906, 3.4745800495147705]
['BV', 73, 'CV', 269, 'geany', 'du', 'V0', 'V1', 0.951271515824542, 19.997803926467896]
['CV', 222, 'UV', 21, 'df', 'objdump', 'V0', 'V2', 0.9064296915838996, 2.131026029586792]
['CV', 3, 'UV', 59, 'test', 'ld', 'V2', 'V1', 0.9285801638742816, 2.1542487144470215]
['CV', 176, 'BV', 0, 'unlink', 'bash', 'V0', 'V2', 0.9685698847262247, 3.182558536529541]
['BV', 32, 'CV', 121, 'perl', 'echo', 'V0', 'V3', 0.9523151058034779, 2.524900436401367]
['BV', 73, 'CV', 205, 'geany', 'sha1sum', 'V0', 'V0', 0.9774471628891039, 19.531524419784546]
['CV', 34, 'BV', 38, 'echo', 'ruby', 'V2', 'V2', 0.663003663003663, 0.007401943206787109]
['UV', 84, 'CV', 302, 'ar', 'nice', 'V0', 'V1', 0.9289340101522843, 1.136491060256958]
['CV', 232, 'UV', 49, 'readlink', 'xargs', 'V0', 'V1', 0.3072439633638635, 0.02599191665649414]
['UV', 20, 'BV', 13, 'size', 'cp', 'V2', 'V2', 0.723462783171521, 1.4770350456237793]
['UV', 17, 'CV', 42, 'addr2line', 'dircolors', 'V2', 'V2', 0.9019888908797706, 1.1477952003479004]
['CV', 252, 'UV', 23, 'rm', 'strip', 'V0', 'V3', 0.8865427509293681, 1.726914644241333]
['UV', 71, 'CV', 244, 'xargs', 'vdir', 'V0', 'V0', 0.36453458138325534, 0.07169270515441895]
['BV', 16, 'CV', 294, 'libvlc.so', 'sync', 'V3', 'V1', 0.8597815292949355, 0.38550829887390137]
