['BV', 31, 'UV', 54, 'codeblocks', 'as', 'V0', 'V1', 0.3811153382912421, 23.439723253250122]
['UV', 17, 'CV', 36, 'addr2line', 'chroot', 'V2', 'V2', 0.8894624421502314, 1.1188116073608398]
['BV', 10, 'UV', 49, 'gvmap', 'xargs', 'V2', 'V1', 0.5777237091105705, 0.14974308013916016]
['BV', 79, 'CV', 246, 'bash', 'id', 'V3', 'V0', 0.9613543239163252, 3.0032331943511963]
['CV', 41, 'BV', 35, 'nice', 'libvlccore.so', 'V2', 'V2', 0.9504936190705514, 4.4257493019104]
['CV', 335, 'UV', 52, 'pathchk', 'strip', 'V1', 'V1', 0.9443779483207773, 1.57059645652771]
['CV', 195, 'BV', 43, 'chgrp', 'lua', 'V0', 'V0', 0.7644054269752594, 0.409085750579834]
['UV', 19, 'CV', 126, 'elfedit', 'whoami', 'V2', 'V3', 0.17235901509134233, 0.027100563049316406]
['CV', 247, 'UV', 13, 'shred', 'strings', 'V0', 'V2', 0.8738578905349064, 1.401886224746704]
['UV', 26, 'BV', 8, 'ranlib', 'cluster', 'V3', 'V2', 0.603958965467418, 1.6534838676452637]
['CV', 64, 'UV', 78, 'md5sum', 'c++filt', 'V2', 'V0', 0.8895058823529411, 1.0783817768096924]
['BV', 24, 'CV', 11, 'git', 'printenv', 'V0', 'V2', 0.9754795117698344, 4.080175876617432]
['BV', 83, 'CV', 101, 'git', 'dirname', 'V2', 'V3', 0.9773997952594693, 7.602018356323242]
['CV', 176, 'BV', 38, 'unlink', 'ruby', 'V0', 'V2', 0.5827664399092971, 0.005569934844970703]
['CV', 69, 'BV', 0, 'csplit', 'bash', 'V2', 'V2', 0.8690094480783207, 4.046786308288574]
['UV', 85, 'BV', 67, 'elfedit', 'cluster', 'V0', 'V0', 0.5640449438202247, 0.13460993766784668]
['BV', 9, 'CV', 167, 'dot', 'uniq', 'V2', 'V3', 0.5967741935483871, 0.021282434463500977]
['BV', 12, 'CV', 39, 'sort', 'whoami', 'V2', 'V2', 0.5335249042145593, 0.05569767951965332]
['CV', 249, 'BV', 13, 'tr', 'cp', 'V0', 'V2', 0.511679153812252, 0.07243752479553223]
['UV', 83, 'CV', 278, 'addr2line', 'mkfifo', 'V0', 'V1', 0.9267322983718288, 0.9341309070587158]
['UV', 21, 'BV', 49, 'objdump', 'make', 'V2', 'V3', 0.5133150628264129, 2.815824031829834]
['BV', 58, 'UV', 34, 'ruby', 'elfedit', 'V3', 'V3', 0.7799043062200957, 0.014611959457397461]
['CV', 86, 'UV', 75, 'ln', 'readelf', 'V2', 'V0', 0.528621338349906, 0.1279745101928711]
['CV', 179, 'UV', 75, 'mkdir', 'readelf', 'V0', 'V0', 0.6799763383614316, 0.10429096221923828]
['CV', 307, 'UV', 23, 'cut', 'strip', 'V1', 'V3', 0.923584261996816, 1.5421867370605469]
['CV', 266, 'UV', 70, 'mkdir', 'locate', 'V1', 'V0', 0.4651810584958218, 0.0721287727355957]
['CV', 306, 'BV', 82, 'cp', 'gvmap', 'V1', 'V1', 0.45828175290913586, 0.19402003288269043]
['CV', 290, 'BV', 73, 'tail', 'geany', 'V1', 'V0', 0.9656345086808663, 21.209537029266357]
['UV', 46, 'BV', 44, 'diff', 'make', 'V1', 'V0', 0.212874251497006, 0.3807191848754883]
['UV', 15, 'CV', 146, 'ld', 'head', 'V2', 'V3', 0.9029967505114935, 1.8871638774871826]
['CV', 251, 'BV', 68, 'nl', 'dot', 'V0', 'V0', 0.6839887640449438, 0.02652740478515625]
['CV', 333, 'UV', 23, 'id', 'strip', 'V1', 'V3', 0.9301688726608854, 1.490398645401001]
['BV', 52, 'CV', 168, 'libSDL2-2.0.so', 'sleep', 'V2', 'V3', 0.936655798789008, 4.852490186691284]
['CV', 344, 'UV', 84, 'tac', 'ar', 'V1', 'V0', 0.7967648278722522, 1.451333999633789]
['CV', 227, 'BV', 33, 'tty', 'openssl', 'V0', 'V0', 0.9834597481155928, 7.31577467918396]
['BV', 71, 'CV', 66, 'ruby', 'link', 'V1', 'V2', 0.6771929824561403, 0.007088422775268555]
['UV', 81, 'CV', 199, 'ld', 'expand', 'V0', 'V0', 0.9465303715352861, 1.608079195022583]
['UV', 73, 'CV', 253, 'nm', 'fold', 'V0', 'V0', 0.9237193763919822, 0.9767966270446777]
['CV', 272, 'UV', 22, 'printenv', 'nm', 'V1', 'V3', 0.9364877161055505, 1.176102876663208]
['UV', 3, 'CV', 261, 'diff3', 'touch', 'V2', 'V1', 0.2349659020458772, 0.04285144805908203]
['CV', 80, 'UV', 52, 'uniq', 'strip', 'V2', 'V1', 0.9070506180512395, 1.6767237186431885]
['CV', 256, 'BV', 16, 'sort', 'libvlc.so', 'V0', 'V3', 0.6844547563805105, 0.5430004596710205]
['UV', 47, 'CV', 203, 'sdiff', 'tail', 'V1', 'V0', 0.18155619596541783, 0.045262813568115234]
['UV', 14, 'CV', 310, 'objcopy', 'tsort', 'V2', 'V1', 0.9344385267421799, 1.3564627170562744]
['BV', 61, 'CV', 154, 'cmp', 'uname', 'V0', 'V3', 0.2752391073326248, 0.018303871154785156]
['CV', 116, 'BV', 30, 'tail', 'bash', 'V3', 'V0', 0.8838951310861424, 3.2941653728485107]
