['UV', 70, 'CV', 265, 'locate', 'basename', 'V0', 'V1', 0.6077432501273561, 0.04294419288635254]
['CV', 9, 'BV', 47, 'users', 'dot', 'V2', 'V3', 0.46153846153846156, 0.010914325714111328]
['UV', 34, 'CV', 344, 'elfedit', 'tac', 'V3', 'V1', 0.26358557643473846, 0.03849220275878906]
['CV', 42, 'BV', 29, 'dircolors', 'perl', 'V2', 'V3', 0.9611146655292528, 2.8750979900360107]
['CV', 279, 'BV', 64, 'pwd', 'openssl', 'V1', 'V2', 0.947359386622418, 5.303531885147095]
['CV', 37, 'UV', 69, 'seq', 'sdiff', 'V2', 'V0', 0.2623853211009175, 0.03589510917663574]
['UV', 46, 'CV', 296, 'diff', 'sum', 'V1', 'V1', 0.6818907697221335, 0.0924680233001709]
['BV', 63, 'UV', 28, 'ruby', 'strings', 'V0', 'V3', 0.6525025502098697, 19.10411810874939]
['BV', 23, 'CV', 313, 'diff', 'logname', 'V3', 'V1', 0.7224552039649257, 0.08658957481384277]
['BV', 57, 'UV', 27, 'svn', 'c++filt', 'V2', 'V3', 0.35961626913726263, 3.171504020690918]
['BV', 45, 'CV', 297, 'svn', 'chroot', 'V3', 'V1', 0.8908618449545258, 0.6999518871307373]
['UV', 47, 'CV', 267, 'sdiff', 'fmt', 'V1', 'V1', 0.3887362637362637, 0.036203622817993164]
['UV', 57, 'CV', 63, 'strings', 'mv', 'V1', 'V2', 0.7350337096905206, 1.4206321239471436]
['CV', 125, 'UV', 44, 'split', 'diff3', 'V3', 'V1', 0.07817745803357312, 0.05849599838256836]
['UV', 48, 'CV', 137, 'locate', 'cksum', 'V1', 'V3', 0.500402252614642, 0.07643747329711914]
['CV', 9, 'BV', 17, 'users', 'codeblocks', 'V2', 'V2', 0.9705210601795294, 14.67954969406128]
['CV', 186, 'BV', 83, 'stty', 'git', 'V0', 'V2', 0.9781007522943007, 9.38497281074524]
['UV', 8, 'CV', 146, 'strip', 'head', 'V2', 'V3', 0.8821983796803153, 1.520667552947998]
['CV', 68, 'BV', 63, 'cat', 'ruby', 'V2', 'V0', 0.9656276729059337, 14.013959646224976]
['UV', 2, 'CV', 80, 'find', 'uniq', 'V2', 'V2', 0.6737864077669903, 0.19658613204956055]
['CV', 284, 'BV', 58, 'wc', 'ruby', 'V1', 'V3', 0.695364238410596, 0.009941577911376953]
['BV', 34, 'CV', 95, 'svn', 'du', 'V0', 'V3', 0.4320795772458812, 0.5998673439025879]
['CV', 276, 'UV', 67, 'uptime', 'cmp', 'V1', 'V0', 0.2180936995153473, 0.03092503547668457]
['UV', 75, 'BV', 78, 'readelf', 'make', 'V0', 'V2', 0.22932022932022933, 0.463698148727417]
