['CV', 320, 'UV', 81, 'head', 'ld', 'V1', 'V0', 0.928961038961039, 2.230212926864624]
['BV', 0, 'CV', 320, 'bash', 'head', 'V2', 'V1', 0.9511737927340891, 2.282799482345581]
['CV', 322, 'UV', 22, 'ginstall', 'nm', 'V1', 'V3', 0.788023851515915, 1.363278865814209]
['CV', 252, 'BV', 25, 'rm', 'git', 'V0', 'V3', 0.9763890393154988, 12.570496082305908]
['UV', 87, 'CV', 152, 'objdump', 'env', 'V0', 'V3', 0.9146981627296588, 1.7346439361572266]
['UV', 3, 'CV', 83, 'diff3', 'tac', 'V2', 'V2', 0.1513073296185169, 0.0651237964630127]
['UV', 22, 'BV', 30, 'nm', 'bash', 'V3', 'V0', 0.3055059818890872, 7.9326491355896]
['BV', 52, 'CV', 56, 'libSDL2-2.0.so', 'yes', 'V2', 'V2', 0.9522145130158067, 4.997509717941284]
['CV', 148, 'UV', 75, 'ginstall', 'readelf', 'V3', 'V0', 0.16186770428015562, 0.2489469051361084]
['UV', 77, 'CV', 341, 'ranlib', 'uniq', 'V0', 'V1', 0.9028375647895985, 1.147193431854248]
['CV', 307, 'UV', 35, 'cut', 'size', 'V1', 'V3', 0.9081632653061225, 1.256446361541748]
['UV', 80, 'CV', 232, 'objcopy', 'readlink', 'V0', 'V0', 0.9390484542863408, 1.408811330795288]
['UV', 73, 'CV', 118, 'nm', 'sha1sum', 'V0', 'V3', 0.8655507559395248, 1.105132818222046]
['UV', 63, 'CV', 344, 'elfedit', 'tac', 'V1', 'V1', 0.3076517150395779, 0.048089027404785156]
['CV', 227, 'BV', 9, 'tty', 'dot', 'V0', 'V2', 0.28695652173913044, 0.010461807250976562]
['CV', 228, 'BV', 22, 'false', 'cmp', 'V0', 'V3', 0.4065116279069767, 0.024255990982055664]
['CV', 94, 'UV', 53, 'dir', 'readelf', 'V3', 'V1', 0.18433359314107567, 0.25238704681396484]
['UV', 2, 'CV', 24, 'find', 'factor', 'V2', 'V2', 0.7278195488721805, 0.18429803848266602]
['UV', 46, 'BV', 1, 'diff', 'libSDL2-2.0.so', 'V1', 'V3', 0.7818000664231153, 10.335413217544556]
['CV', 310, 'UV', 32, 'tsort', 'addr2line', 'V1', 'V3', 0.9196395733725634, 1.219223976135254]
['CV', 185, 'UV', 45, 'printenv', 'cmp', 'V0', 'V1', 0.3853211009174312, 0.02437758445739746]
['CV', 86, 'UV', 24, 'ln', 'readelf', 'V2', 'V3', 0.7335148215366001, 0.37172460556030273]
['BV', 64, 'CV', 199, 'openssl', 'expand', 'V2', 'V0', 0.953170731707317, 5.79279351234436]
['CV', 308, 'UV', 3, 'od', 'diff3', 'V1', 'V2', 0.224339274738783, 0.04239511489868164]
['CV', 127, 'BV', 40, 'ls', 'lua', 'V3', 'V2', 0.5072667604313174, 0.7441592216491699]
['UV', 39, 'CV', 105, 'find', 'pwd', 'V3', 'V3', 0.751109533108468, 0.37540245056152344]
['CV', 199, 'BV', 3, 'expand', 'diff', 'V0', 'V1', 0.6479723899913719, 0.07647562026977539]
['UV', 71, 'CV', 135, 'xargs', 'df', 'V0', 'V3', 0.41119691119691115, 0.06735563278198242]
['CV', 160, 'BV', 82, 'shred', 'gvmap', 'V3', 'V1', 0.44043232620977646, 0.2038264274597168]
