['BV', 26, 'CV', 254, 'geany', 'uniq', 'V2', 'V0', 0.9797255439373744, 24.718212127685547]
['CV', 151, 'UV', 41, 'md5sum', 'cmp', 'V3', 'V3', 0.10728476821192057, 0.03980207443237305]
['CV', 137, 'UV', 23, 'cksum', 'strip', 'V3', 'V3', 0.9049549549549549, 1.6343090534210205]
['UV', 13, 'BV', 74, 'strings', 'git', 'V2', 'V1', 0.5993399465129071, 19.63142681121826]
['CV', 339, 'UV', 76, 'rm', 'as', 'V1', 'V0', 0.9056209306493042, 2.28989315032959]
['BV', 22, 'UV', 85, 'cmp', 'elfedit', 'V3', 'V0', 0.1332868108862526, 0.03903031349182129]
['CV', 331, 'BV', 55, 'vdir', 'codeblocks', 'V1', 'V3', 0.9311877394636016, 20.17811346054077]
['BV', 17, 'CV', 159, 'codeblocks', 'id', 'V2', 'V3', 0.9597992604331749, 12.820308446884155]
['UV', 28, 'CV', 257, 'strings', 'tac', 'V3', 'V0', 0.790144727773949, 1.2173771858215332]
['UV', 29, 'CV', 310, 'objcopy', 'tsort', 'V3', 'V1', 0.9334044498628467, 1.398331880569458]
['CV', 64, 'UV', 44, 'md5sum', 'diff3', 'V2', 'V1', 0.2568167406467977, 0.0412294864654541]
['BV', 65, 'UV', 1, 'ssh', 'xargs', 'V1', 'V2', 0.916639424648578, 4.92008376121521]
['CV', 147, 'UV', 14, 'hostid', 'objcopy', 'V3', 'V2', 0.9149030964580085, 1.6496315002441406]
['UV', 86, 'CV', 54, 'size', 'false', 'V0', 'V2', 0.9297249046498418, 1.0244035720825195]
['BV', 11, 'CV', 155, 'bash', 'cat', 'V1', 'V3', 0.9360939028366482, 2.824763059616089]
['UV', 66, 'CV', 71, 'diff3', '[', 'V0', 'V2', 0.23977344241661425, 0.03843212127685547]
['CV', 279, 'BV', 36, 'pwd', 'libvlc.so', 'V1', 'V2', 0.8207675823105397, 0.4472982883453369]
['BV', 39, 'CV', 305, 'svn', 'true', 'V1', 'V1', 0.8743096553037517, 0.4164156913757324]
['CV', 342, 'UV', 55, 'sleep', 'ranlib', 'V1', 'V1', 0.9273406332229862, 1.3200538158416748]
['CV', 284, 'UV', 40, 'wc', 'diff3', 'V1', 'V3', 0.3397807865892972, 0.0405430793762207]
['UV', 27, 'CV', 293, 'c++filt', 'paste', 'V3', 'V1', 0.9248598130841121, 1.0640108585357666]
['UV', 22, 'CV', 280, 'nm', 'pr', 'V3', 'V1', 0.8637358787984938, 1.2259275913238525]
['UV', 27, 'CV', 77, 'c++filt', 'nl', 'V3', 'V2', 0.7735296650305692, 1.2117717266082764]
['UV', 16, 'CV', 345, 'gprof', 'rmdir', 'V2', 'V1', 0.9356527613578788, 1.1979358196258545]
['UV', 51, 'CV', 9, 'nm', 'users', 'V1', 'V2', 0.9030398322851153, 1.160010576248169]
['CV', 75, 'UV', 66, 'tr', 'diff3', 'V2', 'V0', 0.18545454545454543, 0.040125370025634766]
['CV', 55, 'UV', 67, 'nohup', 'cmp', 'V2', 'V0', 0.1586940015186029, 0.03104424476623535]
['UV', 13, 'CV', 229, 'strings', 'nohup', 'V2', 'V0', 0.9205382307482498, 1.120072364807129]
['CV', 320, 'UV', 22, 'head', 'nm', 'V1', 'V3', 0.9022166607079013, 1.2919557094573975]
['CV', 185, 'BV', 6, 'printenv', 'libvlc.so', 'V0', 'V0', 0.8301507537688442, 0.28049302101135254]
['UV', 72, 'CV', 80, 'find', 'uniq', 'V0', 'V2', 0.5992779783393501, 0.1483469009399414]
['UV', 45, 'CV', 153, 'cmp', 'link', 'V1', 'V3', 0.18424962852897475, 0.03140449523925781]
['CV', 20, 'UV', 62, 'tee', 'ar', 'V2', 'V1', 0.9104753891459824, 1.3600382804870605]
['CV', 125, 'UV', 14, 'split', 'objcopy', 'V3', 'V2', 0.843448423761527, 1.8365898132324219]
['UV', 63, 'CV', 225, 'elfedit', 'printf', 'V1', 'V0', 0.16836734693877553, 0.029479026794433594]
['CV', 199, 'BV', 39, 'expand', 'svn', 'V0', 'V1', 0.8475689881734559, 0.47571659088134766]
['BV', 26, 'CV', 172, 'geany', 'mknod', 'V2', 'V3', 0.9745361268700031, 26.940675497055054]
['BV', 67, 'UV', 84, 'cluster', 'ar', 'V0', 'V0', 0.6327453640886477, 2.093545913696289]
['CV', 95, 'UV', 68, 'du', 'diff', 'V3', 'V0', 0.06301515554373838, 0.1706247329711914]
['CV', 3, 'UV', 69, 'test', 'sdiff', 'V2', 'V0', 0.29588014981273414, 0.04013395309448242]
['UV', 44, 'CV', 112, 'diff3', 'expand', 'V1', 'V3', 0.18154937906564161, 0.043785810470581055]
['BV', 26, 'CV', 138, 'geany', 'printf', 'V2', 'V3', 0.969999252783382, 27.21989870071411]
['CV', 283, 'UV', 13, 'kill', 'strings', 'V1', 'V2', 0.919840043624466, 1.2599461078643799]
['CV', 158, 'UV', 24, '[', 'readelf', 'V3', 'V3', 0.7580125747584726, 0.3497331142425537]
['UV', 40, 'BV', 20, 'diff3', 'sort', 'V3', 'V1', 0.10376919497440673, 0.06861615180969238]
['CV', 175, 'BV', 38, 'stat', 'ruby', 'V0', 'V2', 0.7003257328990228, 0.010935783386230469]
['CV', 242, 'UV', 7, 'cat', 'nm', 'V0', 'V2', 0.9274251069900142, 1.3007848262786865]
['CV', 14, 'UV', 18, 'dirname', 'ar', 'V2', 'V2', 0.9175889664566661, 1.42958402633667]
['BV', 61, 'CV', 129, 'cmp', 'dircolors', 'V0', 'V3', 0.3553719008264462, 0.024459123611450195]
['CV', 292, 'BV', 67, 'sha1sum', 'cluster', 'V1', 'V0', 0.6680355920602327, 0.12708544731140137]
['UV', 15, 'CV', 107, 'ld', 'tee', 'V2', 'V3', 0.9096618357487922, 2.0020694732666016]
['UV', 1, 'CV', 75, 'xargs', 'tr', 'V2', 'V2', 0.3073770491803278, 0.05482888221740723]
['CV', 246, 'UV', 13, 'id', 'strings', 'V0', 'V2', 0.9186194368755677, 1.2626464366912842]
['BV', 64, 'CV', 89, 'openssl', 'unlink', 'V2', 'V3', 0.9327616559713783, 5.934367895126343]
['BV', 23, 'CV', 220, 'diff', 'cut', 'V3', 'V0', 0.6417151162790697, 0.09762001037597656]
['BV', 60, 'CV', 8, 'codeblocks', 'du', 'V1', 'V2', 0.9143468950749465, 14.010464429855347]
['BV', 41, 'CV', 190, 'libvlccore.so', 'dd', 'V1', 'V0', 0.917268479184367, 3.4437708854675293]
['UV', 1, 'CV', 9, 'xargs', 'users', 'V2', 'V2', 0.3945355191256831, 0.05043673515319824]
['UV', 56, 'CV', 141, 'c++filt', 'false', 'V1', 'V3', 0.9013945119208278, 1.1040120124816895]
['UV', 12, 'CV', 155, 'c++filt', 'cat', 'V2', 'V3', 0.877262139401541, 1.1730124950408936]
['CV', 273, 'BV', 52, 'stty', 'libSDL2-2.0.so', 'V1', 'V2', 0.9411764705882353, 5.6966798305511475]
['BV', 65, 'CV', 92, 'ssh', 'mkdir', 'V1', 'V3', 0.9409408415267985, 4.706315040588379]
['CV', 189, 'BV', 40, 'uptime', 'lua', 'V0', 'V2', 0.8596542205433677, 0.4566974639892578]
['CV', 337, 'UV', 21, 'comm', 'objdump', 'V1', 'V2', 0.9378320935175345, 2.013845443725586]
['BV', 72, 'UV', 86, 'perl', 'size', 'V1', 'V0', 0.42520122791327264, 6.645220041275024]
['BV', 54, 'UV', 53, 'lua', 'readelf', 'V3', 'V1', 0.40796925566343045, 0.7929272651672363]
['UV', 73, 'CV', 45, 'nm', 'cp', 'V0', 'V2', 0.7180463576158941, 1.3945119380950928]
['UV', 68, 'CV', 63, 'diff', 'mv', 'V0', 'V2', 0.1089220377146074, 0.1613314151763916]
['BV', 34, 'UV', 64, 'svn', 'size', 'V0', 'V1', 0.4034469251860556, 3.100181818008423]
['CV', 319, 'BV', 20, 'readlink', 'sort', 'V1', 'V1', 0.4434330299089727, 0.04249882698059082]
['UV', 29, 'CV', 137, 'objcopy', 'cksum', 'V3', 'V3', 0.9049549549549549, 1.4791836738586426]
['CV', 330, 'UV', 67, 'csplit', 'cmp', 'V1', 'V0', 0.30815292491939195, 0.060752153396606445]
['BV', 71, 'UV', 34, 'ruby', 'elfedit', 'V1', 'V3', 0.7799043062200957, 0.01577591896057129]
['UV', 35, 'CV', 57, 'size', 'who', 'V3', 'V2', 0.8679985729575455, 1.203874111175537]
['UV', 49, 'CV', 114, 'xargs', 'expr', 'V1', 'V3', 0.08222490931076176, 0.04059576988220215]
['CV', 233, 'UV', 3, 'head', 'diff3', 'V0', 'V2', 0.30150425114453894, 0.0383763313293457]
['BV', 72, 'CV', 336, 'perl', 'tr', 'V1', 'V1', 0.9623910004659522, 2.7872583866119385]
