['CV', 287, 'UV', 61, 'date', 'addr2line', 'V1', 'V1', 0.886842337181634, 1.5173428058624268]
['BV', 24, 'CV', 166, 'git', 'fold', 'V0', 'V3', 0.9634433642936445, 3.5392885208129883]
['CV', 260, 'BV', 51, 'ln', 'cp', 'V0', 'V0', 0.3206197854588796, 0.03831028938293457]
['UV', 59, 'CV', 344, 'ld', 'tac', 'V1', 'V1', 0.8558399529273316, 1.7246589660644531]
['BV', 37, 'CV', 291, 'geany', 'pinky', 'V1', 'V1', 0.9778030065768869, 23.76120138168335]
['CV', 141, 'BV', 36, 'false', 'libvlc.so', 'V3', 'V2', 0.7919938709059567, 0.4483296871185303]
['CV', 256, 'BV', 52, 'sort', 'libSDL2-2.0.so', 'V0', 'V2', 0.9074979625101874, 5.893309831619263]
['UV', 61, 'CV', 138, 'addr2line', 'printf', 'V1', 'V3', 0.8604449078901634, 1.1613826751708984]
['UV', 59, 'BV', 23, 'ld', 'diff', 'V1', 'V3', 0.7494037384214322, 2.4858620166778564]
['BV', 67, 'CV', 0, 'cluster', 'touch', 'V0', 'V2', 0.5455696202531646, 0.12962579727172852]
['CV', 221, 'UV', 63, 'od', 'elfedit', 'V0', 'V1', 0.12451662799690644, 0.031345367431640625]
['CV', 93, 'BV', 52, 'fmt', 'libSDL2-2.0.so', 'V3', 'V2', 0.9254952405454078, 5.8346405029296875]
['CV', 189, 'UV', 82, 'uptime', 'gprof', 'V0', 'V0', 0.9163491513682023, 1.281912088394165]
['CV', 341, 'BV', 8, 'uniq', 'cluster', 'V1', 'V2', 0.6649468892261001, 0.1505730152130127]
['CV', 47, 'BV', 60, 'od', 'codeblocks', 'V2', 'V1', 0.9531091810092183, 15.923045873641968]
['CV', 95, 'BV', 68, 'du', 'dot', 'V3', 'V0', 0.7832369942196532, 0.06237936019897461]
['BV', 77, 'UV', 0, 'perl', 'locate', 'V2', 'V2', 0.9154358161648177, 3.3440234661102295]
['CV', 12, 'BV', 39, 'stty', 'svn', 'V2', 'V1', 0.7365543995767942, 0.5683953762054443]
['UV', 47, 'CV', 0, 'sdiff', 'touch', 'V1', 'V2', 0.18638199653779575, 0.049266815185546875]
['BV', 78, 'CV', 158, 'make', '[', 'V2', 'V3', 0.7016679302501896, 0.25868797302246094]
['BV', 52, 'CV', 46, 'libSDL2-2.0.so', 'cut', 'V2', 'V2', 0.9291679554593257, 5.185751914978027]
['UV', 81, 'BV', 9, 'ld', 'dot', 'V0', 'V2', 0.9701551929964186, 1.6559967994689941]
['BV', 75, 'CV', 10, 'cmp', 'ptx', 'V2', 'V2', 0.37741273100616013, 0.07097291946411133]
['UV', 59, 'BV', 71, 'ld', 'ruby', 'V1', 'V1', 0.9883999495649981, 1.7927508354187012]
['BV', 17, 'CV', 297, 'codeblocks', 'chroot', 'V2', 'V1', 0.9798276276116018, 12.921582698822021]
['UV', 81, 'BV', 7, 'ld', 'libSDL2-2.0.so', 'V0', 'V0', 0.20726235609196197, 17.34544277191162]
['UV', 72, 'CV', 342, 'find', 'sleep', 'V0', 'V1', 0.7226372198765834, 0.1347208023071289]
['CV', 50, 'UV', 82, 'cksum', 'gprof', 'V2', 'V0', 0.916847119965353, 1.2039053440093994]
['BV', 30, 'UV', 51, 'bash', 'nm', 'V0', 'V1', 0.2967551622418879, 6.372946262359619]
['CV', 122, 'UV', 44, 'sum', 'diff3', 'V3', 'V1', 0.13479977439368307, 0.04846954345703125]
['UV', 53, 'BV', 22, 'readelf', 'cmp', 'V1', 'V3', 0.5982951518380394, 0.12554645538330078]
['BV', 46, 'CV', 103, 'cluster', 'dd', 'V3', 'V3', 0.3678527607361963, 0.19429993629455566]
['CV', 154, 'UV', 69, 'uname', 'sdiff', 'V3', 'V0', 0.2947040498442368, 0.04158282279968262]
['CV', 127, 'UV', 42, 'ls', 'diff', 'V3', 'V3', 0.07583693919380552, 0.2418677806854248]
['BV', 60, 'CV', 87, 'codeblocks', 'touch', 'V1', 'V3', 0.9399296091455185, 13.632088899612427]
['CV', 284, 'UV', 10, 'wc', 'as', 'V1', 'V2', 0.9407270201435517, 2.366661310195923]
['CV', 97, 'BV', 47, 'ptx', 'dot', 'V3', 'V3', 0.6767241379310345, 0.03190183639526367]
['CV', 137, 'BV', 43, 'cksum', 'lua', 'V3', 'V0', 0.7957792207792208, 0.4005434513092041]
['CV', 325, 'UV', 47, 'md5sum', 'sdiff', 'V1', 'V1', 0.35432016075016737, 0.04060816764831543]
['UV', 11, 'BV', 55, 'ranlib', 'codeblocks', 'V2', 'V3', 0.5431774177111994, 47.64945387840271]
['UV', 16, 'CV', 187, 'gprof', 'join', 'V2', 'V0', 0.8989313230055505, 1.2915256023406982]
['BV', 26, 'CV', 38, 'geany', 'split', 'V2', 'V2', 0.9635070472360312, 27.997152090072632]
['CV', 48, 'UV', 46, 'df', 'diff', 'V2', 'V1', 0.39349034136014827, 0.1646137237548828]
['UV', 38, 'CV', 73, 'xargs', 'shred', 'V3', 'V2', 0.18702798756108396, 0.10355949401855469]
['BV', 56, 'CV', 209, 'ssh', 'sum', 'V3', 'V0', 0.9358704240189624, 1.6483299732208252]
['CV', 131, 'BV', 46, 'true', 'cluster', 'V3', 'V3', 0.6717325227963525, 0.1574392318725586]
['UV', 81, 'CV', 110, 'ld', 'wc', 'V0', 'V3', 0.888373275697667, 1.9755330085754395]
['CV', 103, 'BV', 71, 'dd', 'ruby', 'V3', 'V1', 0.8708771929824561, 0.028431415557861328]
['CV', 1, 'BV', 46, 'stat', 'cluster', 'V2', 'V3', 0.644179104477612, 0.165147066116333]
['BV', 52, 'CV', 136, 'libSDL2-2.0.so', 'tsort', 'V2', 'V3', 0.9251980656446136, 5.348989009857178]
['UV', 9, 'CV', 76, 'readelf', 'comm', 'V2', 'V2', 0.7123649459783914, 0.13176822662353516]
['CV', 140, 'BV', 19, 'tty', 'cp', 'V3', 'V3', 0.5622870124952669, 0.10248851776123047]
['BV', 5, 'CV', 260, 'libvlccore.so', 'ln', 'V0', 'V0', 0.9376231122783979, 3.599301815032959]
['CV', 200, 'UV', 81, 'date', 'ld', 'V0', 'V0', 0.9167634533488193, 2.131326675415039]
['CV', 10, 'BV', 7, 'ptx', 'libSDL2-2.0.so', 'V2', 'V0', 0.7861958266452649, 5.267004489898682]
['UV', 32, 'CV', 112, 'addr2line', 'expand', 'V3', 'V3', 0.8741472172351885, 1.2091736793518066]
['BV', 60, 'UV', 62, 'codeblocks', 'ar', 'V1', 'V1', 0.5296102651696628, 22.801493883132935]
['UV', 29, 'BV', 38, 'objcopy', 'ruby', 'V3', 'V2', 0.9856013772595664, 1.3731467723846436]
['CV', 160, 'BV', 32, 'shred', 'perl', 'V3', 'V0', 0.9054474071650581, 3.6098744869232178]
['UV', 44, 'CV', 263, 'diff3', 'unlink', 'V1', 'V1', 0.4681481481481482, 0.03093576431274414]
['BV', 14, 'UV', 12, 'openssl', 'c++filt', 'V3', 'V2', 0.3934105198062321, 13.996118307113647]
['UV', 4, 'BV', 64, 'cmp', 'openssl', 'V2', 'V2', 0.9147116736990155, 7.463184595108032]
['CV', 45, 'UV', 4, 'cp', 'cmp', 'V2', 'V2', 0.38697937727456533, 0.09219956398010254]
['CV', 30, 'UV', 81, 'pinky', 'ld', 'V2', 'V0', 0.9137997680711248, 2.1245973110198975]
['CV', 255, 'UV', 23, 'sleep', 'strip', 'V0', 'V3', 0.9406500956022944, 1.6088316440582275]
['UV', 18, 'BV', 9, 'ar', 'dot', 'V2', 'V2', 0.9608252807521546, 1.2587027549743652]
['UV', 8, 'CV', 272, 'strip', 'printenv', 'V2', 'V1', 0.9472929094616024, 1.4835703372955322]
['CV', 171, 'UV', 67, 'rmdir', 'cmp', 'V3', 'V0', 0.13480055020632742, 0.037056684494018555]
['BV', 18, 'CV', 318, 'sort', 'who', 'V3', 'V1', 0.5763401109057301, 0.1030428409576416]
['UV', 27, 'BV', 33, 'c++filt', 'openssl', 'V3', 'V0', 0.6060379957527406, 24.85876727104187]
['CV', 53, 'BV', 8, 'tty', 'cluster', 'V2', 'V2', 0.7078931013051585, 0.14215588569641113]
['CV', 299, 'BV', 34, 'split', 'svn', 'V1', 'V0', 0.7945205479452054, 0.46169471740722656]
['CV', 266, 'BV', 52, 'mkdir', 'libSDL2-2.0.so', 'V1', 'V2', 0.9400694696459122, 5.919052362442017]
['BV', 48, 'CV', 29, 'gvmap', 'tail', 'V3', 'V2', 0.49923508414074447, 0.1781294345855713]
['CV', 96, 'BV', 3, 'users', 'diff', 'V3', 'V1', 0.4806501547987616, 0.09241747856140137]
['UV', 21, 'CV', 213, 'objdump', 'whoami', 'V2', 'V0', 0.9517024550137133, 1.8419110774993896]
['BV', 27, 'UV', 84, 'libSDL2-2.0.so', 'ar', 'V1', 'V0', 0.28620786912988294, 10.067471981048584]
['UV', 87, 'CV', 22, 'objdump', 'kill', 'V0', 'V2', 0.9283637324874439, 1.7525780200958252]
['BV', 49, 'CV', 338, 'make', 'nl', 'V3', 'V1', 0.597511768661735, 0.3155543804168701]
['BV', 83, 'CV', 297, 'git', 'chroot', 'V2', 'V1', 0.9850592885375494, 8.507199764251709]
['UV', 31, 'CV', 82, 'gprof', 'sort', 'V3', 'V2', 0.7552002483700714, 1.5469892024993896]
['CV', 247, 'BV', 24, 'shred', 'git', 'V0', 'V0', 0.9615311781414851, 5.734710454940796]
['BV', 4, 'UV', 43, 'geany', 'sdiff', 'V3', 'V3', 0.9651219006837489, 33.049997091293335]
['BV', 49, 'UV', 10, 'make', 'as', 'V3', 'V2', 0.5611433883337207, 4.764618873596191]
['CV', 71, 'UV', 39, '[', 'find', 'V2', 'V3', 0.7793825600288861, 0.4214823246002197]
['CV', 112, 'UV', 86, 'expand', 'size', 'V3', 'V0', 0.8886506234612025, 1.230492353439331]
['CV', 127, 'UV', 34, 'ls', 'elfedit', 'V3', 'V3', 0.48400556328233657, 0.11874151229858398]
['UV', 51, 'CV', 98, 'nm', 'printenv', 'V1', 'V3', 0.9022090282022177, 1.1953604221343994]
['CV', 339, 'UV', 49, 'rm', 'xargs', 'V1', 'V1', 0.08640406607369755, 0.04240870475769043]
['BV', 67, 'CV', 14, 'cluster', 'dirname', 'V0', 'V2', 0.6726027397260274, 0.1104886531829834]
['CV', 77, 'UV', 50, 'nl', 'find', 'V2', 'V1', 0.4525349467974129, 0.28521156311035156]
['CV', 73, 'BV', 41, 'shred', 'libvlccore.so', 'V2', 'V1', 0.9016220771013271, 4.256330728530884]
['CV', 75, 'BV', 25, 'tr', 'git', 'V2', 'V3', 0.979022387481602, 13.429070234298706]
['CV', 201, 'BV', 41, 'expr', 'libvlccore.so', 'V0', 'V1', 0.8696147473073736, 4.325415134429932]
['BV', 42, 'UV', 22, 'libvlc.so', 'nm', 'V1', 'V3', 0.44644433878964884, 2.964425802230835]
['BV', 83, 'UV', 7, 'git', 'nm', 'V2', 'V2', 0.6457865674820993, 15.341340780258179]
['CV', 279, 'UV', 66, 'pwd', 'diff3', 'V1', 'V0', 0.3593859036985345, 0.036388397216796875]
['CV', 202, 'UV', 17, 'chown', 'addr2line', 'V0', 'V2', 0.8634249100324761, 1.428948163986206]
['BV', 48, 'CV', 33, 'gvmap', 'sync', 'V3', 'V2', 0.7336102046870365, 0.13500285148620605]
['CV', 101, 'UV', 25, 'dirname', 'as', 'V3', 'V3', 0.9337029337029337, 2.4389116764068604]
