['UV', 12, 'CV', 254, 'c++filt', 'uniq', 'V2', 'V0', 0.9019607843137255, 1.6347758769989014]
['BV', 30, 'UV', 37, 'bash', 'locate', 'V0', 'V3', 0.8066031219781737, 2.4723169803619385]
['UV', 58, 'CV', 136, 'objcopy', 'tsort', 'V1', 'V3', 0.8999656002751978, 1.2506492137908936]
['UV', 44, 'CV', 212, 'diff3', 'split', 'V1', 'V0', 0.31474103585657365, 0.03045654296875]
['BV', 19, 'CV', 223, 'cp', 'tsort', 'V3', 'V0', 0.6576938529529932, 0.06797957420349121]
['UV', 57, 'CV', 309, 'strings', 'df', 'V1', 'V1', 0.8730576771135107, 0.9526376724243164]
['CV', 145, 'BV', 50, 'readlink', 'sort', 'V3', 'V0', 0.14717859220477025, 0.038343191146850586]
['CV', 315, 'BV', 69, 'false', 'gvmap', 'V1', 'V0', 0.7721170395869191, 0.0961158275604248]
['BV', 34, 'UV', 5, 'svn', 'diff', 'V0', 'V2', 0.3596594245449207, 0.563443660736084]
['CV', 327, 'BV', 38, 'link', 'ruby', 'V1', 'V2', 0.5973741794310722, 0.005145072937011719]
['CV', 149, 'BV', 72, 'unexpand', 'perl', 'V3', 'V1', 0.9527720739219713, 2.8484761714935303]
['UV', 70, 'CV', 319, 'locate', 'readlink', 'V0', 'V1', 0.5748502994011976, 0.05214333534240723]
['UV', 37, 'BV', 81, 'locate', 'dot', 'V3', 'V1', 0.8064516129032258, 0.081268310546875]
['BV', 35, 'UV', 16, 'libvlccore.so', 'gprof', 'V2', 'V2', 0.28948032290615533, 8.916815042495728]
['UV', 62, 'CV', 295, 'ar', 'echo', 'V1', 'V1', 0.938860900008539, 1.2052814960479736]
['CV', 226, 'BV', 39, 'logname', 'svn', 'V0', 'V1', 0.8668437025796661, 0.4641239643096924]
['UV', 34, 'CV', 249, 'elfedit', 'tr', 'V3', 'V0', 0.17257318952234213, 0.03058481216430664]
['UV', 67, 'BV', 35, 'cmp', 'libvlccore.so', 'V0', 'V2', 0.9284830016188934, 5.08101224899292]
['BV', 17, 'UV', 67, 'codeblocks', 'cmp', 'V2', 'V0', 0.9603170409511228, 13.419454336166382]
['BV', 23, 'UV', 12, 'diff', 'c++filt', 'V3', 'V2', 0.6453867294856694, 1.9293904304504395]
['CV', 276, 'BV', 43, 'uptime', 'lua', 'V1', 'V0', 0.8380445626870635, 0.38645029067993164]
['UV', 1, 'CV', 51, 'xargs', 'printf', 'V2', 'V2', 0.2617516081147946, 0.05965757369995117]
['UV', 76, 'CV', 249, 'as', 'tr', 'V0', 'V0', 0.9328688276279915, 1.934973955154419]
['CV', 155, 'BV', 43, 'cat', 'lua', 'V3', 'V0', 0.7807822308063738, 0.41909313201904297]
['CV', 141, 'BV', 64, 'false', 'openssl', 'V3', 'V2', 0.9376031881582693, 6.868520736694336]
['UV', 52, 'CV', 78, 'strip', 'rm', 'V1', 'V2', 0.860540322037324, 1.6884198188781738]
['UV', 29, 'CV', 132, 'objcopy', 'cp', 'V3', 'V3', 0.7221694915254238, 1.8735811710357666]
['UV', 24, 'BV', 5, 'readelf', 'libvlccore.so', 'V3', 'V0', 0.516235013013611, 8.297898769378662]
['UV', 61, 'CV', 159, 'addr2line', 'id', 'V1', 'V3', 0.8672597244025816, 1.204253911972046]
['BV', 43, 'CV', 249, 'lua', 'tr', 'V0', 'V0', 0.8177931261305706, 0.33820414543151855]
['BV', 35, 'CV', 319, 'libvlccore.so', 'readlink', 'V2', 'V1', 0.9586053484211036, 4.322378396987915]
['CV', 88, 'UV', 19, 'stat', 'elfedit', 'V3', 'V2', 0.3189300411522633, 0.060773372650146484]
['UV', 68, 'BV', 49, 'diff', 'make', 'V0', 'V3', 0.4274133013061102, 0.46146702766418457]
['UV', 21, 'CV', 296, 'objdump', 'sum', 'V2', 'V1', 0.9339785231340315, 1.8116037845611572]
['BV', 68, 'CV', 340, 'dot', 'fold', 'V0', 'V1', 0.3601236476043277, 0.012267351150512695]
['UV', 79, 'CV', 341, 'strings', 'uniq', 'V0', 'V1', 0.8964807188318982, 1.0557160377502441]
['UV', 30, 'CV', 88, 'ld', 'stat', 'V3', 'V3', 0.8538186844833544, 2.5974161624908447]
['UV', 86, 'CV', 305, 'size', 'true', 'V0', 'V1', 0.9456717394861724, 0.9897830486297607]
['CV', 344, 'BV', 58, 'tac', 'ruby', 'V1', 'V3', 0.8602885345482156, 0.02202296257019043]
['BV', 65, 'CV', 238, 'ssh', 'md5sum', 'V1', 'V0', 0.9663938824792058, 4.679065704345703]
['CV', 236, 'UV', 79, 'unexpand', 'strings', 'V0', 'V0', 0.9222085191158335, 1.1253774166107178]
['BV', 39, 'CV', 110, 'svn', 'wc', 'V1', 'V3', 0.6988097291702605, 0.5216670036315918]
['CV', 189, 'BV', 71, 'uptime', 'ruby', 'V0', 'V1', 0.68, 0.009194135665893555]
