['UV', 49, 'CV', 41, 'xargs', 'nice', 'V1', 'V2', 0.2172573189522342, 0.053675174713134766]
['UV', 11, 'BV', 62, 'ranlib', 'diff', 'V2', 'V0', 0.8027853369617416, 2.8466296195983887]
['UV', 38, 'CV', 17, 'xargs', 'mkfifo', 'V3', 'V2', 0.4649751792608936, 0.1356525421142578]
['BV', 58, 'CV', 45, 'ruby', 'cp', 'V3', 'V2', 0.8981737686773658, 0.10035967826843262]
['CV', 308, 'BV', 45, 'od', 'svn', 'V1', 'V3', 0.8234720868717806, 1.717076063156128]
['BV', 75, 'CV', 36, 'cmp', 'chroot', 'V2', 'V2', 0.1443074691805657, 0.06988930702209473]
['CV', 285, 'BV', 35, 'factor', 'libvlccore.so', 'V1', 'V2', 0.9587000677048071, 7.027264356613159]
['CV', 94, 'UV', 67, 'dir', 'cmp', 'V3', 'V0', 0.47901491501907734, 0.11066555976867676]
['CV', 44, 'UV', 20, 'true', 'size', 'V2', 'V2', 0.9218270445928868, 1.3547208309173584]
['BV', 56, 'CV', 288, 'ssh', 'expr', 'V3', 'V1', 0.8432700144191587, 1.6417505741119385]
['CV', 147, 'UV', 39, 'hostid', 'find', 'V3', 'V3', 0.7940320232896652, 0.3875105381011963]
['BV', 74, 'CV', 70, 'git', 'vdir', 'V1', 'V2', 0.9263032850550555, 6.473040342330933]
['BV', 16, 'UV', 52, 'libvlc.so', 'strip', 'V3', 'V1', 0.49356408869659274, 3.831987142562866]
['CV', 226, 'BV', 16, 'logname', 'libvlc.so', 'V0', 'V3', 0.8597815292949355, 0.4032759666442871]
['UV', 46, 'CV', 53, 'diff', 'tty', 'V1', 'V2', 0.693792216146671, 0.09616947174072266]
['UV', 27, 'CV', 244, 'c++filt', 'vdir', 'V3', 'V0', 0.7772417951589284, 1.3177766799926758]
['UV', 47, 'CV', 152, 'sdiff', 'env', 'V1', 'V3', 0.2501506931886679, 0.042501211166381836]
['BV', 77, 'CV', 346, 'perl', 'mknod', 'V2', 'V1', 0.9724525099549579, 2.7065911293029785]
['CV', 152, 'UV', 83, 'env', 'addr2line', 'V3', 'V0', 0.8799298051168375, 1.1718382835388184]
['UV', 12, 'BV', 11, 'c++filt', 'bash', 'V2', 'V1', 0.3382385872868614, 9.02245569229126]
['CV', 153, 'BV', 23, 'link', 'diff', 'V3', 'V3', 0.583596214511041, 0.10657763481140137]
['CV', 135, 'BV', 78, 'df', 'make', 'V3', 'V2', 0.510258997645476, 0.3782515525817871]
['CV', 127, 'UV', 15, 'ls', 'ld', 'V3', 'V2', 0.7626929721897119, 3.2587714195251465]
['CV', 232, 'UV', 74, 'readlink', 'strip', 'V0', 'V0', 0.9390484542863408, 1.5354840755462646]
['UV', 46, 'CV', 51, 'diff', 'printf', 'V1', 'V2', 0.5584492453388576, 0.1168069839477539]
['BV', 8, 'CV', 105, 'cluster', 'pwd', 'V2', 'V3', 0.593279258400927, 0.1467583179473877]
['CV', 168, 'BV', 9, 'sleep', 'dot', 'V3', 'V2', 0.4838709677419355, 0.01580643653869629]
['UV', 68, 'CV', 344, 'diff', 'tac', 'V0', 'V1', 0.22615629984051033, 0.1101522445678711]
['UV', 39, 'CV', 236, 'find', 'unexpand', 'V3', 'V0', 0.8462403900243766, 0.33242273330688477]
['BV', 25, 'UV', 63, 'git', 'elfedit', 'V3', 'V1', 0.9792370386438998, 11.249593734741211]
['BV', 65, 'CV', 172, 'ssh', 'mknod', 'V1', 'V3', 0.9546591098516419, 4.486496686935425]
['CV', 284, 'BV', 62, 'wc', 'diff', 'V1', 'V0', 0.4128440366972477, 0.052995920181274414]
['UV', 58, 'BV', 58, 'objcopy', 'ruby', 'V1', 'V3', 0.9867625899280575, 1.3820130825042725]
['UV', 43, 'CV', 234, 'sdiff', 'hostid', 'V3', 'V0', 0.48933038999264167, 0.03197073936462402]
['CV', 312, 'BV', 35, 'printf', 'libvlccore.so', 'V1', 'V2', 0.9502118644067796, 4.688316345214844]
['CV', 164, 'BV', 25, 'nl', 'git', 'V3', 'V3', 0.9774905178419382, 12.825441598892212]
['BV', 40, 'UV', 33, 'lua', 'ar', 'V2', 'V3', 0.27577142857142856, 3.499544143676758]
['BV', 66, 'CV', 174, 'lua', 'touch', 'V1', 'V0', 0.8171376756838447, 0.3913595676422119]
['UV', 52, 'CV', 166, 'strip', 'fold', 'V1', 'V3', 0.9067872678312504, 1.5637013912200928]
['BV', 30, 'CV', 124, 'bash', 'seq', 'V0', 'V3', 0.9256896043977618, 2.560337781906128]
['CV', 37, 'BV', 36, 'seq', 'libvlc.so', 'V2', 'V2', 0.768241965973535, 0.49491143226623535]
['CV', 104, 'UV', 86, 'mkfifo', 'size', 'V3', 'V0', 0.9008792965627498, 1.2151479721069336]
['CV', 266, 'BV', 61, 'mkdir', 'cmp', 'V1', 'V0', 0.2703862660944206, 0.022243022918701172]
['UV', 69, 'CV', 33, 'sdiff', 'sync', 'V0', 'V2', 0.39266304347826086, 0.03632044792175293]
['CV', 304, 'UV', 82, 'chmod', 'gprof', 'V1', 'V0', 0.8579464360675007, 1.3877227306365967]
['CV', 62, 'BV', 13, 'unexpand', 'cp', 'V2', 'V2', 0.5333035315154224, 0.07500529289245605]
['CV', 256, 'UV', 25, 'sort', 'as', 'V0', 'V3', 0.8957142048349658, 2.55026912689209]
['CV', 184, 'UV', 40, 'ptx', 'diff3', 'V0', 'V3', 0.12312312312312312, 0.06196880340576172]
['CV', 335, 'BV', 19, 'pathchk', 'cp', 'V1', 'V3', 0.6786004882017901, 0.08660387992858887]
['BV', 24, 'CV', 87, 'git', 'touch', 'V0', 'V3', 0.9392869560565942, 4.68772292137146]
['UV', 7, 'CV', 129, 'nm', 'dircolors', 'V2', 'V3', 0.8726611226611226, 1.2308619022369385]
['UV', 58, 'CV', 180, 'objcopy', 'fmt', 'V1', 'V0', 0.9387812412243752, 1.5123133659362793]
['BV', 30, 'UV', 54, 'bash', 'as', 'V0', 'V1', 0.11063947078280045, 8.286491632461548]
['CV', 304, 'UV', 55, 'chmod', 'ranlib', 'V1', 'V1', 0.861300106566112, 1.505000114440918]
