['BV', 16, 'CV', 78, 'libvlc.so', 'rm', 'V3', 'V2', 0.6498163372398111, 0.9363136291503906]
['CV', 159, 'UV', 66, 'id', 'diff3', 'V3', 'V0', 0.13264129181084194, 0.08844661712646484]
['UV', 5, 'BV', 0, 'diff', 'bash', 'V2', 'V2', 0.8149285951511126, 4.177724361419678]
['UV', 74, 'CV', 171, 'strip', 'rmdir', 'V0', 'V3', 0.8993485575202234, 1.4806203842163086]
['UV', 47, 'CV', 34, 'sdiff', 'echo', 'V1', 'V2', 0.3889268626110731, 0.030063152313232422]
['UV', 57, 'CV', 113, 'strings', 'date', 'V1', 'V3', 0.8064516129032258, 1.203279972076416]
['UV', 49, 'BV', 41, 'xargs', 'libvlccore.so', 'V1', 'V1', 0.916759568933482, 3.4808316230773926]
['CV', 141, 'BV', 19, 'false', 'cp', 'V3', 'V3', 0.5802374569130602, 0.0884392261505127]
['CV', 218, 'BV', 73, 'true', 'geany', 'V0', 'V0', 0.9854911975411874, 19.82601046562195]
['BV', 70, 'CV', 14, 'ssh', 'dirname', 'V0', 'V2', 0.9664982349276666, 4.268462181091309]
['CV', 119, 'UV', 30, 'paste', 'ld', 'V3', 'V3', 0.9202863961813843, 2.620833396911621]
['CV', 158, 'UV', 83, '[', 'addr2line', 'V3', 'V0', 0.8559314306556032, 1.244696855545044]
['BV', 78, 'CV', 119, 'make', 'paste', 'V2', 'V3', 0.7423360496701591, 0.24628949165344238]
['UV', 29, 'CV', 227, 'objcopy', 'tty', 'V3', 'V0', 0.9463066656439365, 1.401784896850586]
['UV', 20, 'BV', 67, 'size', 'cluster', 'V2', 'V0', 0.6277043039522973, 1.635115385055542]
['UV', 25, 'CV', 331, 'as', 'vdir', 'V3', 'V1', 0.8510697108740118, 2.5103495121002197]
['UV', 62, 'BV', 81, 'ar', 'dot', 'V1', 'V1', 0.9611331836241147, 1.1636826992034912]
['UV', 77, 'CV', 304, 'ranlib', 'chmod', 'V0', 'V1', 0.8550873586844809, 1.2195525169372559]
['CV', 239, 'BV', 57, 'env', 'svn', 'V0', 'V2', 0.8676024279210925, 0.47327589988708496]
['BV', 31, 'UV', 39, 'codeblocks', 'find', 'V0', 'V3', 0.7572904084600783, 16.49551796913147]
['CV', 211, 'UV', 10, 'seq', 'as', 'V0', 'V2', 0.9516851970429012, 2.3159589767456055]
['UV', 3, 'CV', 230, 'diff3', 'yes', 'V2', 'V0', 0.48469006721433905, 0.03006148338317871]
['BV', 25, 'CV', 312, 'git', 'printf', 'V3', 'V1', 0.9839403587792188, 11.767115116119385]
['CV', 341, 'UV', 49, 'uniq', 'xargs', 'V1', 'V1', 0.17427075542258785, 0.029861927032470703]
['UV', 72, 'CV', 20, 'find', 'tee', 'V0', 'V2', 0.668865849827207, 0.13816165924072266]
['CV', 229, 'UV', 79, 'nohup', 'strings', 'V0', 'V0', 0.9172975018925057, 1.1232998371124268]
['BV', 55, 'CV', 72, 'codeblocks', 'id', 'V3', 'V2', 0.9701375859912446, 13.854981184005737]
['BV', 68, 'UV', 36, 'dot', 'objdump', 'V0', 'V3', 0.9732270347453593, 2.2117116451263428]
['UV', 26, 'CV', 59, 'ranlib', 'head', 'V3', 'V2', 0.8885580603998299, 1.2833812236785889]
['BV', 5, 'CV', 302, 'libvlccore.so', 'nice', 'V0', 'V1', 0.955923777961889, 3.4884278774261475]
['CV', 28, 'BV', 30, 'chown', 'bash', 'V2', 'V0', 0.8998595709650864, 3.319169282913208]
['CV', 80, 'BV', 60, 'uniq', 'codeblocks', 'V2', 'V1', 0.9639403113028103, 15.238094091415405]
['BV', 64, 'CV', 128, 'openssl', 'nice', 'V2', 'V3', 0.9311166591012257, 5.95373010635376]
['UV', 29, 'CV', 196, 'objcopy', 'kill', 'V3', 'V0', 0.9344362277959899, 1.439833402633667]
['CV', 227, 'BV', 80, 'tty', 'cluster', 'V0', 'V1', 0.7742561448900388, 0.13367080688476562]
['UV', 1, 'CV', 287, 'xargs', 'date', 'V2', 'V1', 0.3312467396974439, 0.06019139289855957]
['BV', 83, 'CV', 280, 'git', 'pr', 'V2', 'V1', 0.9694901960784313, 8.558175563812256]
