['CV', 183, 'UV', 49, 'users', 'xargs', 'V0', 'V1', 0.2858312858312858, 0.0376131534576416]
['UV', 31, 'CV', 119, 'gprof', 'paste', 'V3', 'V3', 0.8882101916157644, 2.369661331176758]
['CV', 265, 'BV', 72, 'basename', 'perl', 'V1', 'V1', 0.97408597830454, 4.8590967655181885]
['BV', 66, 'CV', 341, 'lua', 'uniq', 'V1', 'V1', 0.8315308453922315, 0.3781006336212158]
['BV', 55, 'CV', 220, 'codeblocks', 'cut', 'V3', 'V0', 0.9742531857113015, 12.913670778274536]
['BV', 45, 'CV', 266, 'svn', 'mkdir', 'V3', 'V1', 0.8377999158131051, 0.7067539691925049]
['BV', 25, 'CV', 341, 'git', 'uniq', 'V3', 'V1', 0.9828316853200043, 11.0525221824646]
['UV', 25, 'CV', 52, 'as', 'logname', 'V3', 'V2', 0.944370245630335, 1.9938559532165527]
['UV', 53, 'CV', 226, 'readelf', 'logname', 'V1', 'V0', 0.7894422904861318, 0.08710217475891113]
['BV', 32, 'UV', 55, 'perl', 'ranlib', 'V0', 'V1', 0.3459551502207856, 6.110484600067139]
['BV', 5, 'CV', 145, 'libvlccore.so', 'readlink', 'V0', 'V3', 0.9139645482057933, 3.355837345123291]
['CV', 256, 'BV', 6, 'sort', 'libvlc.so', 'V0', 'V0', 0.6191102344948499, 0.36247897148132324]
['BV', 12, 'CV', 281, 'sort', 'tee', 'V2', 'V1', 0.5734643734643735, 0.05680537223815918]
['BV', 61, 'CV', 38, 'cmp', 'split', 'V0', 'V2', 0.46926536731634183, 0.02855205535888672]
['CV', 162, 'UV', 41, 'tr', 'cmp', 'V3', 'V3', 0.10621761658031093, 0.03710460662841797]
['CV', 26, 'BV', 36, 'date', 'libvlc.so', 'V2', 'V2', 0.7283813747228381, 0.4960787296295166]
['CV', 0, 'BV', 57, 'touch', 'svn', 'V2', 'V2', 0.7449069973427812, 0.5337445735931396]
