['UV', 68, 'BV', 21, 'diff', 'cp', 'V0', 'V1', 0.2729070533948583, 0.11069273948669434]
['BV', 0, 'CV', 201, 'bash', 'expr', 'V2', 'V0', 0.8910805432995934, 2.6253509521484375]
['UV', 5, 'CV', 167, 'diff', 'uniq', 'V2', 'V3', 0.43205128205128207, 0.08771896362304688]
['UV', 66, 'CV', 186, 'diff3', 'stty', 'V0', 'V0', 0.2818835840418574, 0.029909372329711914]
['CV', 38, 'BV', 54, 'split', 'lua', 'V2', 'V3', 0.7508896797153025, 0.4506213665008545]
['CV', 69, 'UV', 47, 'csplit', 'sdiff', 'V2', 'V1', 0.22707595434868155, 0.05946683883666992]
['UV', 58, 'CV', 305, 'objcopy', 'true', 'V1', 'V1', 0.9530410183875531, 1.1614654064178467]
['UV', 84, 'CV', 188, 'ar', 'dirname', 'V0', 'V0', 0.9358298328715703, 0.851294994354248]
['BV', 8, 'CV', 146, 'cluster', 'head', 'V2', 'V3', 0.5548041701887856, 0.12007975578308105]
['BV', 69, 'CV', 179, 'gvmap', 'mkdir', 'V0', 'V0', 0.653179190751445, 0.09791254997253418]
['CV', 42, 'BV', 23, 'dircolors', 'diff', 'V2', 'V3', 0.6101211689237348, 0.08493471145629883]
['BV', 3, 'CV', 155, 'diff', 'cat', 'V1', 'V3', 0.47534668721109397, 0.0678853988647461]
['CV', 9, 'BV', 80, 'users', 'cluster', 'V2', 'V1', 0.6669699727024567, 0.1174020767211914]
['BV', 57, 'CV', 139, 'svn', 'logname', 'V2', 'V3', 0.7919243361222262, 0.35741209983825684]
['BV', 39, 'CV', 140, 'svn', 'tty', 'V1', 'V3', 0.7915226487174822, 0.3665649890899658]
['BV', 24, 'CV', 103, 'git', 'dd', 'V0', 'V3', 0.9290712214329423, 4.037654638290405]
['UV', 51, 'BV', 79, 'nm', 'bash', 'V1', 'V3', 0.3596788581623551, 9.98305892944336]
['BV', 75, 'CV', 293, 'cmp', 'paste', 'V2', 'V1', 0.31034482758620685, 0.02647233009338379]
['CV', 256, 'UV', 61, 'sort', 'addr2line', 'V0', 'V1', 0.8424221572337863, 1.3409740924835205]
['UV', 14, 'CV', 44, 'objcopy', 'true', 'V2', 'V2', 0.9350191340886921, 1.3755736351013184]
['BV', 6, 'CV', 184, 'libvlc.so', 'ptx', 'V0', 'V0', 0.5018240778273206, 0.3279144763946533]
['UV', 53, 'CV', 287, 'readelf', 'date', 'V1', 'V1', 0.6474464579901154, 0.11406183242797852]
['BV', 38, 'CV', 57, 'ruby', 'who', 'V2', 'V2', 0.7788461538461539, 0.013750314712524414]
['BV', 39, 'CV', 147, 'svn', 'hostid', 'V1', 'V3', 0.7931536780772032, 0.4348900318145752]
['CV', 101, 'BV', 3, 'dirname', 'diff', 'V3', 'V1', 0.5394524959742351, 0.08299684524536133]
['BV', 27, 'CV', 301, 'libSDL2-2.0.so', 'ls', 'V1', 'V1', 0.8603887505958371, 5.0075438022613525]
['CV', 15, 'UV', 68, 'uptime', 'diff', 'V2', 'V0', 0.49452269170579033, 0.09157872200012207]
['BV', 23, 'CV', 0, 'diff', 'touch', 'V3', 'V2', 0.5145826349312772, 0.11016345024108887]
['UV', 24, 'CV', 278, 'readelf', 'mkfifo', 'V3', 'V1', 0.8734880679960771, 0.26086950302124023]
['BV', 45, 'CV', 211, 'svn', 'seq', 'V3', 'V0', 0.8808156232050546, 0.6839368343353271]
['BV', 40, 'CV', 83, 'lua', 'tac', 'V2', 'V2', 0.6540051679586564, 0.47373461723327637]
['BV', 7, 'CV', 124, 'libSDL2-2.0.so', 'seq', 'V0', 'V3', 0.897236438075742, 3.7632150650024414]
