['CV', 307, 'BV', 77, 'cut', 'perl', 'V1', 'V2', 0.9671875, 2.958904981613159]
['CV', 48, 'UV', 57, 'df', 'strings', 'V2', 'V1', 0.8059928897917725, 1.5490376949310303]
['UV', 61, 'CV', 153, 'addr2line', 'link', 'V1', 'V3', 0.8948579520311531, 0.920424222946167]
['UV', 82, 'BV', 53, 'gprof', 'ssh', 'V0', 'V2', 0.4546217450327039, 13.791372776031494]
['UV', 55, 'CV', 322, 'ranlib', 'ginstall', 'V1', 'V1', 0.8004596243759411, 1.4671785831451416]
['CV', 231, 'BV', 79, 'who', 'bash', 'V0', 'V3', 0.9517575861624963, 3.619706869125366]
['CV', 16, 'UV', 25, 'dd', 'as', 'V2', 'V3', 0.8899362194502455, 2.5807981491088867]
['UV', 47, 'CV', 45, 'sdiff', 'cp', 'V1', 'V2', 0.26798825256975034, 0.1042318344116211]
['CV', 100, 'BV', 14, 'join', 'openssl', 'V3', 'V3', 0.9002498852567699, 8.47715163230896]
['BV', 2, 'CV', 25, 'cmp', 'expand', 'V1', 'V2', 0.20345640219952865, 0.027994155883789062]
['CV', 173, 'UV', 86, 'ln', 'size', 'V3', 'V0', 0.7854193257752083, 1.5053553581237793]
['UV', 84, 'CV', 84, 'ar', 'rmdir', 'V0', 'V2', 0.8946815955213436, 1.1473581790924072]
['UV', 19, 'CV', 1, 'elfedit', 'stat', 'V2', 'V2', 0.1638065522620905, 0.03056812286376953]
['CV', 91, 'UV', 37, 'basename', 'locate', 'V3', 'V3', 0.5625462620281273, 0.12121152877807617]
['CV', 161, 'BV', 13, 'pathchk', 'cp', 'V3', 'V2', 0.44388609715242877, 0.07904696464538574]
['CV', 204, 'BV', 79, 'pinky', 'bash', 'V0', 'V3', 0.9522603357231786, 3.6658618450164795]
['UV', 54, 'CV', 54, 'as', 'false', 'V1', 'V2', 0.9493448759943847, 1.9536545276641846]
['CV', 50, 'BV', 57, 'cksum', 'svn', 'V2', 'V2', 0.8237363451212738, 0.49466896057128906]
['CV', 190, 'BV', 27, 'dd', 'libSDL2-2.0.so', 'V0', 'V1', 0.9152514607109703, 5.452555179595947]
['CV', 138, 'BV', 51, 'printf', 'cp', 'V3', 'V0', 0.18367346938775508, 0.05373096466064453]
['UV', 73, 'CV', 274, 'nm', 'join', 'V0', 'V1', 0.8866035675282126, 1.0808229446411133]
['BV', 27, 'CV', 216, 'libSDL2-2.0.so', 'dircolors', 'V1', 'V0', 0.9470323691077674, 4.627965450286865]
['UV', 44, 'CV', 193, 'diff3', 'pr', 'V1', 'V0', 0.12881355932203387, 0.0486452579498291]
['UV', 42, 'CV', 319, 'diff', 'readlink', 'V3', 'V1', 0.6814291030889468, 0.09093761444091797]
['BV', 20, 'CV', 54, 'sort', 'false', 'V1', 'V2', 0.4439403758911211, 0.0394282341003418]
['CV', 325, 'UV', 59, 'md5sum', 'ld', 'V1', 'V1', 0.9404454288175218, 2.1385574340820312]
['CV', 189, 'BV', 28, 'uptime', 'openssl', 'V0', 'V1', 0.9784792924454742, 9.155981302261353]
['UV', 68, 'CV', 278, 'diff', 'mkfifo', 'V0', 'V1', 0.6630387461906835, 0.0695500373840332]
['UV', 73, 'CV', 53, 'nm', 'tty', 'V0', 'V2', 0.9121852227654276, 1.0495426654815674]
['CV', 37, 'UV', 53, 'seq', 'readelf', 'V2', 'V1', 0.6604921205418856, 0.11899852752685547]
['BV', 0, 'CV', 48, 'bash', 'df', 'V2', 'V2', 0.9003694848945881, 3.2324514389038086]
['CV', 49, 'UV', 17, 'tsort', 'addr2line', 'V2', 'V2', 0.9002864303616184, 1.2581098079681396]
['UV', 2, 'CV', 303, 'find', 'dircolors', 'V2', 'V1', 0.749746192893401, 0.18517422676086426]
['BV', 49, 'CV', 244, 'make', 'vdir', 'V3', 'V0', 0.5674694820191356, 0.37320566177368164]
['CV', 118, 'UV', 55, 'sha1sum', 'ranlib', 'V3', 'V1', 0.8765289256198348, 1.4499619007110596]
['UV', 53, 'CV', 184, 'readelf', 'ptx', 'V1', 'V0', 0.3984156570363466, 0.14205503463745117]
['CV', 147, 'BV', 39, 'hostid', 'svn', 'V3', 'V1', 0.7931536780772032, 0.5171194076538086]
['BV', 11, 'CV', 153, 'bash', 'link', 'V1', 'V3', 0.9444262525143846, 2.7982757091522217]
['CV', 76, 'BV', 7, 'comm', 'libSDL2-2.0.so', 'V2', 'V0', 0.9170977308779916, 4.310333728790283]
['BV', 83, 'CV', 125, 'git', 'split', 'V2', 'V3', 0.9573240836370014, 8.82570481300354]
['CV', 99, 'BV', 38, 'stty', 'ruby', 'V3', 'V2', 0.8126272912423625, 0.016979694366455078]
['BV', 80, 'CV', 133, 'cluster', 'cut', 'V1', 'V3', 0.5705311250713878, 0.15575170516967773]
['CV', 296, 'UV', 50, 'sum', 'find', 'V1', 'V1', 0.7494969818913481, 0.20783019065856934]
['BV', 1, 'CV', 180, 'libSDL2-2.0.so', 'fmt', 'V3', 'V0', 0.9601662783792426, 6.604246139526367]
['UV', 86, 'CV', 63, 'size', 'mv', 'V0', 'V2', 0.7571861375895959, 1.3346998691558838]
['CV', 208, 'UV', 40, 'echo', 'diff3', 'V0', 'V3', 0.5007215007215007, 0.032120704650878906]
['CV', 280, 'UV', 8, 'pr', 'strip', 'V1', 'V2', 0.8861907548273844, 1.7789568901062012]
['CV', 239, 'BV', 51, 'env', 'cp', 'V0', 'V0', 0.518848526387937, 0.03731989860534668]
['BV', 43, 'UV', 10, 'lua', 'as', 'V0', 'V2', 0.5042842402763447, 5.3246636390686035]
['CV', 102, 'BV', 33, 'uptime', 'openssl', 'V3', 'V0', 0.9602998528759253, 8.581501722335815]
['CV', 34, 'BV', 27, 'echo', 'libSDL2-2.0.so', 'V2', 'V1', 0.9495219034912163, 5.015363931655884]
['UV', 45, 'BV', 71, 'cmp', 'ruby', 'V1', 'V1', 0.7819905213270142, 0.016188383102416992]
['CV', 297, 'BV', 23, 'chroot', 'diff', 'V1', 'V3', 0.7133105802047781, 0.10300254821777344]
['UV', 76, 'CV', 176, 'as', 'unlink', 'V0', 'V0', 0.9571779141104294, 1.83056640625]
['CV', 145, 'BV', 62, 'readlink', 'diff', 'V3', 'V0', 0.23349753694581277, 0.06284236907958984]
['BV', 24, 'CV', 299, 'git', 'split', 'V0', 'V1', 0.9713439003833501, 4.618940830230713]
['BV', 9, 'CV', 227, 'dot', 'tty', 'V2', 'V0', 0.28695652173913044, 0.010371685028076172]
['CV', 193, 'BV', 42, 'pr', 'libvlc.so', 'V0', 'V1', 0.679144385026738, 0.4057190418243408]
['UV', 15, 'CV', 45, 'ld', 'cp', 'V2', 'V2', 0.8042907680018259, 2.4050545692443848]
['BV', 70, 'CV', 61, 'ssh', 'ginstall', 'V0', 'V2', 0.889908867158917, 4.995582342147827]
['UV', 18, 'CV', 158, 'ar', '[', 'V2', 'V3', 0.8689014271490209, 1.3172833919525146]
['CV', 276, 'BV', 74, 'uptime', 'git', 'V1', 'V1', 0.9771618833239543, 6.491635799407959]
['UV', 72, 'CV', 244, 'find', 'vdir', 'V0', 'V0', 0.3614336193841494, 0.23154187202453613]
['UV', 78, 'CV', 312, 'c++filt', 'printf', 'V0', 'V1', 0.9020369493131217, 1.0487968921661377]
['BV', 52, 'UV', 16, 'libSDL2-2.0.so', 'gprof', 'V2', 'V2', 0.28589420654911835, 10.907145500183105]
['UV', 25, 'CV', 155, 'as', 'cat', 'V3', 'V3', 0.9212761074133579, 2.280982494354248]
['CV', 71, 'BV', 63, '[', 'ruby', 'V2', 'V0', 0.9753723138430784, 13.756686925888062]
['UV', 46, 'BV', 56, 'diff', 'ssh', 'V1', 'V3', 0.696203992154148, 3.1805007457733154]
['CV', 289, 'UV', 25, 'chown', 'as', 'V1', 'V3', 0.9059653916211293, 2.6375746726989746]
['UV', 31, 'BV', 16, 'gprof', 'libvlc.so', 'V3', 'V3', 0.41371750704666455, 2.693686008453369]
['UV', 68, 'CV', 22, 'diff', 'kill', 'V0', 'V2', 0.5579119086460033, 0.0796201229095459]
['CV', 290, 'UV', 25, 'tail', 'as', 'V1', 'V3', 0.9122786978869217, 2.573253870010376]
['BV', 58, 'CV', 36, 'ruby', 'chroot', 'V3', 'V2', 0.7419354838709677, 0.011212348937988281]
['UV', 76, 'CV', 340, 'as', 'fold', 'V0', 'V1', 0.9484517192939595, 1.9044744968414307]
['CV', 193, 'UV', 35, 'pr', 'size', 'V0', 'V3', 0.8613579808034127, 1.410573959350586]
['CV', 200, 'UV', 78, 'date', 'c++filt', 'V0', 'V0', 0.879247402415052, 1.2349698543548584]
