['CV', 319, 'BV', 37, 'readlink', 'geany', 'V1', 'V1', 0.9831988851596695, 27.731165170669556]
['CV', 198, 'BV', 76, 'factor', 'diff', 'V0', 'V2', 0.6854442344045368, 0.09874701499938965]
['BV', 79, 'CV', 264, 'bash', 'test', 'V3', 'V1', 0.9598327802439339, 3.152341365814209]
['CV', 340, 'BV', 18, 'fold', 'sort', 'V1', 'V3', 0.6695379796397808, 0.09309172630310059]
['CV', 3, 'UV', 83, 'test', 'addr2line', 'V2', 'V0', 0.8914599014961435, 1.1386680603027344]
['UV', 75, 'BV', 65, 'readelf', 'ssh', 'V0', 'V1', 0.8233556212097652, 7.174389123916626]
['UV', 49, 'CV', 39, 'xargs', 'whoami', 'V1', 'V2', 0.2431156569630213, 0.026268482208251953]
['CV', 90, 'UV', 78, 'test', 'c++filt', 'V3', 'V0', 0.8621649197662554, 1.1856727600097656]
['BV', 48, 'CV', 179, 'gvmap', 'mkdir', 'V3', 'V0', 0.6876807403123193, 0.14479827880859375]
['CV', 276, 'BV', 33, 'uptime', 'openssl', 'V1', 'V0', 0.9770596825097744, 7.833872556686401]
['CV', 314, 'UV', 5, 'tty', 'diff', 'V1', 'V2', 0.7212355212355213, 0.09458518028259277]
['UV', 44, 'CV', 226, 'diff3', 'logname', 'V1', 'V0', 0.4758004467609829, 0.030224084854125977]
['BV', 21, 'CV', 150, 'cp', 'mv', 'V1', 'V3', 0.3512265512265512, 0.1569347381591797]
['BV', 21, 'CV', 328, 'cp', 'uname', 'V1', 'V1', 0.510752688172043, 0.04148459434509277]
['CV', 329, 'BV', 17, 'cat', 'codeblocks', 'V1', 'V2', 0.9777167683983261, 14.666252613067627]
['BV', 49, 'CV', 203, 'make', 'tail', 'V3', 'V0', 0.7348913638853387, 0.28245973587036133]
['CV', 331, 'BV', 28, 'vdir', 'openssl', 'V1', 'V1', 0.9411160411794278, 10.8767671585083]
['UV', 61, 'BV', 12, 'addr2line', 'sort', 'V1', 'V2', 0.7445148707947343, 1.391655445098877]
['BV', 69, 'CV', 223, 'gvmap', 'tsort', 'V0', 'V0', 0.7165721907302434, 0.11183857917785645]
['UV', 62, 'CV', 213, 'ar', 'whoami', 'V1', 'V0', 0.9383643503500085, 1.1894490718841553]
['UV', 58, 'CV', 245, 'objcopy', '[', 'V1', 'V0', 0.9319994403246117, 1.5403926372528076]
['CV', 143, 'UV', 47, 'yes', 'sdiff', 'V3', 'V1', 0.2919799498746867, 0.03914999961853027]
['CV', 56, 'UV', 51, 'yes', 'nm', 'V2', 'V1', 0.9193022641176989, 1.2446343898773193]
['BV', 35, 'CV', 258, 'libvlccore.so', 'rmdir', 'V2', 'V0', 0.9656394079107012, 4.1759727001190186]
['UV', 21, 'CV', 161, 'objdump', 'pathchk', 'V2', 'V3', 0.9120634296572964, 1.8612785339355469]
['BV', 5, 'CV', 210, 'libvlccore.so', 'chroot', 'V0', 'V0', 0.9593869307807227, 3.467545986175537]
['UV', 3, 'BV', 32, 'diff3', 'perl', 'V2', 'V0', 0.9182345917905225, 3.4112842082977295]
['CV', 290, 'UV', 33, 'tail', 'ar', 'V1', 'V3', 0.8705763397371082, 1.4897916316986084]
['CV', 86, 'UV', 19, 'ln', 'elfedit', 'V2', 'V2', 0.1794212218649518, 0.0420842170715332]
['UV', 29, 'CV', 298, 'objcopy', 'seq', 'V3', 'V1', 0.934731223789554, 1.4286513328552246]
['UV', 8, 'CV', 119, 'strip', 'paste', 'V2', 'V3', 0.9014894558324731, 1.5006625652313232]
['BV', 11, 'CV', 315, 'bash', 'false', 'V1', 'V1', 0.968553161259768, 2.763864517211914]
['BV', 74, 'UV', 18, 'git', 'ar', 'V1', 'V2', 0.5783838421653595, 11.6786470413208]
['CV', 315, 'UV', 17, 'false', 'addr2line', 'V1', 'V2', 0.939344112542249, 1.2077844142913818]
['BV', 14, 'CV', 214, 'openssl', 'ls', 'V3', 'V0', 0.8685187042423027, 7.985645294189453]
['UV', 82, 'CV', 243, 'gprof', 'csplit', 'V0', 'V0', 0.7726690163409163, 1.282365083694458]
['CV', 85, 'BV', 44, 'mknod', 'make', 'V2', 'V0', 0.7680716313605591, 0.2185065746307373]
['CV', 324, 'BV', 8, 'mv', 'cluster', 'V1', 'V2', 0.3883928571428572, 0.21612334251403809]
['BV', 78, 'UV', 40, 'make', 'diff3', 'V2', 'V3', 0.6249773755656108, 0.2924630641937256]
['UV', 37, 'BV', 65, 'locate', 'ssh', 'V3', 'V1', 0.866305904822537, 7.446013450622559]
['BV', 47, 'CV', 56, 'dot', 'yes', 'V3', 'V2', 0.3879941434846266, 0.012000560760498047]
['BV', 30, 'CV', 91, 'bash', 'basename', 'V0', 'V3', 0.9404520500519313, 2.5779101848602295]
['BV', 73, 'CV', 288, 'geany', 'expr', 'V0', 'V1', 0.9446633317101244, 19.839802503585815]
['BV', 67, 'CV', 61, 'cluster', 'ginstall', 'V0', 'V2', 0.2189638318670577, 0.2256314754486084]
['UV', 83, 'CV', 248, 'addr2line', 'pathchk', 'V0', 'V0', 0.9272796136729476, 1.0142290592193604]
['BV', 19, 'CV', 174, 'cp', 'touch', 'V3', 'V0', 0.5464767616191905, 0.10264468193054199]
['CV', 210, 'UV', 78, 'chroot', 'c++filt', 'V0', 'V0', 0.9294569918308505, 1.1104063987731934]
['UV', 64, 'CV', 45, 'size', 'cp', 'V1', 'V2', 0.7261044176706827, 1.5310993194580078]
['BV', 29, 'CV', 54, 'perl', 'false', 'V3', 'V2', 0.9690935046395431, 3.1968185901641846]
['CV', 215, 'UV', 56, 'nice', 'c++filt', 'V0', 'V1', 0.9291647649475125, 1.2559521198272705]
['BV', 75, 'CV', 199, 'cmp', 'expand', 'V2', 'V0', 0.3053173241852487, 0.02868795394897461]
['UV', 34, 'CV', 86, 'elfedit', 'ln', 'V3', 'V2', 0.1470769230769231, 0.04825472831726074]
['UV', 70, 'CV', 233, 'locate', 'head', 'V0', 'V0', 0.5, 0.06917762756347656]
