['UV', 39, 'CV', 316, 'find', 'nohup', 'V3', 'V1', 0.8270551122657265, 0.3211228847503662]
['BV', 20, 'CV', 278, 'sort', 'mkfifo', 'V1', 'V1', 0.4829659318637274, 0.03504633903503418]
['CV', 235, 'BV', 46, 'ginstall', 'cluster', 'V0', 'V3', 0.4025777103866566, 0.19759106636047363]
['BV', 20, 'CV', 146, 'sort', 'head', 'V1', 'V3', 0.20396452790818986, 0.04837179183959961]
['UV', 54, 'CV', 28, 'as', 'chown', 'V1', 'V2', 0.8831440357122676, 3.397127628326416]
['CV', 289, 'UV', 81, 'chown', 'ld', 'V1', 'V0', 0.8946361375087697, 4.178877592086792]
['UV', 59, 'BV', 34, 'ld', 'svn', 'V1', 'V0', 0.549648700437282, 4.485066890716553]
['CV', 93, 'BV', 3, 'fmt', 'diff', 'V3', 'V1', 0.4533029612756264, 0.08557653427124023]
['CV', 321, 'BV', 73, 'hostid', 'geany', 'V1', 'V0', 0.983742774566474, 18.970725297927856]
['BV', 35, 'CV', 30, 'libvlccore.so', 'pinky', 'V2', 'V2', 0.9360420650095602, 3.9763190746307373]
['CV', 22, 'BV', 66, 'kill', 'lua', 'V2', 'V1', 0.8346048214830638, 0.39109373092651367]
['BV', 16, 'CV', 10, 'libvlc.so', 'ptx', 'V3', 'V2', 0.4873407768517062, 0.49695730209350586]
['CV', 224, 'BV', 23, 'cksum', 'diff', 'V0', 'V3', 0.7198325085649029, 0.08984017372131348]
['CV', 90, 'BV', 53, 'test', 'ssh', 'V3', 'V2', 0.950783294141026, 5.097322702407837]
['CV', 24, 'BV', 42, 'factor', 'libvlc.so', 'V2', 'V1', 0.766918918918919, 0.31125855445861816]
['UV', 30, 'CV', 290, 'ld', 'tail', 'V3', 'V1', 0.908896797153025, 2.158674478530884]
['BV', 15, 'CV', 218, 'libvlccore.so', 'true', 'V3', 'V0', 0.968910411622276, 3.8267464637756348]
['CV', 160, 'UV', 4, 'shred', 'cmp', 'V3', 'V2', 0.21421107628004177, 0.055956125259399414]
['CV', 120, 'BV', 40, 'sync', 'lua', 'V3', 'V2', 0.8216216216216217, 0.44350123405456543]
['UV', 10, 'BV', 28, 'as', 'openssl', 'V2', 'V1', 0.4519029557938792, 31.787975072860718]
['UV', 1, 'CV', 16, 'xargs', 'dd', 'V2', 'V2', 0.14311111111111108, 0.06882500648498535]
['CV', 172, 'UV', 3, 'mknod', 'diff3', 'V3', 'V2', 0.20023909145248053, 0.04023933410644531]
['CV', 236, 'BV', 0, 'unexpand', 'bash', 'V0', 'V2', 0.9631775113386322, 3.0613138675689697]
['UV', 84, 'CV', 204, 'ar', 'pinky', 'V0', 'V0', 0.9023362023537678, 1.0873725414276123]
['CV', 69, 'UV', 37, 'csplit', 'locate', 'V2', 'V3', 0.17235682819383258, 0.16976380348205566]
['UV', 24, 'CV', 305, 'readelf', 'true', 'V3', 'V1', 0.8904832591126505, 0.24847936630249023]
['UV', 28, 'BV', 54, 'strings', 'lua', 'V3', 'V3', 0.21692325500636644, 2.4928195476531982]
['BV', 30, 'CV', 228, 'bash', 'false', 'V0', 'V0', 0.9678001805597352, 2.301590919494629]
['CV', 346, 'BV', 76, 'mknod', 'diff', 'V1', 'V2', 0.6816295737457563, 0.09843730926513672]
['CV', 298, 'UV', 5, 'seq', 'diff', 'V1', 'V2', 0.6778321415129845, 0.09976553916931152]
['BV', 39, 'CV', 60, 'svn', 'hostid', 'V1', 'V2', 0.8253615127919911, 0.42229127883911133]
['CV', 23, 'UV', 15, 'wc', 'ld', 'V2', 'V2', 0.9169495635305529, 2.24666428565979]
['BV', 56, 'UV', 38, 'ssh', 'xargs', 'V3', 'V3', 0.8356745957420241, 1.8742549419403076]
['CV', 96, 'BV', 63, 'users', 'ruby', 'V3', 'V0', 0.9730846794321426, 12.694745302200317]
['CV', 321, 'UV', 36, 'hostid', 'objdump', 'V1', 'V3', 0.9575045741604202, 2.2406187057495117]
['BV', 39, 'CV', 193, 'svn', 'pr', 'V1', 'V0', 0.7269696437971574, 0.4663980007171631]
['UV', 19, 'BV', 70, 'elfedit', 'ssh', 'V2', 'V0', 0.9536514922294045, 4.677735090255737]
['CV', 279, 'BV', 23, 'pwd', 'diff', 'V1', 'V3', 0.6616403089371092, 0.09987163543701172]
['CV', 74, 'UV', 3, 'pathchk', 'diff3', 'V2', 'V2', 0.324450366422385, 0.033809661865234375]
['BV', 51, 'CV', 337, 'cp', 'comm', 'V0', 'V1', 0.4073604060913706, 0.0396122932434082]
['CV', 291, 'UV', 78, 'pinky', 'c++filt', 'V1', 'V0', 0.8930693069306931, 1.0935232639312744]
['UV', 13, 'BV', 49, 'strings', 'make', 'V2', 'V3', 0.38914647684973547, 1.992020606994629]
['CV', 10, 'UV', 49, 'ptx', 'xargs', 'V2', 'V1', 0.36448598130841114, 0.062479496002197266]
['BV', 4, 'CV', 205, 'geany', 'sha1sum', 'V3', 'V0', 0.9825456825822635, 29.507311582565308]
['UV', 46, 'CV', 89, 'diff', 'unlink', 'V1', 'V3', 0.6341085271317829, 0.10163235664367676]
['CV', 155, 'UV', 28, 'cat', 'strings', 'V3', 'V3', 0.8763091368725171, 1.235898494720459]
['CV', 223, 'UV', 28, 'tsort', 'strings', 'V0', 'V3', 0.9212278106508875, 1.1562883853912354]
['BV', 6, 'CV', 90, 'libvlc.so', 'test', 'V0', 'V3', 0.6647662485746865, 0.28586387634277344]
['CV', 104, 'BV', 56, 'mkfifo', 'ssh', 'V3', 'V3', 0.9191958749428888, 1.8218913078308105]
['BV', 55, 'CV', 186, 'codeblocks', 'stty', 'V3', 'V0', 0.9710107145650304, 13.224252700805664]
['UV', 8, 'BV', 43, 'strip', 'lua', 'V2', 'V0', 0.4014440041257261, 2.6661038398742676]
['BV', 44, 'CV', 38, 'make', 'split', 'V0', 'V2', 0.6105032822757112, 0.22333574295043945]
['CV', 346, 'BV', 77, 'mknod', 'perl', 'V1', 'V2', 0.9724525099549579, 2.925541877746582]
['BV', 42, 'UV', 38, 'libvlc.so', 'xargs', 'V1', 'V3', 0.5220452019266395, 0.4197263717651367]
['BV', 74, 'CV', 195, 'git', 'chgrp', 'V1', 'V0', 0.9655936035805031, 5.663898229598999]
['CV', 136, 'UV', 67, 'tsort', 'cmp', 'V3', 'V0', 0.12043301759133962, 0.03511357307434082]
['CV', 206, 'UV', 79, 'paste', 'strings', 'V0', 'V0', 0.9256795286067288, 1.0308027267456055]
['CV', 239, 'UV', 33, 'env', 'ar', 'V0', 'V3', 0.9386953104532355, 1.2495949268341064]
['BV', 21, 'CV', 310, 'cp', 'tsort', 'V1', 'V1', 0.4401024983984625, 0.039902448654174805]
['UV', 71, 'CV', 289, 'xargs', 'chown', 'V0', 'V1', 0.16550764951321284, 0.03773617744445801]
['UV', 53, 'CV', 213, 'readelf', 'whoami', 'V1', 'V0', 0.7851829812555787, 0.0894775390625]
['BV', 63, 'CV', 187, 'ruby', 'join', 'V0', 'V0', 0.9756092684779784, 11.521220445632935]
['BV', 72, 'UV', 46, 'perl', 'diff', 'V1', 'V1', 0.8360216727906832, 3.347322702407837]
['BV', 66, 'CV', 127, 'lua', 'ls', 'V1', 'V3', 0.4850196463654224, 0.5757157802581787]
['UV', 69, 'CV', 148, 'sdiff', 'ginstall', 'V0', 'V3', 0.3893911995177818, 0.14651083946228027]
['CV', 130, 'BV', 33, 'chmod', 'openssl', 'V3', 'V0', 0.9486500916962648, 8.517230987548828]
['CV', 9, 'BV', 79, 'users', 'bash', 'V2', 'V3', 0.952344152498712, 3.363708972930908]
['CV', 24, 'BV', 31, 'factor', 'codeblocks', 'V2', 'V0', 0.9699892226490177, 13.34079360961914]
['UV', 85, 'CV', 113, 'elfedit', 'date', 'V0', 'V3', 0.2733260153677277, 0.047760725021362305]
['CV', 118, 'UV', 86, 'sha1sum', 'size', 'V3', 'V0', 0.8817757379124792, 1.1826255321502686]
['BV', 78, 'CV', 47, 'make', 'od', 'V2', 'V2', 0.6723816623183004, 0.25832557678222656]
['UV', 78, 'CV', 236, 'c++filt', 'unexpand', 'V0', 'V0', 0.9215160796324655, 0.9301865100860596]
['UV', 54, 'BV', 34, 'as', 'svn', 'V1', 'V0', 0.5686717499764662, 3.5285000801086426]
['UV', 71, 'CV', 279, 'xargs', 'pwd', 'V0', 'V1', 0.15298507462686572, 0.024361133575439453]
['UV', 38, 'BV', 52, 'xargs', 'libSDL2-2.0.so', 'V3', 'V2', 0.8685774204823489, 6.912874221801758]
['CV', 195, 'UV', 49, 'chgrp', 'xargs', 'V0', 'V1', 0.06044678055190533, 0.0373234748840332]
['CV', 6, 'BV', 61, 'fmt', 'cmp', 'V2', 'V0', 0.2554585152838428, 0.017955541610717773]
['UV', 14, 'BV', 19, 'objcopy', 'cp', 'V2', 'V3', 0.725747141806512, 1.8110504150390625]
['UV', 53, 'CV', 8, 'readelf', 'du', 'V1', 'V2', 0.29482758620689653, 0.18419528007507324]
['CV', 202, 'BV', 80, 'chown', 'cluster', 'V0', 'V1', 0.5585227272727272, 0.1631925106048584]
['CV', 139, 'BV', 12, 'logname', 'sort', 'V3', 'V2', 0.4729109274563821, 0.06574368476867676]
['CV', 98, 'UV', 3, 'printenv', 'diff3', 'V3', 'V2', 0.28267868641339344, 0.03655195236206055]
['CV', 93, 'UV', 23, 'fmt', 'strip', 'V3', 'V3', 0.892028931474163, 1.6050877571105957]
['BV', 45, 'CV', 208, 'svn', 'echo', 'V3', 'V0', 0.8993619489559165, 0.6679511070251465]
['CV', 4, 'UV', 24, 'basename', 'readelf', 'V2', 'V3', 0.8433579929237697, 0.2907273769378662]
['UV', 55, 'CV', 203, 'ranlib', 'tail', 'V1', 'V0', 0.8797913734580677, 1.2325074672698975]
['CV', 90, 'BV', 69, 'test', 'gvmap', 'V3', 'V0', 0.5566948130277443, 0.13633298873901367]
['CV', 153, 'UV', 22, 'link', 'nm', 'V3', 'V3', 0.8942590120160213, 1.2587401866912842]
['UV', 69, 'CV', 121, 'sdiff', 'echo', 'V0', 'V3', 0.3081285444234405, 0.038858652114868164]
['CV', 149, 'BV', 34, 'unexpand', 'svn', 'V3', 'V0', 0.7326283987915407, 0.4672579765319824]
['CV', 233, 'BV', 68, 'head', 'dot', 'V0', 'V0', 0.43232588699080154, 0.013640403747558594]
['BV', 82, 'CV', 76, 'gvmap', 'comm', 'V1', 'V2', 0.661547212741752, 0.1367342472076416]
['BV', 25, 'CV', 307, 'git', 'cut', 'V3', 'V1', 0.9843410178338408, 10.967059850692749]
['BV', 28, 'CV', 93, 'openssl', 'fmt', 'V1', 'V3', 0.967913490515866, 7.813951253890991]
['UV', 14, 'CV', 148, 'objcopy', 'ginstall', 'V2', 'V3', 0.6988284849282611, 1.8875439167022705]
['UV', 53, 'CV', 102, 'readelf', 'uptime', 'V1', 'V3', 0.5615584415584416, 0.12441420555114746]
['UV', 30, 'CV', 64, 'ld', 'md5sum', 'V3', 'V2', 0.9296120870555789, 2.1976876258850098]
['BV', 47, 'CV', 333, 'dot', 'id', 'V3', 'V1', 0.3801169590643274, 0.013365030288696289]
['CV', 150, 'BV', 29, 'mv', 'perl', 'V3', 'V3', 0.8435578722266773, 5.2884438037872314]
['UV', 0, 'CV', 63, 'locate', 'mv', 'V2', 'V2', 0.11588847833389315, 0.12566781044006348]
['CV', 1, 'BV', 37, 'stat', 'geany', 'V2', 'V1', 0.9762170196952805, 27.2241530418396]
['UV', 11, 'CV', 187, 'ranlib', 'join', 'V2', 'V0', 0.8972371967654986, 1.1888010501861572]
['UV', 27, 'CV', 111, 'c++filt', 'factor', 'V3', 'V3', 0.8200777659950512, 1.1158502101898193]
['CV', 187, 'UV', 59, 'join', 'ld', 'V0', 'V1', 0.9255189255189256, 2.0757410526275635]
['BV', 2, 'CV', 83, 'cmp', 'tac', 'V1', 'V2', 0.2826398852223817, 0.05453228950500488]
['BV', 12, 'CV', 227, 'sort', 'tty', 'V2', 'V0', 0.6412096360840595, 0.05189228057861328]
['BV', 45, 'CV', 96, 'svn', 'users', 'V3', 'V3', 0.8150353038903503, 0.7153573036193848]
['BV', 10, 'CV', 18, 'gvmap', 'pwd', 'V2', 'V2', 0.6696198913975422, 0.13790607452392578]
['BV', 75, 'UV', 50, 'cmp', 'find', 'V2', 'V1', 0.6463644948064211, 0.23211288452148438]
['BV', 19, 'CV', 218, 'cp', 'true', 'V3', 'V0', 0.7307046979865772, 0.07335424423217773]
['BV', 27, 'UV', 39, 'libSDL2-2.0.so', 'find', 'V1', 'V3', 0.565302578260676, 6.520770311355591]
['CV', 265, 'UV', 23, 'basename', 'strip', 'V1', 'V3', 0.9407985314364388, 1.4594671726226807]
['UV', 6, 'CV', 25, 'sdiff', 'expand', 'V2', 'V2', 0.3359375, 0.03696393966674805]
['BV', 83, 'CV', 87, 'git', 'touch', 'V2', 'V3', 0.9557995988862278, 8.124704360961914]
['BV', 1, 'CV', 89, 'libSDL2-2.0.so', 'unlink', 'V3', 'V3', 0.9462965482832132, 6.290601491928101]
['BV', 5, 'CV', 149, 'libvlccore.so', 'unexpand', 'V0', 'V3', 0.9227971116781585, 3.3410704135894775]
['CV', 164, 'BV', 21, 'nl', 'cp', 'V3', 'V1', 0.22744462452728254, 0.05204010009765625]
['UV', 82, 'CV', 199, 'gprof', 'expand', 'V0', 'V0', 0.9288764926348819, 1.0398497581481934]
['CV', 13, 'UV', 75, 'join', 'readelf', 'V2', 'V0', 0.5805555555555556, 0.11424708366394043]
['UV', 63, 'CV', 176, 'elfedit', 'unlink', 'V1', 'V0', 0.3209028459273797, 0.020806312561035156]
['CV', 129, 'UV', 68, 'dircolors', 'diff', 'V3', 'V0', 0.44650283553875236, 0.09125232696533203]
['BV', 50, 'CV', 120, 'sort', 'sync', 'V0', 'V3', 0.22114764667956155, 0.08357071876525879]
['UV', 52, 'CV', 234, 'strip', 'hostid', 'V1', 'V0', 0.9506957688775871, 1.7609162330627441]
['UV', 33, 'CV', 104, 'ar', 'mkfifo', 'V3', 'V3', 0.89419795221843, 1.1845898628234863]
['CV', 254, 'UV', 29, 'uniq', 'objcopy', 'V0', 'V3', 0.9183488319346791, 1.5492281913757324]
['BV', 35, 'UV', 39, 'libvlccore.so', 'find', 'V2', 'V3', 0.6093588623182649, 6.220858812332153]
['BV', 62, 'CV', 92, 'diff', 'mkdir', 'V0', 'V3', 0.17984934086629, 0.06523537635803223]
['UV', 56, 'CV', 275, 'c++filt', 'dirname', 'V1', 'V1', 0.9295170272984571, 1.0202362537384033]
['BV', 48, 'CV', 187, 'gvmap', 'join', 'V3', 'V0', 0.6546640204139496, 0.14046692848205566]
['CV', 2, 'UV', 83, 'unlink', 'addr2line', 'V2', 'V0', 0.9108148704468645, 1.0603184700012207]
