['UO', 16, 'BO', 12, 'size', 'libgeany.so.0.0.0', 'O1', 'O0', 0.8496775260459732, 733.9358468055725]
['BO', 5, 'CO', 414, 'libgeany.so.0.0.0', 'mknod', 'O1', 'O0', 0.9482554147681168, 46.90114784240723]
['UO', 32, 'BO', 6, 'strings', 'codeblocks', 'O2', 'O0', 0.6732916129438032, 136.8890082836151]
['CO', 21, 'BO', 12, 'mktemp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.987163257600995, 285.0744149684906]
['BO', 5, 'CO', 125, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O1', 0.9739758731363342, 43.34848117828369]
['CO', 291, 'BO', 5, 'csplit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9722919924806092, 50.00641107559204]
['BO', 5, 'CO', 268, 'libgeany.so.0.0.0', 'base64', 'O1', 'O2', 0.9817148661947239, 41.878586769104004]
['BO', 6, 'CO', 248, 'codeblocks', 'sync', 'O0', 'O2', 0.9816021749655506, 38.18076777458191]
['BO', 12, 'CO', 374, 'libgeany.so.0.0.0', 'printf', 'O0', 'O0', 0.9876194002221399, 244.00834727287292]
['CO', 127, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.964193568686678, 53.76051950454712]
['BO', 6, 'CO', 166, 'codeblocks', 'printf', 'O0', 'O1', 0.97190823852055, 38.50364279747009]
['CO', 154, 'BO', 5, 'dircolors', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9776028384521566, 48.056316614151]
['BO', 6, 'CO', 231, 'codeblocks', 'pr', 'O0', 'O2', 0.9620192484973634, 39.154563903808594]
['BO', 6, 'UO', 26, 'codeblocks', 'nm', 'O0', 'O2', 0.6667136525239237, 54.36963152885437]
['BO', 6, 'CO', 68, 'codeblocks', 'yes', 'O0', 'O3', 0.9781764104470676, 38.67236089706421]
['CO', 84, 'BO', 6, 'vdir', 'codeblocks', 'O3', 'O0', 0.9229851825081316, 58.95771288871765]
['BO', 5, 'UO', 0, 'libgeany.so.0.0.0', 'locate', 'O1', 'O1', 0.9288119882589216, 44.972129583358765]
['CO', 105, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9656160458452722, 53.48101353645325]
['BO', 6, 'UO', 11, 'codeblocks', 'ld', 'O0', 'O1', 0.5264743001376778, 61.744059801101685]
['BO', 5, 'CO', 193, 'libgeany.so.0.0.0', 'pathchk', 'O1', 'O1', 0.9818092350672233, 41.1947968006134]
['UO', 30, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O2', 'O0', 0.8472824366544174, 705.0493395328522]
['CO', 140, 'BO', 6, 'pinky', 'codeblocks', 'O1', 'O0', 0.9722371518060678, 46.55996799468994]
['CO', 85, 'BO', 5, '[', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9750063275120223, 45.40736508369446]
