['UO', 67, 'BO', 5, 'strip', 'libgeany.so.0.0.0', 'O0', 'O1', 0.5273212014479992, 197.16802501678467]
['BO', 12, 'CO', 193, 'libgeany.so.0.0.0', 'pathchk', 'O0', 'O1', 0.9914976963653764, 244.23535251617432]
['UO', 9, 'BO', 5, 'strings', 'libgeany.so.0.0.0', 'O1', 'O1', 0.7039998908252248, 157.0875358581543]
['BO', 6, 'CO', 405, 'codeblocks', 'nl', 'O0', 'O0', 0.9692808764202968, 39.068498373031616]
['CO', 39, 'BO', 5, 'paste', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9788252448727296, 44.805662631988525]
['CO', 323, 'BO', 12, 'groups', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9890333002356358, 274.90178179740906]
['BO', 12, 'CO', 95, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O3', 0.9888122457749557, 244.07078576087952]
['BO', 12, 'CO', 321, 'libgeany.so.0.0.0', 'du', 'O0', 'O0', 0.9674279515670351, 265.9479172229767]
['BO', 12, 'CO', 141, 'libgeany.so.0.0.0', 'truncate', 'O0', 'O1', 0.9908920995638888, 244.90183663368225]
['BO', 6, 'UO', 13, 'codeblocks', 'addr2line', 'O0', 'O1', 0.6599023568498386, 54.54942274093628]
['BO', 5, 'CO', 408, 'libgeany.so.0.0.0', 'fold', 'O1', 'O0', 0.9766322588816414, 41.98043417930603]
['BO', 5, 'CO', 112, 'libgeany.so.0.0.0', 'dir', 'O1', 'O1', 0.9355998945785468, 46.385743379592896]
['BO', 5, 'UO', 29, 'libgeany.so.0.0.0', 'as', 'O1', 'O2', 0.5777081649151172, 63.190253257751465]
['BO', 12, 'UO', 4, 'libgeany.so.0.0.0', 'strip', 'O0', 'O1', 0.8220964249594439, 295.7445259094238]
['BO', 5, 'UO', 85, 'libgeany.so.0.0.0', 'locate', 'O1', 'O0', 0.9071564958374704, 47.364115953445435]
['CO', 396, 'BO', 12, 'vdir', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9591139656242017, 392.9565432071686]
['CO', 107, 'BO', 12, 'unlink', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9918523630373322, 263.7476885318756]
['BO', 12, 'CO', 324, 'libgeany.so.0.0.0', 'ptx', 'O0', 'O0', 0.9800832079313092, 261.9863474369049]
['UO', 28, 'BO', 6, 'readelf', 'codeblocks', 'O2', 'O0', 0.8055277490286568, 81.60386443138123]
['BO', 6, 'CO', 406, 'codeblocks', 'rm', 'O0', 'O0', 0.9440973364024992, 42.3763701915741]
['CO', 26, 'BO', 6, 'kill', 'codeblocks', 'O3', 'O0', 0.9753856434816506, 44.69577980041504]
['BO', 5, 'CO', 213, 'libgeany.so.0.0.0', 'basename', 'O1', 'O2', 0.9846444864804718, 40.89108610153198]
['BO', 5, 'CO', 246, 'libgeany.so.0.0.0', 'sha1sum', 'O1', 'O2', 0.9803946450098344, 41.368605613708496]
['BO', 6, 'CO', 318, 'codeblocks', 'mkdir', 'O0', 'O0', 0.9342033516303755, 43.16276025772095]
['CO', 123, 'BO', 6, 'dd', 'codeblocks', 'O1', 'O0', 0.9557091136309338, 50.61629629135132]
['CO', 260, 'BO', 5, 'sha256sum', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9797351938476175, 47.090120792388916]
