['BO', 5, 'CO', 334, 'libgeany.so.0.0.0', 'pwd', 'O1', 'O0', 0.9754438150691433, 40.39726161956787]
['BO', 5, 'CO', 215, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O2', 0.9811174053093413, 41.171775579452515]
['CO', 361, 'BO', 12, 'nice', 'libgeany.so.0.0.0', 'O0', 'O0', 0.990006523930965, 271.2059099674225]
['BO', 5, 'CO', 258, 'libgeany.so.0.0.0', 'dircolors', 'O1', 'O2', 0.980426058404581, 42.99652624130249]
['CO', 320, 'BO', 6, 'dir', 'codeblocks', 'O0', 'O0', 0.8999803602992377, 74.47878360748291]
['BO', 5, 'CO', 91, 'libgeany.so.0.0.0', 'comm', 'O1', 'O3', 0.9759440382363181, 42.911776065826416]
['UO', 86, 'BO', 12, 'xargs', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9758418902506348, 349.37684440612793]
['UO', 57, 'BO', 6, 'size', 'codeblocks', 'O3', 'O0', 0.6777448445481491, 126.47546529769897]
['BO', 5, 'CO', 378, 'libgeany.so.0.0.0', 'runcon', 'O1', 'O0', 0.9764758030046383, 42.06259536743164]
['BO', 12, 'CO', 211, 'libgeany.so.0.0.0', 'unlink', 'O0', 'O2', 0.9931834888953243, 241.85813164710999]
['BO', 5, 'CO', 185, 'libgeany.so.0.0.0', 'cat', 'O1', 'O1', 0.9801747791470397, 40.80897521972656]
['CO', 135, 'BO', 12, 'date', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9835216398554634, 301.7572991847992]
['CO', 303, 'BO', 6, 'sha224sum', 'codeblocks', 'O2', 'O0', 0.9762660872472004, 44.837220191955566]
['BO', 6, 'CO', 105, 'codeblocks', 'touch', 'O0', 'O1', 0.9597790055248618, 40.66218423843384]
['CO', 165, 'BO', 12, 'cksum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9912317792366752, 273.4918134212494]
['CO', 249, 'BO', 5, 'echo', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9857808598285432, 44.205824851989746]
['CO', 158, 'BO', 6, 'true', 'codeblocks', 'O1', 'O0', 0.980569514237856, 43.61769151687622]
['BO', 5, 'CO', 166, 'libgeany.so.0.0.0', 'printf', 'O1', 'O1', 0.9760065839453026, 40.75789713859558]
['CO', 13, 'BO', 6, 'printenv', 'codeblocks', 'O3', 'O0', 0.9791697664038089, 41.841447830200195]
['BO', 12, 'CO', 240, 'libgeany.so.0.0.0', 'expr', 'O0', 'O2', 0.9883260988726092, 243.2682192325592]
['UO', 24, 'BO', 6, 'diff', 'codeblocks', 'O2', 'O0', 0.9209357738546518, 60.161473512649536]
['CO', 327, 'BO', 5, 'join', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9690570441749333, 52.41831088066101]
['BO', 12, 'CO', 102, 'libgeany.so.0.0.0', 'mknod', 'O0', 'O3', 0.9899180096965025, 241.57416224479675]
['CO', 365, 'BO', 6, 'chmod', 'codeblocks', 'O0', 'O0', 0.9510477971508718, 55.144680976867676]
